index,132_2_www.debian.org,132_3_www.debian.org,132_4_www.debian.org,132_5_www.debian.org,132_6_www.debian.org,132_7_www.debian.org,132_8_www.debian.org,132_9_www.debian.org,132_10_www.debian.org,153_2_www.icann.org
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,-289.84000000000003,-419.72,-274.56,-389.15999999999997,-320.4000000000001,-373.87999999999994,-282.20000000000005,-297.48,-465.56000000000006,1889.699999999999
3,1622.24,1571.92,1628.16,1583.76,1610.3999999999999,1589.68,1625.2,1619.28,1526.8,5387.68
4,1349.44,1430.02,1339.96,1411.06,1368.4,1401.58,1344.7,1542.1,1458.46,6323.94
5,1522.68,1117.24,1508.1200000000001,1289.7200000000003,1551.8000000000002,1375.9600000000003,1515.4,1529.96,1693.4000000000005,10619.599999999993
6,1862.0000000000018,4095.2,1859.0000000000007,3950.4999999999973,2416.0,3814.999999999999,1723.5,2480.0000000000023,4043.6,22107.899999999998
7,4059.08,3683.04,4079.72,3837.1200000000003,4125.8,3914.1600000000003,4069.4,4048.76,3580.08,39197.599999999984
8,3657.36,4126.34,3747.24,3938.76,3820.5999999999995,3774.6799999999994,3702.2999999999997,3612.42,4132.940000000001,60553.840000000004
9,4114.56,5013.16,3946.88,4190.839999999999,3925.600000000001,4123.16,4020.8,4131.64,5424.96,64389.04
10,4233.680000000002,5034.86,5124.719999999998,5253.9400000000005,4149.4,5200.42,4132.7,4474.700000000002,5074.96,69253.3
11,5204.399999999999,4532.2,5181.599999999999,4848.4000000000015,5378.0,4824.200000000001,5410.0,5234.799999999999,4513.2,88992.4
12,4906.76,4247.959999999997,4875.839999999999,4459.24,5057.5999999999985,4325.26,5127.799999999999,4921.719999999999,6388.88,113375.39999999998
13,4347.56,6181.8,4582.04,6370.56,5315.400000000005,6229.08,4460.8,4470.32,6183.84,141357.4
14,5289.960000000005,6225.42,6467.04,6177.26,6729.599999999999,6877.719999999996,4837.800000000002,5978.120000000001,8492.04,168834.1
15,6053.2,8315.6,6432.920000000002,8503.32,6528.200000000001,8331.039999999999,6255.999999999999,6086.4,8311.48,183542.79999999996
16,6120.2,8334.1,8521.800000000001,8273.3,6241.0,8048.9,8420.5,6461.600000000003,8094.699999999999,198251.49999999997
17,8333.92,7926.76,8445.199999999999,8474.28,8386.0,8239.039999999999,8494.6,8370.6,8064.600000000002,225233.19999999998
18,8175.16,9143.400000000001,8383.44,7771.0599999999995,8308.6,9365.600000000002,8285.300000000001,8301.02,13467.98,287771.92
19,8255.759999999998,14329.040000000003,8287.840000000002,11288.799999999992,8123.599999999999,9630.159999999994,8460.800000000001,8160.719999999998,14083.919999999995,341685.68
20,7743.079999999999,15694.52,7796.719999999998,15883.56,7567.799999999997,11172.500000000004,8021.9,7637.259999999998,15519.560000000001,388970.46
21,10253.000000000011,15593.600000000002,10850.000000000004,15387.000000000004,11600.0,14673.399999999994,9562.0,11180.00000000001,22493.8,386513.6
