index,155_3_www.icann.org,155_4_www.icann.org,155_5_www.icann.org,155_6_www.icann.org,155_7_www.icann.org,155_8_www.icann.org,155_9_www.icann.org,155_10_www.icann.org,156_1_www.icann.org,156_2_www.icann.org
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1489.9199999999998,1488.1,1420.54,1414.22,1528.1399999999999,1442.66,1539.06,1480.82,-341.02,-346.96
3,3692.639999999999,3669.2,3760.08,3811.44,4164.76,3601.68,4152.04,3575.4399999999996,-259.28000000000003,-251.92000000000002
4,4991.4800000000005,4622.100000000001,5678.42,5055.780000000001,4422.38,4968.16,4001.64,4774.42,-490.03999999999985,-580.16
5,8383.92,8434.6,6769.6399999999985,6201.72,8349.720000000001,8434.64,8120.56,6467.279999999996,1634.08,1277.4399999999996
6,7961.599999999999,7706.5,8512.699999999999,8136.099999999999,10934.99999999999,8585.7,13155.699999999993,7992.100000000003,1573.8999999999999,1580.8
7,14233.08,15361.19999999999,10980.200000000004,11600.119999999997,30678.08,14896.36,30141.72,14328.279999999999,1615.6,1379.8
8,29825.88,29818.3,14239.18,23569.879999999983,31191.28,28769.04,33532.54,30556.52,1411.06,1377.8799999999999
9,33780.359999999986,33789.8,16035.880000000001,29682.56,33480.03999999999,30122.28,35900.68,31652.64,1493.56,1453.72
10,37276.799999999996,54762.999999999876,19684.24,32877.92000000001,67166.67999999996,33837.96,48277.71999999998,37975.29999999999,1472.9800000000002,1537.24
11,61386.59999999998,70743.0,39081.200000000004,39136.99999999999,86709.19999999992,39313.799999999996,91403.79999999999,81657.99999999991,1307.999999999999,1246.6000000000001
12,89513.79999999999,92231.59999999999,39544.76,56065.59999999998,107128.92,58471.899999999994,98237.42,92488.78,2720.7000000000007,1806.599999999998
13,91786.76,101692.39999999992,41681.48,89432.2,112361.12000000001,78677.08000000002,103493.2,102833.4,3883.08,3302.5999999999995
14,110449.2799999999,117916.0,52843.399999999936,103450.26000000004,139211.23999999993,94306.95999999999,115487.3,120118.94,4120.64,4079.72
15,129952.48000000001,136767.0,88482.04000000001,132946.19999999998,169877.59999999998,117370.20000000001,142510.72,153561.44,4026.7599999999998,3987.48
16,152395.39999999997,161972.0,102037.6,170514.69999999995,218819.49999999994,150774.5,205169.0000000001,178727.2,3852.7,3798.6000000000004
17,172392.11999999994,193878.0,126287.71999999999,199819.87999999995,249550.28,175120.0,261042.6,238536.19999999998,3610.72,3586.56
18,203620.56,217947.99999999983,170720.62,239503.1,256267.22,221085.0800000001,282259.78,260634.52000000002,3773.24,3749.44
19,206455.64,245854.39999999997,207948.7600000001,274666.4,275489.55999999994,258179.04,285366.6,269410.63999999996,4140.92,4154.16
20,230104.91999999966,287830.4,264247.77999999997,302006.56,302960.76,259299.7,298633.3599999999,289952.58,4127.14,4361.279999999999
21,243633.99999999994,298856.0,299937.7999999999,306913.8,304171.6,269462.2,310398.9999999998,307549.2,4467.199999999999,5190.2
22,280876.39999999997,302335.9,327119.96,324755.58,315368.86,286233.74,353469.04,310533.64,5100.620000000001,5389.24
23,318987.39999999997,306302.2,341507.07999999996,328028.2,320198.8,300054.24,369169.44,322355.04,5312.16,5296.840000000001
24,349894.3999999999,320822.2,351924.64,342964.45999999985,327138.34,306698.64,384973.3,348542.27999999997,5120.219999999999,5002.92
25,393576.8,322662.3999999999,355150.08,355351.04,333090.19999999995,311109.28,432985.32,362638.95999999985,4982.52,5078.72
26,448416.9999999998,343261.5,375832.5,382804.0,334959.5,359893.5,473260.5,416787.0,4843.0,4712.0
27,517703.2399999998,396327.0,400584.55999999994,402173.60000000003,342897.99999999994,399331.48,531335.76,454421.72,4473.64,4382.719999999999
28,567358.68,444335.89999999985,434033.0,422755.6799999999,379748.67999999993,425416.2800000001,571120.7,482131.06,4362.46,4460.08
29,574816.1599999998,480865.39999999997,451129.36,460018.5999999999,412420.19999999995,451393.28,617167.8,531555.4,4194.079999999999,4131.84
30,624330.0399999999,552601.0999999997,477368.72,519240.7,436718.93999999977,484614.42,636964.2000000002,565574.4199999999,5340.280000000004,5989.44
31,653205.6,598985.0,527432.0,552108.5999999999,476883.6,517915.6,701758.8,588246.8,6247.599999999999,8164.799999999994
32,678097.2,638826.5,581586.5,588325.0799999998,514260.8999999999,549962.8,710130.06,601454.5199999999,6073.54,8561.76
33,716456.7599999998,672468.2,614675.36,620944.6,544937.3599999999,589788.4400000001,737410.68,610986.3599999999,7435.240000000002,8376.24
34,748884.2,701602.6000000001,662411.7599999999,658594.12,577024.7,604728.12,788122.7600000001,658901.3799999998,8303.14,8364.72
35,792751.0,732518.2,699135.3200000001,697003.12,641115.2799999999,606893.2,839774.76,689558.16,8383.72,8440.56
36,838991.0,772680.5,730581.0,726796.2,684101.5,642900.0999999997,877552.5,694643.1,8357.199999999999,8424.6
37,889139.5999999999,777548.8,771279.6800000002,741487.64,725397.36,668551.4,916391.6799999999,732824.3599999998,8167.240000000001,8264.519999999999
38,949735.4,790980.7,796156.88,743121.26,749013.86,723733.2200000002,955711.5400000002,779686.7000000001,8160.46,8203.08
39,978093.4400000001,838423.0,812315.24,779671.4,770045.4799999999,782807.96,1022290.9199999998,809974.3999999999,8241.039999999999,8278.92
40,981736.8799999999,881675.5,837225.72,803111.96,815468.9999999995,834086.3400000001,1075205.24,867731.5799999998,8330.98,8360.039999999999
41,997334.8,884553.0,850668.0,857043.0,874592.9999999998,884765.0,1133819.2,925780.9999999999,8423.8,8447.4
42,1013674.64,930884.7999999997,900250.1,866248.84,912577.8399999997,919142.1799999999,1178344.36,981893.58,8000.0199999999995,8307.960000000001
43,1022661.9199999999,958756.2,944478.2800000001,907756.6,947022.7999999999,977949.36,1251070.9200000004,1030515.8399999997,7450.239999999998,7790.5199999999995
44,1049638.84,976019.8000000002,970530.72,963634.0000000001,990498.7,1005877.7200000003,1307629.84,1061166.36,9144.199999999999,8003.600000000002
45,1053225.8,988214.4,990973.6,1007024.8799999995,992240.08,1058873.48,1309665.04,1089860.16,11255.600000000006,9990.79999999999
46,1091705.6,990503.0,1028517.7999999999,1056005.5,997876.4999999999,1102355.5,1311172.3,1101180.8,13001.599999999999,11896.799999999992
47,1097495.48,1038529.3999999996,1066256.4799999997,1101769.44,1085890.8399999996,1151572.16,1313370.8,1121908.0799999998,14698.880000000003,13494.239999999994
48,1151837.5999999999,1101021.9,1105775.7,1129051.0999999999,1105474.1799999997,1153318.02,1313509.32,1151838.34,14751.16,14881.68
49,1197471.6,1139560.5999999996,1146471.04,1205033.24,1135729.8399999994,1195820.2,1316297.68,1209451.5999999999,14663.44,14799.12
