index,106_1_www.dropbox.com,106_2_www.dropbox.com,106_3_www.dropbox.com,106_4_www.dropbox.com,106_5_www.dropbox.com,106_6_www.dropbox.com,106_7_www.dropbox.com,106_8_www.dropbox.com,106_9_www.dropbox.com,106_10_www.dropbox.com
1,67.0,-48.0,67.0,67.0,0.0,0.0,67.0,-442.0,67.0,67.0
2,14496.82,8187.280000000002,7223.72,9656.08,-243.68,4938.4800000000005,7169.900000000001,12949.66,7015.32,3192.74
3,34985.16,29259.839999999986,20832.800000000003,21201.52,5162.76,17256.92,13222.000000000005,30507.440000000002,19143.16,10576.399999999994
4,68332.8800000001,41596.92,40321.96,38370.68,16291.720000000003,33359.88,39757.400000000045,52320.08000000002,37170.16000000001,25484.82
5,272123.39999999997,55577.920000000006,89204.48,47348.04,31136.28,37321.88,54894.6,103738.56,57738.28000000001,39134.68
6,378217.8,105456.6,130223.79999999997,98530.19999999997,43593.1,42906.400000000016,109176.5,206949.2,96364.1,44051.7
7,692103.52,324122.08,376332.68,110746.0,95954.92,96345.72,328398.6000000002,302321.72000000003,104932.8,80348.19999999998
8,950643.2,385443.96,389420.5,253453.47999999975,110284.2,150260.48000000007,395391.5,670964.7599999999,186866.86,97136.58
9,1163885.16,479819.0399999996,419491.24,391246.8,385625.08,377367.60000000003,580299.8000000002,918260.84,474056.6,101577.28
10,1240831.2,860611.9199999999,722565.2799999999,396564.96,396966.5,375205.16,946516.5,1165233.1600000001,733834.9600000004,123381.94000000002
11,1412141.6,1006973.6,965032.4,519301.7999999997,530131.8,573803.0,1179459.0,1244592.0,990862.6,175888.59999999945
12,1541969.3,1119700.52,1151552.88,762144.8799999997,948070.74,858619.4800000007,1257614.2000000002,1372986.44,1203774.82,335672.12
13,1557648.12,1232087.7999999998,1261791.8,950389.7599999999,1114951.48,1000473.12,1408039.4,1461351.56,1240698.84,388150.52
14,1600625.78,1250927.4400000002,1356713.6399999997,1163655.84,1194711.82,1097806.96,1510382.2000000018,1548082.98,1294823.6,608863.2799999999
15,1663695.68,1417997.32,1428084.56,1204832.52,1250705.0,1231278.72,1559768.8,1596964.44,1402225.16,869889.0399999996
16,1852546.8000000003,1485688.4,1549774.0,1248164.4,1417599.1,1235156.4,1696428.0,1641712.6,1478066.4000000006,958077.2
17,1898374.12,1553576.8,1563803.8,1410419.72,1528998.8399999999,1378630.2000000002,1707194.8,1710992.56,1530976.4000000001,1129296.48
18,1963328.02,1565375.56,1611183.92,1443928.96,1565322.72,1404722.0,1847174.3,1850166.7200000002,1554520.64,1188733.42
19,1990782.76,1651551.36,1706780.68,1553608.4,1591805.52,1500484.3999999994,1889015.8,1880048.52,1659274.32,1231210.44
20,2039383.58,1709026.76,1746394.96,1562238.96,1659592.58,1546177.68,1904792.1,1968153.14,1735861.02,1317637.72
21,2144430.6,1731123.5999999996,1862931.4,1632520.2,1723225.2,1555081.4,1943573.0,1983006.2,1833329.4,1426973.8
22,2307448.0000000005,1854136.5999999999,1892241.94,1700000.76,1858062.68,1657886.2,2018709.8,2092006.98,1840368.12,1448528.5599999998
23,2571106.48,1917321.16,1907602.64,1713405.72,1875410.96,1699366.88,2147583.8,2210496.36,1863805.36,1553002.24
24,2635680.26,1928486.16,1945527.76,1853570.4799999997,1912389.4400000002,1704456.44,2338598.8,2257308.94,1928912.5000000007,1559856.6
25,2648910.92,1938982.72,2061809.0000000002,1885842.96,1986338.5999999992,1720722.36,2570164.4,2403144.2800000003,1947744.4000000006,1604232.56
26,2661713.0,2039027.0,2083126.0,1905292.0,2096088.0,1850796.0,2637544.5,2634229.5,1975792.5,1610825.0
27,2670068.92,2070226.4000000004,2227288.04,1976303.4,2137004.16,1864147.08,2636421.4,2648550.96,1989485.04,1620721.92
28,2676722.06,2173939.68,2276196.62,1983172.0799999998,2181932.36,1892862.8,2651419.2,2656195.82,2032409.86,1662181.98
29,2694023.76,2320351.8,2416224.3200000003,1991645.32,2275651.28,1895874.5600000003,2666181.8,2665470.84,2152222.76,1771806.3199999998
30,2711215.36,2423452.76,2561589.42,1997195.32,2430285.58,1941359.48,2721408.3,2624587.0799999996,2271291.0400000005,1858310.86
31,2734830.0,2448157.6,2614014.8,2061006.2,2613434.4,2055377.8,2728195.0,2503583.0,2468460.200000002,1867133.0
32,2752347.68,2543773.5999999996,2623708.14,2066089.6400000001,2665804.62,2116890.6000000006,2740238.6,2448288.66,2580336.12,1927881.8
33,2767448.08,2571504.48,2625911.76,2076721.32,2675208.32,2208024.12,2746784.0,2637206.12,2633765.92,1938452.68
34,2806824.62,2574351.84,2632234.42,2140103.76,2684280.06,2217588.96,2770797.9999999995,2748396.159999999,2640408.52,1945348.22
35,2871948.56,2607316.8,2641387.88,2222286.04,2687098.68,2234194.48,2809974.4000000004,3063157.84,2645681.08,1973718.16
36,2884759.2,2624561.4,2707520.3000000003,2277481.4,2701750.8,2256322.6,2827139.0,3141798.6,2659489.0,2042760.9
37,2914474.0799999996,2639560.12,2707675.88,2311761.1999999993,2710328.92,2441353.9199999995,2869019.0,3157569.44,2658551.12,2073184.16
38,2925072.96,2661395.76,2721023.86,2422259.1599999997,2720647.02,2586018.6,2733447.0,3162882.98,2665281.68,2103957.3000000003
39,2929532.52,2675955.8399999994,2729198.16,2560041.7199999997,2727398.6,2595652.88,2665429.8,3153832.08,2669589.04,2223678.92
40,2821304.5600000005,2717829.72,2738161.64,2635941.0,2756430.34,2604577.64,2864329.8000000007,3144681.84,2682098.08,2315877.94
41,2692211.0,2735765.2,2761299.2,2643901.0,2769805.4,2599777.8,3090433.0,3158215.6,2690342.6,2338655.0
42,2875131.6400000006,2747580.9199999995,2771143.42,2655897.68,2770638.36,2601819.52,3328905.8,3161573.36,2711862.08,2389630.84
43,3172544.160000002,2830881.56,2800349.68,2659156.56,2784743.56,2613042.36,3520380.40000001,3172575.72,2732249.08,2421132.4
44,3359479.7399999998,2836137.36,2888190.46,2675936.7199999997,2806942.46,2621375.52,3781509.3999999994,3203106.44,2816036.94,2598293.08
45,3480209.1199999996,2844053.88,2892737.6799999997,2677321.96,2812506.6,2624467.28,3755426.0,3223789.1999999997,2824042.36,2608853.36
46,3737845.9999999995,2870390.1999999997,2898673.1,2712224.6,2888647.699999999,2634014.0,3758485.0,3315948.8000000007,2834266.8,2607689.2
47,3845971.8400000003,2879437.32,2913049.4,2757893.8399999994,2910122.12,2684986.12,3826386.7999999993,3518488.5200000023,2846865.2,2616417.36
48,3852044.24,2893811.16,2934017.4,2760256.48,2928619.98,2684810.56,3858390.7,3702973.88,2875445.56,2623606.54
49,3858182.8000000003,2897424.52,2934914.6799999997,2781308.08,2943726.0,2694221.44,3864438.2,3791629.72,2858517.0399999996,2627199.88
50,3869021.4,2805089.7600000007,2827716.8400000003,2704952.96,2857100.1599999997,2701558.72,3882123.4,3796955.04,2758342.0399999996,2627315.56
