index,112_1_www.xing.com,112_2_www.xing.com,112_3_www.xing.com,112_4_www.xing.com,112_5_www.xing.com,112_6_www.xing.com,112_7_www.xing.com,112_8_www.xing.com,112_9_www.xing.com,112_10_www.xing.com
1,-442.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,-48.0,0.0
2,1205.3,180.36000000000007,2091.12,658.72,396.64000000000016,2074.84,651.4399999999999,178.7399999999999,418.84000000000026,1785.74
3,3236.399999999997,1216.9599999999996,2819.7200000000003,1909.16,1414.2800000000002,3067.72,1893.32,1659.3600000000001,1603.3200000000006,5047.12
4,6976.2,4987.92,7502.04,5229.76,4958.68,5460.399999999991,5247.52,4934.34,5029.36,6385.22
5,9812.2,5856.159999999999,10122.280000000002,6541.24,6502.28,9962.199999999999,6215.48,4901.480000000002,7184.920000000001,12638.28
6,12042.5,11693.4,12454.800000000003,12044.400000000001,9814.599999999993,13898.200000000006,12998.400000000003,5691.000000000003,8089.600000000003,16824.600000000002
7,13937.199999999999,13178.480000000001,16110.56,12999.360000000002,12080.400000000001,17731.919999999976,12613.639999999981,10592.32,12932.84,21379.48
8,22786.500000000004,14547.279999999997,21410.120000000003,16871.04,17496.88,21232.66,16341.080000000002,11890.179999999998,14149.240000000005,20904.58
9,23934.399999999998,23512.84,21429.72,22961.76,22537.16,21562.04,21604.04,13414.159999999998,22716.280000000002,35825.68000000001
10,21981.4,21424.679999999997,21371.56,22933.04,24086.64,36323.96000000001,19497.92,19205.32,20452.56,42738.66
11,25769.0,22069.600000000002,35647.200000000004,41720.2,29564.400000000005,40530.4,34770.6,22092.000000000007,34804.799999999996,51561.6
12,31735.2,23351.719999999998,56073.919999999955,48261.48,29967.72,65731.18,35455.68,30692.359999999997,35451.240000000005,55895.16
13,32803.799999999974,23488.76,67928.04,47906.72,33661.68,68070.88,52339.880000000005,28441.12,41432.76,76158.8
14,40764.9,29099.28,71267.56,51672.360000000015,39334.15999999998,70914.71999999997,63193.75999999987,30915.55999999999,44232.96000000001,81138.48
15,39495.40000000001,37711.360000000015,75218.28000000001,55474.88,39802.72,76135.4,67672.15999999997,46425.68000000001,49054.840000000004,113844.56000000001
16,51037.5,41119.60000000005,81523.99999999997,68681.20000000016,40698.600000000006,82438.90000000001,72395.6,49830.800000000025,69922.79999999996,133578.2
17,71255.99999999999,46183.96,119063.27999999993,76622.24,44044.28,119592.95999999999,75917.59999999999,53774.48,72734.92,144919.72
18,75875.99999999997,72336.76,132968.32,82821.71999999999,56398.40000000004,133992.24,80710.6,53593.06,75675.84000000001,158373.72
19,79669.40000000001,75994.84,142227.48,113764.20000000001,83372.56000000001,143093.84,112655.92,64477.68,79915.28,159235.92
20,110976.19999999997,80040.20000000006,144866.12,132806.91999999998,88275.04,155142.28,130291.51999999999,69321.28000000003,110098.28000000001,163709.44
21,129147.0,110839.59999999999,154320.59999999998,140644.6,119174.8,158876.2,134796.8,72336.6,120820.99999999996,199035.6
22,134935.99999999997,129682.48,156342.6,153823.56,137581.64,158203.54,136155.56,79940.74,133681.15999999997,203810.22
23,142752.80000000002,133870.56000000003,162515.08,158259.84,144628.84,160775.96,134248.28,84067.35999999999,142173.92,208332.32
24,151578.9,142771.04000000004,166806.19999999998,157843.56,152852.19999999995,180966.8,139988.56,88642.20000000003,153853.08,223713.02
25,157003.8,152078.88,180447.24,159605.32,164987.04,208569.39999999997,139046.52,118948.12000000001,155512.92,229154.8
26,158743.5,155834.0,209381.0,166759.0,165048.0,212615.0,149685.0,136806.5,156316.00000000003,269212.5
27,159122.8,162115.68000000002,217819.28,166341.44,173431.2,220491.72,153515.71999999997,140132.56,156261.04,273147.0
28,162886.90000000002,167261.40000000023,219945.55999999994,203311.84,198205.63999999998,221470.82,164561.04,148930.06,154955.64,344149.7200000001
29,172464.4,197703.72,226707.35999999993,213671.08000000002,209006.2,229461.39999999997,171301.48,160036.63999999998,175025.39999999997,442778.56
30,191589.9999999999,198371.96,238628.2399999999,215801.36000000002,209025.88,235786.69999999998,177601.96,164439.08,174812.04,512399.68000000017
31,206885.0,200107.4,274615.6,220749.4,214378.2,275945.39999999997,188053.0,166580.6,190856.00000000003,579556.6
32,208576.99999999997,202076.12000000002,278060.55999999994,224948.64,216820.12,277245.72000000003,194075.16,165236.22,216187.44000000003,619670.12
33,215372.99999999994,211903.08000000002,321864.4799999998,230087.8,221406.79999999996,321993.95999999996,202287.24,163367.63999999998,221851.68,624482.16
34,216832.30000000002,210599.4,373020.75999999966,237233.40000000002,231114.83999999997,403938.31999999954,251996.47999999984,171909.32,229915.43999999994,638628.62
35,217195.19999999998,214066.76,449873.5199999999,270407.72,232823.76,470606.52,257151.36000000002,178138.15999999997,238929.6,685198.6800000003
36,231831.5,222842.8,519728.19999999984,274830.0,234491.19999999995,568892.3999999997,271856.8,181555.9,251193.2,710597.6
37,238429.99999999997,226099.96,616146.7999999999,308693.8,243469.39999999994,627115.04,275375.84,188909.63999999998,274690.56,713172.0
38,286471.4999999999,235053.72,630231.04,361772.8000000002,277755.88,630713.6,278680.43999999994,204351.80000000008,276546.76,714067.28
39,336573.0,262831.60000000003,635650.3199999996,442848.0799999999,278515.0,638089.08,359270.16000000003,228815.08,276993.12000000005,717393.6
40,402513.9999999999,270291.84,653489.76,497105.2799999999,299021.27999999997,656318.54,419620.43999999994,233301.52,296790.1599999999,721285.8
41,474740.0,276045.4000000002,657317.2,574344.6000000001,347162.5999999999,715344.6000000001,499651.60000000003,239417.80000000002,342430.79999999993,723101.6
42,532301.0,318949.0800000001,715828.7199999999,617041.92,414757.1599999999,716871.04,551301.8,247145.16000000003,416500.5599999997,728241.58
43,574822.4,395595.19999999995,717355.96,619244.72,476975.47999999963,720251.08,624153.48,280149.2,476536.8799999997,731953.04
44,588778.5,465755.84000000014,720296.2,642380.44,547579.1599999993,720232.26,639593.4,281876.10000000003,533820.7199999999,733186.0599999999
45,609946.9999999999,510956.92000000016,724132.44,645765.48,625375.88,723932.84,648254.72,286940.7600000003,591100.1599999998,735396.36
46,617994.0,555161.4,726236.6,702209.8,625059.4,730219.7,652099.2,338663.6000000004,622594.4,737488.0000000001
47,623946.2,616292.84,729017.48,703935.12,647260.2799999997,731723.64,708631.36,408040.4400000003,646220.64,749136.6
48,627721.1,617731.84,727216.24,706676.96,650140.76,733787.02,712004.48,475409.4800000001,649091.24,752274.64
