index,114_1_www.owasp.org,114_2_www.owasp.org,114_3_www.owasp.org,114_4_www.owasp.org,114_5_www.owasp.org,114_6_www.owasp.org,114_7_www.owasp.org,114_8_www.owasp.org,114_9_www.owasp.org,114_10_www.owasp.org
1,-442.0,-48.0,-48.0,-442.0,-442.0,67.0,-442.0,-442.0,67.0,-442.0
2,362.9600000000011,581.2800000000001,564.8800000000001,2849.26,861.4799999999985,769.06,2457.48,609.0,878.82,1269.360000000002
3,7090.68,6530.920000000001,4185.4800000000005,6571.64,7052.84,4580.76,6598.84,4013.0,4623.32,7021.88
4,11172.56,9837.720000000003,7935.32,9802.239999999998,11420.799999999992,7931.86,13183.760000000002,8458.0,8155.579999999999,10430.76
5,26301.32,26297.84,26473.2,27403.360000000004,26613.16,17226.08,24954.44,19222.0,11368.16,26173.12
6,28335.8,28444.799999999996,24702.200000000008,26985.2,27031.39999999998,24620.199999999997,30580.600000000002,24549.0,28075.7,28249.7
7,32359.12,32555.28,30524.16,32745.48,32550.56,31421.680000000008,33953.44,32621.0,27946.52,32371.04
8,33751.58,35944.04,34346.44,34625.22,34094.04,32486.960000000006,46411.96,32344.0,34487.78,34045.52
9,47075.36,49077.76,46477.68,45746.16000000001,47468.68,39673.96000000001,68334.04000000005,35485.0,35504.92,46878.24
10,67316.62,89201.60000000003,52799.56,50326.19999999999,77973.52000000002,49028.38,119321.52,48924.0,48140.74,80755.32000000012
11,115702.99999999999,127941.0000000001,113104.59999999999,113829.59999999999,119123.8,81109.00000000009,138613.00000000003,82211.0,54329.600000000006,122883.4
12,131489.58,148966.40000000002,132198.80000000002,131801.91999999998,137651.59999999998,130814.64,184948.36000000002,120824.0,117014.19999999997,145922.7
13,148342.4,192598.84000000023,139272.59999999998,138506.12,150628.76,140333.47999999998,268707.63999999996,137219.0,135040.92,190799.40000000002
14,196754.68000000002,277767.60000000003,174170.5199999998,145388.38,184043.88,149215.13999999998,318823.4400000002,156589.0,142632.59999999998,247951.02
15,285961.68000000005,354623.48000000016,234118.19999999998,151448.88,212397.72,155453.04,332351.52,243733.0,161530.36,275138.8
16,334080.4,447056.8,300908.99999999994,156162.9,258420.99999999997,178544.8,335395.4,311227.0,225807.9,315636.80000000005
17,366128.68000000005,513060.12000000017,334899.84,165970.16,297697.72,208127.12,377213.12000000005,335005.0,317602.76,335961.0
18,396162.4,580636.8,355047.72,209582.44000000006,347895.28,225526.62,389547.64,352679.0,345888.33999999997,342115.94
19,451066.88,596853.44,422605.6000000001,239487.68,379662.16,230441.44,451112.23999999993,433901.0,366154.52,379317.72
20,486870.39999999997,599685.52,480207.75999999966,294176.36000000004,433448.91999999987,273992.56,482473.4,459957.0,431796.44,424007.2000000001
21,509968.6,616742.4,517787.6,378834.2,542431.0,352590.2000000002,553734.2000000002,489658.0,483407.5999999999,495540.0000000001
22,557918.14,634775.4,578806.36,506382.24000000034,623946.2,499170.2,624870.4799999997,494255.0,531445.7599999997,572583.16
23,615446.24,725982.8400000001,676105.72,653496.6800000005,700038.2799999999,615385.3999999999,787941.04,518256.0,620047.3199999995,636166.96
24,653379.0,824022.28,817083.9199999999,738506.3999999999,728553.92,714933.84,881873.0000000002,580535.0,744929.88,696121.9600000003
25,782004.64,869288.7200000001,933996.9599999995,796671.3199999998,797815.7599999999,763891.4,1035356.1199999996,635257.0,848986.2800000001,722012.88
26,940546.5,957885.0,1017510.0,862608.0,857805.0,835062.0,1110128.0,693280.0,862199.0,800889.0
27,1034329.2,999779.6800000002,1085622.7999999998,878299.68,869602.9199999998,861333.12,1114110.6,762800.0,865133.76,874836.48
