index,125_1_www.springer.com,125_2_www.springer.com,125_3_www.springer.com,125_4_www.springer.com,125_5_www.springer.com,125_6_www.springer.com,125_7_www.springer.com,125_8_www.springer.com,125_9_www.springer.com,125_10_www.springer.com
1,67.0,-442.0,67.0,-48.0,-442.0,67.0,0.0,-442.0,67.0,67.0
2,2731.64,4130.359999999999,4543.12,4747.36,4022.5599999999995,4888.96,4748.4400000000005,1235.0,2903.52,4841.54
3,11773.2,18869.880000000012,14456.800000000001,14164.64,27970.760000000002,14531.800000000001,26595.27999999999,4604.0,7046.16,9490.08
4,29836.60000000001,35379.72,35449.88,35917.64,33589.840000000004,31563.96,36844.6,6895.0,18072.76,39090.58
5,43112.52,57766.68000000001,55180.48,50076.44,46960.36,42353.8,59520.64,9025.0,37937.56,45220.96000000001
6,52655.0,124942.00000000003,70251.00000000001,115787.59999999998,121558.2,61911.799999999996,124842.99999999997,14306.0,46471.6,81130.99999999997
7,115018.48000000007,175627.6,133802.88,123719.79999999999,134377.92,126506.84,136228.28000000003,31406.0,54583.48,138883.84
8,151486.12,331169.1600000002,183381.2,156429.08,340513.28,131742.88,156829.4,29627.0,142873.9,245474.60000000003
9,156066.72,413715.08,335756.52,196104.44,475452.8400000001,215255.03999999986,334971.91999999987,30255.0,190616.08,403273.32000000007
10,216654.8,536807.88,470304.4,304255.2,541887.96,381155.19999999995,444421.2,39945.0,328696.98,459973.74
11,376368.00000000006,541838.4,530114.2000000002,483112.99999999994,549861.8,524134.19999999995,546953.6,43839.0,497467.0,545375.8
12,557063.1999999998,578318.4800000001,544482.32,566584.12,557219.24,541893.64,640294.64,48059.0,551097.9,550107.6
13,565001.68,703732.16,611569.56,571524.08,712768.64,624067.2799999999,713916.52,51950.0,578350.56,652857.0
14,631062.44,713274.32,679468.84,657239.4,755729.6000000001,703301.96,762445.8,66538.0,667012.2,711622.18
15,701991.8,748565.4,708073.7200000001,730382.04,771406.08,708714.04,778902.08,125865.0,715488.28,760002.2000000001
16,729616.4,839155.8000000004,762792.8,767588.8,779030.6,760062.2000000001,808188.4,127916.0,725107.2,776139.8
17,786287.24,868620.64,763587.36,795043.76,787586.76,763409.36,878747.04,146330.0,817843.88,778897.96
18,798131.1600000004,871550.44,773788.04,829970.28,864904.5599999999,773586.08,888701.48,148458.0,850500.44,786915.08
19,808463.88,879954.72,808015.04,873708.8,888711.04,822704.9199999999,917856.88,153736.0,877155.64,885172.3999999999
20,893421.12,889733.6000000001,874264.1200000001,905900.44,896652.64,877929.6,935993.2,206462.0,888132.74,893145.0599999999
21,904174.8,899405.0,885009.2,915693.2000000001,920378.0,885504.2000000001,952381.0,327282.0,896874.8,912371.6
22,916771.32,953281.28,907776.2,941928.1999999998,950671.88,899011.96,979404.24,379987.0,907716.5799999998,941174.98
23,954234.32,1028644.7200000001,930332.64,982125.92,957472.76,907165.6,1015506.36,425102.0,957244.7999999999,961420.9600000003
24,966990.48,1061462.8,953245.84,988726.1200000001,977174.96,963725.36,1078329.7199999997,478898.0,989710.86,1043982.2800000001
25,979360.8,1067756.64,976175.4,1003238.6,985487.68,996083.32,1142063.04,496940.0,995619.56,1109214.48
26,1011063.0,1103577.0,1010335.0,1013322.0,1044636.0,1004463.0,1181232.0,539045.0,1040233.5,1136335.0
