index,136_1_www.android.com,136_2_www.android.com,136_3_www.android.com,136_4_www.android.com,136_5_www.android.com,136_6_www.android.com,136_7_www.android.com,136_8_www.android.com,136_9_www.android.com,136_10_www.android.com
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1517.0,1566.0,1541.5,1581.8,1526.8,1340.6,1330.48,1468.0,1568.96,1526.8
3,1585.0000000000005,1031.0,1307.999999999999,1585.0000000000005,1474.2000000000003,3957.7999999999997,4100.36,2687.0000000000014,1074.1200000000001,1474.2000000000003
4,3573.6,3606.0,3589.8,3573.6,3580.08,4097.72,4104.08,3669.2000000000016,3644.5200000000004,3580.08
5,5260.2,5473.0,5391.6,5508.2,5428.96,5011.24,4630.36,5422.4,5269.48,5428.96
6,4378.0,4443.0,4435.5,4626.0,4517.2,7056.6,7483.600000000003,4528.0,4523.599999999999,4517.2
7,8232.800000000001,6115.0,6105.4,6293.8,6185.84,7819.640000000001,8372.88,8398.6,6183.88,6185.84
8,8364.2,8228.0,8226.3,8422.6,8311.48,11213.720000000001,11307.800000000007,8356.2,8306.36,8311.48
9,8157.000000000002,8029.0,7540.800000000001,8816.000000000004,8064.600000000002,13222.44,12969.44,9960.000000000005,8213.48,8064.600000000002
10,10312.600000000002,13610.0,13475.6,11723.00000000001,13481.16,12819.08,40256.2,13409.6,13265.6,13481.16
11,15427.0,13330.0,13433.0,15644.0,13516.8,15367.000000000005,41173.2,13507.0,13094.199999999999,13303.6
12,41331.8,26575.0,20061.499999999993,36747.2,31582.480000000014,20527.800000000003,40097.759999999995,30021.2,23711.800000000032,36664.00000000001
13,40708.4,39912.0,28174.0,35796.799999999996,41871.88,22032.88,43956.76,29199.399999999994,40721.36,40805.96
14,39736.4,40668.0,41698.7,37345.799999999996,41202.56,49519.59999999998,45478.08,27742.399999999998,40034.64,40205.44
15,38833.799999999996,39834.0,41066.8,39264.8,40268.32,48998.48,44948.32,26711.799999999996,41443.44,38802.68
16,38042.0,38522.0,40143.0,38868.0,38645.6,47810.4,45402.799999999996,30111.0,40695.6,37862.2
17,39713.8,37613.0,38777.200000000004,37575.8,37925.08,53497.88,69257.16,34939.20000000004,40270.64,39781.96000000001
18,40595.400000000016,37206.0,37845.600000000006,39226.4,39515.96,53054.56,70641.44,43249.399999999994,39318.68,40221.88
19,43519.60000000003,38838.0,39434.4,41506.600000000006,43837.88,51999.08,74418.64,45280.2,57340.48,42031.840000000004
20,63331.799999999996,40931.0,41501.700000000004,43818.2,45911.799999999996,52241.04000000001,89351.28,45248.4,61378.83999999999,72186.56
21,65409.0,60569.0,45896.0,45341.0,50321.200000000004,57100.6,110563.0,49562.0,64796.8,77147.20000000001
22,67976.2,62175.0,47965.3,47451.8,52009.44,71107.11999999998,133207.00000000003,49518.0,65164.16,83455.48
23,68665.40000000001,66475.0,52427.200000000004,64099.4,59894.52,72481.84000000003,140131.96,48766.8,67102.48,103983.20000000001
24,71096.00000000001,66383.0,52120.5,65291.6,69394.48000000003,76305.16,140493.59999999998,71031.2,69192.32,104444.68
25,102613.20000000013,68769.0,69195.59999999999,92934.8,75751.44,79766.59999999996,140627.08,73018.00000000003,102157.27999999998,105079.84
26,126784.0,67964.0,69379.5,98807.0,78919.0,101566.0,147578.0,94852.0,117995.0,122762.0
27,131233.19999999998,67159.0,82611.2,129934.80000000009,78027.76,100265.12000000001,181656.76,102864.20000000006,122404.36,134000.56
28,129690.4,86831.0,84211.7,145646.40000000002,111033.71999999999,117865.8,188982.36,117769.4,121016.12000000001,133008.52
29,138889.0,126572.0,85520.8,151344.6,120333.60000000003,130610.64,205775.08000000002,126924.8,133474.32,140027.60000000003
30,150126.0,133947.0,101403.40000000001,151127.19999999998,125048.88000000005,137302.48000000004,226117.59999999998,126619.2,135097.56,145034.64
31,154160.0,146424.0,106179.0,150266.0,144822.19999999998,144611.0,247561.79999999993,139698.0,141577.6,148694.00000000003
32,155191.2,148912.0,118568.4,154764.2,150295.44,160625.28,275285.08,149378.40000000002,147375.0,154871.44
33,155422.8,152800.0,118469.59999999996,162902.0,152056.04,162601.24,276732.84,171432.00000000003,150429.24,155144.04000000004
34,155977.4,152273.0,121599.59999999995,192537.39999999997,158885.08,174529.83999999994,277890.44,181982.00000000003,167894.56,171397.08
35,155018.4,152931.0,150005.99999999968,204566.00000000003,161130.48,177999.04,292373.36000000004,203242.8000000001,170523.03999999998,188095.84
36,156863.0,154081.0,169434.0,228182.0,193604.19999999995,181367.19999999998,311769.80000000005,209073.0,170891.4,206630.0
37,158435.8,153949.0,185611.4,242822.2,207818.36,183619.36,328570.48,210869.80000000005,187139.96,228990.51999999993
38,186931.80000000005,155870.0,186788.8,266942.2,224959.60000000024,190198.8,350331.39999999997,222386.80000000005,187927.32,243948.16000000003
39,199069.6,167959.0,189453.8,283192.6,236731.12000000014,219203.16000000003,352049.72,230915.8000000001,207432.67999999993,268587.20000000007
40,231135.40000000005,182232.0,191290.3,317185.6,253197.32,239368.24,362032.48000000004,251113.4000000001,226034.04,289302.76000000007
41,252486.0,198016.0,223064.0,316437.0,273459.4,263310.4,373751.4,275389.0,232757.4,304228.6
42,272519.4,224364.0,236382.5,318527.4,274631.84,269674.2,440917.6000000002,287734.00000000006,269175.95999999985,316483.08
43,274929.0,250469.0,242813.59999999995,337672.4,314898.8,278311.8,466842.64,309043.6,302519.67999999993,318213.88
44,298507.39999999997,259542.0,274195.5999999999,344550.0,331133.8,313425.04000000004,466997.88,311545.0,317325.44,334148.04
45,308413.0,279314.0,311708.4,350684.2,346562.80000000005,333758.1600000001,468656.12,327065.80000000005,338816.32000000007,350822.56
46,322567.0,316555.0,326859.99999999994,353856.0,349900.2,343547.1999999998,468545.39999999997,338628.00000000035,344996.8,350849.6
47,331969.2000000003,323236.0,335641.0,353259.4,352981.12,360060.44,472261.39999999997,352003.8,345035.48,353277.6
48,353181.0,349389.0,355153.69999999995,364285.0,355105.2,360396.0,472331.56,359592.80000000005,347535.2,365747.68
49,367375.80000000005,351589.0,369577.39999999997,371836.4,364977.8,370572.6,476280.92,368024.60000000015,347635.67999999993,371430.52
50,371336.6,368200.0,380631.0,386982.2,371187.56,379013.96,478998.08,397803.0000000002,363257.92,391203.16000000003
