index,139_1_www.office.com,139_2_www.office.com,139_3_www.office.com,139_4_www.office.com,139_5_www.office.com,139_6_www.office.com,139_7_www.office.com,139_8_www.office.com,139_9_www.office.com,139_10_www.office.com
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,256.0,-442.0,-442.0,-442.0
2,507.0,1005.5200000000004,1588.2,1591.16,1141.4799999999996,1601.52,-522.0,189.75999999999976,1608.92,1141.4799999999996
3,1400.0,1434.76,1354.3999999999999,1397.5199999999998,1444.24,1548.4400000000005,1234.0,1377.8799999999999,1555.44,1444.24
4,2066.0,2688.8,3894.8999999999996,3929.16,2995.7,3974.52,1213.5,1196.6000000000001,4006.92,3447.7999999999997
5,3927.0,3644.5199999999995,4127.4,4118.92,3599.52,4148.919999999998,4182.0,3987.48,4132.96,3599.52
6,4111.5,4116.8,5042.0,5194.4,4807.199999999999,4929.4,3640.0,4045.6000000000004,5073.900000000001,5216.699999999998
7,5546.0,5071.68,6476.2,6476.360000000002,4945.32,6551.48,4199.0,5398.24,4338.360000000001,5063.32
8,4748.5,4497.719999999999,8365.399999999996,7806.92000000001,4175.280000000001,7576.799999999994,5031.5,4904.360000000001,8228.039999999995,4293.280000000001
9,6560.0,6133.759999999999,8481.6,8528.48,5930.96,9696.759999999998,4455.0,4140.84,8227.44,6573.8399999999965
10,8870.5,8462.48,10222.00000000001,9709.340000000002,8263.58,10249.32,8568.0,6056.96,7979.9800000000005,8375.02
11,8338.0,8351.2,20657.0,15937.4,8243.8,9777.19999999999,8440.0,8417.6,17170.20000000001,8361.8
12,8317.5,7480.119999999999,22621.500000000004,21356.68000000001,8078.299999999997,13745.720000000001,8235.5,8293.84,20229.52,8593.599999999997
13,9670.0,19188.24,23148.199999999997,23439.08,20643.72,15966.240000000002,7918.0,7767.5199999999995,23508.28,20761.72
14,20948.0,20128.56,24962.9,25199.7,20197.44,16095.16,12211.5,12825.279999999999,25127.96,20315.44
15,20481.0,22589.359999999993,29767.19999999999,27214.760000000042,23046.59999999999,19793.479999999974,20675.0,20669.08,25091.079999999998,23164.59999999999
