index,144_1_www.alexa.com,144_2_www.alexa.com,144_3_www.alexa.com,144_4_www.alexa.com,144_5_www.alexa.com,144_6_www.alexa.com,144_7_www.alexa.com,144_8_www.alexa.com,144_9_www.alexa.com,144_10_www.alexa.com
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,3702.3,3811.1400000000012,4244.7199999999975,3798.7999999999993,4124.22,3983.8999999999996,4126.34,3566.04,4167.94,3712.420000000001
3,6237.8,8776.36,8397.760000000002,8679.800000000001,8309.84,8366.4,8542.960000000001,8603.92,8232.16,7378.320000000007
4,15856.399999999978,18990.920000000002,20383.320000000003,19496.999999999993,27718.100000000013,18946.99999999999,50880.48,19223.66,28235.660000000003,18738.34
5,42015.2,93749.56000000003,28441.68,90296.4,32594.719999999998,25934.2,100863.08000000005,32729.04,31992.440000000002,59756.00000000001
6,40676.0,97062.20000000006,35847.99999999997,96222.0,44710.700000000004,47750.0,154219.3,48813.70000000001,59507.6,96008.4
7,58838.199999999975,134238.84,57998.16,164130.6,48340.24,58317.799999999996,160823.72,63801.76,67962.31999999999,117335.44
8,98363.4,154389.12000000002,64075.32,191094.4,80086.76000000005,94452.9,222867.06,106679.64000000001,102172.8,120307.78
9,135550.0,187030.96,130692.47999999982,224598.2,129142.84000000004,160229.8,250504.48,173191.2,155126.0,126439.04
10,204498.3,210620.96,180791.15999999995,280158.2,173752.32,200471.39999999997,316887.00000000006,266698.26,203922.0,182985.94
11,270511.0,269922.00000000006,242999.99999999997,340205.0,214642.80000000008,253201.0,368539.8,295028.4,255626.4,224642.19999999998
12,304845.0,289192.76,288906.16,384633.19999999995,258394.64000000007,298264.9,465054.84,347535.58,315148.66,233310.44000000003
13,354447.8,360281.4,339609.19999999995,451380.1999999998,313892.2,347496.19999999995,519508.2,354809.12,353398.84,320598.88
14,390206.4,422224.20000000007,414828.87999999995,512003.2,360511.1200000001,360519.6,617499.8400000002,355801.16,420491.5599999998,377740.16
15,437415.2,522107.0,444142.56,545712.0,399165.28,389732.39999999997,632993.92,395062.8400000001,484009.0,395177.64
16,524414.5,547698.0,472669.6,560186.0,439441.70000000007,454884.0,698796.5000000001,410640.1,515867.39999999997,463559.4
17,600735.4,649202.4,526234.6,612658.2,485030.68000000005,475787.59999999974,783952.04,433562.4,587027.76,523371.68000000005
18,639471.9,729211.7200000001,553539.6,630988.4,514413.0800000001,529535.9,832148.48,479636.3,613784.32,585962.16
19,672461.5999999996,744730.6,574426.5599999999,668920.6,541826.76,566543.0,870618.92,498712.16,635930.44,636052.88
20,697374.3,791728.48,608885.52,703724.7999999999,588855.26,615317.8,907402.52,512910.28,652546.12,679342.1200000006
21,785002.0,825635.4,671508.8,782274.0,620447.0000000001,693683.0,976665.6000000001,596520.0000000001,694329.0,723416.4000000006
22,857137.9999999999,860383.3600000001,713431.6399999999,863337.7999999999,703701.0,777973.1999999998,1081813.46,684534.2800000003,805361.16,775986.4800000003
23,917992.8,933444.0,741360.24,894895.7999999999,737589.96,831827.5999999999,1158979.52,794615.7600000001,931469.72,828331.52
24,950919.6,955764.76,835392.9999999998,932978.1999999998,805238.0000000001,888320.7999999999,1196339.18,880929.6399999999,1014714.08,966433.2800000001
25,985341.9999999999,966791.8,920823.9199999999,1013723.7999999999,898499.0800000001,1014830.1999999995,1264094.4000000001,946327.48,1043016.5599999999,1028582.0
26,1045507.0,1031646.5000000003,943001.9999999999,1096292.9999999998,970087.0000000001,1089263.0,1324236.0,999294.0,1078152.0,1081770.0000000002
27,1104988.0,1120807.6,1012311.0399999999,1190912.0,1026828.36,1165461.8,1356120.4400000002,1090112.56,1138287.6799999997,1110823.68
28,1136725.6,1200782.6800000004,1104242.28,1250629.0,1085565.7,1222957.4,1442691.8800000001,1127766.04,1234370.64,1156921.9600000002
29,1187169.3999999997,1248501.6,1176757.6,1297912.9999999995,1139324.4400000002,1266171.2,1507024.32,1198495.2400000002,1281576.2,1215770.0400000003
30,1319661.1999999997,1296258.22,1270665.3599999999,1397165.3999999997,1220197.2000000002,1348275.4999999998,1590296.6400000001,1244204.42,1394759.5,1266069.9200000002
31,1408959.0,1368838.0,1384905.5999999999,1468271.999999999,1297243.600000001,1401699.0,1654532.4000000004,1303067.0,1497544.3999999997,1283377.0
32,1439272.9,1447052.3200000003,1490991.0399999998,1575656.3999999997,1446213.360000001,1472382.5999999999,1705104.8599999999,1430520.16,1615391.28,1360850.6800000009
33,1521346.2,1513692.12,1561017.88,1672223.4,1575924.6800000002,1560645.2,1805770.96,1519871.56,1708774.04,1441211.36
34,1603914.0,1631329.8800000001,1608381.72,1680900.7999999996,1659419.0000000002,1635081.0,1898589.1400000001,1540812.92,1727142.38,1484563.84
35,1704425.5999999999,1693322.520000001,1663063.96,1745596.8,1713014.88,1700684.7999999998,2022690.5199999998,1578575.24,1803683.96,1565105.52
36,1709490.5,1755279.0000000007,1698978.7999999998,1798193.0,1721107.9,1722074.0,2042905.2,1667886.5,1874577.8,1650808.8
37,1734054.9999999995,1779852.9200000002,1745626.8800000001,1897854.7999999998,1722027.48,1770792.9999999998,2087647.84,1761323.0,1902137.44,1719303.28
38,1809178.9999999998,1812294.06,1828879.96,1970195.1999999997,1779821.76,1872249.7999999998,2136620.14,1843954.24,1946805.32,1776332.76
39,1874348.2,1882809.08,1859613.0,2033009.0,1820967.200000001,1905559.8,2141863.6,1882432.6,1952740.92,1847816.200000001
40,1922964.2999999998,1915990.1600000013,1913003.88,2084091.4,1892133.4800000014,1934262.0,2148356.16,1935763.54,1958243.22,1876088.52
41,1963578.0,2031278.2000000002,1948764.0,2097301.0,1944866.8000000003,1969171.0,2168025.8,1964635.6,1965915.0,1893514.8
