index,152_1_opensource.org,152_2_opensource.org,152_3_opensource.org,152_4_opensource.org,152_5_opensource.org,152_6_opensource.org,152_7_opensource.org,152_8_opensource.org,152_9_opensource.org,152_10_opensource.org
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1475.84,1377.8799999999999,1401.58,1335.22,1482.7,1377.8799999999999,1330.8,1343.1200000000001,1352.6000000000001,1425.28
3,3556.32,3987.48,3914.1600000000003,4090.04,1972.7999999999997,3987.48,4039.4,4072.84,4052.2,3721.56
4,4925.84,4956.08,5492.42,4113.62,3564.3399999999997,5565.24,4091.36,5198.76,4363.600000000003,5135.719999999999
5,8543.36,5421.12,6521.08,4566.04,5006.64,4307.84,4969.12,4428.16,4295.400000000001,6339.2
6,8234.800000000001,6476.0,8340.9,6215.099999999999,5648.199999999999,8598.6,6286.0,7113.400000000005,6068.0,8411.4
7,12967.68,8601.28,9913.399999999994,8424.28,8440.04,7962.5199999999995,8414.039999999999,8046.4800000000005,8058.399999999997,12499.400000000003
8,20955.28,10595.519999999999,13277.32,11230.279999999999,8178.180000000002,13456.880000000001,9106.399999999998,13482.880000000001,13187.400000000005,21994.04
9,19013.32,19961.31999999998,20518.120000000003,13289.72,12240.16,20939.32,13138.960000000001,21873.04,21753.199999999997,19894.44
10,17474.36,20572.36,19034.82,20644.16,14837.28,19440.36,21000.48,19882.64,19716.2,18349.84
11,18928.399999999998,19073.399999999998,17883.8,18912.600000000002,20696.6,18029.8,19777.8,21455.2,21205.0,17074.6
12,25976.960000000006,17577.559999999998,18791.38,18032.02,19504.320000000003,19419.8,18523.92,20245.92,20364.8,21111.52
13,43882.08,19022.6,25439.96,17105.559999999994,18468.56,22649.24,17304.36,19290.48,21062.800000000025,24839.44000000001
14,42795.56,23292.36,27461.9,21098.84,17225.58,23802.76,21174.559999999998,22593.24,23506.399999999998,27463.16
15,42693.76,25755.279999999995,30114.480000000003,24981.52,18827.760000000002,27453.32,21005.76,25455.92,24195.60000000002,38629.68000000001
16,42289.399999999994,34027.8,31730.8,26800.3,23257.600000000002,29579.8,28427.400000000012,29530.8,27143.0,43809.799999999996
17,46728.24,33981.52,40177.71999999998,27288.52,22742.76,31468.079999999998,31978.4,29559.920000000002,29254.199999999997,42859.32
18,48783.59999999996,36324.96,42863.740000000005,31674.56,24884.62,43208.04,30998.28,31079.76,42707.800000000025,46448.799999999996
19,57159.880000000005,41021.16,47596.240000000005,31083.84,27024.48,41519.560000000005,31469.12,37893.48000000001,42448.00000000001,61441.64
