index,162_1_www.snapchat.com,162_2_www.snapchat.com,162_3_www.snapchat.com,162_4_www.snapchat.com,162_5_www.snapchat.com,162_6_www.snapchat.com,162_7_www.snapchat.com,162_8_www.snapchat.com,162_9_www.snapchat.com,162_10_www.snapchat.com
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,2933.64,4570.080000000001,5341.24,5101.999999999999,5381.26,8453.92,4122.1,8247.300000000001,4731.0,4752.0
3,7817.760000000001,14078.399999999994,10919.800000000001,12573.199999999992,10332.199999999999,31795.71999999992,8443.4,20234.800000000017,14048.0,21094.0
4,20293.44,46950.339999999895,19870.64,16096.200000000003,20002.44,263165.83999999997,20677.8,212180.50000000012,21391.0,105705.0
5,40689.76,175501.0,80697.24,28080.600000000002,78421.92,418082.2,31218.199999999968,439051.20000000007,56478.0,292170.0
6,133563.90000000002,291921.39999999997,209970.59999999998,73596.0,254861.70000000004,566208.2,108358.5,600022.5,191051.0,414626.0
7,263285.2799999999,469644.27999999997,336732.80000000005,185428.39999999985,419948.24,671976.36,195763.59999999998,720973.6000000001,289602.0,558214.0
8,411873.2,560514.9,460309.64,287768.39999999997,534919.48,821248.2799999999,285955.50000000006,920309.9,416750.0,660881.0
9,515212.0,647691.16,561637.8,387702.5999999999,604284.16,1010612.84,380285.4,1130150.4,506458.0,776081.0
10,559956.78,726980.84,648570.88,538597.4,674245.42,1186645.32,466012.3,1236359.7,571256.0,918878.0
11,648729.2000000001,852099.5999999999,707902.1999999998,600392.0,731009.8,1342367.2,519068.0,1360428.0,710802.0,1104321.0
12,669518.86,1044179.6799999999,805500.2000000001,668298.4,914822.84,1451993.92,574615.2,1470025.0000000005,757826.0,1242285.0
13,752812.5599999998,1135212.2,930629.24,724422.7999999997,1114692.48,1609087.64,660923.4,1558314.0,872462.0,1352933.0
14,911989.14,1248509.6399999997,1019816.2000000001,831737.7999999999,1223688.26,1689161.28,694479.0,1742110.8000000003,959637.0,1438268.0
15,986989.88,1352081.52,1134145.8,925474.5999999999,1265000.4,1929394.92,769570.2000000002,1898488.8,1075887.0,1535791.0
16,1116970.5999999999,1482605.2,1266924.0,1042659.0,1323062.3,2153860.599999999,880771.5,2001884.0,1179354.0,1675637.0
17,1198077.6,1588274.84,1287468.72,1152768.9999999998,1347443.8,2237822.88,978048.5999999999,2132301.2,1290583.0,1759761.0
18,1281359.14,1737404.22,1355928.16,1257043.4,1415068.92,2323129.3999999994,1064457.2,2255761.9000000004,1392278.0,1894555.0
19,1284109.48,1912075.8,1394732.72,1320410.0,1508949.4400000002,2526458.8,1134923.2,2488101.6000000006,1517995.0,2043521.0
20,1343060.82,1993097.98,1451390.24,1360212.0,1585968.18,2728024.1999999997,1184133.2,2697817.4000000004,1615462.0,2066695.0
21,1374408.4,2086118.9999999995,1564705.2,1364862.0,1678055.8,2929134.1999999997,1293868.0,2897743.0,1691670.0,2138541.0
22,1423307.5999999999,2174629.06,1634017.32,1387155.8,1790158.44,3010881.16,1345951.1,3105473.5,1835223.0,2264575.0
23,1494954.44,2299087.1999999997,1654055.72,1475240.5999999996,1923784.0399999998,3206230.32,1391396.4,3315552.0,1934534.0,2396268.0
24,1560719.06,2407144.82,1706339.76,1599944.0,2053896.86,3454885.48,1432589.2,3497235.9,2084099.0,2488421.0
25,1666929.6,2569652.84,1715047.76,1697416.3999999997,2081543.68,3613429.44,1497395.5999999999,3683023.4,2180682.0,2662115.0
26,1733243.5,2633670.5,1791916.0,1803864.9999999998,2103685.5,3810008.999999998,1527998.0,3844609.0000000005,2278947.0,2745127.0
27,1829379.8,2669138.56,1901472.12,1883792.3999999997,2132090.1599999997,4056755.8,1568256.8,4046278.6,2334543.0,2828180.0
28,1941855.4800000002,2733139.7600000002,1983435.16,2002177.7999999993,2247635.02,4266624.6,1688434.4,4218076.5,2400008.0,2923796.0
29,2020592.16,2864090.48,2045045.2000000002,2126232.5999999996,2405456.0799999996,4482650.12,1773376.4,4409240.200000002,2517118.0,3052598.0
30,2077897.16,2915220.24,2154815.92,2233743.1999999993,2516981.56,4668198.959999998,1775936.1,4558669.600000001,2604911.0,3231664.0
31,2173141.8,3017862.0,2184049.0,2250721.0,2628248.4,4920284.199999997,1804294.0,4723406.0,2688915.0,3399951.0
32,2189268.34,3082036.0,2249762.5199999996,2290571.2,2769319.0800000005,5145210.359999999,1831411.5,4877362.600000001,2701358.0,3564812.0
33,2240373.76,3210773.84,2336862.36,2319209.2,2880136.28,5342594.719999999,1845972.4,5053461.0,2800097.0,3681939.0
34,2285325.66,3373635.94,2426182.0000000005,2358757.2,2928086.56,5573395.159999999,1930814.2,5183803.800000001,2893774.0,3893864.0
35,2303171.76,3471764.9199999995,2508763.2399999998,2408416.1999999997,2996240.44,5807073.68,1991213.0,5294993.0,3031138.0,4069716.0
36,2326281.8,3641168.0,2607880.0,2441491.0,3085806.5,5999361.0,2068517.0,5460125.5,3125961.0,4212041.0
37,2363339.64,3804943.9599999995,2695118.96,2505060.2,3218584.52,6191857.76,2120339.4,5639033.0,3257809.0,4307892.0
38,2426442.2,3961823.7199999997,2816599.08,2604412.5999999996,3310584.62,6422372.24,2157422.5,5846607.5,3389797.0,4512338.0
39,2477805.48,4097824.52,2907765.1199999996,2683471.8,3384912.4,6630291.119999998,2246835.4,6029996.800000001,3515579.0,4660180.0
40,2542674.4200000004,4258776.159999999,2998231.04,2783500.3999999994,3478664.84,6841872.2,2321461.5,6187416.300000001,3670917.0,4812089.0
41,2649805.6,4394569.599999999,3099417.0,2917634.0,3680402.0,7060235.199999999,2457970.0,6373728.0,3798709.0,4982501.0
42,2734260.3000000003,4520400.66,3197896.7600000002,3007031.0,3756385.64,7281698.079999997,2568537.5999999996,6600454.8,3945007.0,5147058.0
43,2854932.2399999998,4648714.12,3273121.44,3122451.0,3942431.7199999997,7435113.76,2689091.0,6827203.6000000015,4045697.0,5362984.0
44,2973416.72,4791444.3,3308253.76,3202455.4,4040597.52,7645492.8,2815663.8000000003,6993866.100000001,4203604.0,5508078.0
45,3062456.7600000002,4947415.399999999,3322060.56,3320622.999999999,4186330.5199999996,7865948.399999999,2911353.9999999995,7155894.4,4305596.0,5662574.0
46,3125926.7,5111177.600000001,3345260.0,3440126.999999998,4336624.2,8127127.599999999,3037020.0,7369853.000000002,4421294.0,5822655.0
47,3225389.92,5247178.6,3379142.04,3570499.2,4453189.279999999,8316539.6,3142905.5999999996,7555194.200000001,4568982.0,5937711.0
48,3342833.8800000004,5357106.34,3401023.2,3650149.7999999993,4547135.04,8516019.32,3271987.3999999994,7793681.2,4679913.0,6120394.0
49,3456325.92,5455515.8,3424299.52,3803416.8,4715734.84,8714391.24,3366092.4,7957732.0,4871261.0,6295474.0
50,3556249.7399999998,5616618.119999999,3459846.080000001,3924019.7999999993,4908946.919999999,8911551.719999999,3432498.4,8183141.1000000015,5018777.0,6383555.0
