index,175_1_us.norton.com,175_2_us.norton.com,175_3_us.norton.com,175_4_us.norton.com,175_5_us.norton.com,175_6_us.norton.com,175_7_us.norton.com,175_8_us.norton.com,175_9_us.norton.com,175_10_us.norton.com
1,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,67.0,-442.0,67.0,-442.0
2,8007.599999999997,8532.48,7898.239999999998,8513.199999999999,5981.88,8464.719999999998,8442.32,8306.539999999999,4714.6399999999985,9034.200000000003
3,36061.2,36117.76,34319.759999999995,35947.8,19219.76,33586.96,34296.96,23532.88,19843.32,34595.08
4,42865.0,42214.19999999997,44925.08,40808.6,34241.28,44181.96,45090.24,44867.32,37254.08,45271.58
5,62729.99999999996,100960.56,66575.64,66935.6,45868.96,68360.44,64705.60000000003,64198.19999999998,43275.19999999999,66610.31999999999
6,111207.0,273526.99999999994,174382.60000000003,91313.0,52547.0,192576.2,236384.80000000008,118258.49999999999,70464.40000000001,193875.30000000005
7,340000.39999999997,380532.55999999994,361134.52000000014,172406.39999999997,159474.84000000003,376372.0,418640.48,282563.72,123175.88000000002,341204.76
8,378446.5999999999,447861.16000000003,412318.0,417254.79999999993,346161.80000000005,474392.8000000001,473940.72000000015,368839.3,225732.28,406259.42
9,467425.19999999984,482023.3599999999,489713.95999999996,465674.4,367115.2,505168.36000000004,530599.76,446089.19999999995,362973.1599999999,488336.36
10,502926.2,487183.3599999999,519710.04,493922.8,468684.0,548489.12,599880.52,497255.32,393928.28,502860.94
11,551385.0,543559.0,580985.4,489200.0,479039.19999999995,621968.2000000002,705898.2000000002,502650.2,476686.99999999994,547416.0000000003
12,671512.5999999997,675681.28,753557.96,650375.7999999999,532391.4,696388.1200000001,741183.6799999999,555788.9599999998,500368.04,669099.74
13,750076.2,739703.1199999999,898486.44,766375.4,595360.8,814680.96,792734.8,748324.6799999996,520347.32,751199.88
14,853331.2,867069.9599999998,988929.72,791867.0,687793.9199999999,924367.16,884312.32,904848.4199999999,532205.32,830510.9
15,1003276.2,1002452.48,1022324.76,890680.5999999999,808960.6000000001,1024367.6000000002,946878.6000000001,975167.04,534235.24,877911.76
16,1159144.0,1070653.5999999999,1117737.0,925937.0,914874.4000000001,1169155.8,1028741.2,1054556.3999999997,553398.8,892337.1
17,1228635.2,1206290.44,1165781.8400000003,939928.8,1075526.96,1221663.24,1090280.32,1279156.92,579320.44,917338.48
18,1309617.9999999998,1338841.5199999996,1234407.0800000003,950789.5999999997,1223648.8,1249093.2400000002,1182448.4000000001,1452826.1600000001,595199.7599999998,961114.62
19,1426550.2,1473596.1199999996,1295321.7600000002,1056643.2,1359181.2,1303399.04,1325634.6,1495905.72,663765.56,1023351.44
20,1483285.4000000001,1586817.8,1359810.08,1208675.5999999999,1472818.5999999999,1365274.12,1468024.8,1499852.02,705046.6,1072244.48
21,1522212.0,1697335.0,1437975.0000000005,1306719.0,1628673.6,1477134.2000000002,1658099.0000000002,1526414.5999999994,750338.1999999997,1138945.6
22,1527908.6,1905021.88,1480984.8000000003,1422861.4,1727034.12,1575271.2000000002,1745357.52,1715086.8,790540.4400000001,1202269.8399999999
23,1581353.4,2088408.4,1606911.6,1491879.7999999998,1913399.32,1660750.4000000001,1859392.4000000001,1911469.0799999991,896877.6,1259726.2
24,1613576.6,2140936.32,1759100.24,1645643.8,2068578.7200000002,1826651.2000000002,2037017.12,2046078.88,1026934.4799999997,1334586.0000000002
25,1704428.5999999999,2152285.6,1828969.3600000003,1726478.0,2106683.2,1880320.6,2179257.64,2068057.6,1141436.6,1423222.4
26,1830068.9999999998,2162676.0,1993766.0,1829915.0,2123196.0,1954630.0,2221959.0000000005,2151411.0,1290248.0,1530454.5
27,1931968.6,2205223.92,2065953.84,1889355.4,2127394.64,2112787.76,2241668.8,2161934.4,1370743.04,1664089.28
28,2024175.1999999995,2280570.0799999996,2208546.64,1993152.3999999994,2130988.08,2348184.5200000005,2328813.080000001,2195766.7599999993,1402641.56,1754090.7
29,2134947.1999999997,2371012.08,2291418.7199999997,2134232.2,2144602.2,2559316.5600000005,2468910.56,2250303.1999999997,1412367.48,1866679.6
30,2241961.4,2478493.5999999996,2444523.52,2235088.5999999996,2183560.08,2599759.8,2570607.92,2333437.1,1435249.16,2061518.9
31,2310352.0,2569589.2,2482362.0,2323662.0,2209203.8,2622151.6,2589559.0000000005,2420852.9999999995,1494943.0,2241047.3999999994
32,2458110.599999999,2576501.4,2600571.8000000003,2410455.0,2274330.12,2631681.36,2604305.68,2575662.9,1590517.4,2501138.56
33,2590708.0,2588523.28,2620257.4,2435354.2,2358327.2,2650456.56,2622908.0,2589811.72,1650922.8,2596253.88
34,2597801.4,2606112.3599999994,2638091.16,2443783.9999999995,2437239.2,2723219.7600000002,2642348.16,2600281.32,1760055.6799999997,2614627.82
35,2614550.8,2615789.12,2686109.6800000025,2546291.9999999995,2535234.32,2731823.8800000004,2673307.8000000003,2620321.96,1864291.679999999,2634678.56
36,2625446.0,2622477.8,2719700.4,2612630.0,2565524.4,2744293.4000000004,2765919.4,2679364.9,1975344.1999999979,2643666.1
37,2633755.6,2650433.36,2729677.84,2640768.0,2572585.44,2856556.72,2777909.24,2701519.16,2055057.12,2664404.1999999997
38,2694686.0,2696440.4,2735334.3200000003,2702328.6,2579741.04,2855156.52,2820899.4,2721641.92,2234151.8,2725855.98
39,2710245.9999999995,2714644.96,2799030.88,2711764.6,2597718.52,2880810.56,2845723.6799999997,2738454.5999999973,2290790.76,2750553.52
40,2729736.4,2723925.88,2857972.24,2730104.4,2614280.96,2902390.96,2844640.72,2841952.62,2372372.8,2844223.06
41,2734107.0,2773175.0,2866640.0,2739013.0,2620955.6,2923563.2,2852009.8000000003,2849693.6,2393399.4,2858701.2
42,2813109.6,2848548.44,2895180.44,2853901.2,2630070.96,2934469.76,2873517.64,2856369.06,2410974.92,2859827.36
43,2855268.6,2869735.44,2898590.72,2864729.6,2673342.6,2953919.28,2895039.4400000004,2864258.96,2426782.84,2859505.68
44,2854398.2,2885276.64,2902456.48,2870815.2,2707924.52,2969739.44,2908561.7200000007,2894908.6999999997,2434515.52,2872131.14
45,2862200.9999999995,2894091.48,2903116.36,2877722.4,2715630.84,3056333.68,2916870.96,2911398.96,2491296.12,2901895.96
46,2886368.0,2900364.6,2911639.6,2880747.0,2721189.2,3098134.6,2940888.6,2920251.8,2518227.4,2914390.3
47,2915714.2,2905952.28,2922594.4,2882836.2,2725271.84,3111471.44,2953920.56,2921248.76,2527026.12,2925314.84
48,2922823.4,2905537.64,2943638.68,2890928.2,2750491.64,3123957.08,2994213.08,2925785.2399999998,2538788.5199999996,2944566.42
49,2931066.6,2904535.24,2966903.4000000004,2892381.4,2807643.2,3135028.56,3017152.36,2934069.84,2545098.92,2988343.28
50,2944369.399999999,2926344.5999999996,3033658.2,2904049.8,2849785.52,3134269.0,3087122.28,2963982.56,2548211.56,3013952.1599999997
