index,188_1_www.python.org,188_2_www.python.org,188_3_www.python.org,188_4_www.python.org,188_5_www.python.org,188_6_www.python.org,188_7_www.python.org,188_8_www.python.org,188_9_www.python.org,188_10_www.python.org
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1560.9,1447.3999999999999,1436.34,2388.3000000000006,1368.3999999999999,1171.1399999999999,1351.02,3914.1600000000003,1585.0000000000005,1398.42
3,4042.8,3595.2,3631.68,5362.44,4013.4,4132.44,4055.64,6099.08,5354.0,3931.3199999999997
4,4537.3,5325.8,5418.82,8405.26,5348.2,6530.72,4308.800000000001,9491.399999999994,6325.999999999999,5493.66
5,8351.0,4931.399999999997,6032.44,11530.880000000005,4990.399999999997,8598.36,4379.48,17943.600000000002,8017.6,6322.720000000004
6,10981.5,8097.0,8224.699999999999,18146.200000000004,8391.0,15751.599999999999,6152.099999999999,35922.99999999998,17729.0,8333.499999999998
7,14438.6,9985.999999999989,11106.199999999995,17832.2,7633.600000000003,18238.4,8215.08,54611.96,17944.6,8790.800000000003
8,18063.5,17486.800000000003,17582.18,40992.78,15745.600000000002,26838.640000000018,15027.73999999999,86761.6,25879.8,17542.76
9,38429.20000000002,17941.0,18058.8,63699.2,18037.399999999998,51249.44,17165.16,124335.15999999999,31747.000000000004,18364.84
10,51046.60000000002,23265.199999999924,18135.800000000003,98468.68000000004,17847.6,76569.07999999997,18004.7,190422.19999999998,54155.000000000015,17876.600000000002
11,81656.0,51351.0,36632.999999999985,125351.2,25663.0,138057.0,17804.4,233762.80000000002,76477.0,41668.20000000006
12,146225.70000000007,52589.4,70858.88,142520.72,51634.8,201053.02,51752.0,260190.56,109281.20000000001,50519.6
13,184386.8000000002,66568.39999999998,111272.19999999997,177494.95999999996,52970.200000000004,202129.52,50805.08,294017.44,163112.80000000013,52923.799999999996
14,209764.6,108525.8,159536.78000000003,196097.86,78519.19999999997,223017.12,54043.899999999994,333217.95999999996,205944.00000000003,81113.56000000004
15,222624.2,147289.99999999994,177645.04,241054.4,114855.99999999999,235082.6,62808.15999999994,351181.2,226183.0,96745.68
16,232835.5,191891.0,189775.5,247947.00000000003,174338.0,273720.4,94876.60000000002,401010.0,254923.0,131111.6
17,293300.4,203814.2,194709.48,264137.04,182654.39999999997,302090.52,142390.88,421191.1599999999,269309.0,159452.00000000006
18,296328.7,204861.8,198019.62,272019.2,203060.4,331690.68000000005,173099.08,458333.8,271322.8,187634.1
19,297627.20000000007,208023.2,229095.68000000002,298773.72000000003,204503.2,354422.1599999999,181465.16000000003,472615.72000000003,305009.2,204276.96
20,329123.7,233290.2,258175.78,325693.74,226985.39999999997,382704.1,198964.74,473767.72000000003,308991.6,203198.38
21,359951.0,234847.0,287556.6,352916.80000000005,233584.0,399383.4,227552.99999999997,475913.80000000005,343046.0,205205.2
22,386768.50000000006,254072.19999999995,288782.14,393099.3,236136.0,419397.89999999997,235445.3,487957.72000000003,364982.8,205745.5
23,406261.00000000006,273976.79999999993,295575.4,422925.88,244643.39999999994,433429.64,240496.04,495656.96,404554.0,212424.52000000002
24,416989.7,315756.3999999999,311532.78,443715.94000000006,276136.8,447033.58,264284.68000000005,501058.31999999995,429506.8,233273.38
25,463536.00000000006,349790.59999999974,343943.8,459049.31999999995,280013.7999999999,462466.16,270290.64,516444.72000000003,438007.00000000006,257157.92000000004
26,466610.0,374569.0,370268.0,469673.5,314494.0,463446.5,272709.5,513644.0,454253.0,281367.5
27,469171.0,412473.0,384207.36000000004,470572.52,341611.99999999994,469582.2,274590.6,527550.6399999999,457306.6,304699.2000000001
28,472833.70000000007,413311.4,397188.77999999997,473529.86,363957.39999999997,472723.42,286402.48,537102.36,470921.2,332038.16000000003
29,478053.8,414829.2,398686.24,475324.16,374008.0,474385.83999999997,300954.04,538073.16,476955.8,363120.4
30,478737.3,438610.9999999998,408781.9,475731.18,401527.4,477522.38,305682.94,543761.88,479499.60000000003,388918.48
31,490141.0,462067.0,419746.8,486511.2,409390.0,478932.8,321631.2,543004.2,478690.0,408453.0
32,491577.4,470857.8,431646.67999999993,487924.54,412695.0,489178.28,323346.66,545096.96,488973.00000000006,411548.64
33,498439.4,472117.8,441364.48,501305.68000000005,428258.4,490186.44,324957.92,547957.72,501751.6,419066.36000000016
34,501574.3,473573.2,461597.4,503727.86,431276.8,500561.58,358932.89999999997,558694.2,502507.0,432031.16
35,505268.8,475193.8,471075.96,509580.76,437232.99999999994,504333.52,362526.92,559237.36,506635.4,460594.00000000006
36,516176.0,476308.0,481874.0,514045.8,453717.0,504319.10000000003,381560.5,571517.6,511322.0,463420.7
37,514336.2,478074.60000000003,481228.08,524995.72,455884.2,506207.36,408577.20000000007,576745.56,525838.7999999999,462401.80000000005
38,517237.6000000001,486622.0,482342.98,522832.74,464533.4,510815.48,440601.46,578193.48,523488.4,463593.16
39,532072.4,490909.2,484533.0,528898.84,463724.8,526746.88,440806.24,580490.64,523924.4,473082.28
40,536419.6,498839.0,492038.6,534838.72,472516.6,527931.94,461443.7,581569.76,540225.2,472481.78
41,538395.0,502336.0,501606.0,538968.4,474706.0,525623.4,472253.8,582004.4,544831.0,475485.39999999997
42,537652.9,502399.0,502567.76,547246.38,476658.2,534884.78,472986.36,584290.56,547350.4,475287.88
43,535167.2,502621.4,505049.2,544718.24,477461.2,539179.36,474728.84,591783.4,545018.6,483972.24
44,536845.1,507010.6,506531.88,545604.38,486268.2,544483.12,474413.89999999997,590996.9600000001,542981.6,485582.74
45,538163.4,517747.8,512645.28,549331.12,487057.99999999994,548684.84,479165.0,604421.16,550953.4,488473.52
46,551495.0,516389.0,521886.9,548597.2,493758.0,548009.8,484499.7,607008.2,553483.0,493338.60000000003
47,556370.6,516016.5999999999,520569.88,561754.84,493865.5999999999,549597.96,485725.56,627666.2000000001,564768.6,495103.2800000001
48,560514.2,524393.4,520303.92,567705.26,496740.4,555087.98,485318.96,645692.64,568917.8,499833.22000000003
49,559302.4,528530.8,523156.27999999997,577506.44,498513.8,559886.8399999999,484894.32,672489.56,573399.2,499628.95999999996
50,558287.7,533101.4,527158.18,576803.72,501495.2,574085.72,488061.98,707611.08,571856.0,500298.08
