index,198_1_siteorigin.com,198_2_siteorigin.com,198_3_siteorigin.com,198_4_siteorigin.com,198_5_siteorigin.com,198_6_siteorigin.com,198_7_siteorigin.com,198_8_siteorigin.com,198_9_siteorigin.com,198_10_siteorigin.com
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1462.2000000000003,1460.04,1572.1,1559.2200000000003,1511.76,1542.6999999999998,1414.22,1384.2,1500.84,1467.94
3,4106.2,3577.92,3746.6400000000003,4166.6399999999985,3996.2399999999993,4116.8,3811.44,3970.2,3848.1600000000003,3567.12
4,5607.599999999995,4926.04,5318.14,4265.959999999997,7102.04,4676.800000000001,5072.780000000001,5482.6,6369.519999999998,4861.44
5,8462.199999999999,8251.16,7368.680000000001,8287.32,10284.48,8452.0,7903.519999999998,4647.199999999998,10129.440000000002,8332.76
6,10251.0,7914.800000000001,8591.099999999999,10927.2,12755.400000000001,11271.0,8149.099999999999,8501.0,13067.4,7884.3
7,21450.999999999993,10747.52,11115.72,24506.88,14530.559999999992,11505.599999999995,10979.12,7635.800000000001,13972.6,10754.84
8,25578.6,19674.04,18885.28000000002,23083.24,15961.32,23034.300000000003,10881.22,10868.400000000001,16175.88,19670.580000000013
9,30800.599999999966,24564.92,22972.72,26917.64,19353.96,38856.8,23632.039999999997,22775.999999999996,18669.92,22731.12
10,59184.8,38157.84,36306.08,44337.82,32049.760000000002,56460.3,22479.98,23320.8,21930.199999999993,34868.619999999995
11,58943.0,40140.4,38237.8,45101.799999999996,30491.800000000003,56638.0,24248.2,24931.0,31244.199999999997,43151.600000000086
12,65084.799999999996,59254.52,55637.02,61430.399999999994,62183.84,62122.199999999975,39797.42,29049.2,32161.32,56346.20000000002
13,68634.40000000001,62453.12,56967.399999999994,63207.79999999999,64004.76,65800.99999999999,57255.12,40749.6,48320.4,59310.800000000025
14,68790.8,64321.52,63840.56,71554.22,64855.72,65403.6,60750.84,58013.200000000004,65797.31999999999,63351.38
15,114158.39999999998,68219.96,65391.20000000002,112217.72,70656.12,91008.39999999985,62302.56,59870.2,68188.2,66191.68
16,118257.0,75874.4,68642.39999999998,115696.2,76413.2,114897.0,66089.8,62683.0,78013.20000000007,66230.7
17,125265.2,83862.6,94005.56000000001,114527.76000000001,75282.68,116371.99999999997,67770.31999999999,71256.4,84602.88,86246.92000000003
18,159679.99999999983,115653.23999999999,115036.38,115800.86,100196.6,122593.90000000001,78482.92000000003,73128.4,85710.08,113717.38
19,223411.59999999992,117326.56,115416.76,123727.96,129899.72,144336.6,114688.36,81555.8,101020.31999999999,117571.56
20,266566.8,124141.04,122513.98,192325.24,129715.04000000001,171997.79999999996,117419.15999999993,83010.4,127863.20000000001,126405.66
21,317023.0,129683.5999999999,137786.20000000004,219838.19999999992,146363.4,207817.0,122577.4,90956.0,133830.40000000005,128991.80000000008
