index,19_1_www.amazon.com,19_2_www.amazon.com,19_3_www.amazon.com,19_4_www.amazon.com,19_5_www.amazon.com,19_6_www.amazon.com,19_7_www.amazon.com,19_8_www.amazon.com,19_9_www.amazon.com,19_10_www.amazon.com
1,67.0,-442.0,67.0,-442.0,-48.0,67.0,67.0,-442.0,67.0,-442.0
2,1665.8400000000001,1153.82,1620.52,1183.52,231.68000000000006,653.26,1587.68,937.0400000000002,1529.22,4457.0
3,3807.6800000000003,2291.44,4136.1600000000035,2338.84,2871.8,1258.28,4202.44,4402.400000000001,2449.4,17669.0
4,5979.4,5054.639999999998,5115.800000000001,7059.16,7227.62,2660.0600000000004,6967.6799999999985,6727.239999999998,4371.9400000000005,35974.0
5,8364.84,8522.08,10965.28,8516.72,18512.08,4719.0399999999945,9224.599999999999,11227.04,7214.16,59650.0
6,10197.80000000001,9870.9,12662.8,17722.0,24394.4,7189.7,17783.4,28753.79999999999,12653.800000000001,98609.0
7,10700.679999999998,19114.8,18157.56000000001,26200.16,36320.92,10003.52,29268.519999999997,48696.76,14919.599999999997,116134.0
8,13376.519999999997,36708.82,35729.96,35755.44,38552.380000000005,20896.04,28928.039999999994,46611.22,33797.68,186219.0
9,15587.720000000001,42220.08,33671.28,37260.16,43152.6,37883.31999999997,42443.44,73397.96,31620.56,304453.0
10,18138.040000000008,43090.98,36643.52,48881.28,71262.34,47534.18,61780.04,77649.58,46259.159999999996,326656.0
11,24297.0,62801.6,48819.200000000004,50105.200000000004,104656.0,56849.8,62191.8,81942.8,57173.2,331825.0
12,32206.080000000005,64285.42,53050.72,54254.12,105714.64,77882.2,66375.48,100620.82,87553.85999999994,336216.0
13,37282.64,66318.23999999998,95692.96,64149.200000000004,175029.92,100318.92,101807.23999999998,105042.36,94330.64,343961.0
14,40430.92,85132.54,101595.44,89199.80000000002,193674.36,101805.22,103420.84,139153.79999999996,94222.94,429175.0
15,47378.56,103278.92,104346.48,100733.88,208482.79999999996,105035.44,139777.03999999998,175648.08,103098.52,568547.0
16,54216.6,105815.70000000001,176676.4,104045.00000000003,314052.0,111453.99999999996,175137.2,175854.99999999997,102366.7,617044.0
17,70007.76000000002,115157.27999999998,177080.88,114318.32,315755.56,117534.12,179072.16,208800.67999999996,102283.12,622070.0
18,75453.36000000015,114599.2,181664.2,113457.4,318665.18,163318.7200000001,180127.32,254718.17999999996,171530.2,660631.0
19,108584.12,180677.80000000002,258350.8,161837.84000000023,321891.72,187296.56,204025.36,258981.4,178017.6,661335.0
20,113056.24,186094.62,268746.88,189478.2,324632.04,196267.23999999976,276482.51999999996,314476.74,177293.46,725035.0
21,116101.20000000017,184450.4,306238.6000000004,190159.40000000002,327907.2,213007.0,314043.8,316634.4,194931.19999999998,763433.0
22,183514.56,217897.48,317647.88,213869.88000000012,337028.25999999995,304087.44,315295.76,317709.84,217575.68000000002,771477.0
23,183191.68,253954.1199999999,318881.64,237635.44,340118.28,326318.56,318765.24,321158.64,308794.24,914842.0
24,211659.4800000002,285329.1,322292.24,265751.6400000001,351808.3600000002,328036.46,319933.64,322537.26,314251.98,917660.0
25,265437.24,325806.6,323536.48,314009.12000000017,473682.4400000002,332118.64,321532.56,324585.79999999993,315443.68,923859.0
26,318322.0,326322.0,324817.0,325458.0,608552.5,333422.5,322771.0,328445.5,316106.0,920763.0
27,319555.04,328885.68,328090.88,326778.36,611798.92,334561.48,326103.68,333359.28,320305.72,926856.0
28,322742.72000000003,330582.36,329407.04,328205.72,611786.58,337904.82,327265.04,334575.74,321748.36,939501.0
29,321558.84,331761.16,334038.04,329577.92,616440.72,339280.56,328848.04,339038.84,320491.6399999999,941645.0
30,325688.36,332913.72000000003,347533.52,332929.72000000003,614896.8,341030.54,333259.68,337772.2,324501.38,944223.0
31,326892.2,334688.8,346464.0,334262.6,621201.0,349563.60000000003,333697.0,427622.59999999974,326054.4,942058.0
32,329707.1600000001,335568.82,345670.2,335747.52,653985.66,358670.32,423505.0,511094.08000000013,330487.6,961659.0
33,331438.32,337253.68,358260.36000000004,339307.92,663595.48,356183.36,533337.64,579135.36,364158.52,966009.0
34,335883.6,339601.54,474382.32,343464.04,674184.26,384405.3999999999,573213.12,577617.06,363035.44,969134.0
35,340134.8000000001,336581.32,510939.08,350823.92,671819.7999999999,451112.80000000005,571457.72,580296.76,382078.7200000001,974697.0
36,348047.6,353937.30000000005,611632.0,352262.0,734440.6,498272.99999999994,576193.2,583310.2,481803.0,977430.0
37,346227.4,371298.96,650899.68,350882.24,752561.04,542781.36,579778.8,596853.16,583873.76,986516.0
38,399932.68000000046,370647.16,652195.24,382299.6,771180.6,597708.9199999999,610135.44,595281.16,603872.14,993887.0
39,417192.88000000006,370855.96,650666.56,489741.4400000002,776066.08,631666.88,618850.6,623901.72,604757.7999999999,998235.0
40,417493.2,369311.94,648870.88,588016.56,774445.9,632506.66,652621.08,659573.08,609885.16,1002378.0
41,426672.00000000047,369469.99999999994,651863.2,629235.4,844356.3999999999,633643.3999999999,652451.4,657867.8,618287.6,1009313.0
42,556298.88,448821.9199999999,657379.36,649123.1200000001,918404.18,638449.56,650261.36,655095.78,643592.38,1017335.0
43,657221.12,531090.56,662079.84,655157.32,920655.72,669822.88,652560.88,664037.6,644493.72,1031341.0
44,657521.4800000001,601835.4400000001,664620.4400000001,664626.8800000002,929490.8,671436.42,660903.12,666763.7999999999,646991.0,1036358.0
