index,202_1_www.warnerbros.com,202_2_www.warnerbros.com,202_3_www.warnerbros.com,202_4_www.warnerbros.com,202_5_www.warnerbros.com,202_6_www.warnerbros.com,202_7_www.warnerbros.com,202_8_www.warnerbros.com,202_9_www.warnerbros.com,202_10_www.warnerbros.com
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,0.0,-442.0,-442.0
2,1401.58,1385.78,1343.1200000000001,1368.3999999999999,1450.56,1486.28,2945.3999999999996,1557.5600000000004,1474.26,1488.2
3,3914.1600000000003,3965.88,4072.84,4013.4,3590.88,3645.76,6569.8,5248.400000000001,3558.48,4004.76
4,5266.94,5614.94,4129.52,5226.799999999996,5316.08,4574.679999999999,27334.399999999987,6559.000000000001,5284.18,5364.359999999998
5,6524.56,4964.480000000002,4601.88,4415.200000000001,6844.160000000001,8350.28,44135.88,7346.240000000002,6303.04,4326.080000000001
6,8494.9,8604.699999999999,8553.6,8559.0,11073.199999999988,7672.400000000001,74007.6,10015.199999999999,8221.699999999999,8516.2
7,10789.079999999993,7691.119999999999,8582.88,8006.599999999999,12150.12,15689.16,158660.79999999996,15489.04,16058.96,8101.240000000002
8,15927.18,16046.24,11714.12,15988.800000000001,16271.36,31956.080000000005,252357.71999999997,18180.36,19330.88000000003,15936.720000000001
9,33250.039999999986,17286.200000000004,15861.76,15949.6,17725.399999999994,85277.76000000001,361812.64,71010.64000000001,71365.20000000001,17184.039999999986
10,73069.51999999992,45358.92000000003,21040.840000000004,73300.99999999999,23764.679999999997,105663.72,468602.96,108991.44,107137.24,41756.6
11,106823.2,103916.6,80161.00000000003,106552.0,101616.79999999999,104480.4,486054.8,107851.4,106134.0,99026.39999999997
12,105849.54,105773.9,106853.08,105587.2,114310.8,105926.84,488095.32,109344.24,107495.86,107014.04000000001
13,107341.96,107159.84,106001.2,107206.8,115519.04000000001,106744.59999999999,505940.75999999995,127402.60000000002,112659.72,106160.31999999999
14,136112.67999999996,106206.62,107341.92,108337.4,114605.76000000001,110452.80000000002,597754.1200000001,180164.12,149644.27999999997,107803.24
15,159085.68000000002,107850.92,107252.56,118666.4,118625.96,167024.32000000004,725094.48,196732.40000000002,246563.96000000017,110094.28
16,241509.5,109914.29999999999,173515.6,136564.0,117682.6,217366.0,896374.8,212346.4,315931.5,109331.6
17,267930.91999999987,137728.92,186094.88000000006,171944.6,158242.19999999998,287803.48,1024239.16,258507.40000000002,341975.72,138373.24
18,317983.84,186133.63999999996,218453.6,209852.99999999983,229402.47999999998,375546.1600000002,1172559.48,303647.27999999997,406839.8800000003,158663.08
19,359409.55999999994,216888.48,220565.16,250212.8,309086.1199999997,454585.36,1176253.24,359267.2799999999,505687.72000000003,201295.07999999996
20,422091.51999999996,239920.60000000003,293261.9200000001,261825.99999999994,401268.6,547052.7200000001,1183931.72,393885.2399999999,535972.36,253194.39999999997
21,474953.4,310713.0,366898.60000000015,346904.0,483816.7999999997,620318.6,1196318.8,459569.0,586431.6000000001,290000.8
22,524213.39999999997,384774.4,453544.2799999999,390287.0,594365.2,713885.0800000001,1267052.2,518400.08000000025,652533.34,333483.63999999996
23,583235.64,437747.2000000003,523632.79999999993,447089.39999999985,704293.3999999998,757658.84,1273832.68,590802.5600000002,713027.68,393047.3999999998
24,648301.7999999997,524716.9200000003,577654.64,482965.79999999993,737419.92,775661.28,1274711.12,672696.6,766363.7,434903.2
25,704757.5599999999,589689.1200000001,636314.72,548256.3999999999,784583.48,774610.44,1278850.28,759217.8,768786.44,442820.12
26,766267.0,615781.0,686094.0,611662.0,782744.0,773483.0,1305065.0,772177.0,770566.5,441192.0
27,771909.32,696177.1199999999,752031.2,680540.5999999999,781346.52,774495.32,1371436.72,778678.44,777419.44,442975.56
28,774165.14,776127.88,756029.16,735344.7999999999,783048.76,776140.88,1436725.3199999998,778331.6,782134.88,443837.88
29,776428.04,775200.04,772587.76,773309.6,785001.72,776830.84,1478977.96,790513.6000000001,788183.32,488089.7599999998
30,777331.74,776635.42,777052.6,776334.4,787345.08,780308.12,1555470.08,818168.4,787886.66,555662.2
31,799524.0,775856.6,776798.4,776063.0,789292.8,786154.4,1651330.6,827724.2,790989.8,570144.1999999998
32,805611.38,776966.92,778217.32,776656.2,793694.84,785774.92,1731491.2799999998,826639.28,794431.54,638425.7200000001
33,807328.64,777753.6,777638.4,799709.6,793757.68,785631.96,1822602.96,829882.4,798104.12,706073.0
34,822956.16,779388.66,779390.96,804216.2,792662.68,798722.7999999999,1913702.1600000001,847846.3200000002,800605.48,742922.9999999998
35,825493.6,813608.0399999999,784826.28,803367.8,796429.2,811956.6,1945187.84,875919.48,805247.44,789958.36
36,825931.7,855300.0000000002,800481.8,802368.0,806513.4,850520.4,1944049.2,929245.0000000002,807042.3,840752.5999999996
37,901688.72,910137.4400000001,821155.92,806709.8,821381.6399999999,892359.6,1971785.12,985339.36,807325.52,918141.5599999999
38,953448.4400000002,959273.9,864838.1600000003,881231.1999999998,834532.6,931832.36,1988807.04,986690.68,810780.0800000001,954293.76
39,985177.64,974700.24,920504.9200000003,925422.7999999997,838299.7999999999,945870.8,1993755.08,992099.88,874410.5200000003,983225.28
40,986137.76,986475.2600000001,963803.4,982452.0,847266.2,955992.7200000001,2012352.64,994467.56,944256.4400000001,983145.5599999999
41,993419.3999999999,988610.6,983307.4,985349.0,934261.5999999994,989064.3999999999,2109012.8,1007927.3999999999,947236.4,985765.3999999999
42,1018108.7999999999,990662.14,985160.44,997753.6,952330.72,1007465.6400000002,2154587.92,1035888.6,971040.8,1016537.1600000001
43,1052591.4,1004869.48,999476.96,1032851.5999999999,1000019.6399999999,1065208.5600000003,2186820.04,1083190.6000000003,973673.72,1051717.24
44,1097631.0799999998,1024300.6399999999,1039413.1200000003,1072892.0,1030500.28,1085785.0,2241830.88,1119901.56,1013930.4800000001,1082626.96
45,1130739.6,1069032.9200000002,1105326.72,1107660.2,1061014.7999999996,1126097.64,2309275.64,1191829.4000000001,1044409.7600000001,1109269.7599999998
46,1145271.0,1090418.5,1158330.6,1175702.0,1117708.0,1179887.8,2388559.2,1231542.4,1095894.5,1142836.6
47,1159802.4,1139423.7200000002,1197137.0799999998,1219459.5999999999,1160649.8,1207875.64,2392859.88,1241444.6,1183013.52,1163487.16
48,1213387.6,1184980.0000000002,1219620.28,1219834.4,1188161.44,1227943.92,2441107.6,1259796.7999999998,1230951.08,1221704.76
49,1220082.88,1223793.6400000001,1225173.1199999999,1236359.0,1236113.76,1233927.2400000002,2466431.28,1290464.68,1257872.76,1226920.2799999998
50,1237866.1599999997,1230268.4000000001,1239704.56,1246688.9999999998,1258209.28,1245554.2,2481921.8000000003,1291927.36,1271309.4,1240478.2799999998
