index,207_1_java.com,207_2_java.com,207_3_java.com,207_4_java.com,207_5_java.com,207_6_java.com,207_7_java.com,207_8_java.com,207_9_java.com,207_10_java.com
1,-442.0,-442.0,-442.0,-442.0,-442.0,-48.0,-442.0,-113.0,-442.0,-442.0
2,1399.4,1423.9,1394.5,1682.92,1662.3799999999999,-91.19999999999999,1370.0,831.2399999999993,1611.82,1357.34
3,3029.7999999999993,3264.2000000000003,3509.0000000000005,4038.44,4083.16,-153.60000000000002,3438.9999999999995,1426.0800000000004,2688.8,4041.88
4,4166.88,3985.6400000000012,4132.7,4705.160000000002,4119.98,-129.59999999999997,4116.8,3638.6800000000007,3985.6400000000012,4668.859999999999
5,5130.28,5264.68,5310.2,4488.08,4507.160000000001,-274.40000000000026,4939.6,5496.84,4940.68,4588.16
6,6386.400000000001,6363.399999999997,6551.0,8298.6,8417.9,1400.0,6200.0,4523.6,6039.399999999997,7020.799999999994
7,8442.52,8673.48,8586.8,8523.08,8450.12,4013.3999999999996,8134.200000000001,8511.36,8349.48,8141.3600000000015
8,8160.3600000000015,8119.46,8193.9,14060.52,12363.22,4589.5999999999985,7565.599999999999,8499.68,8387.659999999998,14215.54
9,14067.08,13927.16,14185.199999999999,15466.96,15835.76,4698.2,13773.6,11252.479999999994,13603.16,15479.72
10,15362.48,15864.18,15549.7,16754.36,16393.48,8051.80000000001,15306.8,15384.159999999996,15540.18,16224.64
11,16277.4,16538.8,16430.0,16262.599999999999,15829.799999999997,8516.0,16014.0,16438.6,16214.8,16397.2
12,17315.48,16083.679999999998,16250.800000000001,22358.72,22984.56,10785.800000000007,16179.6,16220.68,15759.679999999998,22786.42
13,17225.199999999993,18470.200000000015,23125.2,24132.04,24338.64,15957.4,22634.8,16394.96,18146.200000000015,29219.56
14,23030.879999999997,22618.46,24516.6,43136.56,35310.14,16497.6,24037.2,22691.24,22293.46,42335.64000000001
15,25824.56,26306.48,26503.8,47173.4,53894.8,16627.199999999997,26125.400000000016,24129.88,23990.48,49528.479999999996
16,35468.99999999992,47283.7,48898.0,49468.200000000004,53031.7,23134.0,36115.0,38162.19999999995,42514.00000000001,56735.4
17,48817.799999999996,53668.92,54727.4,54577.36,54985.4,33542.6,48883.99999999999,47381.64,49107.76,56127.840000000004
18,48025.32,52990.2,56239.4,55552.92,59494.14,36344.000000000015,56326.200000000004,54906.8,54002.02,57347.8
19,50344.079999999994,54912.76,56118.0,89474.88000000009,63308.6,38734.799999999996,57875.200000000004,54107.4,54674.03999999999,67465.96000000002
20,59215.88,59683.36,60337.49999999999,125075.32000000005,105234.2,50337.8,59153.6,55963.64,56871.7,98455.48
21,58491.4,62070.6,63181.0,168936.20000000016,117249.59999999998,56449.0,73497.0,60084.8,59940.600000000006,135328.39999999988
22,62468.880000000005,61289.159999999996,102029.6,191074.92000000004,141930.56,59631.8,82591.4,63541.2,67931.04000000005,163846.39999999997
23,94644.72,96326.72000000003,119669.80000000003,194676.63999999998,166314.24000000002,78848.60000000002,82014.2,78652.84,82889.88000000005,195299.44
24,98721.2,99409.9,153069.99999999997,198295.04,196729.2,98543.0,89288.80000000008,116892.04,113085.28000000001,204541.30000000002
25,129172.07999999997,119742.64000000009,162089.00000000003,197847.72,200170.16,98285.0,134165.39999999997,126919.55999999995,133978.8,214752.63999999998
26,153312.0,149149.0,196791.0,201225.0,217827.5,151700.0,139596.0,142450.0,160114.0,216580.5
27,195384.08000000002,156247.88,208281.60000000003,210345.60000000003,223860.6,186542.00000000015,168794.5999999999,148683.8399999999,195281.84,222973.44
28,201917.4,160848.19999999998,216302.1,212525.56,224918.92,198609.8,178879.0,153479.48,214705.62,225269.56
