index,212_1_www.playstation.com,212_2_www.playstation.com,212_3_www.playstation.com,212_4_www.playstation.com,212_5_www.playstation.com,212_6_www.playstation.com,212_7_www.playstation.com,212_8_www.playstation.com,212_9_www.playstation.com,212_10_www.playstation.com
1,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,55899.4,85487.79999999999,19191.88,56280.999999999985,55534.24,55872.78,57293.32,90445.4,72336.08,19039.92
3,362097.6,444339.19999999995,180548.1600000001,486281.79999999993,286985.5199999999,447549.1999999998,461927.31999999995,392815.20000000007,512756.95999999996,191163.84
4,718911.0,725070.1,537360.64,725601.3,715910.96,731347.5,729917.3200000001,718305.4,735536.24,331201.24000000005
5,1010890.6,1146462.1999999997,731633.28,1176693.5999999999,1014954.8399999997,996920.0399999999,1180895.92,1034868.0,1405339.3999999997,601456.92
6,1680479.0,1787101.0,1158403.6000000003,1977141.0,1787930.7999999993,1779348.9,1716189.0,1945912.0,2129242.6,724868.3999999999
7,2158712.8,2315171.4,1790760.4800000002,2466059.4,2476645.84,2287354.56,2406424.4000000004,2555748.2000000007,2569483.08,776749.92
8,2625579.2,2687023.3,2257662.5600000005,2850397.7,2845385.12,2871416.46,2626943.16,3062902.6,2835774.0,936107.44
9,2871625.8,3358959.1999999997,2578201.48,3674778.6,3342528.6,3602373.7999999993,3395830.84,3639355.6000000006,3663790.4399999995,939540.32
10,3685075.5999999996,4173395.199999999,3197454.8800000004,4545517.1,4394637.639999999,4052028.3999999985,4387171.36,4424199.8,4482852.079999999,1105109.2799999998
11,4556514.0,5270977.0,4068276.4000000004,5498546.0,5281657.799999999,4665721.199999999,5193707.0,5183981.0,5130491.999999999,1605297.1999999997
12,5402847.599999999,5814292.999999999,4950018.24,6699990.7,6143794.92,5388131.12,5867101.88,6052869.0,6169835.159999998,1893767.04
13,6194650.599999999,6515212.799999999,5737049.48,7576004.799999998,7151670.520000001,6371196.72,6645714.760000001,6747974.2,6880140.44,2301040.0000000005
14,6861569.199999999,7254591.0,6499583.56,8455177.6,8119630.479999999,7288342.14,7604736.04,7259455.600000002,7711657.32,2579560.64
15,7584285.199999998,8114384.2,7241162.5200000005,9210315.8,9133528.24,8349538.44,8444327.24,8431639.0,8589623.84,2980163.36
16,8462863.0,8889288.0,8004028.800000003,10080243.0,9968639.999999998,9226364.9,9293672.600000001,9067932.0,9633673.8,3364301.199999999
17,9259901.599999998,9587852.6,8772750.760000002,10695350.0,10609380.639999999,10182746.719999999,9979886.72,9863853.0,10526213.16,3883400.76
18,10060761.2,10416425.0,9637083.12,11168161.2,11108876.72,11122086.58,10825294.88,10548370.400000002,11371225.52,4470290.8
19,10953371.0,11086150.8,10502320.16,11624300.399999999,11495802.279999997,11493240.399999999,11326026.44,11164339.2,12110606.159999998,4973364.319999999
20,11329519.6,11323759.0,11088946.72,12126130.2,12282793.78,12185308.639999999,11723906.6,11702375.6,12291877.36,5418287.6
21,11811090.0,11782029.0,11324147.6,12305850.0,12396532.8,12346690.6,12293241.6,12257470.0,12677673.2,5975890.6
22,12291293.0,12281404.7,11802900.32,12697385.1,13215367.12,12834425.319999997,12417433.48,12305887.6,13360434.559999999,6635663.040000001
23,12601042.799999999,12463990.4,12281120.24,13431542.199999997,14028002.92,13583536.879999999,13008736.48,12637297.400000002,14344706.639999997,7189174.56
24,13634829.0,13168431.199999997,12458110.320000002,14466132.799999995,15081935.399999999,14464541.159999995,13619426.16,13373923.2,15164621.2,7779168.88
25,14492770.2,14004504.799999997,12850151.280000001,15350415.999999994,15412572.44,15333148.52,14354121.040000001,14055463.400000002,15403345.36,8343998.12
26,15033116.0,14887430.5,13756881.0,15427733.0,15443525.0,15429751.5,15019313.0,14889831.0,15442708.0,8877580.0
