index,223_1_web.de,223_2_web.de,223_3_web.de,223_4_web.de,223_5_web.de,223_6_web.de,223_7_web.de,223_8_web.de,223_9_web.de,223_10_web.de
1,-442.0,-442.0,67.0,-113.0,-442.0,-442.0,-113.0,-442.0,-113.0,-442.0
2,4538.32,5171.68,4469.08,8598.24,8316.179999999998,8533.38,7829.240000000002,4907.44,4460.920000000001,5428.96
3,15560.84,15033.400000000001,8737.880000000001,32618.079999999998,36147.04,36409.36,32048.88,13055.80000000001,8137.6799999999985,7908.800000000001
4,36305.88,32009.84,31853.04,47572.7,95598.88,80292.28,47272.08,29762.679999999997,30833.76,32203.720000000005
5,46556.200000000004,46206.880000000005,36436.16,89645.48,143186.48,129620.72,117170.16,35631.80000000001,35992.36,35353.96
6,112704.60000000018,88498.2,46920.4,135683.4000000001,214835.60000000006,200614.1,147414.19999999992,47880.000000000015,46724.0,46812.0
7,132042.04,117345.68000000001,83378.44,167129.95999999996,286751.6800000001,230558.36000000002,225688.72,115483.64,96751.84,95280.88
8,195622.40000000005,144442.76,118486.23999999995,233236.84,396321.26,331960.48,291214.56,131702.08,119506.59999999999,119506.04000000001
9,220676.56,200526.24,143592.44,388933.24,579571.08,418157.39999999997,389991.24,150754.4000000001,133811.52000000002,142492.28
10,288986.04000000004,220425.2,184105.35999999996,448178.10000000003,638392.94,590872.26,558254.08,215521.63999999998,200705.36000000002,200575.04
11,386143.6,233469.6,219470.6,592378.2,681953.8000000002,644506.2,642403.3999999999,230442.00000000023,211954.6,220546.8
12,399151.72,299334.6,284681.68,644496.82,801685.26,689937.02,661585.92,354848.52,266296.88,285256.92
13,472088.7200000001,384714.24,363859.6,676876.64,809463.1599999999,699071.48,794225.04,391676.64,290976.08,302654.88
14,614006.6,399998.64,390851.92,695832.54,827831.9800000002,785106.0399999996,794768.52,442837.56000000035,375687.84,372654.52
15,640700.8,459439.96,484880.16,770967.1600000003,944936.2,816926.84,804284.96,555617.5599999999,390500.16,389777.0
16,658348.4,590476.8,578655.2,808047.7,1070200.0000000002,928295.6,823178.6,633111.8,445642.40000000026,450235.4
