index,230_1_www.msn.com,230_2_www.msn.com,230_3_www.msn.com,230_4_www.msn.com,230_5_www.msn.com,230_6_www.msn.com,230_7_www.msn.com,230_8_www.msn.com,230_9_www.msn.com,230_10_www.msn.com
1,-442.0,-113.0,-442.0,-131.0,-442.0,-442.0,-442.0,411.0,-442.0,-442.0
2,3590.6000000000004,1540.6,1371.56,1576.94,2277.5000000000005,1540.8799999999999,4095.2,1348.2999999999997,1368.3999999999999,3098.0000000000005
3,4708.28,4425.5999999999985,4004.76,5710.08,5008.599999999999,4149.92,4423.400000000001,5212.52,4013.4,5159.2
4,8185.76,6502.8,5333.999999999997,8794.82,8394.300000000001,4486.72,8404.9,7428.639999999998,5315.599999999996,8438.199999999999
5,13702.2,8126.4,4293.080000000001,17629.19999999999,13881.000000000005,8268.12,19031.8,14406.799999999996,4526.200000000001,15413.0
6,53332.6,18988.0,8497.2,26343.599999999962,21653.0,9722.6,45220.5,20011.100000000002,8684.0,23901.0
7,91136.12,34046.79999999995,7995.44,88971.88,98236.2,10690.839999999998,85433.59999999999,49756.35999999999,8145.599999999999,34259.6
8,91386.48,85273.6,19350.600000000002,89461.14,95815.7,22249.6,95408.8,58958.68,19586.0,37427.2
9,94646.44,82823.4,18880.2,92354.07999999999,96622.8,23284.4,98244.59999999999,79990.04,20587.799999999996,40452.8
10,98983.08,95482.39999999998,25598.6,96038.46,102744.9,31637.600000000064,101907.3,89101.78,40832.0,46866.4
11,103071.2,103167.0,36656.200000000004,106404.59999999999,106298.0,93548.79999999997,106277.0,95896.2,71416.0,79915.0
12,103384.08,104652.4,49652.91999999999,109484.86,108893.9,104218.52,107589.29999999999,99174.48,69958.2,108961.59999999999
13,117936.19999999998,109181.40000000001,62532.240000000005,111375.39999999998,110298.00000000003,102655.56,116419.00000000003,107361.56,68934.6,107956.79999999999
14,126319.48,107452.8,64007.240000000005,124043.36,124738.90000000001,103819.16,128205.00000000001,107880.8,70339.2,114569.00000000003
15,126577.12,117802.4,83197.35999999999,123210.4,127306.6,107840.52,126804.39999999998,128622.55999999998,96546.2,131759.2
16,124957.00000000003,125811.0,98279.2,129498.4,126437.0,113810.8,137245.0,130226.8,100046.0,132365.0
17,179097.80000000002,159633.0,99535.56,163602.04,146555.2,113269.72,180004.0000000001,127916.2,104336.6,132306.0
18,239213.83999999997,225515.99999999997,101460.52,230277.92000000004,222544.20000000013,115286.16,267820.9,145530.52000000002,103923.8,153487.60000000006
19,270410.72000000003,272989.39999999973,103103.08,306822.48,312893.60000000003,121212.84,292780.0,214627.20000000013,108222.2,219655.4000000002
20,312261.48,316445.6,107241.64,308939.94,368197.5,125954.84,369818.89999999997,289949.92,110843.4,294741.19999999995
