index,237_1_www.unicef.org,237_2_www.unicef.org,237_3_www.unicef.org,237_4_www.unicef.org,237_5_www.unicef.org,237_6_www.unicef.org,237_7_www.unicef.org,237_8_www.unicef.org,237_9_www.unicef.org,237_10_www.unicef.org
1,-442.0,-113.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,8508.2,9819.58,8337.1,8410.62,8077.0,8406.88,8279.58,8393.18,8477.56,8101.48
3,42318.4,84511.24,41843.8,39962.24,39384.0,46547.63999999996,38026.640000000014,70934.7599999999,33702.88,38269.83999999999
4,171192.80000000008,216631.97999999998,219318.9,248187.20000000004,162040.0,249014.16,167886.42,278499.24,196759.48,223975.36
5,303335.2,306667.08,302796.8,302438.4,302326.0,304949.08,300437.2,301875.84,300031.76,302066.48
6,354341.0,393307.00000000006,351925.0,346589.2,345520.0,347336.0,331026.60000000003,343389.1999999999,311347.8,339213.6
7,443418.4000000002,656503.84,560590.0,549712.16,412873.0,574122.88,436177.7200000001,553292.4,350740.7600000001,441454.9599999999
8,625384.8000000002,853672.8400000001,689229.7999999999,682866.7600000006,626490.0,705797.7999999999,597611.8200000001,674106.2,563420.76,524984.0399999996
9,771172.0,1032692.52,873026.6000000001,935935.6400000001,772405.0,968584.4,735549.2000000001,817702.88,674252.28,680140.48
10,1029706.8,1222068.92,1036701.0,1036549.58,977082.0,1036248.96,953145.04,1032795.64,843151.6400000002,816290.5599999998
11,1051853.0,1292203.4000000001,1103007.0,1157433.0,1049603.0,1170504.9999999998,1072106.2000000007,1209155.7999999993,1039742.0,1036631.2
12,1230518.8,1320179.52,1231075.1,1245206.9600000002,1221189.0,1234934.76,1223245.4000000001,1249928.92,1061867.48,1142958.88
13,1289387.2000000002,1424435.5200000003,1313389.8,1324352.8800000001,1284654.0,1323814.6,1306490.32,1328442.68,1200570.4400000002,1231073.04
14,1353800.0,1462099.34,1364194.4,1419069.64,1317343.0,1379691.4000000001,1321974.8,1445579.18,1265356.2,1307941.8399999992
15,1453642.0000000005,1476221.28,1434724.3999999997,1458864.68,1398662.0,1497322.7999999998,1451614.8,1535361.16,1371967.9200000004,1364142.04
16,1462281.0,1518892.8,1464137.5,1470409.2,1457581.0,1576010.7999999998,1460687.7,1571223.2,1457390.6,1456611.7999999998
17,1473856.2000000002,1555674.28,1586022.4,1508889.72,1468578.0,1587893.28,1469630.12,1584161.36,1467301.92,1465109.84
18,1512492.6,1675011.34,1593569.3,1600576.14,1497057.0,1625870.84,1499549.12,1610565.2,1590598.48,1585095.16
19,1573415.6,1687273.56,1622572.5999999999,1688177.96,1542033.0,1666738.1199999999,1567816.64,1687301.64,1602555.36,1595669.76
20,1606701.8000000007,1736007.96,1676001.7,1695784.46,1578829.0,1692911.0,1576274.0800000003,1693688.34,1626081.64,1623952.92
21,1697407.0,1834730.4,1685157.0,1725583.8,1636295.0,1701173.6,1694875.8,1699458.4,1635935.8,1642946.2
22,1726902.4,1908280.8800000004,1719896.9,1796575.02,1704451.0,1728100.88,1700339.26,1714694.06,1652125.24,1681413.52
23,1848923.0,2100037.64,1925024.2000000007,1923083.9600000007,1730893.0,1821160.8800000001,1729982.56,1808155.2799999998,1684323.04,1711993.08
24,1968043.6,2111375.84,2063211.2,2049648.3400000003,1853002.0,1927454.2799999998,1848989.34,1918186.04,1757301.4000000015,1908252.4
25,2090091.4,2124634.16,2074791.4,2095616.28,1921255.0,2063277.3599999996,1960106.7200000002,1980588.32,1953079.04,2067282.52
26,2097656.0000000005,2128453.0,2101953.5,2107692.0,2087996.0,2098164.0,2084512.0,2103126.5,2072480.0,2093071.0
