index,242_1_www.dmca.com,242_2_www.dmca.com,242_3_www.dmca.com,242_4_www.dmca.com,242_5_www.dmca.com,242_6_www.dmca.com,242_7_www.dmca.com,242_8_www.dmca.com,242_9_www.dmca.com,242_10_www.dmca.com
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0
2,4118.92,4109.38,4129.52,5224.600000000002,5308.12,4157.34,4159.46,4253.26,4153.9,4079.399999999999
3,8257.68,8334.32,8539.88,8383.44,7794.760000000002,8286.36,8260.84,8651.56,8657.6,8476.800000000001
4,16095.32,16272.98,18427.640000000003,18174.32,18305.83999999999,16026.14,15972.66,18511.18,16256.499999999998,16175.500000000002
5,21887.12,22023.68,38414.52,38112.0,37345.240000000005,18082.84,21816.44,23833.28,22177.399999999998,22146.2
6,38192.99999999999,39010.600000000006,49506.2,46884.799999999996,48949.4,45366.700000000004,45235.20000000004,45901.3,43344.5,25679.0
7,48961.64,48778.84,52993.920000000006,64508.88000000005,68736.59999999998,47162.16,49590.32,55957.67999999998,49343.8,52004.200000000004
8,76636.28,77018.44,109870.2,98889.08,100708.52000000002,53209.56,71255.29999999996,66033.20000000001,65340.000000000015,56843.9
9,109281.16,116837.6,123457.88,193934.47999999998,175448.48,81822.31999999995,113683.79999999999,116271.47999999998,105499.40000000004,91906.39999999995
10,174847.96,174419.34,202020.56,195280.6,195662.96000000002,159115.59999999998,170656.92,184087.18,161570.3,138221.5
11,226699.0,212389.6,201913.2,243060.00000000006,208243.6,195420.8,218521.6,205722.8,237721.0,198589.0
12,301781.03999999986,228159.26,258992.08000000005,314849.84,275277.2799999999,224523.81999999998,221143.42,236873.52,333512.7000000001,214384.79999999987
13,308614.96,232090.59999999998,315895.87999999983,347887.20000000007,358772.75999999966,239335.59999999998,273415.6,244650.84,359247.8,221398.0
14,358508.76,301314.58,379181.12,392376.84,427204.799999999,292112.7,296763.46,292963.2399999994,371131.80000000005,233471.9
15,388646.8,307098.8,385099.36,401092.08,473661.4,341252.44,310737.6,414686.64,376989.8,237282.59999999992
16,399352.99999999994,367257.99999999994,391795.2,443857.8,515289.8,364003.8,348605.39999999985,487624.89999999997,381347.0,283875.0
17,407445.48,413115.55999999994,422361.32,499063.92,524116.08,396984.6,403100.72,502334.3199999999,386726.0,307902.6
18,411325.04,481943.68,479718.76,511531.36,562660.28,425211.56000000006,448613.84,521597.77999999997,421338.30000000016,320284.49999999994
19,431861.36,495490.84,504519.84,512804.68,566198.8400000001,483654.88,454657.72,565153.16,433241.00000000006,367953.2
20,516957.3199999997,511100.62,556385.5199999999,566649.72,572921.76,487493.56,494721.82,573050.98,445115.2,475575.19999999995
21,571028.8,564182.0,569922.2,571132.6,685023.1999999998,500914.8,528365.6,579103.3999999999,489980.0,497021.0
22,575197.24,576507.2,667190.36,610571.9600000008,858045.6799999999,527384.28,551400.6799999996,581486.2399999998,566793.5,502920.49999999994
23,611193.5999999994,631067.52,825035.48,702968.4400000002,1020612.6,567697.24,563930.56,706795.04,675289.6000000003,509377.3999999996
24,778414.16,773881.7999999997,971912.36,922012.9600000004,1142794.16,571392.74,571032.96,855016.8399999997,816693.6000000001,563968.3
25,858788.7999999999,923656.9199999997,1103971.48,1090447.08,1148512.88,623811.6,617695.0,1032582.8799999995,1005515.2000000008,633101.0
26,1005402.0,1055612.0,1137903.0,1148494.0,1163713.0,725776.0,714999.0,1151822.0,1122538.0,772365.9999999998
