index,261_1_www.samsung.com,261_2_www.samsung.com,261_3_www.samsung.com,261_4_www.samsung.com,261_5_www.samsung.com,261_6_www.samsung.com,261_7_www.samsung.com,261_8_www.samsung.com,261_9_www.samsung.com,261_10_www.samsung.com
1,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,4053.92,1365.1799999999996,2521.4000000000015,5171.799999999999,3672.2000000000007,3304.999999999999,1941.7999999999988,4119.28,1300.5,4011.24
3,4543.44,5300.080000000003,4137.56,17609.0,5108.16,5259.599999999999,6217.32,4728.280000000001,5085.0,4460.56
4,8338.740000000002,6519.82,8595.16,48409.799999999996,8003.24,8645.6,7017.28,8267.74,6147.0,8095.259999999998
5,17167.6,8725.32,14461.200000000008,86704.4,12774.960000000001,17432.999999999993,9861.199999999995,17536.8,8235.0,17710.12
6,47908.3,17793.4,18718.000000000004,230863.0,12971.800000000001,26869.0,18534.0,48672.1,17360.0,48131.000000000015
7,48686.76,35780.76000000001,47843.68,396165.8000000003,24969.8,47641.0,48887.36,46783.92000000001,48196.0,67854.68000000001
8,50375.359999999986,47891.88,66767.72,560076.2000000003,56371.76,63042.99999999995,50009.32,50430.52,47205.5,104279.66
9,54752.79999999999,49756.72000000008,100460.28,667194.0,70675.92,84333.4,51070.48,55431.76,50142.0,171783.48
10,150014.59999999995,115742.52000000003,163476.92,768606.0,107543.12000000001,186865.19999999995,69694.88,107001.72,51421.5,225177.44
11,238277.2,210083.80000000002,267420.20000000007,796629.0,174941.8,244085.0,106771.79999999994,132495.99999999997,94203.0,308413.2
12,305806.13999999996,246508.22,395333.52,803200.6000000001,222785.08,315438.19999999984,147938.75999999986,180041.88,169321.0,422171.52000000025
13,428990.15999999974,304352.36000000004,503481.48,932449.2000000008,271665.16,369965.3999999996,224072.08,256736.88,260902.0,515323.04
14,533968.14,363790.6400000002,508589.76,1130491.3,379539.68,498157.0,310052.44,325021.87999999995,291917.0,518246.2
15,574108.72,481906.12,512968.32,1230657.2,515769.96,515382.2,359331.95999999996,368665.44,337677.0,612615.8800000001
16,608654.3999999999,482468.7,519436.0,1278993.0,516040.2,520345.0,434582.5999999999,448106.39999999997,413539.0,737251.8
17,608757.52,509664.88,519771.2,1414722.0,571022.7600000001,621244.7999999999,512343.4,519301.36,487815.0,793557.64
18,688972.96,514868.74,541935.4,1516767.2,694499.0,724751.0,528215.44,579198.56,514942.5,797490.18
19,757429.32,550226.12,608242.6400000001,1664506.6,776601.04,785693.0,562493.9599999998,613920.2799999999,545890.0,801053.2000000001
