index,270_1_www.transfermarkt.de,270_2_www.transfermarkt.de,270_3_www.transfermarkt.de,270_4_www.transfermarkt.de,270_5_www.transfermarkt.de,270_6_www.transfermarkt.de,270_7_www.transfermarkt.de,270_8_www.transfermarkt.de,270_9_www.transfermarkt.de,270_10_www.transfermarkt.de
1,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0
2,101620.04,95222.1,95128.11999999998,90805.20000000001,95937.4,98287.6,101085.8,90534.40000000005,97529.84,15036.399999999998
3,232239.6,243247.08,233028.19999999998,191663.0,155085.99999999994,235861.72,142524.96000000002,127853.36,237140.2,96954.84
4,404391.96000000037,307544.86,242574.56,238447.3,245851.2,266189.92,508743.68000000046,139114.48,243190.68,125872.36
5,557001.96,555196.16,542331.72,503202.0,357180.4,556589.48,560141.16,543424.48,556135.2,242169.12
6,587137.0000000001,569887.1,560511.8,556214.5,557851.0,570449.9999999999,594229.8,560452.4,579117.6000000001,250784.2
7,631021.9600000001,606010.36,616910.7199999999,584891.8,573425.4,617828.2,641760.4400000001,589024.04,615297.04,336365.88
8,821877.8400000004,619251.86,627313.42,608874.9,607019.2,668682.28,674928.2000000001,616985.48,660238.16,540811.72
9,1061522.52,670954.9599999995,672710.96,651925.4,645481.6,862986.12,693647.88,657361.4,897183.5599999999,558074.04
10,1334381.36,1092988.36,955992.02,803058.3000000003,677317.6,1035616.5999999999,1158635.0,831803.6,1050592.9200000002,593469.36
11,1510011.6000000003,1185610.8,1098918.3999999992,983495.0,906915.0,1352340.4,1314415.6,946802.4,1353933.2,615863.8
12,1732284.160000002,1510141.54,1319776.84,1176530.2,1077425.0,1506834.04,1453164.64,1180054.76,1408542.08,857627.5199999993
13,2145131.48,1610451.56,1513872.84,1379121.4000000015,1317461.4,1646789.36,1659900.360000002,1396405.7600000002,1626524.44,930768.7599999999
14,2220920.52,1962114.48,1650384.06,1504313.9,1412993.5999999994,2127667.04,1863243.08,1531850.36,2024175.76,1043084.72
15,2228392.48,2156192.12,1798632.4,1688868.6,1626258.4,2192169.9599999995,1874817.04,1741370.36,2165560.76,1152665.32
16,2295410.2,2233425.2,2177148.1,2101005.5,1703702.0,2253059.2,1956078.4,1752591.6,2188297.6,1346966.5999999994
17,2363980.12,2242516.28,2229625.12,2167624.2,2079177.9999999998,2299956.64,1959404.32,1812726.56,2633230.6,1571571.5199999998
18,2730406.72,2294877.8000000003,2259759.8,2227884.2,2219295.6,2362994.9199999995,2022625.92,2037167.7199999997,2678959.96,1861094.4
19,2757864.44,2342276.48,2287785.04,2261281.4,2241565.8,2391093.64,2095566.6,2141311.32,2737492.28,1938639.04
20,2793712.32,2385642.84,2361522.44,2308533.8,2259806.6,2415660.84,2718238.56,2157048.84,2764651.96,2006976.32
21,2827644.6,2398732.0,2369672.4,2358174.0,2308243.0,2456410.8,2769558.8,2175532.8,2812765.8,2079107.0000000007
22,2842709.36,2763159.4400000004,2403669.72,2374106.2,2366163.6,2474897.08,2798607.84,2188945.64,2840278.52,2132843.92
23,2859142.28,2785442.84,2419724.96,2398586.2,2625450.199999997,2493490.04,2825833.1999999997,2215550.64,2848983.12,2145876.8
24,2902370.92,2810519.1,2440883.36,2409549.5,2749781.2,2543598.28,2842970.48,2231651.1200000006,2884230.4,2158697.96
25,2917650.7600000002,2842161.48,2468619.28,2417324.4,2784634.4,2552230.64,2864782.84,2248788.84,2907514.12,2196658.36
26,2960843.0,2865840.5,2503104.5,2431518.5,2789280.0,2584262.0,2882839.0,2277574.0,2911809.0,2434038.0
27,3130137.9600000004,2910239.36,2523570.28,2660942.0,2808139.0,2592670.48,2929217.6,2298619.44,2938589.48,2573595.88
28,3157250.76,2909925.64,2526653.52,2838515.8,2868765.6,2608384.64,2943822.16,2319165.68,2981789.96,2576302.96
29,3296420.08,2989809.56,2605793.96,2840937.6,2873537.0,2720300.92,2966835.12,2330129.32,3017718.36,2583191.16
30,3315382.04,2990369.06,2618944.72,2860726.3,2955158.8000000003,2999912.28,2985189.04,2356350.6,3029146.44,2615835.0799999996
31,3364669.4,3034367.6,2646041.6,2894744.0,2997943.0,3008676.8,2990593.2,2365181.6,3120822.4,2717749.5999999987
32,3450069.68,3061618.2199999997,2668622.18,2915485.4,3115994.2,3034720.68,3100867.84,2408907.04,3173933.92,2807563.28
33,3608241.2,3082608.0,2715615.24,2929779.2,3129113.9999999995,3166355.36,3141493.36,2418250.52,3278798.8800000018,2850167.44
