index,274_1_www.sparkasse.de,274_2_www.sparkasse.de,274_3_www.sparkasse.de,274_4_www.sparkasse.de,274_5_www.sparkasse.de,274_6_www.sparkasse.de,274_7_www.sparkasse.de,274_8_www.sparkasse.de,274_9_www.sparkasse.de,274_10_www.sparkasse.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1535.4199999999998,1181.9199999999996,1300.5,1084.8999999999999,2397.2000000000003,1516.1000000000001,1568.18,1113.7999999999981,1549.98,1527.8000000000004
3,4125.28,4720.560000000001,4138.0,5253.2,5212.24,4180.4,4087.12,5224.079999999999,4108.32,5293.72
4,4612.14,6464.16,6498.0,7528.200000000006,6179.42,4700.799999999994,4239.919999999999,6374.320000000001,4199.120000000002,6019.88
5,8432.28,8512.08,8582.0,7530.599999999999,10790.800000000001,8195.6,8353.68,7999.5599999999995,8020.48,9941.36
6,12062.89999999998,16696.400000000005,16402.5,19853.5,20726.199999999993,18228.5,18319.600000000024,20360.2,14589.099999999995,16214.800000000001
7,19939.88,23093.239999999998,23262.0,23262.400000000012,24200.76,21536.399999999983,22549.280000000006,22868.320000000003,19718.72,24610.44
8,23381.43999999999,28057.96,27449.0,27686.5,28156.54,24251.7,24372.66,28097.28,24545.96,27765.04
9,28091.96,29410.20000000001,27851.0,55861.0,99353.96,27800.399999999998,28004.52,48730.639999999905,27788.4,62725.08000000001
10,34295.039999999986,99272.52,94187.5,89464.7,96906.58,71851.99999999999,57550.76000000002,98292.64,44416.03999999995,98071.84
11,92476.7999999999,97023.8,97345.0,87126.0,95718.59999999999,98166.0,98309.59999999999,96241.0,99063.2,95972.2
12,97703.74,94507.56,94989.5,94161.3,96712.26,96199.5,99431.22,96351.92,98420.28,95657.48
13,95736.32,97228.56,96353.0,99820.2,108599.44,96691.8,102017.16000000002,116213.48,98134.44,95849.88
14,95912.42,101999.28000000006,99424.0,104874.00000000003,142727.3600000001,111061.1,103762.80000000002,125838.64,98077.86,111170.84000000003
15,106712.75999999997,128082.08,109167.0,138557.4,165155.24000000002,110048.2,102210.96,132768.08,96454.56,142237.36
16,121687.8,132078.2,133820.0,171693.0,170594.9,123492.0,101994.3,133787.4,111968.3,148412.6
17,152191.95999999993,165691.12000000017,160772.0,177110.40000000002,189813.24,146569.19999999995,106043.23999999999,157648.56,124807.92,183865.16
18,173292.66,194084.24,182508.5,189839.8,196522.66,166100.2,133322.66,164159.88,126744.86,190757.28
19,180552.63999999998,193936.84,188982.0,193893.19999999998,207222.08,171839.80000000002,139726.63999999998,186848.92,137572.84,195019.28
20,189863.47999999995,207690.68,194031.0,197778.1,213911.3,195563.40000000002,206842.88,199532.76,137506.78,199254.24
21,191836.2,253282.2,202047.0,225437.0,222642.4,203177.0,211567.6,205908.0,167314.79999999996,200548.8
22,200696.58,255590.48,203803.0,236904.9,229241.72,211314.0,215469.18,212923.59999999983,203461.18,205689.63999999998
23,233907.27999999982,279829.56,225728.0,273260.4,232763.36000000002,214319.79999999993,217900.68,265690.32,203273.16,225606.12
24,253635.76,342526.12000000005,257351.0,277482.3,242542.24,229786.3,220191.14,295705.64,202913.26,247176.40000000002
25,260749.68,356018.07999999996,296008.0,322058.80000000034,250734.16,267105.4,220726.72,329152.71999999974,202285.84,253187.24
26,277665.99999999953,370721.00000000006,332136.0,366671.0,258527.0,303055.0,216568.0,373678.9999999996,237841.99999999968,255090.0
27,319107.92,384316.28,374124.0,371542.4,258262.6,315619.0,218706.64,372290.12,279527.5999999999,256085.96
28,355495.8,394250.88,374631.5,376133.8,313896.23999999993,313758.2,230224.2,372486.56,324283.19999999995,259686.52
29,365363.96,396303.16,372091.0,391055.6,417568.64,335510.0,239258.88,387075.92,368172.44,259765.96
30,362211.3,396020.12,380527.0,395350.7,432925.86,342871.79999999993,241705.40000000002,395912.12,368770.42,261710.56
31,368207.8,398140.2,394102.0,395574.0,456370.39999999997,382617.0,271828.0,393572.19999999995,366730.4,258849.0
32,384377.96,399343.27999999997,404554.0,394721.2,468027.75999999966,448494.69999999995,272616.32,407025.79999999993,408449.24,264211.83999999997
33,384634.6,403155.4,408219.0,397163.2,518620.4,514298.39999999985,341716.6,436595.04,449015.92,291746.28
34,402992.75999999966,413849.40000000014,412543.5,401084.5999999999,548515.8600000002,523734.8,402977.6000000002,436302.2,487801.98,352966.8000000001
35,437089.56,418149.32000000007,413579.0,434535.4000000001,568438.88,523329.2,481970.83999999997,505521.2399999995,487835.72,400354.9600000004
36,439854.19999999995,461338.40000000026,452914.5,487596.5,575379.4,526768.0,537264.9,517809.99999999994,515212.9,460020.0
37,463987.91999999987,536143.4400000001,521906.0,531449.2000000004,583150.6,526719.9999999999,534441.04,556568.1999999991,520163.44,511970.75999999983
38,475969.8,540599.4,539154.0,539560.9,661888.9400000001,536928.7,540572.84,581591.0799999998,528011.7599999999,548608.4
39,500751.1999999999,538670.5599999999,562292.0,581386.6,757275.6399999999,554556.4,546284.64,615565.6,529838.72,560825.88
40,525200.24,555515.6000000001,567329.0,611333.2000000001,800814.26,573795.3,550070.02,695441.8799999999,536341.24,587982.6800000002
41,526723.9999999999,579733.2000000001,581251.0,658190.0,813463.4,578486.0,555805.4000000001,796732.8,539705.0,648012.8
42,544905.06,588038.52,593803.0,742096.0000000002,820449.42,597498.1999999995,555605.32,800558.5199999999,550487.12,720269.5200000005
43,554108.1999999998,631101.4,659766.0,799168.6,826522.92,663370.5999999999,566711.6799999999,814812.88,556673.2,773651.88
44,571622.18,722139.1600000001,721963.5,801931.0,831143.88,738219.2000000001,586155.6800000006,850399.8799999999,582016.6399999998,776318.44
45,602016.7599999998,804145.28,789669.0,807154.6,836548.64,797346.4,675131.3200000001,882077.5599999998,675786.6799999999,807089.4
46,657738.3999999998,807631.6000000001,807359.0,816150.0,846948.5,807838.0,726020.0,936559.2,762075.8,817034.8
47,713523.5999999997,822112.04,814677.0,822432.0,874656.36,814589.0,780878.6000000001,937774.84,765923.88,829216.6000000001
48,772125.5399999999,823741.44,823584.5,827885.7,910794.52,823206.9,784964.74,949965.64,779424.5,863198.48
49,799544.2,843202.4400000003,828136.0,835193.8,932334.4,825595.8,798924.8,949988.08,781760.4400000001,903174.4
50,801804.4199999999,887231.7600000004,849951.0,843554.1,952311.8,827983.1,805108.14,949941.04,783849.88,941680.16
