index,27_1_www.ebay.com,27_2_www.ebay.com,27_3_www.ebay.com,27_4_www.ebay.com,27_5_www.ebay.com,27_6_www.ebay.com,27_7_www.ebay.com,27_8_www.ebay.com,27_9_www.ebay.com,27_10_www.ebay.com
1,-48.0,67.0,67.0,-442.0,67.0,67.0,67.0,-442.0,67.0,67.0
2,804.04,1205.2400000000002,655.6399999999999,303.39999999999975,1371.94,1396.24,2541.720000000004,2873.52,1748.5399999999997,1506.74
3,2720.5999999999995,4591.96,8298.2,6697.800000000001,4546.4800000000005,4727.76,6933.4400000000005,6102.04,4996.76,4857.32
4,5714.719999999999,13208.08,17594.079999999998,13182.8,7987.24,10343.18,17671.24,8650.900000000003,8530.74,12067.66
5,9008.280000000002,19136.399999999998,38387.56,18487.000000000007,12151.480000000007,18073.52,37130.24,18874.8,13128.200000000003,18410.48
6,18674.0,36518.6,34403.799999999996,32995.0,15262.999999999995,18828.100000000002,35876.4,21594.800000000003,19477.799999999996,20831.100000000002
7,32651.24,35655.92,41523.12,42514.799999999996,25162.64,19038.440000000002,43251.08,21926.88,22725.76,20851.56
8,37509.04,40723.840000000004,47416.44,43852.2,29359.180000000004,24516.159999999978,51921.76,29288.52,30254.04,36645.3
9,39664.119999999995,46949.03999999999,51766.36,43644.799999999996,33574.32,29951.48,54899.52,34216.44,37455.16000000001,42350.32
10,47833.56,50254.48,68189.68,51546.8,41563.640000000014,36517.98,66548.95999999999,44738.87999999998,44095.48,47723.44000000001
11,52530.4,69604.4,70021.59999999999,58167.0,49224.4,51029.0,76148.8,50596.799999999996,46623.8,69099.4
12,59009.92,69411.52,78365.12,65596.4,48624.020000000004,64108.86,81093.92000000001,56049.62,56965.939999999995,70689.48000000001
13,69889.52,69584.56,82723.04,70789.2,60116.28,65273.43999999999,86624.36,64465.32,60132.52,70456.92000000001
14,74465.31999999999,81608.44,86178.68000000001,78787.6,64298.04,75282.86,138018.7600000006,74910.15999999997,65406.94,76125.02
15,81511.04,82329.84000000001,134889.52,81181.8,68775.44,78336.31999999996,270278.6,79733.28,74187.32,82855.64
16,82831.4,86315.6,251688.79999999993,83859.0,74464.40000000001,83467.3,402391.80000000016,84510.79999999996,76903.80000000003,87068.9
17,86407.8,120336.27999999993,328180.24,84989.2,79158.84,92925.76,526680.52,90331.8,87350.04,100315.64
18,166050.28,196922.44,437605.9600000004,123626.60000000037,82782.28,101521.92,535320.2000000001,102206.64000000001,86488.7,190377.72000000006
19,268575.24,324725.4400000002,531619.24,161394.4,85497.87999999999,141636.8,556292.1599999999,103086.52,143647.0800000001,308609.60000000003
20,389816.2000000001,472609.52000000025,546908.2,160608.8,95452.80000000003,189484.62,603457.6000000001,115262.91999999995,280431.16,414585.63999999996
21,521383.60000000027,529954.0,561078.4000000001,211449.0,96887.8,226374.2000000003,653935.4,181220.79999999987,415208.4,514018.19999999995
22,534086.16,539052.16,608860.44,259223.8,100718.76,353816.3999999996,682883.4,252797.40000000002,520494.7,526058.92
23,548584.08,557053.28,649684.2,346381.8,105996.2399999999,497197.19999999995,689807.68,295932.8,528315.5599999999,552732.96
24,617663.28,566816.44,680228.96,439296.40000000055,182995.27999999997,547910.0599999999,692037.56,370302.75999999966,595435.22,565121.6000000001
25,625717.0800000001,583360.4,683512.48,504141.20000000077,217238.04,553450.88,693558.16,455823.92,615892.12,565624.2
26,644103.0,602147.0,685937.0,588865.0,223588.0,581668.0,758078.0,466261.0,644756.0,609614.5
27,659151.3200000002,601719.68,688851.68,610151.0,253158.2,642896.88,760742.12,525720.16,645681.52,650327.3999999999
28,676900.5599999999,603242.24,691878.96,625628.0,347430.68000000005,644451.48,783792.9600000002,571135.4199999996,652021.06,680263.14
29,681275.6,640645.36,742641.96,637511.8000000002,423235.60000000003,664218.2399999999,790373.36,625073.76,664025.4800000001,683501.04
30,686027.4400000001,691123.7599999997,777991.92,640520.8,504558.44,677569.5199999999,799154.04,649762.6,667096.02,685578.94
31,687479.2,700509.8,781593.6,665685.0,549960.0,679789.3999999999,846420.0,668289.4,685730.4,687675.2
32,695057.64,701583.28,787726.68,688299.2,581135.84,682633.46,876698.48,669563.08,687698.16,692811.46
33,715572.04,701100.68,796159.04,690463.6,615270.08,686258.32,875615.08,699519.56,690351.28,716395.24
34,721716.1200000001,706880.8,809292.44,692072.6,622712.78,745601.0,880995.04,702685.16,751357.6799999999,719521.74
35,759634.08,728438.92,870061.68,694889.2,664638.2000000001,750915.32,890119.28,704538.88,756658.56,756467.9200000003
36,790585.4,733774.9999999999,866354.4,723315.0,673786.8000000004,758798.8,893464.4,708220.3,761682.7,784618.8
37,796965.68,795282.16,872594.28,762117.8,688235.88,764027.72,901207.12,725560.72,784650.7200000001,791809.8
38,802383.72,800886.48,880802.04,764330.2000000001,691413.38,784188.14,904411.04,791950.36,787035.54,796995.4
39,857176.8800000004,805761.4400000001,884063.8,785860.3999999999,694152.76,788532.48,907460.84,792175.04,799165.2000000001,801380.68
40,872596.08,811543.84,891228.24,792522.8,714400.8600000001,858872.78,915138.12,795666.22,862747.08,816098.24
41,874829.4000000003,883798.8,896694.2000000001,798180.0,716081.7999999999,856402.8,934345.6000000001,801811.2,865465.8,880399.3999999998
42,886864.44,881124.12,900084.24,808800.4000000001,722002.34,856438.62,975506.92,807208.48,862857.14,882954.62
43,886658.68,881535.96,903052.84,867753.0,782524.32,863623.56,1038933.36,822239.6000000002,864019.76,885381.7199999999
44,896981.92,889801.24,917309.84,864718.8,786393.6000000001,867392.46,1069692.16,863419.12,872813.3600000001,888722.78
45,895848.72,894214.7199999999,950424.4,866373.2,791959.8,869066.72,1074716.04,901816.36,876322.72,893928.0399999999
46,902979.2,898070.2,970479.8,873626.0,797416.0000000001,875500.5,1081319.8,943569.1,880604.9,899810.5000000001
47,904336.88,901984.28,975821.2000000001,878108.2,866428.24,881529.76,1084184.36,941332.76,882568.4,902680.5599999999
48,908554.36,906886.32,1039906.84,885595.0,865582.1200000001,887093.76,1088369.84,949488.0399999999,891593.38,908261.02
49,918818.08,911594.84,1039399.2399999994,888779.4,866773.08,889230.08,1103930.16,955814.84,895381.76,914214.52
50,918723.04,914355.28,1073195.32,891444.2,874363.26,895302.98,1103812.08,959754.9,899911.0399999999,917906.46
