index,280_1_www.deutsche-bank.de,280_2_www.deutsche-bank.de,280_3_www.deutsche-bank.de,280_4_www.deutsche-bank.de,280_5_www.deutsche-bank.de,280_6_www.deutsche-bank.de,280_7_www.deutsche-bank.de,280_8_www.deutsche-bank.de,280_9_www.deutsche-bank.de,280_10_www.deutsche-bank.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1340.6,1363.66,1668.7,1412.64,1141.4799999999996,1643.42,1389.6000000000001,1335.6999999999998,1373.14,1343.1200000000001
3,3957.7999999999997,4026.36,4069.4,3824.2799999999997,1444.24,4080.2000000000007,3549.7999999999993,3998.600000000001,4000.44,4072.84
4,4128.72,5065.520000000001,4132.7,5269.36,3447.7999999999997,4088.18,4129.52,4094.54,5474.72,5123.24
5,4897.24,7101.08,4474.8,6400.64,3599.52,4770.5599999999995,5065.12,4916.679999999999,4326.5199999999995,4344.16
6,6192.799999999999,9910.500000000005,6235.5,8293.199999999999,5173.499999999998,6083.7,6290.6,6218.099999999999,8535.800000000001,8329.6
7,8238.08,13371.36,8450.8,11549.200000000003,4726.24,8231.52,8284.96,8297.56,8059.5599999999995,7938.4800000000005
8,8369.799999999996,12157.039999999999,13997.699999999999,17966.28,5020.359999999994,9204.199999999999,7896.4400000000005,8312.300000000007,16177.380000000001,16181.600000000002
9,16037.48,16418.32,17835.600000000002,18277.72,6020.96,15819.119999999999,16078.320000000002,16026.359999999999,17989.440000000002,17431.96
10,17949.440000000002,17022.1,18342.9,20259.12,8027.58,18372.360000000008,17511.92,18152.08,20104.039999999994,17782.24
11,18387.200000000008,21536.199999999997,19797.0,19936.8,7843.800000000001,19711.80000000001,18156.8,18890.400000000012,20750.6,18287.2
12,20703.88,25491.399999999994,20449.9,40030.32,10558.599999999997,20684.72,19687.68,20759.16,20481.339999999997,19911.84
13,20501.12,26945.680000000008,39472.199999999975,41761.68,15940.64,20486.28,20378.28,20390.52,40004.44,20256.24
14,34746.39999999996,27877.06,41694.39999999998,52446.43999999999,17753.66,40851.64000000002,20122.72,40985.36,43031.82,36237.64
15,40024.12,28201.64,42636.8,77188.28,18321.159999999996,41250.52,40723.48,40044.56000000003,68073.1600000001,40222.56
16,41741.2,28932.6,72808.0,83549.40000000001,18115.3,42667.9,41780.8,43074.7,85609.90000000004,41995.4
17,51836.56,28136.92,85995.6,83583.08,19748.120000000003,64513.08000000011,42723.479999999996,67692.88000000003,84647.92,74156.04000000001
18,77358.28,49523.939999999995,87572.79999999994,87730.72,20536.239999999998,85934.16000000002,85667.23999999999,86512.7,88509.72,78710.4
19,83521.08,50076.72,117010.39999999998,91722.07999999999,20235.12,84254.51999999999,86381.92,84532.08,93639.59999999999,84755.28
20,84635.68000000001,51288.66,144421.0,97599.55999999991,20411.94,86666.98,84216.24,86249.94,105759.98000000001,86113.28
21,87887.4,85285.00000000003,200058.0,137919.99999999997,39300.199999999975,97340.60000000002,86387.8,120936.0,154301.59999999998,94677.60000000011
22,88351.12,93332.3,259658.69999999998,149391.80000000016,39803.62,128927.04000000011,98877.03999999995,142412.12000000008,171994.46,130065.68000000001
23,87987.6,95017.88,269545.2,172773.48000000004,40619.55999999999,173518.76,108815.59999999999,181566.2,217038.40000000002,195833.36
24,105696.39999999998,100159.29999999999,271508.4,211349.36,42276.26,196258.2000000003,123387.28000000001,214595.64,228941.0800000001,231071.63999999996
25,152675.47999999975,132731.76000000013,273683.6,272324.24,60300.56,240061.96000000002,151441.68000000002,259767.40000000002,270080.28,270143.88
26,192259.0,191523.5,276621.0,273085.0,62151.5,270550.0,221358.0,270845.5,271197.5,270217.0
27,269596.5199999998,253186.3599999999,277274.4,274931.56,86089.16,271459.68000000005,267555.36,272696.76,272994.56,272272.08
28,275198.28,279393.32,280193.9,278155.32,84247.94,272330.06,271663.64,274996.44000000006,277232.76,273312.8
29,301024.8399999999,279649.92,284120.4,278479.68000000005,86339.43999999997,276736.92,299882.75999999995,278655.6,279156.04,278259.24
30,327136.64,281228.26,283721.3,282403.36,86508.98,278658.66,332438.48,280331.66,324010.80000000005,281531.12
31,333616.4,285534.6,313657.0,283455.4,90177.59999999995,278512.0,332352.8,314928.39999999997,327127.2,282000.4
32,335127.8,287711.58,316631.7,282941.32,104199.98000000001,281652.18,334344.12,317692.86,328710.22,285581.04
33,334425.56,286076.96,315108.6,288212.4,127200.47999999995,285490.4000000001,338637.96,325316.32,330275.48,284285.92
34,338144.44,298679.72,319179.5,306468.08,151499.62,322817.92000000004,340358.04,327550.22000000003,331612.06,288276.52
35,341445.6,331575.8,335002.3999999999,311779.48,189305.08,326895.12,339871.64,331129.36000000004,335869.8,317039.9600000002
36,346499.8,336409.4,358938.0,389995.3999999999,211057.79999999973,326988.7,339165.0,330468.9,343787.39999999997,336203.6
37,382757.12,339319.08,383916.6,397078.68,243412.79999999984,339588.2400000003,344468.72,336341.44,361385.07999999984,337477.28
38,382149.72000000003,340304.48,383776.6,403956.44,270365.51999999996,366846.16000000003,346607.56,358385.98,386291.6400000001,342885.76
39,383351.96,338336.08,399393.6,405063.32,270582.27999999997,374595.12000000005,353006.5199999998,371562.16000000015,402416.24,343710.72000000003
40,394769.88,347205.76,400907.3,407078.48,270545.56,397045.28,375742.27999999997,385850.34,405994.24,344057.92
41,395515.2,370728.6000000001,405170.0,416661.6,272296.8,402449.6,377719.2,387391.4,406490.8,352810.4000000001
42,394199.04,381919.1599999999,405501.9,417027.08,272001.78,403632.77999999997,379279.64,401069.4,406171.88,375266.92
43,395641.24,405841.12000000005,406084.0,417800.16,276840.32,405212.64,383727.04000000004,401391.12,406654.12,382182.8
44,399587.56,410633.95999999996,404569.8,414954.72,277771.63999999996,405455.72000000003,390989.0399999999,404934.84,407811.88,381393.0800000001
45,404246.36,413979.16,406108.8,421649.04,278599.28,405667.27999999997,401412.76,406259.83999999997,419233.76,400697.68
46,407108.39999999997,415040.8,406623.0,455032.6,279622.1,416959.0,405294.39999999997,404558.4,452721.9,407657.80000000016
47,408939.28,413771.32,408752.2,456998.44,280951.12,419953.92,407652.48,406247.52,454404.44,422582.32
48,410341.96,424946.39999999997,421472.99999999994,461370.36,296332.16,418846.14,407565.32,405269.94,458337.25999999995,454381.16
49,412070.16,425306.44,444794.1999999997,460922.68,318120.31999999995,434224.5200000002,408440.96,418211.4,459609.68,454780.04
50,413766.0,427118.74,453424.3,460882.16,326682.72,451984.32000000007,408556.6,431105.26,459514.16,455604.92
