index,290_1_www.commerzbank.de,290_2_www.commerzbank.de,290_3_www.commerzbank.de,290_4_www.commerzbank.de,290_5_www.commerzbank.de,290_6_www.commerzbank.de,290_7_www.commerzbank.de,290_8_www.commerzbank.de,290_9_www.commerzbank.de,290_10_www.commerzbank.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1192.7000000000003,1483.76,1983.2000000000016,4000.44,1557.300000000001,1391.0999999999997,1179.56,3098.0000000000005,1446.500000000001,1052.5599999999995
3,3258.8,4101.96,5361.88,4314.5199999999995,5421.64,5731.72,2324.52,5287.2,5378.4,5364.360000000002
4,6986.2,5438.680000000001,6163.02,8055.5599999999995,6194.06,6701.62,3574.12,8549.4,6122.1,6136.159999999999
5,7837.9999999999945,8536.56,9161.800000000007,16639.480000000003,8549.400000000007,8283.44,9261.199999999995,14679.199999999999,7834.0000000000055,8000.4400000000005
6,16366.0,14662.6,15919.7,21617.6,15938.1,16468.0,14106.8,18307.0,15853.5,12299.2
7,17990.19999999999,18360.04,19272.04,37909.52,19284.12,20032.56,17937.36,21711.2,17912.2,19240.16000000001
8,21414.2,19875.92000000001,23795.559999999998,35294.84000000002,22857.48000000001,21266.500000000004,21707.92,38619.799999999996,19711.100000000002,21436.56
9,33061.19999999998,25058.760000000006,37026.32,43569.96000000001,37339.28,32126.56,29777.959999999995,37548.00000000001,24986.00000000004,36914.759999999995
10,36262.7,36171.08,41648.64,63420.16,35173.58,32516.84,36650.04,46382.60000000002,36758.9,34990.36
11,36990.0,39425.4,39895.600000000006,118843.99999999999,40161.59999999999,37857.599999999984,37198.200000000004,51359.0,37313.0,39792.4
12,44363.9,41576.20000000001,45710.96000000001,170920.7600000001,44273.38,41903.1,42203.880000000005,80883.6000000001,43844.799999999996,46190.24
13,46072.6,50713.92,51931.76000000009,212685.04000000007,60596.28000000002,44342.92,46553.96,125487.40000000004,43754.4,57776.88000000016
14,49993.79999999995,82688.08,91642.72000000002,272290.24,80659.16,60973.59999999999,64533.2,131169.00000000026,46089.899999999994,89815.68000000001
15,80097.40000000001,132749.60000000006,103275.04,295707.0,107239.35999999999,84673.79999999997,73655.56,178675.39999999997,54780.400000000096,129542.4
16,122755.0,176222.4,117342.20000000001,325407.0,125333.70000000007,111781.00000000001,93267.19999999997,220987.0,83362.0,151901.2
17,138958.99999999997,190559.96000000002,146311.96000000014,392036.4,155740.84000000003,150423.24,123808.92,237687.4,94652.00000000001,173267.16000000024
18,177399.89999999982,220934.56,174565.06,442425.63999999996,196444.08000000002,198546.15999999997,158118.59999999998,266916.0,116970.30000000013,234783.16000000018
19,224919.59999999992,252015.67999999996,210802.80000000005,495643.7999999999,215397.4,221469.72000000003,186839.15999999997,291580.0,151523.0,279001.56
20,262371.3,259206.92,241884.0,536973.92,231285.70000000004,256931.8,232738.51999999981,318763.39999999997,190454.50000000003,299665.4
21,277835.0,298920.39999999985,265248.60000000003,580717.3999999999,264448.60000000015,304989.0,268904.8,375261.0,221440.0,321080.0
22,302608.5,325319.0800000001,291043.20000000007,618620.3200000004,281050.12000000005,339034.2,312275.92,419629.00000000006,277775.5,344233.76000000007
23,357685.99999999977,341537.2,309632.04000000004,730793.9200000002,307503.60000000003,378788.2,342997.6,478163.80000000016,292858.80000000005,385109.0
24,397180.19999999995,359201.96,366176.02,806348.5200000001,332348.3800000001,435364.48,388033.39999999997,479563.2,344352.7,435669.0400000001
25,480082.79999999993,387624.20000000007,436281.3600000002,879801.64,384655.4,479060.44,430941.56,500652.80000000005,388405.0,481243.32
26,490278.9999999998,420638.0,477002.0,883701.0,453241.0,500431.0,480809.0,536272.0,411852.0,479883.00000000006
27,508262.8,466227.36,524271.20000000007,887802.4,479555.44,542031.48,498880.24,585821.0,463906.0,516863.68
28,508046.1,478643.92,553479.0800000001,918104.2,482972.76,585251.9,536482.8,629393.2000000001,482888.80000000005,600354.4
29,554598.2000000001,517482.80000000005,576749.84,992191.6000000001,495355.72000000015,617802.36,554443.2,648413.1999999998,527203.8000000002,622919.92
30,592090.2999999998,556499.72,613577.4400000002,1070174.6800000004,523796.70000000007,650689.5200000003,609270.6399999999,691144.4,535856.0000000002,657149.24
31,623718.0,562839.2,677893.6000000001,1157601.8,550257.2000000001,691313.8,622373.0,722270.0,560138.0,700566.0
32,660771.7999999999,641601.7599999997,720858.7400000005,1199245.4,571870.3,726376.78,682857.8,780190.2000000003,634544.5,762830.6000000001
33,702573.3999999997,719070.3200000001,799819.52,1266163.96,633295.0800000002,760858.84,718400.4,814383.0,664443.0,791322.8400000002
34,748535.5,788137.08,856891.3,1355578.36,705817.9000000001,784615.08,784830.52,843576.6,676347.5,844154.6
35,802479.3999999999,809410.0,875993.04,1400471.64,758026.0800000001,822273.4,842864.0399999999,879429.4000000001,732729.6000000001,892969.4
36,851151.5,838048.8,881729.0,1424612.4,847711.4,882056.8999999998,876732.0,945295.0,772871.5,935659.6000000001
37,910480.4,882684.8,910709.2000000001,1427515.64,885929.48,922797.04,885597.8,986076.0,817549.0,968617.2000000001
38,943743.5,899618.9600000002,973219.8000000002,1430616.88,883402.4400000001,948376.34,932066.9999999998,1015033.6000000001,854753.5,1008455.2000000001
39,965477.7999999999,929822.1199999998,1022400.8,1432865.56,926630.4,993885.64,975687.08,1071573.4,931870.6000000004,1045279.2400000001
40,992542.2999999998,1001553.88,1066772.2400000002,1436837.4,946947.7000000001,1024886.9,1012190.6,1110796.8000000003,985732.8000000002,1077315.12
41,1031034.0,1044936.4,1121238.8,1439165.0,962540.0000000001,1059885.4,1063142.1999999997,1151009.0,1053467.0,1104031.8
42,1053600.5999999999,1097832.6,1171992.22,1442046.12,994717.0800000004,1094247.42,1104342.4,1189791.6,1122473.8,1140367.6
43,1077181.5999999999,1146898.8000000003,1218324.4800000007,1443949.56,1025913.0800000001,1130987.08,1134926.0399999998,1220677.4000000001,1176946.4000000001,1205590.4400000006
44,1117218.2999999996,1164297.8,1263397.3,1447569.16,1053632.2800000003,1192910.6,1168855.2,1301131.2,1209547.6,1265613.6400000004
45,1152923.0,1184265.4000000001,1361605.12,1450099.32,1117296.8400000005,1238625.96,1193579.5999999999,1368753.6000000003,1255033.2000000002,1305304.68
46,1208831.9999999998,1211677.5999999999,1386824.3,1452743.0,1138184.9,1301591.8,1211560.7999999998,1388972.0,1265655.5,1332528.8000000005
47,1270631.0,1276651.1600000001,1392303.1200000003,1455375.72,1158743.6400000001,1373947.4799999997,1218379.8399999996,1413053.8,1327309.4000000001,1366751.8000000003
48,1337255.0,1340555.52,1414143.18,1457333.72,1180106.2,1390902.38,1277577.8,1421025.5999999999,1368615.5,1392188.3599999999
49,1389107.4,1384185.12,1416232.28,1461430.36,1214629.36,1394896.6,1331515.2,1424797.2,1393121.4,1415845.4000000001
50,1392857.0,1399868.04,1417835.04,1462024.68,1224807.7000000002,1417501.6,1371078.44,1427011.6,1418655.9000000001,1420895.56
