index,297_1_www.dhl.de,297_2_www.dhl.de,297_3_www.dhl.de,297_4_www.dhl.de,297_5_www.dhl.de,297_6_www.dhl.de,297_7_www.dhl.de,297_8_www.dhl.de,297_9_www.dhl.de,297_10_www.dhl.de
1,-442.0,-442.0,-235.0,-442.0,67.0,-442.0,-442.0,67.0,-442.0,-442.0
2,1325.74,1355.76,-496.2400000000001,1595.6,1521.32,1358.92,1588.2,-273.7599999999999,1351.02,1505.3200000000004
3,4110.68,4045.3199999999997,1511.56,1462.2000000000003,3765.7200000000003,4038.44,1354.3999999999999,1605.9600000000003,4055.64,4097.72
4,4328.4,4574.4800000000005,4142.44,3948.6,4373.319999999999,4677.880000000002,3894.8999999999996,3805.4399999999996,4357.100000000001,7131.36
5,4747.68,4547.24,5481.08,4106.2,8196.28,4426.08,4148.6,5517.04,4724.48,10242.16
6,6192.7,8514.800000000001,5128.799999999999,5156.0,14883.2,7081.400000000012,5137.5,6748.400000000001,6505.099999999999,12280.599999999988
7,8552.28,8584.24,6243.720000000004,5507.599999999995,36302.8,7914.6799999999985,4632.200000000006,8606.32,8576.08,14391.399999999998
8,7981.620000000003,15923.240000000007,7958.840000000005,6724.199999999991,55070.68,18207.28,8481.1,9435.199999999995,17442.65999999999,19174.799999999992
9,18462.04,18524.280000000002,8455.960000000001,8378.199999999999,55121.64,31856.960000000014,8393.4,18074.92,24975.679999999997,39923.99999999995
10,19650.899999999998,54829.88,9420.300000000003,8325.999999999996,58128.2,55037.04,8150.000000000009,39042.43999999998,53380.76000000001,61346.56
11,28043.999999999993,53150.2,18036.199999999997,15033.0,64392.19999999998,53179.6,14364.0,54666.200000000004,54833.99999999999,65104.200000000004
12,51472.43999999996,60769.08000000002,30156.78000000002,17964.399999999998,103568.43999999996,54876.12,25996.200000000008,54281.59999999998,56907.22,66469.36
13,53938.96,73102.8,49160.12000000001,31887.199999999983,113235.64,56795.32,32449.000000000007,59717.16,59984.24,72097.4
14,55206.9,75086.96,53938.619999999995,54936.4,145042.52,58492.96,42232.8,59021.119999999995,65602.34,90414.43999999993
15,57342.36,85436.68,53111.64,53412.8,166972.91999999998,74503.47999999998,54399.200000000004,79429.08,77367.47999999997,96204.79999999999
16,59007.4,100609.00000000001,54962.700000000004,55116.0,167113.8,94695.0,53353.5,87328.19999999981,93322.0,125169.99999999997
17,60393.19999999999,119746.44,59062.48,57250.6,184604.8,99579.60000000002,63059.200000000004,127115.91999999997,126517.35999999999,134196.72
18,79800.81999999999,132357.80000000002,58607.92,56828.799999999996,189013.96,118198.00000000001,66890.1,148036.6,147541.99999999994,168523.8
19,90780.91999999998,143451.72,60689.04,60117.8,209380.36000000002,149687.88000000018,73095.00000000001,165933.52,162224.24000000002,195360.6
20,100331.89999999998,153306.28,85448.30000000002,61455.4,233734.32000000004,168915.76,75427.7,175146.48,174278.28,206364.59999999995
21,127757.59999999999,163747.2,92669.20000000001,72259.0,245105.6,184347.20000000004,93781.0,183412.59999999992,189351.8,226430.59999999986
22,168221.9999999999,165738.52000000002,106977.7,84535.99999999991,265167.76,188298.64,99719.60000000002,210954.16,189018.94,272751.6399999998
23,181652.4,173834.91999999998,118462.64,100584.99999999997,267730.6,212360.28000000003,120538.40000000002,224556.31999999995,197213.83999999994,302426.8
24,189526.11999999997,188230.2,136642.8000000001,104608.4,289124.32,233156.75999999998,135438.1,239565.0,230233.12000000008,329016.51999999996
25,211229.44,210372.76,143976.64,120781.99999999997,309248.8400000001,233409.52,138144.00000000003,248462.68,270887.2,353648.8
26,228599.5,224650.0,160318.5,141542.99999999997,332519.0,243158.0,155409.5,294878.0,305281.5,412577.99999999994
27,256265.52,278779.51999999996,181276.28000000003,154243.4,352501.8,262229.80000000005,157572.6,331344.5200000001,332267.9199999999,449818.75999999995
28,275426.4599999999,326833.04000000027,185338.72,182541.79999999993,372008.6,275877.16000000003,164543.90000000002,340991.75999999995,369240.48,482222.68
29,281990.96,345551.36000000004,188277.28,189465.19999999998,391998.32,311625.12,181083.59999999995,352968.92,414032.72,489488.15999999974
30,305901.7599999999,380308.40000000014,188556.54,188163.99999999997,420453.2,321952.48,189494.4,375247.12,445133.14,542933.96
31,321139.0,403287.00000000006,201453.8000000002,197497.0,428606.3999999999,327705.6,188933.0,391468.19999999995,452086.0,557434.2
32,357278.4799999999,412327.64,233723.97999999998,218849.39999999994,438007.80000000005,341060.24,192388.20000000004,413284.39999999997,456721.92,587610.3599999998
33,383066.07999999996,442540.32,242780.19999999998,233865.79999999993,472756.96,360848.52,212575.0000000001,431421.84,471638.6,607812.88
34,404002.51999999996,468685.96,259339.08000000002,248553.59999999998,494665.72,382034.44,243829.0,449569.27999999997,494106.32,608028.84
35,420056.92,476479.2,280610.24,261913.79999999987,501558.36,399961.5200000001,289218.4000000001,466473.32,514877.11999999994,630660.2799999998
36,436973.39999999997,487203.20000000007,317544.6000000001,297827.0,532966.8,428921.4000000001,313038.0,486835.99999999994,534998.0,646632.0
37,460604.83999999997,503994.16,334069.7200000001,315102.0,568872.1599999999,458896.2000000002,328407.0,512914.07999999996,537204.12,650548.4
38,478519.54,505521.48,358444.32,360658.6,600121.04,467507.32,356428.4000000001,532359.84,539936.56,653742.0
39,479948.12,518202.95999999996,375954.12,389156.9999999999,604716.4,496641.2,376547.39999999997,558436.32,551261.04,655109.56
40,488006.89999999997,519559.36,383550.04000000004,411066.19999999995,616136.52,509293.3600000003,397368.4,576114.96,555016.7,658263.56
41,506027.99999999994,540948.6,402009.0,435974.0,618989.4,540856.4,410284.0,585984.2,564839.6,665330.6
42,521213.1,543531.68,420711.94000000006,467140.2,620095.72,556350.8,422539.60000000003,587260.68,572468.4400000001,668167.4
43,537285.6,543046.52,438003.12,471860.8,656201.04,568161.2000000001,452901.60000000003,592586.32,582616.48,669699.16
44,544371.3200000001,544822.68,456660.2400000001,473562.0,658699.08,576685.88,466712.8,596339.76,604976.38,671087.3200000001
45,556428.16,549603.2000000001,476011.84,488803.99999999994,660235.3999999999,591873.48,475750.0,599374.8,607909.92,675097.4
46,563313.6,561460.4,483457.0,499064.99999999994,668617.4,599694.8,501983.0,610078.2,607453.2,678359.6
47,581919.12,581750.4,493865.52,511889.8,667166.24,607989.28,507712.2,611571.64,613047.6000000001,680205.6
48,588408.78,599441.64,525949.04,528107.3999999999,672270.24,610315.2,507385.2,613108.36,615757.94,681468.44
49,610309.5599999999,601226.16,536606.72,543820.1999999998,677065.36,611004.04,534418.4,611712.04,630998.0000000001,682911.24
50,609839.06,602397.32,548489.1,559653.0,676630.5599999999,610373.68,546246.4,624579.4,641926.8200000001,682895.88
