index,301_1_www.wolframalpha.com,301_2_www.wolframalpha.com,301_3_www.wolframalpha.com,301_4_www.wolframalpha.com,301_5_www.wolframalpha.com,301_6_www.wolframalpha.com,301_7_www.wolframalpha.com,301_8_www.wolframalpha.com,301_9_www.wolframalpha.com,301_10_www.wolframalpha.com
1,67.0,67.0,-442.0,-442.0,0.0,0.0,-442.0,-442.0,-442.0,-442.0
2,6255.680000000001,5332.9600000000055,7089.38,7291.200000000001,142839.30000000002,191897.91999999998,8429.92,5524.78,8629.52,9116.760000000002
3,26474.04,27238.88,29329.68,31605.2,243044.80000000002,306070.8,34398.76000000001,16059.760000000002,27026.96,23773.839999999975
4,32545.04,28647.880000000016,29108.84,39929.799999999996,314319.00000000006,399666.92000000004,34761.82,37224.26,34314.56,34474.48
5,52407.719999999994,46504.72,39651.44000000001,50864.4,456584.52,539487.12,46497.88000000002,45771.11999999999,46875.92,43480.56
6,56813.299999999996,51540.20000000002,48472.899999999994,59711.0,480353.3,553832.8,54019.09999999999,54783.9,55484.29999999999,55804.2
7,58820.96000000001,60316.87999999999,53744.04,72605.59999999998,508644.4,608494.64,60591.35999999999,53823.79999999999,56745.68,60043.36
8,63705.82,73190.08,67874.72,100136.2,553422.26,646420.7999999999,71371.81999999999,94700.76,79827.64,65573.31999999999
9,96001.08,92330.36,90028.32,108956.2,623086.16,720217.32,94668.44,113341.71999999997,88945.12,107617.12
10,100177.02,100629.04,100014.74,167658.4,666912.5599999999,800763.64,97326.34,128996.96,100933.54,119646.44
11,108088.59999999992,100812.2,102758.60000000005,201814.0,707372.6,889866.6,106815.2,133283.8,104227.4,121485.4
12,122083.18000000001,125444.98,100610.96,252037.6,760012.98,919585.44,103586.86,144788.58,103955.09999999999,138970.84
13,153928.76,150718.52,115432.59999999974,302320.6,816360.8800000001,988058.8,106323.80000000005,181238.1199999999,111972.84,140927.92
14,203450.3,244293.62,126292.86,348861.2,852335.92,1097319.0799999998,125843.95999999999,221033.1399999999,124490.67999999998,157301.91999999998
15,235990.56,278998.88,159340.08,438924.00000000006,909250.76,1160725.84,146951.84,293920.88,158615.99999999997,185021.83999999988
16,275334.3,318025.50000000006,203111.4000000001,500234.0,982329.6000000001,1227102.4,157759.80000000002,331800.5999999998,207875.7,196197.6
17,284081.96,346530.3200000002,269934.48,544375.8,1076382.4000000001,1309209.56,193535.72,351088.19999999995,224813.75999999998,221709.56
18,296991.92,351445.58,300834.70000000007,595274.2,1107254.22,1397665.04,235684.79999999996,358792.36,259991.98000000007,234331.72
19,293664.36,360831.92,340903.52,651640.2,1189663.2000000002,1496865.2,273834.04000000004,372578.88,285798.8,288471.2399999997
20,297277.45999999996,367849.2400000002,352489.46,661460.8,1231063.58,1571798.92,311235.98000000004,384779.94,309757.26,322013.36
21,318595.4,372273.4,368065.8,693492.0,1254850.8,1688245.4,360394.4,406202.4,346552.60000000003,359801.4
22,334622.33999999997,374598.3,372801.34,754091.8,1310732.74,1760372.84,378302.1200000001,426189.86,376360.92,371161.27999999974
23,347684.5199999998,391207.1200000001,388888.6,848271.6,1332055.92,1830128.68,394473.48,446476.24,383691.44,390559.52
24,385482.0799999997,395987.20000000077,390583.08,878652.7999999992,1386009.46,1973528.2000000002,408204.84,458593.84,396405.38,406390.4
25,425073.76,418584.56,403983.04,942104.9999999999,1421633.32,2210077.68,405170.2800000001,466069.76,400129.32,417717.84
26,461369.5,421497.5,418134.5,996420.0,1469769.5,2399466.0,419599.5,492067.0,417681.99999999994,454390.00000000006
27,488374.24,426480.68,420260.04,1061522.6,1563760.52,2467052.04,414265.28,512567.7999999999,421397.08,462594.88000000006
28,529502.82,446120.58,433263.72000000015,1153626.1999999995,1604235.6400000001,2542052.8,436182.38,538782.62,429209.86,479651.76
29,536723.04,464719.04,456647.12,1204944.0,1647949.52,2756806.1199999987,461292.04,555018.76,434480.56,493242.68
30,544620.78,482222.66,483792.18,1278706.9999999998,1704150.14,2849261.64,494204.38,582037.7,443558.22000000003,518868.7199999996
31,557685.8,522325.99999999994,485152.80000000016,1373049.0,1746495.6,3030071.0,497019.00000000006,605123.3999999994,460030.60000000003,530994.4
32,559491.74,535826.74,498340.68,1447834.4,1801709.72,3089338.48,516423.98,613143.96,494472.0400000007,556281.96
33,575536.28,548783.5599999999,540220.52,1493204.9999999995,1851042.0800000003,3135754.8,538033.4,666646.96,526754.36,580883.16
34,581819.74,585935.86,567186.6200000002,1588228.4,1942640.78,3180712.68,559811.26,673328.0599999999,562516.14,599926.96
35,584946.36,591006.9599999998,587101.28,1674062.7999999998,2004134.04,3188365.44,579855.44,685944.44,590505.72,600548.96
36,592780.8,616606.6000000003,598830.5000000002,1719889.0,2056007.4000000001,3196906.6,595897.2,695220.7,607659.2,600771.5999999999
37,604813.36,648006.5600000003,615929.56,1777363.4,2103609.76,3221512.12,630884.84,711121.88,628321.28,609310.1599999995
38,617456.88,665541.28,630999.58,1840875.0,2164863.06,3245974.8,662020.2,746764.86,630520.68,654158.08
39,630987.12,687302.52,655409.36,1893750.0,2223516.3200000003,3267968.64,691325.96,765112.3999999999,655384.76,677827.7599999999
40,637505.1199999998,712103.8000000003,664965.82,1953988.1999999995,2319094.760000001,3340433.36,703781.6000000002,794088.5800000001,671579.62,694260.96
41,641133.6,744881.0000000001,697984.0,2026662.0,2356958.0,3373861.4,738858.600000001,819044.4,690148.8000000004,688778.6
42,667525.5599999997,760098.34,715345.22,2076445.4,2446251.3600000003,3385809.7600000002,756672.44,842562.6,704189.68,734627.56
43,715490.7600000001,805915.0799999998,725737.32,2147555.0,2531393.4400000004,3422531.4,802754.56,867498.7599999997,737895.4000000003,743952.72
44,717487.38,840009.66,748786.48,2207922.0,2594065.7,3477558.88,832386.46,900529.5399999995,764210.2400000007,758466.64
45,745289.8800000001,849872.2400000002,765261.68,2253251.4,2683729.04,3487072.28,842042.48,923236.64,793853.1599999999,795943.3999999999
46,782973.1000000001,853905.5,789322.3,2286842.0,2780543.2,3515050.2,847538.6,925150.7000000001,822040.1,818924.7999999999
47,805879.36,869341.76,818164.9600000001,2335999.4,2866771.24,3534356.16,852861.4000000004,931856.36,835383.44,832331.7599999998
48,834924.1600000001,876497.74,830549.1599999999,2390955.0,2984333.3,3556003.88,865823.66,950564.76,872863.9,879865.1999999996
49,883367.8,877842.76,859866.7599999999,2432399.2,3157576.2,3558293.08,871042.88,948938.3999999999,875980.84,910754.76
50,913548.9,886975.26,885801.58,2487711.0,3291443.84,3570427.04,881620.08,955951.1799999999,890583.46,939372.84
