index,307_1_www.sueddeutsche.de,307_2_www.sueddeutsche.de,307_3_www.sueddeutsche.de,307_4_www.sueddeutsche.de,307_5_www.sueddeutsche.de,307_6_www.sueddeutsche.de,307_7_www.sueddeutsche.de,307_8_www.sueddeutsche.de,307_9_www.sueddeutsche.de,307_10_www.sueddeutsche.de
1,-442.0,67.0,-442.0,-442.0,-442.0,67.0,-122.0,-442.0,-442.0,-113.0
2,44142.14,16513.76,33228.71999999998,18618.920000000002,45141.56,20559.399999999994,54897.999999999956,78622.11999999998,45431.0,59731.5
3,308603.76,178462.91999999995,252677.0,203856.8,268365.4,281514.32,351829.2,307916.48,293999.0,281761.8
4,319680.86,376080.68,374006.86,322695.24000000005,445082.44,378585.94,378709.4,421525.78,447973.5,544960.88
5,430666.76,497404.04,391423.51999999996,378100.92,525767.96,566669.48,620798.0,700407.4,585834.0,606065.08
6,722895.9000000001,590417.2,619177.8,504029.0,644363.4,650903.2,840347.0,717419.6,628883.0,656821.7
7,906697.6000000001,644004.8799999999,859743.3599999998,625223.8,801612.76,826390.72,898009.4,850014.12,847222.0,920775.12
8,1056990.84,915379.32,915524.3,826068.6400000004,1048931.8800000001,927634.38,1059136.9999999998,1020831.7000000001,902334.5,937644.46
9,1107624.44,928031.08,933533.6,911503.68,1059960.68,959251.92,1244004.3999999997,1262336.24,937587.0,983793.4
10,1190917.94,966905.5599999999,1067024.24,921444.52,1106906.44,1168015.76,1264282.8,1332326.88,1038874.0,1254227.18
11,1243775.0,1145379.2,1273225.6,957301.2,1257146.6,1230637.2,1400498.0,1555962.3999999994,1262519.0,1278657.6
12,1421000.02,1227985.96,1287145.54,1076764.04,1271292.04,1261740.54,1620272.6,1620532.14,1281098.5,1473574.92
13,1494463.48,1304842.12,1449386.92,1243154.48,1372568.24,1451482.56,1658226.8,1643693.36,1379871.0,1605992.04
14,1644741.4000000001,1502264.44,1563885.24,1287928.08,1573827.2,1582659.46,1725296.2,1675970.16,1540655.0,1713031.48
15,1687700.04,1645016.64,1647561.76,1447828.44,1600659.84,1648067.68,1759117.4000000001,1734895.48,1692674.0,1815636.92
16,1720150.0999999999,1688770.4,1691262.6,1576873.3,1672159.4,1704079.8,1787503.0,1881095.0,1693573.0,1826546.3
17,1772767.24,1744567.04,1724859.44,1613595.68,1705082.24,1714017.4,1840053.4,1894759.5199999998,1726126.0,1877755.4
18,1822979.6599999997,1751351.68,1755582.26,1668208.0599999998,1707168.8,1763105.7999999998,1946678.1999999995,1939876.8800000001,1766528.0,1888358.12
19,1952679.6000000017,1775081.72,1779909.68,1692947.96,1746514.4,1758608.6800000002,2001913.2,1957906.2799999998,1753081.0,1972951.2
20,2052659.54,1810178.72,1791662.4,1717714.78,1759967.6,1918707.04,2042406.4,1988641.08,1847085.5,2004972.8400000005
21,2079546.8,1834589.2,1893874.8,1728812.6,1922920.2,1946855.5999999999,2069933.0,1995308.9999999998,1887710.0,2026246.8
22,2104187.64,1914401.4,1902258.7599999998,1791632.6800000002,1934857.76,1993794.98,2084288.5999999999,2100302.08,1908066.0,2100960.4399999995
23,2112216.08,1945337.5999999996,1916122.64,1787462.08,1947062.8800000001,2026060.64,2090673.2,2123144.92,1949831.0,2124523.84
24,2136930.18,1964263.12,1987015.26,1863282.26,2020405.28,2036994.16,2123960.6,2150670.94,2066958.5,2140472.7
25,2144626.16,1992590.28,1999914.44,1876290.04,2046232.04,2085976.6800000002,2206110.2,2272176.32,2080232.0,2176514.04
26,2187157.0,2127063.0,2093242.0,1884934.0,2058855.0,2129288.5,2228790.0,2286954.5,2102604.5,2185489.5
27,2264336.3200000003,2134876.8,2122742.84,1954195.28,2075855.84,2147020.04,2331195.4,2362672.3200000003,2120546.0,2268266.2
28,2286804.2399999998,2153822.12,2137397.44,1973864.08,2076290.72,2143360.22,2350354.0,2364911.64,2125373.0,2293193.26
29,2306207.32,2161690.12,2144590.52,1998992.36,2085767.44,2185334.1999999997,2361441.7999999993,2407998.64,2152908.0,2306906.84
30,2320151.1,2174655.92,2181115.96,2092480.24,2112767.32,2201293.16,2381820.6,2414062.46,2177251.0,2326328.88
31,2363339.8,2245785.8,2195712.8,2100259.4000000004,2159929.6,2208576.0,2398925.0,2434781.6,2242722.0,2387734.4
32,2470356.8,2292007.56,2257789.1999999997,2108317.68,2216055.12,2276776.24,2419220.2,2486052.64,2257210.0,2504497.72
33,2522835.52,2305196.56,2279039.56,2108155.28,2231570.64,2287216.8,2464925.0,2567098.36,2315029.0,2516315.04
34,2540348.38,2318969.72,2310270.62,2116169.54,2238752.16,2314252.2800000003,2493495.2,2570340.78,2364986.5,2528323.1999999997
35,2553402.12,2352538.2,2349898.0399999996,2145098.96,2272377.24,2317431.88,2512815.6,2604943.959999998,2385472.0,2538589.68
36,2593728.3,2360925.6,2400658.9,2148185.7,2291906.2,2341820.1999999997,2611134.0,2728886.3,2535161.5,2576476.4
37,2627183.7600000002,2373648.36,2456827.1999999997,2218787.3600000003,2429697.5599999996,2466563.7600000002,2677608.6,2735844.9200000004,2640566.0,2621687.44
38,2644167.62,2401918.52,2657993.58,2226872.24,2494051.88,2593903.26,2685292.8,2761358.66,2943175.5,2735589.06
39,2725914.64,2499882.88,2777748.92,2268551.64,2511727.12,2621888.16,2703472.8000000003,2819485.6399999997,3126970.0,2757275.96
40,2743639.58,2510806.32,3073177.34,2277399.92,2573380.0,2731787.0599999996,2756954.4000000004,2832586.8600000003,3191406.0,2828988.04
41,2801083.8,2519720.0,3172179.0,2283274.8,2698279.6,2748127.8,2830777.0,2841461.6,3204072.0,2877882.2
42,3112396.640000001,2545482.64,3185036.76,2299459.48,2705739.48,2760829.18,2922714.4,2922162.82,3210478.5,2976009.22
43,3178732.52,2602973.2,3198700.04,2398050.6799999997,2764980.52,2922570.24,3049046.199999999,2945025.92,3218530.0,3089332.92
44,3258735.34,2628118.08,3211070.8400000003,2412663.68,3153991.96,3653892.9599999976,3062197.8,3012978.1999999997,3220101.5,3264012.36
45,3278137.4,2646975.52,3216338.04,2523963.64,3747599.3599999994,4349673.679999996,3212328.599999996,3186550.12,3235831.0,3270197.24
46,3337239.1,2719054.9999999963,3226963.9999999995,2566507.0,4432792.4,4873415.1,3273109.999999999,3193574.999999999,3246693.0,3292195.9
47,3373968.04,2857997.0799999987,3238802.4,2571103.6,4763505.92,5330368.12,3284654.0,3205560.919999998,3268003.0,3327614.12
48,3489186.52,2902656.7600000002,3250467.98,2587082.88,4775297.32,5825139.4,3299136.2,3263119.339999998,3289341.5,3360946.82
49,3576733.76,2928208.2,3252078.96,2623011.92,4789059.6000000015,5820200.88,3311746.4,3398349.48,3312462.0,3376404.08
50,3708471.94,2952631.4,3261702.84,2635704.96,5169633.64,5831377.9,3341219.6,3433614.68,3318570.0,3393798.98
