index,30_1_www.spiegel.de,30_2_www.spiegel.de,30_3_www.spiegel.de,30_4_www.spiegel.de,30_5_www.spiegel.de,30_6_www.spiegel.de,30_7_www.spiegel.de,30_8_www.spiegel.de,30_9_www.spiegel.de,30_10_www.spiegel.de
1,0.0,67.0,0.0,67.0,-48.0,67.0,67.0,67.0,67.0,67.0
2,100611.06,27295.280000000002,78394.2,94505.26,93771.4,94146.66000000006,96531.15999999996,35562.319999999985,11173.98,54215.48
3,505660.48,321027.64,470085.0,496816.6,492606.0,418256.24000000017,514921.28,275499.76,167324.4,389101.92
4,678302.84,523252.16,564720.6,566777.1199999999,558576.0,550229.28,675945.3200000001,516914.36,515174.16,538843.76
5,1231113.6,783678.64,1004424.1999999998,955990.72,941502.0,795928.56,1188808.5999999999,637738.48,697390.7999999999,836569.64
6,1474708.6,1131140.0,1349146.0,1375268.4999999998,1301081.0,1251258.0,1580644.0,907837.4,1168862.1999999995,1291068.6
7,1799737.8,1453984.16,1683404.0,1624973.44,1631197.0,1598168.84,1937320.72,1295056.7999999998,1407523.16,1566247.9599999995
8,2115631.6,1737932.86,2119561.0,1985221.5999999999,1911486.0,1920093.6,2348431.48,1601355.4,1691718.16,1910975.4
9,2386441.88,2010617.6,2392564.6,2262115.72,2139663.1999999997,2177416.2,2524394.44,1787665.2,1984590.6799999995,2183105.52
10,2475193.62,2241691.84,2533666.6,2436941.84,2388820.7999999993,2396761.14,2687966.72,2108710.36,2157273.7999999993,2424429.84
11,2570081.0,2404222.2,2655600.0,2547274.4,2533277.0,2491950.0,2750017.8,2347302.4,2405305.6,2532954.8
12,2645595.72,2523215.5,2723442.0,2674656.86,2613694.4,2560297.26,2788007.24,2459816.1999999997,2529273.82,2564811.84
13,2743474.68,2576797.76,2779522.8,2734322.12,2688685.0,2626291.04,2865450.96,2605281.52,2599746.04,2718368.28
14,2772616.7600000002,2653978.74,2857304.9999999995,2790686.88,2776820.4,2752620.58,2922000.4,2652647.88,2677034.62,2750701.68
15,3063859.56,2748034.36,2948030.4,2876519.96,2843373.0,2802631.2800000003,3003535.28,2730778.76,2738202.24,2797492.4
16,3144136.9,2767548.0,2983307.0,2974348.4,3055899.0,3090134.1,3059559.8,2755221.6,2779485.4,3048534.0000000005
17,3249516.2,3022927.24,3023730.0,3032539.16,3162525.4,3167136.56,3282108.64,2812595.1199999996,3057206.1999999997,3118641.24
18,3327432.5,3086484.62,3134598.0,3253994.1,3252776.6,3204435.68,3327760.64,2881144.399999999,3126902.66,3163570.72
19,3363470.6,3176310.36,3305634.8,3312319.64,3292053.9999999995,3229713.0,3379221.1999999997,3074318.5999999996,3180249.8799999994,3248501.48
20,3407931.5399999996,3212460.06,3488105.2,3345092.7,3318994.8,3293488.86,3400872.96,3229490.4,3270002.64,3295737.44
21,3571115.2,3288007.0,3545742.0,3438264.2,3375673.0,3381037.8,3410920.6,3244795.8,3297477.2,3344488.0
22,3582514.48,3339335.06,3514290.6,3564880.8,3406413.2,3408586.94,3587504.92,3278512.44,3333066.46,3385176.12
23,3565819.32,3362898.28,3544743.6,3515098.04,3583427.4,3444619.52,3773657.44,3309573.12,3361446.32,3429646.64
24,3592261.72,3411709.72,3586491.0,3554810.4,3548597.0,3449477.8,3791965.28,3356080.52,3414848.68,3585489.12
25,3741040.96,3466177.4000000004,3774740.1999999997,3733439.24,3548611.6000000006,3418036.2,3813775.2,3389747.319999999,3560003.1599999997,3567489.24
26,3844902.0,3571187.0,3831478.0,3751846.0,3560339.0,3440278.0,3823296.0,3453834.0,3554057.5,3632332.0
27,4081398.919999998,3678184.24,3845940.7999999993,3817145.24,3759541.8,3584489.44,3892754.08,3597511.3200000003,3550142.16,3662900.7600000002
28,4282894.48,3634928.46,3853544.2,3879099.2,3914099.6,3791376.08,4207005.4399999995,3560037.96,3548897.48,3736513.28
29,4398386.4,3667870.56,3929315.6,3946484.2800000003,4194100.0,3877936.48,4494807.6,3561824.4,3628244.72,3783494.44
30,4477392.84,3777322.42,4138124.1999999997,4138698.94,4251308.6,3892814.14,4871918.56,3560774.36,3805803.98,3801627.92
31,4528691.8,3842990.2,4177445.0,4426523.599999999,4393621.0,3905760.8,5062389.4,3707701.6,4019264.6,3835190.0
32,4706062.72,3857139.8800000018,4410626.599999999,4626806.12,4428530.2,4000429.34,5111102.04,3759351.92,4288013.94,3906465.12
33,4721370.36,3935649.52,4814652.6,4882593.72,4503095.8,4271829.6400000015,5209265.92,3811061.24,4317876.84,3930233.76
