index,313_1_www.bild.de,313_2_www.bild.de,313_3_www.bild.de,313_4_www.bild.de,313_5_www.bild.de,313_6_www.bild.de,313_7_www.bild.de,313_8_www.bild.de,313_9_www.bild.de,313_10_www.bild.de
1,684.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,9508.4,4494.400000000001,5290.720000000004,4846.52,6276.92,2901.2799999999997,6748.28,4345.48,4887.079999999998,6420.88
3,13323.840000000002,19110.399999999998,19452.879999999997,17603.440000000002,21010.64,17317.16,16072.56,17660.52,20598.76,20852.4
4,31576.239999999994,56136.0,47002.16000000001,35199.35999999999,59068.44,56086.840000000004,33229.32,56703.24,57634.06,57561.52
5,87069.15999999997,66379.8,72740.23999999999,54812.56,134470.39999999997,73856.36,80530.04,60000.08,102057.52,130998.08
6,162944.6,168236.0,117428.00000000004,68032.8,176788.0,125942.8,165627.6,156969.8,168891.40000000002,167184.30000000002
7,182879.12,196486.00000000006,177836.0,93132.6,265445.24,176293.04,185568.2,176706.72,254433.40000000002,191896.6
8,295320.6,236967.2,290317.6,133636.59999999974,306945.64,263360.68,286845.96,265276.96,307264.14,287874.76
9,316390.76,283592.0,309202.44,250725.2799999999,369212.64,306651.2,316931.56,292607.92,316083.04,316224.72000000003
10,345827.8800000003,315675.4000000001,314418.56000000006,298320.6,385320.36,314688.92,321596.88,304662.8,350448.45999999996,323298.62
11,393347.4,369879.0,388862.6,317157.8,391441.8,330297.4,376060.0,326957.4,387947.4,361570.39999999997
12,397860.72,377574.0,391369.34,318960.96,396527.56,387776.44,397820.64,382511.27999999997,392741.24,398463.82
13,401854.8,390281.8,400782.08,362499.2,402183.68,391415.31999999995,401451.12,390121.24,398853.44,406901.92
14,409316.76,393615.8,409454.22,398810.88,413738.36,394475.52,413146.20000000007,396570.28,406131.34,413990.26
15,419944.6,399298.4000000001,412534.68,405222.04,425774.44,404466.76,424119.68000000005,405528.84,423603.96,419006.12
16,472079.0,408172.0,438019.60000000003,406181.4,441042.4,412504.4000000001,439553.0,427386.2,502144.7,423547.6
17,474967.96,420812.4,442229.88,409891.04,490509.12,414092.76,446540.0,431626.4,504837.08,441964.16
18,485744.04000000004,430660.2000000001,490320.58,430102.92,496286.36,416734.39999999997,464578.92,431959.64,510374.06,457427.58
19,525225.52,456617.60000000003,528163.9199999999,438409.72,518732.60000000003,437314.4,468394.16,436616.44,519786.36,506832.43999999994
20,544913.1599999998,471814.6,546487.42,472391.27999999985,648457.16,484021.84,502996.32,477724.12,526416.46,515212.38
21,556161.6,531555.0,574776.4000000001,490779.4,664533.6,490180.2,513030.39999999997,495493.2,647296.6,524414.6
22,672090.84,535108.8,670008.26,523992.9599999999,675226.84,503115.08,528074.72,500395.04,651308.18,531749.42
23,683232.24,542100.8,677459.08,539665.68,678252.92,508054.92,534334.7999999999,506860.32,661244.68,572599.64
24,697602.6,577258.8000000002,680993.5600000002,560862.12,693971.04,517294.32,575762.76,520173.84,677535.0599999999,588654.34
25,698818.48,664674.6000000003,682651.08,658604.48,707883.72,531393.04,620626.6000000001,552596.64,680046.32,699243.84
26,722485.0,673175.0,691519.5,667145.0,747529.0,561192.0,710276.0,560123.0,690157.5,713032.0
27,726907.72,678460.6,693893.72,674811.96,756040.08,658254.6800000004,750945.1200000001,679872.08,695686.6,745426.4
28,737981.7999999999,692519.6,705520.86,682371.72,761737.56,698892.12,758672.64,687317.72,705765.2,757502.54
29,775966.2799999999,695062.7999999999,717607.16,692911.56,773253.28,739386.4,763173.44,690742.12,708706.52,772251.56
30,781965.88,708104.6,724655.24,697570.04,775337.32,742654.12,776755.48,700578.44,715452.52,783489.32
31,793504.6,713918.0,739635.4,707026.6,782564.6000000001,744990.7999999999,784736.7999999999,710105.8,727657.3999999999,784829.2
32,799892.6000000001,724625.6,744569.58,718552.2,784580.92,757718.36,793238.88,752117.16,739619.58,786928.42
33,804479.04,762686.4,755533.56,762519.48,792237.12,768285.36,795612.08,760819.4,764805.32,792737.52
34,807131.32,776622.4,762008.2000000001,766510.16,798317.48,775925.96,800992.5599999999,769683.2,786215.78,799724.92
35,813691.36,786015.3999999999,771538.92,778331.76,804016.48,775938.64,811073.52,777382.28,787652.0800000001,809196.3999999999
36,818149.2,787797.0,781526.7000000001,782099.4,817296.8,780357.2,816575.8,779563.6,790588.9,813568.8
37,824324.24,789320.4,797786.84,783052.6,825558.16,784879.24,820119.52,776358.4400000001,788261.04,821411.72
38,832700.36,793943.2,791336.62,788361.4400000001,830683.4,789748.08,825357.16,780004.76,821897.94,831742.18
39,838826.44,795706.2,800312.52,791731.24,832525.76,797182.92,827845.56,792791.52,834565.96,832810.84
40,840169.08,800798.0000000002,839142.9000000004,795644.16,834882.72,797960.44,830046.52,800419.84,834317.1199999999,842930.1199999999
41,839990.0,810459.0,839503.6,800880.2,840334.8,803845.3999999999,830963.2,809610.4,839909.4,850555.0
42,842646.72,817137.4,864917.72,806583.16,877732.3999999999,811752.8,828802.88,811947.4,849434.06,855902.58
43,849123.96,820575.0,880338.36,812026.76,892281.12,816551.64,832514.24,818458.88,865455.76,856003.04
44,868391.76,828678.8,888875.5599999999,814622.4,898352.64,826215.28,848276.52,824603.08,886847.1399999999,852298.38
45,873049.56,832702.6,890659.92,821518.88,900227.1200000001,828512.68,866426.0399999999,832857.84,885842.88,861430.12
46,878306.8,835708.0,896447.4000000003,825566.8,901853.4,833987.4,880155.4,840956.4,894657.9,873908.7
47,883953.08,836601.4,899865.96,829939.0800000001,908082.68,841434.48,897818.84,839706.56,900132.72,873638.8
48,917806.12,839092.2,904331.34,838070.32,944804.2,843340.36,901948.92,869294.08,903314.9,889730.54
49,927253.56,848208.0000000002,913635.5599999999,841270.04,949737.04,879407.9199999999,906750.7600000002,870136.92,906800.84,910400.76
50,928198.16,864279.2,916451.08,880527.48,956668.52,881118.72,942986.4,878905.2000000003,911504.0,913847.6599999999
