index,315_1_www.chefkoch.de,315_2_www.chefkoch.de,315_3_www.chefkoch.de,315_4_www.chefkoch.de,315_5_www.chefkoch.de,315_6_www.chefkoch.de,315_7_www.chefkoch.de,315_8_www.chefkoch.de,315_9_www.chefkoch.de,315_10_www.chefkoch.de
1,290.0,-113.0,290.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,125031.16,123588.0,126482.74,125168.64,120787.86,88905.79999999999,78231.00000000001,39219.92,121678.1,69945.16
3,228551.15999999995,155660.0,279995.6,280755.48,170511.12,155280.36,163525.6,154347.72,165566.6,185964.28
4,308415.60000000003,309637.0,319333.52,361028.96000000014,306703.22000000003,268423.48,251143.8,309848.4,309414.3,310750.2
5,920696.88,414805.0,829086.2,937716.8,634611.88,358263.32,563003.4000000001,542580.68,404619.79999999993,733791.68
6,1400301.0,983587.0,1400846.7,1393231.5,1222659.2,794846.3999999998,1001389.0,836782.0,790126.0,1084252.0
7,1693607.44,1399015.0,1685432.56,1641774.4400000002,1461067.64,1090902.72,1464441.6,1167141.8,1219112.7999999993,1460915.4
8,1726229.04,1632509.5,1720025.0999999999,1741275.6,1717637.5,1395154.28,1653315.8,1459164.24,1465379.6,1682157.96
9,1755220.48,1709298.0,1760571.64,1775589.12,1737924.8,1542998.4,1749379.2,1704062.96,1693349.8,1696626.4000000001
10,1850932.44,1723879.0,1787988.78,1806927.82,1768164.54,1697609.72,1772892.2,1723325.52,1706949.7,1730792.48
11,1899587.4,1767932.0,1835809.3999999997,1905103.4,1872922.8,1716583.4,1789470.0,1757422.6,1739419.0,1758715.6
12,1974435.52,1786787.0,1975765.0999999999,2008294.72,1896134.04,1740928.4399999997,1820258.4,1773627.88,1756889.7,1779527.56
13,1984003.4000000001,1874342.0,2014588.88,2019403.12,1946928.32,1763778.96,1953862.2,1810499.92,1768809.6,1882636.36
14,2016159.8,1960521.5,2031666.14,2085800.32,2009593.78,1793107.92,2009938.8,1954709.04,1863257.5,1967403.44
15,2038492.16,1981189.0,2100993.76,2154244.04,2011825.04,1885015.84,2052024.0,1997141.88,1930049.2000000002,1974430.0000000007
16,2124672.5999999996,2019803.0,2146783.9,2239077.5,2036797.4,1974845.4,2061004.0,2027989.8,1980974.0,2095020.8
17,2193497.0799999996,2091720.0,2221055.4,2251193.24,2069634.12,2040863.28,2150638.8,2082204.04,2008060.4,2124589.48
18,2226277.72,2112814.0,2265178.94,2277264.2,2068520.62,2053126.52,2172206.8,2129129.24,2038875.8,2136713.32
19,2271297.04,2112346.0,2283034.12,2321817.64,2114122.68,2096074.8800000001,2192921.2,2158280.04,2049085.799999999,2214286.52
20,2284091.72,2123647.5,2401583.98,2324748.06,2225143.0,2100921.52,2253791.6,2181993.44,2116520.7,2304729.7600000002
21,2319467.2,2139032.0,2441886.4,2423241.2,2256427.2,2115487.8,2315159.0,2234936.4,2136978.0,2331448.2
22,2336439.56,2165328.5,2540800.8800000004,2569124.06,2292346.84,2162159.08,2324698.6,2309432.12,2154443.8,2344399.7199999997
23,2534506.08,2261136.0,2562478.68,2577280.84,2303754.28,2222330.7600000002,2340983.8000000003,2319780.08,2168063.8,2392175.68
24,2544838.68,2282694.0,2603019.6400000006,2630799.54,2382131.72,2247893.84,2431367.0,2353327.84,2205674.1,2434913.2800000003
25,2593812.88,2335940.0,2723381.92,2798368.7600000002,2451230.44,2259001.64,2510252.4,2369533.92,2288720.2,2532728.72
26,2603618.0,2374247.5,2783168.5,2828142.0,2473879.5,2273714.0,2590478.0,2374153.0,2296350.0,2545108.0
27,2631327.1999999997,2410423.0,2819984.52,2918905.2399999998,2559757.76,2335068.16,2616705.6,2452448.24,2342671.0,2605076.16
28,2651322.0,2537924.5,2861516.5599999996,3011106.62,2587523.58,2398620.52,2635549.8000000003,2461753.36,2408454.1,2629729.8
29,2713019.28,2555191.0,2872605.32,3039886.56,2614582.56,2465305.52,2666338.2,2499827.3200000003,2489588.8,2657162.92
30,2847157.7600000002,2581722.0,2974763.78,3054020.44,2700261.08,2479683.96,2691096.800000001,2565373.2399999998,2555992.9000000004,2730317.52
31,2894009.7999999993,2633988.0,2986451.6,3093707.4,2794757.2,2509296.2,2745350.0,2585046.2,2587837.0,2746455.8
32,3009045.28,2686605.0,2990165.18,3193405.56,2806413.84,2539280.2399999998,2777146.1999999997,2623648.2,2659453.7999999993,2769194.560000001
33,3052455.4,2719715.0,3021660.0,3225516.92,2854889.08,2566278.28,2925043.8,2639656.04,2689661.8000000003,2818329.88
34,3209734.92,2733025.0,3093962.64,3269912.66,3004506.38,2638610.72,2967419.8,2711888.08,2710735.0,2905472.52
35,3255678.44,2773547.0,3180510.5199999996,3287256.7199999997,3024210.04,2659180.36,2997757.4,2741542.92,2851790.8,2913140.92
36,3314384.4,2855227.0,3259237.2,3376820.1,3047071.9,2695229.8,3004179.0,2831105.8,2951365.5,2971533.4000000004
37,3328287.48,2862454.0,3297707.44,3483806.96,3070035.12,2752133.44,3049914.2,2859121.6,3046426.0,3052368.92
38,3527601.44,2874181.5,3314548.54,3483009.8799999994,3081428.22,2806216.4799999995,3107467.2,2886631.6,3099525.9,3065665.2
39,3595943.04,2885775.0,3404640.92,3497758.8,3107541.48,2832621.16,3115444.4,2904263.96,3158670.6,3094285.36
40,3604256.24,2898686.0,3499341.98,3522598.36,3157674.22,2855709.16,3125593.600000001,3001150.96,3166011.3,3126151.56
41,3686531.0,2955430.0,3508929.8,3526986.4,3168057.0,2882860.0,3256267.0,3191154.4,3190888.0,3145360.000000001
42,3730662.16,2971020.5,3535949.28,3546375.3200000008,3179131.8000000003,2893404.04,3413680.2,3254676.3599999994,3221893.0,3262237.5600000005
43,3944741.6799999997,3066215.0,3545435.64,3644170.56,3336114.84,2957809.28,3461652.4,3300110.68,3251411.6,3459899.76
44,4007257.88,3104384.0,3570119.54,3849363.66,3430917.58,2977926.56,3472588.1999999997,3397937.6,3415711.2,3494463.9600000004
45,4012549.4,3122894.0,3654937.84,4143365.4399999985,3478313.84,2982906.1999999993,3577684.0000000005,3413730.36,3426764.9999999995,3511714.04
46,4103362.4,3133470.5,3764449.1,5113386.100000001,3535947.3,3013380.8,3601660.0,3446164.2,3506477.0,3531044.6
47,4134310.1999999993,3172275.0,3795695.8,6092582.639999993,3597727.72,3093449.6,3626198.600000001,3533303.96,3525133.2,3548998.12
48,4146995.64,3369090.5,3812811.98,6400638.78,3612362.62,3107285.16,3809779.0,3548272.3600000003,3536116.9,3571933.72
49,4173756.2399999998,3507959.0,3838490.3200000003,6440730.5200000005,3633142.44,3144537.919999999,3850781.2000000007,3737761.76,3559383.6,3598237.52
50,4221208.36,3691064.0,3861393.62,6509448.699999996,3648641.46,3308057.64,3854805.4,3754222.68,3619048.8,3611819.96
