index,320_1_derbiokoch.de,320_2_derbiokoch.de,320_3_derbiokoch.de,320_4_derbiokoch.de,320_5_derbiokoch.de,320_6_derbiokoch.de,320_7_derbiokoch.de,320_8_derbiokoch.de,320_9_derbiokoch.de,320_10_derbiokoch.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,2148.7999999999984,1074.1200000000001,1564.54,1095.6799999999996,1539.06,2976.7999999999993,1114.1000000000006,1917.4000000000008,1586.8000000000002,1484.46
3,5520.56,5224.12,4091.36,5119.920000000002,4121.04,4899.160000000001,4942.84,5288.96,3599.52,3626.0400000000004
4,6382.98,6388.76,4032.7599999999998,6159.88,4745.02,9625.800000000001,4445.879999999999,8430.68,5082.32,5291.879999999999
5,10035.199999999993,8137.4800000000005,8100.04,8252.719999999998,8524.88,12440.68,8293.84,10700.200000000004,8508.08,9040.200000000004
6,17785.999999999993,15710.199999999999,15421.69999999999,15647.800000000003,12065.799999999992,15868.900000000001,15894.8,20549.60000000003,8412.8,12190.7
7,28048.56,29851.32,15695.6,17588.12,16427.48,23788.28,23656.12,28072.12,16212.72,15113.759999999998
8,29846.480000000003,28048.36,28202.06,31379.039999999997,29409.16,37052.06,26328.559999999998,45237.92,15868.96,16220.18
9,38460.4,28876.84,26534.88,34857.16,27965.04,35234.36,28653.48,49427.84,28579.12,21779.96
10,39397.94,38264.12,29497.34,33450.48,28762.94,51001.34,32516.66,74164.44,27422.720000000005,24820.90000000001
11,47370.4,42447.8,40895.39999999998,48689.799999999996,36959.0,57452.6,34524.4,135804.40000000002,35219.599999999984,36575.2
12,82466.79999999999,98071.92,44126.86,50647.72,36782.7,92838.31999999998,53584.72000000006,199974.64,44132.04,35086.619999999995
13,89528.12000000001,129735.95999999996,67187.48,70830.8,71951.40000000001,143149.08,87563.28,205976.6,49479.4,36433.88
14,134177.80000000002,183466.40000000005,131281.8,117994.4,126314.84,209426.4,91651.92,211756.12,51589.6,53606.1
15,158598.32,207051.59999999998,176611.24,165286.92000000022,171518.20000000013,217022.04,92793.32,217900.28,67213.83999999998,58056.36
16,167472.3,211271.19999999998,209929.7,212320.00000000003,202709.9,217811.7,107564.40000000001,219826.2,119569.99999999999,73084.20000000004
17,220716.27999999982,211127.48,209539.04,218024.36,207651.16,245492.8,107807.28,237164.96000000002,157900.43999999997,102533.36
18,245157.02,227855.76,210004.32,219129.32,211602.24,259466.67999999996,113239.70000000001,251079.84,201837.72,104461.12000000017
19,246087.0,252016.32,227301.44,231680.4,210589.72,260478.92,120966.87999999999,259318.72,210194.36000000002,135441.4800000002
20,249244.39999999997,255012.0,237546.74,240223.88,224458.51999999993,269452.73999999993,150247.54000000007,263532.32000000007,209980.08,186894.00000000003
21,262504.0,256108.2,250693.2,260442.00000000006,241938.6,268671.6,177701.8,278417.4,209305.8,213277.8
22,266251.86,264305.32,252053.46,264481.72,247487.46,310614.1999999997,218817.2400000001,315136.4,218757.87999999992,221029.91999999998
23,300055.95999999996,340746.52,275591.63999999996,289487.84,255150.88,397964.3599999997,256119.68,387353.96,241805.48,240457.16000000018
24,308266.62,420546.83999999997,282544.88,301678.16,256861.12,508645.93999999965,266780.58,470855.56000000006,251263.08,251612.88
25,349726.39999999985,485501.3599999999,289275.96,339878.36,309447.04000000004,603638.92,289338.56,537176.6400000001,253771.76,261170.08
26,435445.5,521895.0,364762.0,394535.00000000006,398147.0,685674.5,364313.0,624043.0,254416.0,262456.5
27,491512.59999999945,584183.3200000001,421906.16,451671.24,445718.44,725382.56,424512.92,681569.08,257463.2,287427.76
28,522422.77999999997,680434.1999999997,473829.88,508534.88000000047,522985.92,785080.5,443631.7,726398.6000000001,281809.84,311683.76
29,535663.2,747581.72,526264.36,578064.4,591080.8400000001,833476.2,494801.64,796330.0800000001,327732.07999999967,349837.60000000003
30,549298.1,750875.72,545260.82,646486.2800000005,677479.8400000002,875531.68,558590.8000000002,851121.84,386706.0799999999,369122.80000000005
31,575709.7999999999,760208.0000000003,549949.1999999998,681365.4,743547.8000000002,880108.4,633872.2000000002,859925.0000000006,434148.8,401079.2
32,633828.4399999992,784538.3999999999,621699.5399999999,721367.7600000001,765897.32,881316.02,719993.28,872009.4,486623.11999999994,470000.8000000002
33,692458.7999999999,807854.12,639747.6,729108.16,777504.28,901084.08,761429.64,884590.2000000002,534496.5599999999,526013.8000000003
34,748785.6599999999,858636.04,710677.1199999996,787320.64,827727.5000000001,901945.52,794407.48,891878.92,592979.8799999999,566868.3
35,806887.3199999997,891494.92,771120.84,836237.0,834047.76,903472.56,811572.6,897453.96,653689.7599999997,602830.6000000001
36,867964.2,890462.4,808924.3999999997,865570.8,852166.6000000001,906755.4,868297.0,900909.2,744495.5999999997,621524.7000000002
37,873314.92,893163.88,857602.1999999996,879207.04,862035.68,907510.48,874433.6,902411.64,748387.2,654343.1200000003
38,875124.64,896542.16,873647.14,898238.52,871590.74,922665.96,897766.74,903751.8,785734.3999999999,687504.12
39,882372.32,895184.56,873597.84,901232.76,891625.92,923326.04,899516.4800000001,908948.4000000001,838385.6,725430.7200000002
40,900024.46,897431.12,895537.72,904590.28,893174.26,925637.16,899991.12,914425.92,851604.32,757648.3200000001
41,905403.2,902914.2000000001,898158.6,904030.8,894530.2,927793.4,903495.6,913020.4,859764.2,768927.6000000003
42,905852.9,912557.2,898922.46,909316.76,898037.46,932468.74,905225.32,914283.24,869241.36,806106.0400000002
43,919265.52,914851.24,900267.64,910573.5599999999,901105.24,933476.92,906057.4,918492.12,872149.44,837631.6000000006
44,920876.3999999999,916593.56,902503.7199999999,912453.88,901258.92,933804.56,921546.42,943762.1200000001,872544.5599999998,856665.3
45,927865.08,928291.64,904267.4,914848.52,915056.72,946162.36,922535.5599999999,964412.4400000001,890568.12,876025.88
46,929802.1,932788.0,904645.2,917426.4,915861.9,966383.2,925099.0000000001,965153.6,892701.8,881317.9
47,931952.84,954593.12,904591.28,927832.68,918150.4,967164.12,931180.6,970538.08,893235.16,899349.6799999999
48,933944.5999999999,957140.8,919691.54,951330.28,918706.86,976842.0,935670.78,973771.24,895827.88,900809.76
49,951692.1599999999,960504.84,921540.12,971315.48,922529.68,982877.88,948439.08,973707.72,896985.08,901646.92
50,966148.96,960499.08,923389.18,971223.0,922417.84,982804.44,968528.16,973661.64,896503.56,905830.8
