index,328_1_www.wetteronline.de,328_2_www.wetteronline.de,328_3_www.wetteronline.de,328_4_www.wetteronline.de,328_5_www.wetteronline.de,328_6_www.wetteronline.de,328_7_www.wetteronline.de,328_8_www.wetteronline.de,328_9_www.wetteronline.de,328_10_www.wetteronline.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,50640.68000000001,84617.64,89795.72,58203.31999999999,90461.52,69805.08,64570.88,63800.24,84552.44,79290.6
3,162849.0,117917.64,405279.60000000003,114695.92,134474.4,117767.56,108447.04,191923.28000000003,121327.0,114726.99999999999
4,390742.56,446773.2799999999,561304.36,452204.12000000005,560196.5599999999,398025.92000000004,324444.8,407780.96000000014,331774.36,213716.99999999968
5,462171.44,585921.84,651152.04,567046.0399999999,737411.92,546302.76,485147.88,535656.0800000001,530256.32,436220.6
6,533220.0,786334.4,952753.8000000006,764500.9,813622.8,570607.4,642871.6,576797.2000000002,541199.0000000001,502041.0
7,656261.6,808746.48,1191634.12,784443.32,1063947.1599999995,620087.6000000001,892902.24,734533.44,789183.88,527410.3999999996
8,810984.0,948720.5599999996,1484817.36,869211.1199999999,1306639.48,743666.56,1103447.56,990513.24,1020524.8399999999,691291.2000000001
9,894048.2000000001,1237535.6,1573775.8,928709.32,1383175.16,831757.72,1282782.28,1341841.12,1358837.28,928865.3999999998
10,1049342.2,1439222.8399999999,1691978.8399999999,1210906.6599999997,1631250.6,1009633.4,1469887.76,1660064.1199999999,1524853.84,1120286.5999999999
11,1154993.8,1598508.6,1756998.6,1418105.8,1761621.8000000003,1268268.5999999996,1650559.0,1687114.8,1597584.4000000004,1314445.0
12,1254233.92,1675895.48,2081204.68,1608038.259999999,1975908.9600000007,1561904.5999999999,1798139.2000000002,1726264.52,1685044.36,1532333.5999999996
13,1438550.3599999999,1745148.12,2176922.16,1700973.08,2126894.4,1620587.04,1981258.4399999995,1780920.5600000003,1925541.8,1622618.9999999998
14,1776068.56,1809863.68,2228398.8000000003,1828238.76,2241680.0,1833532.72,2092703.96,1865126.2,2056668.6,1869322.9999999998
15,1919250.2,1906389.52,2489126.72,1907325.04,2388401.88,1861259.88,2149924.84,1894063.08,2223212.7600000002,1964648.6
16,2233525.2000000007,2153957.599999999,2545975.2,1976945.7999999998,2589604.6,2102867.8,2387408.0,1933974.0,2461229.4,1984753.0
17,2353942.76,2379038.88,2750271.08,2038990.48,2638523.84,2111346.72,2460059.48,2143390.6,2506281.56,2056392.8
18,2453394.56,2503757.92,3007540.92,2218560.16,2771374.4,2132809.64,2570712.32,2317912.56,2646232.36,2163484.8
19,2480703.56,2615553.7600000002,3039617.76,2523946.04,2935761.04,2187082.08,2627659.84,2443586.4800000023,2710373.88,2328706.799999999
20,2505586.56,2834820.3999999994,3067638.12,2609566.02,3072653.8,2249245.72,2679920.4,2581372.92,2773078.64,2428126.8
21,2576287.8,2887167.2,3115704.800000003,2688987.8,3162422.0,2440442.0,2702642.4,2703270.6,2799816.0000000005,2492352.0
22,2669709.92,2893879.72,3140334.08,2754322.3,3176884.48,2616842.36,2762192.8,2823894.12,2814456.72,2596741.2
23,2752684.72,2934732.72,3183620.84,2821515.0399999996,3212736.76,2680726.5999999996,2802777.68,2972205.4400000004,2876018.16,2653530.4
24,2816178.28,3008636.08,3315503.52,2863404.04,3235678.96,2831198.5200000005,2879781.56,3105960.36,2893864.92,2695871.0
25,2839916.64,3074458.2399999998,3351671.64,2886442.28,3278345.8,2927814.6,2958723.16,3196703.28,2915790.64,2725554.8
26,2974196.0,3114869.0,3411929.0,2907101.5,3318329.0,2951576.0,2990382.0,3244799.0,2935448.0,2773692.0
27,3104389.2,3389350.76,3463138.4800000004,3008216.72,3339951.44,3140772.2399999998,3041289.88,3314286.52,2977423.92,2834641.2
28,3136918.16,3426152.6,3500592.36,3051702.94,3350925.6,3250512.16,3082330.56,3356720.8,3011962.7200000007,2945777.8
29,3277504.36,3449523.96,3519432.44,3092509.7600000002,3399352.6,3263616.96,3142101.12,3397250.28,3084211.1999999997,2962788.8
30,3426002.68,3494005.16,3604527.96,3129699.82,3436765.12,3288095.2399999998,3188658.84,3440949.4,3229101.44,2984252.0
31,3438971.1999999997,3517924.4,3606209.6,3238087.3999999994,3536658.4,3411669.4,3219581.0,3462221.4,3369936.8,3174639.0
32,3451884.88,3525907.16,3644134.320000001,3278058.06,3675802.4000000004,3469740.68,3335516.6,3476373.680000001,3395183.28,3353253.6
33,3509956.2800000003,3560174.36,3775215.32,3312373.36,3771431.96,3511906.7600000002,3361423.96,3531485.16,3413626.32,3542496.4
34,3577168.56,3564206.879999999,3823157.6,3318555.159999999,3850018.24,3594203.4,3460492.04,3545728.08,3450043.48,3557703.4
35,3595292.9200000004,3586224.7600000002,3871169.12,3359756.72,3888264.2800000003,3607663.88,3482815.52,3582859.48,3460642.56,3587266.2
36,3666613.6,3637730.6,3906675.4,3374996.7,3904560.4,3621098.4,3508879.9999999995,3620575.6,3495876.2,3666325.0
37,3670933.800000001,3655769.2399999998,3933862.92,3389011.6,3991213.08,3643276.88,3525200.72,3647591.68,3560673.44,3684407.0
38,3693295.72,3675541.04,3959993.7600000002,3441265.24,4058458.64,3645265.36,3573620.52,3702779.12,3574879.72,3744225.8
39,3718592.76,3710640.6799999997,4005438.36,3544426.2399999993,4079239.64,3700872.92,3615812.8,3738454.4400000004,3609650.72,3830388.6
40,3744304.8800000004,3739379.3200000003,4025223.36,3681449.4799999995,4107466.28,3745515.44,3701375.88,3765392.52,3621641.84,3868274.9999999995
41,3766310.6,3786733.0,4042230.8,3707543.2,4130355.8000000003,3769236.0,3747493.8,3817230.0000000005,3668550.0000000005,3935823.0
42,3790242.52,3796146.4400000004,4076841.68,3759840.4,4166138.319999999,3781645.96,3759099.7199999997,3847132.44,3703384.96,3960327.2
43,3805663.64,3814082.56,4091232.24,3780068.04,4205434.76,3805713.2399999998,3762889.72,3859880.52,3719221.92,4041430.4
44,3842408.96,3834484.8,4121787.16,3823816.36,4233263.56,3833143.6,3777380.2,3884632.2399999998,3742911.44,4056695.0
45,3860861.92,3863962.16,4153727.76,3863402.7600000002,4272893.92,3854524.0000000005,3801631.52,3917489.12,3764966.12,4103992.2
46,3884258.2000000007,3886199.0000000005,4172932.4,3907558.3000000003,4307237.6,3856546.6,3823718.999999999,3933763.6,3795362.8,4227031.0
47,3900398.8,3922175.36,4272603.28,3920718.68,4331043.16,3874978.4800000004,3851264.52,3957400.12,3820709.84,4315205.0
48,4128980.84,4151843.8,4450215.84,3929622.26,4384285.24,3898172.16,3878145.44,3978007.04,3850299.64,4409092.600000001
49,4148148.92,4182354.9199999995,4533318.240000001,3955669.6,4583452.399999999,4027118.4000000004,3909418.56,4013334.48,4035751.76,4428319.6
50,4156427.36,4199974.680000001,4588131.32,3982477.42,4591087.04,4141023.56,3925210.96,4231488.200000001,4093221.68,4448803.8
