index,339_1_www.mindmeister.com,339_2_www.mindmeister.com,339_3_www.mindmeister.com,339_4_www.mindmeister.com,339_5_www.mindmeister.com,339_6_www.mindmeister.com,339_7_www.mindmeister.com,339_8_www.mindmeister.com,339_9_www.mindmeister.com,339_10_www.mindmeister.com
1,-442.0,-442.0,110.0,-442.0,-442.0,-442.0,-442.0,-442.0,102.0,-442.0
2,4471.88,5107.98,5306.080000000001,4891.6,5276.12,4703.54,5184.38,5080.18,4205.4,4868.4
3,15112.36,13687.56,15646.04,15373.6,15787.52,15467.48,12120.44,12515.199999999993,7642.599999999999,13051.199999999999
4,27873.640000000003,32115.94,31579.68,29755.599999999988,30356.36,30817.620000000003,34159.62,30435.96,31937.8,32190.100000000002
5,25424.52,28198.92,29873.320000000003,29377.2,29487.76,29471.079999999998,31578.88,29206.04,30381.8,29753.0
6,31421.0,29234.7,28746.799999999992,29706.0,29129.3,33008.3,29770.899999999998,29955.2,28542.0,33302.5
7,38767.159999999996,33275.04,40318.44,38558.200000000004,35648.159999999996,42402.28,38901.28,34667.04,29398.8,38789.399999999994
8,53748.52,44228.06,59981.62000000001,46855.6,44588.07999999999,56368.719999999994,51011.94,38071.22,38590.399999999994,47396.9
9,69597.88,54215.56,58007.92,70600.79999999999,56327.88,56783.24,74588.68,54426.72,51741.399999999994,60156.4
10,84891.24,59602.68,53732.94,89803.8,59312.46,85399.04,74734.42,64178.14,59161.2,60627.700000000004
11,104413.80000000002,67651.20000000001,94793.99999999999,95596.0,76893.00000000001,102435.6,91381.99999999997,80206.6,69634.0,91736.0
12,124939.16,95616.8,106793.39999999994,95428.59999999995,103319.62000000001,110002.88,110680.39999999992,102266.06,75101.2,118604.80000000003
13,126590.76,106120.40000000001,118367.79999999994,131288.6,124701.03999999998,121610.76,141096.75999999998,107654.68000000001,88240.00000000004,133277.40000000002
14,138898.76,121395.64,118515.34,154727.99999999994,135591.6,122535.58,143453.36,134054.88,127674.59999999999,134966.9
15,174542.28,133847.35999999996,166208.59999999974,203532.20000000007,155120.92,119297.76,139747.36000000002,135620.63999999998,130539.99999999997,131466.4
16,338904.4000000001,158266.00000000017,251224.2,219701.0,207864.2,140701.89999999994,249085.69999999963,161808.2,133193.0,207949.0
17,409489.83999999997,230969.36,320872.1599999999,286698.6,307652.52,314632.8799999998,356066.08,199919.7999999999,178709.4,353980.00000000006
18,542542.24,284249.27999999985,435653.29999999993,494996.9999999998,410853.3,490526.54000000015,470274.24000000005,238536.48,275428.39999999997,539163.5
19,576132.68,410118.7200000002,551943.8,566694.0,489973.7200000001,568522.84,541205.7599999997,381458.56,348316.00000000006,569193.2000000001
20,624579.84,549387.0,574709.96,671893.0,568590.1,577181.8799999999,582304.98,550560.1999999998,529785.6,685653.7999999999
21,654412.8,568924.8,593941.2,825600.0,616449.6000000001,642660.7999999998,669453.3999999997,572865.2,566801.0,832199.0
22,694830.8399999997,571798.5599999999,656222.86,855134.4,768171.72,815534.88,868817.12,691402.6399999997,617870.6000000001,871529.7
23,771358.9600000002,576475.08,695733.28,886819.2,874735.52,888113.52,893632.0,842461.44,744336.4,882472.4
24,866058.3600000001,586625.3999999999,701676.88,904854.2,896015.02,913799.0800000001,910603.94,857032.56,853462.0,887523.4
25,930679.5999999996,644188.28,715808.3999999999,908661.8,902340.84,917761.28,921751.28,868212.6,891442.4,889364.2000000002
26,1020340.0,697449.0,765080.5,969190.0,906865.5,917909.0,969643.5,898640.5,900024.0,960937.5
27,1075549.32,738983.28,848820.6799999998,989515.7999999996,911600.3600000001,982474.0000000002,1022487.64,1022488.1600000001,904947.8,1008199.4000000003
28,1204289.8399999996,762279.96,929227.4,1056824.6,992119.9999999999,1056282.54,1134627.3399999999,1083467.16,909464.6,1126445.5
29,1309088.96,891271.359999999,997511.24,1181356.6,1133746.7199999997,1235512.7599999998,1290465.9999999998,1126436.16,965456.0,1168474.4
30,1448864.0,997241.36,1119475.8,1275577.0,1254732.74,1400159.78,1352353.96,1168704.2399999998,1117323.2,1228657.2000000002
31,1556083.2000000007,1099456.4000000001,1216473.5999999996,1332961.0,1373980.6,1523959.9999999995,1472385.2,1288988.1999999988,1193984.0,1337928.0
