index,351_1_de.napster.com,351_2_de.napster.com,351_3_de.napster.com,351_4_de.napster.com,351_5_de.napster.com,351_6_de.napster.com,351_7_de.napster.com,351_8_de.napster.com,351_9_de.napster.com,351_10_de.napster.com
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,3955.08,3606.0,4009.080000000001,1973.3600000000001,3624.76,3598.44,4131.9,3843.54,3689.46,3597.36
3,5145.680000000001,4999.0,8496.56,5462.199999999999,6340.48,6817.480000000002,8291.6,6564.52,6021.2,6085.28
4,7847.399999999998,9842.0,21577.04000000002,9651.68,18051.240000000005,16381.380000000003,25699.100000000002,11355.600000000002,14720.44,16912.96
5,24304.72,22510.0,27759.8,25093.760000000002,25651.96,23740.079999999998,27691.2,24675.72,23259.28,26027.64
6,39257.00000000001,32077.0,77080.9,43256.999999999985,48719.29999999999,40717.600000000006,64627.0,28328.499999999996,54309.2,44528.8
7,76031.84,36684.0,100400.36,62815.40000000001,82764.59999999998,81166.24000000002,172337.2,72409.16,78756.56,82002.92000000011
8,105542.98000000003,71424.0,175508.16000000003,116175.4,103938.61999999997,119157.78000000001,180157.1,126990.65999999993,133791.62000000005,115221.76000000001
9,133972.2,102093.0,180445.84,158212.91999999998,124888.51999999995,169400.92,199745.19999999992,171324.08,178548.68,168383.64
10,159392.58,132186.0,196280.7,178199.24,167731.08,179951.54,245606.7,176368.32,184815.26,181284.76
11,180405.4,147583.0,248153.80000000002,183735.8,199013.0,202205.40000000002,250039.0,190433.2,206135.0,196506.8
12,189098.2,194725.0,245298.82,203765.36,244035.71999999997,264212.60000000015,258359.49999999997,231828.62,258368.72000000003,232621.59999999998
13,241981.59999999998,233649.0,252399.44,243131.24000000002,277832.19999999995,315130.76,299569.99999999994,267299.96,276520.88,250060.72
14,245974.38,261804.0,265027.54000000004,263631.8799999999,325666.43999999994,339151.72,321381.1,302215.58,280467.58,261634.84000000003
15,247783.76000000004,264067.0,284252.2,272752.28,334563.84,373504.56,348796.79999999993,325297.72,303924.28,270273.1200000001
16,252069.5,267209.0,315168.8,289762.2,338065.1,374849.60000000003,381786.0,359219.9,345121.1,297658.0
17,280314.44,306881.0,358518.96,322268.24,349780.6,378443.48,426388.0,376590.64,378162.24,318341.6
18,320505.94,344306.0,391532.9,349909.56,359040.39999999997,383195.3,478909.8999999999,379567.58,385577.36,343555.2
19,346601.07999999996,375492.0,406008.92000000004,378247.04,375588.8,399047.39999999997,516036.99999999994,386547.48,387162.04,354698.8
20,401271.66,394407.0,486380.36000000016,386619.76,387698.88,438122.20000000007,552372.4,391238.62,394541.74,369009.96000000014
21,421626.0,414957.0,526353.7999999999,385426.0,415103.2,499506.39999999997,603984.0,395046.60000000003,406076.8,397805.0
22,434119.68,449170.0,564399.24,413384.0800000001,450163.92,544380.06,646652.7,407410.26,463323.7,416703.28
23,453165.60000000003,489476.0,599388.6,433680.52,474918.2,575000.8,725617.2,432424.83999999997,509604.80000000005,444786.19999999995
24,485230.69999999995,540664.0,653939.0000000001,476067.27999999997,514157.3,623168.7000000001,774705.2,483409.04000000004,541450.7,487712.8
25,538815.6799999999,560313.0,737649.04,522722.60000000003,551405.3999999999,636999.52,815962.2,508700.52,594083.6799999998,534943.8
26,579670.0,589445.0,773173.0,565767.0,599298.9999999999,643989.5,905891.0,549523.0,638666.5,572819.0
27,607032.6000000001,635865.0,775839.96,602051.32,644722.8799999999,650746.72,951675.0,615082.96,705417.52,615841.68
28,693086.3600000002,682537.0,790748.6600000003,635004.4399999998,693461.7,677964.22,970294.9,677145.96,763980.3,662930.2
29,762182.4400000001,726803.0,840867.3200000001,720406.6,749779.7999999999,709621.04,996182.4,732709.44,827221.2000000001,689944.92
30,806037.0399999999,762195.0,890818.76,760507.2799999999,762932.7999999999,728749.66,1025630.5999999997,800838.9800000001,874721.0399999999,748586.36
31,885316.7999999998,802030.0,926027.4000000006,777632.7999999999,775214.8,771353.6000000001,1074557.0,887975.0,930683.0,767657.4
32,979164.9,852769.0,966100.3,799615.88,781737.48,802099.74,1096394.9999999998,936407.88,971093.34,773404.96
33,988486.68,903016.0,999657.0400000002,824820.72,790732.68,836614.6000000001,1111380.7999999998,959599.36,990486.88,793609.2
34,989446.5599999999,923937.0,1039889.52,852879.8399999999,825866.5999999999,859585.24,1136945.0,1006425.42,992824.7000000001,846135.48
35,993238.68,942586.0,1113846.8399999999,873911.2,834160.64,884837.16,1141128.8,1009652.36,1000590.64,875705.1200000001
36,1009008.6,987403.0,1135223.5,904031.0,881053.4999999999,923365.2,1146647.5,1012462.9,1038881.2999999998,904479.8
37,1026887.6,1007002.0,1138153.28,919792.3999999999,891545.36,935871.72,1175124.0,1038729.76,1052156.24,933311.92
38,1035110.84,1007400.0,1143104.14,944695.52,909581.4199999997,956985.4400000001,1172035.4,1049520.48,1088971.1199999999,969434.7599999997
39,1035439.48,1035237.0,1152624.4,976350.8,929733.0,999056.4000000001,1183492.0,1066000.6,1103188.24,996992.32
40,1050648.76,1048616.0,1167815.16,982320.44,992265.4399999998,1042296.3600000001,1191931.1,1082213.64,1123362.3800000001,1015074.2
41,1066930.0,1064333.0,1179959.0,987005.2,1021222.0,1062174.6,1194459.0,1083157.2,1139571.0,1052922.2
42,1074875.98,1074554.0,1181843.64,1009102.12,1054830.86,1119906.9,1196424.9000000001,1091833.16,1150410.38,1058031.68
43,1079917.72,1105856.0,1190025.1199999999,1033138.8,1075670.2,1131295.92,1201731.0,1109179.2,1154224.08,1082659.92
44,1091860.5,1112348.0,1193336.04,1065941.08,1105756.699999999,1149391.7,1210694.6,1112410.5999999999,1155137.02,1098882.68
45,1106103.6,1117289.0,1197763.24,1083256.96,1125001.04,1171678.2000000002,1212910.4,1119858.7999999998,1171995.32,1131984.44
46,1141121.8,1124795.0,1200481.9,1099668.8,1132182.5,1177954.6,1214959.5,1128940.5,1182588.7999999998,1167323.0
47,1143606.28,1139683.0,1206188.52,1102941.76,1145952.4,1189512.08,1224921.6,1148144.0,1185247.72,1169848.44
