index,356_1_www.deezer.com,356_2_www.deezer.com,356_3_www.deezer.com,356_4_www.deezer.com,356_5_www.deezer.com,356_6_www.deezer.com,356_7_www.deezer.com,356_8_www.deezer.com,356_9_www.deezer.com,356_10_www.deezer.com
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,4079.72,1529.5999999999992,3162.2000000000007,4095.2,3264.2000000000003,4096.92,2194.3999999999996,3807.8399999999997,3561.72,1197.199999999999
3,5219.04,5434.08,5026.88,4754.2,5062.68,6054.959999999997,5428.52,5575.280000000001,6170.56,5222.68
4,8497.6,6207.32,8473.68,8556.1,8467.48,11539.799999999992,8421.08,8713.56,17313.1,6117.44
5,17474.92,8409.799999999996,14596.48,14421.200000000003,16601.280000000002,14160.919999999995,9558.199999999999,12479.840000000002,22213.480000000003,8380.599999999993
6,23304.400000000012,17691.6,20364.50000000002,24864.5,22403.99999999999,18163.999999999996,18053.8,23093.899999999998,24091.899999999998,17034.0
7,25445.88,17630.84,23801.64,22752.399999999994,24075.279999999995,25340.200000000004,23921.96,20591.88,30453.68,21998.96
8,26061.44,20908.399999999983,24399.92,25992.9,24459.16,28537.280000000002,24493.07999999999,24812.24,30630.139999999996,23105.16
9,29597.84,23939.680000000004,30859.48,29790.600000000002,28177.28,31843.760000000002,25878.28,30844.84,30480.760000000002,25781.359999999986
10,30481.400000000016,28616.83999999999,29749.78,29956.699999999997,29752.76,35523.48,29865.56,28674.82,37092.88,29494.32
11,34907.6,29697.600000000002,33412.4,31970.0,29534.800000000003,36860.8,30526.4,26333.600000000006,36354.99999999998,31816.2
12,39821.76,29346.96,31490.259999999995,32328.499999999996,32510.359999999997,35722.59999999997,33005.04,31062.38,63685.78,33046.72
13,42638.76,31646.719999999998,32003.600000000002,66517.59999999999,39217.92000000004,42984.00000000001,31479.92,47901.600000000006,132136.76000000004,30855.44
14,91721.84,41055.56,32893.28,162839.50000000003,51391.32,56045.63999999996,33909.64,55152.59999999999,198045.1,30550.0
15,162841.28,49617.96,31947.64,227983.60000000027,52368.640000000036,61097.68,38072.04,57491.72,289468.80000000005,31696.719999999998
16,224953.40000000023,51089.79999999987,65875.4000000001,303969.5,58492.6,125110.19999999981,57341.19999999997,56439.8,380325.30000000005,65672.8
17,285071.64,110259.16,114930.92000000004,388153.60000000015,64324.24,189143.4799999999,96411.28,90805.48,491376.2,112885.92
18,356167.68,139873.20000000004,175332.60000000006,495535.3000000001,79753.79999999999,282602.6,154153.44,146870.80000000002,542068.44,177803.28
19,397198.0000000001,217453.19999999998,210979.80000000002,549421.4,144268.95999999996,365717.95999999996,196960.00000000003,222771.51999999996,607067.9999999999,232660.6
20,442551.2,250762.31999999992,293275.72000000003,615366.9000000001,207562.91999999998,427867.36,262677.00000000006,301367.3999999999,655376.26,274441.3599999998
21,512093.00000000035,314942.1999999999,352019.0,647638.0,278062.8,471616.0,332188.4,357135.19999999995,663033.6,357723.99999999994
22,538051.3999999998,365757.72000000003,405255.7600000002,653611.7,354188.1600000002,579781.24,391918.72,462383.16,713985.7200000003,396726.19999999995
23,644768.2,455642.27999999974,475230.1600000002,658636.2,427976.4,671796.5599999999,462542.51999999996,537667.12,797496.96,473600.0399999999
24,659721.6,540437.6799999996,548416.3,660982.5,496699.60000000003,676394.84,588721.3199999998,610524.9399999997,845460.28,570377.6
25,664112.32,657856.5599999998,619422.0,688644.4,518395.80000000005,679044.88,653089.08,667326.68,894718.84,643498.12
26,668195.0,662929.0,646846.0,722054.0,625421.0,724709.0,656255.0,671235.0,938272.5,648616.9999999999
27,686671.56,669334.64,649199.24,779572.0,675690.08,739990.7999999999,658678.8,710014.2,943786.32,649039.88
28,745827.1200000002,673822.08,650135.56,816832.7,678809.04,792533.8,700168.0800000001,723992.9399999998,991084.2799999998,654199.5999999996
29,767021.84,687515.7999999999,650906.72,906442.2000000001,681128.92,852640.3999999998,740571.4799999999,806619.96,1017924.3600000001,686981.8
30,801207.4800000001,755441.84,724052.6200000001,934140.3,701030.04,946951.12,761816.8,812806.4,1025015.7200000001,733930.3599999995
31,834123.0,803867.6,787519.8,937785.0,716101.6,952966.4,793475.9999999999,832695.3999999998,1064374.8,771643.1999999997
32,851407.8,808773.6,788589.1,940175.4,748442.08,956881.96,880549.68,874704.8400000001,1161083.7,792912.3999999999
33,924575.6,823093.72,802722.32,941028.4,803156.4,1005993.7599999999,933180.08,910920.04,1196177.4,844967.9199999998
34,944384.24,853296.0,825740.72,960502.4,886529.4,1029047.8399999999,934211.28,948067.2,1203122.54,923816.72
35,961544.36,869728.84,857817.1600000001,964370.0000000001,927395.4,1036147.4,938117.24,956548.88,1207993.08,926765.0399999999
