index,361_1_www.spotify.com,361_2_www.spotify.com,361_3_www.spotify.com,361_4_www.spotify.com,361_5_www.spotify.com,361_6_www.spotify.com,361_7_www.spotify.com,361_8_www.spotify.com,361_9_www.spotify.com,361_10_www.spotify.com
1,-442.0,-235.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,8227.880000000001,6331.88,8323.48,8362.36,6277.16,6598.74,6622.600000000003,6120.18,8907.760000000007,6068.959999999999
3,43919.36,45330.56,45791.68,27739.04,45402.56,31491.68,38097.4,45504.88,17741.8,39373.12000000005
4,51696.12,48022.56,50314.44,39053.32,48150.92000000001,41448.87999999998,48069.299999999996,50047.54,51126.96000000001,42896.36
5,67560.44,64892.8,56882.59999999998,55548.840000000004,54824.56,55718.96,57233.399999999994,56134.88,60091.68,55118.479999999996
6,96936.99999999999,95247.99999999999,87123.59999999999,95309.2,76664.20000000001,70554.49999999997,121004.0,79156.00000000016,70583.00000000004,75233.0
7,249750.44,147846.15999999995,148731.19999999995,177261.6,122553.72000000006,129646.55999999995,139794.4,140695.24000000002,94807.68000000001,116604.24000000005
8,274611.16,216132.4,250470.16,220170.44,224560.08,217301.56,250751.8,249820.58,218185.24000000017,249325.56
9,299599.0,264150.04,277860.1199999999,260596.0,283492.32,225235.52,280801.80000000005,255433.44,259937.64,277291.76
10,362896.87999999995,285281.60000000003,318019.12,271000.4,294491.28,249764.09999999995,302087.00000000006,285942.62,302925.0,295407.76
11,423159.6,322096.4,372147.0,298504.6,354593.79999999993,306563.0,389820.0,311006.00000000006,358524.00000000064,370836.8
12,431145.1999999999,420931.88,421018.28,306046.51999999996,423159.56,341571.74,395421.1,373733.14,423703.95999999996,418639.64
13,483805.4,426692.56,429806.16000000003,399754.04,433158.60000000003,399429.96,394744.39999999997,400463.64,435666.12000000005,425088.16
14,625438.3999999999,441381.52,431666.16000000003,459387.8400000001,525106.96,417269.3,420705.7,417107.9800000001,495760.76,441135.6
15,740678.48,446933.27999999997,441278.16000000003,511136.28,644174.92,503469.27999999997,433223.6,554596.44,516498.04,498929.24
16,752215.6,462687.2,446136.2,538374.4,672954.2000000001,639136.2,474764.0,697331.8000000002,579546.0000000001,550480.2
17,767664.32,511917.52,469761.12,625384.24,701369.56,717225.28,546647.8000000002,718900.28,698559.92,559867.72
18,810490.7199999999,531270.52,540224.2,785914.88,749523.48,722540.58,594194.5000000001,750336.64,798213.8000000002,642564.7200000001
19,855267.52,660850.0400000002,600722.32,810680.48,804899.64,732507.2399999998,688802.8000000011,783501.6000000001,845379.36,731752.24
20,886837.76,736912.0399999999,653304.7999999999,847776.4400000001,850029.88,783033.28,818452.1,820206.86,876250.1200000012,760484.6000000001
21,891349.2000000001,816860.8,708450.4,880897.4,880438.8,822794.9999999997,851084.0,853002.4,881032.4,850981.0000000002
