index,374_1_www.kino.de,374_2_www.kino.de,374_3_www.kino.de,374_4_www.kino.de,374_5_www.kino.de,374_6_www.kino.de,374_7_www.kino.de,374_8_www.kino.de,374_9_www.kino.de,374_10_www.kino.de
1,-442.0,641.0,-442.0,1539.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0
2,72721.1,57464.16000000001,55347.28,48485.04,48506.4,62104.28,24482.599999999984,48971.72,58577.14,14319.5
3,212480.76,203304.24000000002,188600.96,168085.28000000003,167492.0,247761.4,133019.39999999997,105853.6,188779.6,173526.24
4,311030.46,313638.72000000003,291803.66,285041.72,253433.99999999994,326473.6,292055.2,274189.88,290710.38,280300.24000000005
5,403547.48,408003.88,327474.96,312115.52,307569.8,428509.04000000004,320592.8,300795.32,337270.32,309315.48
6,512811.2999999999,508313.0,426519.59999999986,401898.4,400767.0,582186.6,419034.5,328993.0,406956.5,365707.6000000001
7,608885.64,642060.5599999999,581237.4,473020.68,485334.2,662913.24,432542.4,416551.68,416854.64,500736.0000000001
8,666505.3999999996,723768.28,635717.3600000001,574184.7200000001,597250.4,739881.96,538556.6,493092.60000000003,585212.58,579670.86
9,745176.24,734037.92,686454.0800000001,651119.56,622743.0,748172.16,633636.0,606612.76,663844.52,643252.92
10,751891.38,759524.36,734124.22,723212.84,675962.2,807500.08,762129.6,659273.32,662666.14,718348.62
11,784641.9999999999,815405.0,746392.2,737231.8000000002,749780.0,838225.6000000001,787012.0,729788.8,706133.6,728556.6
12,825441.48,812036.88,762257.0599999999,744729.4,750386.2,858188.2,814530.4,747105.84,734608.34,733344.22
13,866854.0000000001,887527.9200000003,805318.76,766138.72,760814.2000000001,905457.36,819214.5999999997,745165.76,751839.2000000001,759880.24
14,887686.5,901613.52,828072.64,828149.2399999999,799652.4,935147.64,837242.9,763468.56,818373.4399999998,793624.62
15,904479.88,928406.8000000002,848894.84,862469.04,856068.0,951393.52,871153.4,812102.92,865043.0,817620.48
16,930018.2,954330.4,880234.2,865739.8,870862.0,985346.4,905659.5,837492.2,879011.1,822291.7000000001
