index,378_1_www.cinema.de,378_2_www.cinema.de,378_3_www.cinema.de,378_4_www.cinema.de,378_5_www.cinema.de,378_6_www.cinema.de,378_7_www.cinema.de,378_8_www.cinema.de,378_9_www.cinema.de,378_10_www.cinema.de
1,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,6752.34,8474.92,8378.52,8509.04,8274.12,8409.96,8287.74,8305.06,8467.56,6268.72
3,98389.56,97847.88,74094.31999999999,98295.68000000001,97635.08,98054.08,96344.2,96479.96,97819.04,82625.23999999999
4,109300.84,101539.16000000002,110826.24000000003,104996.64,105573.24,104384.12,105325.82,107886.92,111477.72,106220.28
5,154454.44,143950.68,122213.40000000002,145255.92,150583.48,159796.36,159842.24,148721.96,140918.04,151062.08
6,168593.30000000005,175686.60000000038,161876.0,155622.0,168620.8,168270.6,187277.1,154872.9,166392.8,163467.8
7,316973.0,276058.56,272722.0000000002,239333.3199999995,203928.12000000008,196130.59999999998,268324.16000000003,254369.92,229495.96000000002,168047.83999999997
8,440918.16,417577.44,385599.60000000003,372806.36,384909.84,333469.24,384700.74,367951.89999999997,367807.64,278562.16
9,514908.60000000003,470950.52,475173.72000000003,473556.3599999999,467432.56000000006,437329.0,444925.48000000004,470006.92,468640.04000000004,389232.76
10,589051.5199999999,515186.3,513979.12,518652.12,620244.32,608079.3999999999,547362.3600000001,511742.19999999995,505231.7199999999,475486.4
11,661289.6,524027.4,526943.4,537040.2,656741.8,624261.6,626570.2,531035.0,523637.39999999997,583565.4
12,691291.06,645950.7200000001,659512.76,659426.12,662931.2800000001,659093.16,649722.96,658409.46,557393.7600000001,622899.16
13,788081.16,670447.8,676091.12,678533.1599999999,674678.28,666652.3999999999,669621.28,669920.28,635183.0800000001,659144.64
14,802540.4,767790.3600000001,704555.4,739576.8399999994,738367.24,726329.28,678950.62,710147.4,691844.32,664428.12
15,807663.08,794585.84,795956.1200000001,793157.72,745279.4,738041.04,695795.4400000001,793749.84,771392.04,672049.84
