index,37_1_www.bahn.com,37_2_www.bahn.com,37_3_www.bahn.com,37_4_www.bahn.com,37_5_www.bahn.com,37_6_www.bahn.com,37_7_www.bahn.com,37_8_www.bahn.com,37_9_www.bahn.com,37_10_www.bahn.com
1,-48.0,-442.0,-48.0,67.0,67.0,67.0,-442.0,67.0,67.0,0.0
2,1705.0,875.9200000000002,185.59999999999974,-51.39999999999975,478.19999999999993,1389.3999999999996,804.9799999999998,604.12,785.7199999999998,559.1200000000007
3,8423.0,4312.16,1107.1999999999996,916.2000000000005,1927.6,5236.4,4305.12,2512.64,3334.36,2137.2400000000016
4,17758.5,6992.52,4774.6,4910.099999999999,2161.599999999995,8890.399999999998,7106.74,3322.360000000002,4460.820000000001,4474.5599999999995
5,25245.0,12586.519999999997,7578.4,8615.199999999997,4921.2,17529.200000000008,13054.56,5477.4800000000005,8868.56,8578.08
6,58660.5,15874.0,13583.0,14628.5,6424.0,21442.0,14212.300000000001,13528.200000000003,9520.000000000004,13034.6
7,59060.0,17597.24,17170.2,16739.8,9821.99999999999,52813.399999999994,19410.44000000001,14699.48,17086.639999999992,17401.840000000004
8,67234.5,18321.74,19306.4,19047.800000000003,12700.999999999982,52921.599999999984,22336.579999999998,16510.840000000022,22359.799999999996,19678.84
9,76041.0,51033.36,37443.200000000055,49757.39999999997,17681.2,61994.6,26267.359999999997,18470.079999999998,26001.44,25971.84
10,99278.0,48471.22,49558.8,49365.1,19650.8,67521.2,58424.82,23524.32,26649.6,37254.67999999995
11,131039.0,48954.200000000004,50295.0,49782.0,24311.0,81643.0,56028.6,27350.399999999998,58246.8,57330.8
12,164975.0,55245.86,53191.200000000004,52984.299999999996,26638.800000000007,105668.00000000001,59088.02,47992.76000000009,55868.159999999996,55406.35999999999
13,194740.0,61733.12,57137.799999999996,59452.6,27033.2,144750.20000000004,64270.88000000002,57696.88,58908.639999999985,60905.44000000001
14,312984.0,61566.54,61769.6,62000.6,53921.200000000004,183435.20000000004,68970.78,58487.84,64731.979999999996,67303.64
15,415694.0,65086.99999999999,62216.200000000004,65451.79999999999,52268.2,248438.99999999997,69393.36,61432.479999999996,68790.07999999999,69842.48
16,501715.5,78729.99999999999,67335.0,77332.5,50311.00000000001,329980.0,75280.40000000002,65035.399999999994,71477.00000000003,72497.0
17,528312.0,92159.23999999987,82111.00000000003,82614.99999999997,51904.199999999975,443677.0,81075.64,69376.48,75817.36,75392.31999999999
18,545437.5,123269.59999999998,82277.59999999999,95893.99999999994,56425.39999999995,500634.4,83392.59999999999,69740.04,84588.18000000001,82946.79999999999
19,570033.0,131894.72,88728.8,96484.2,60946.599999999984,510405.00000000006,106002.40000000001,75965.20000000001,93701.20000000001,99668.48
20,577250.0,162691.55999999997,108815.00000000003,108252.1,67695.2,513185.8,115351.20000000003,111254.60000000002,105497.15999999999,111574.76000000001
21,597450.0,181311.99999999977,156315.0,122821.0,70061.0,568813.0,130564.00000000003,139705.0,115552.4,131432.0
22,648748.5,250358.8799999999,207156.00000000003,163418.99999999997,74935.79999999987,571153.2,155124.8,170202.36000000002,136586.4,179278.24
23,695688.0,283981.83999999997,228560.00000000006,184477.19999999992,132883.19999999998,576464.4,182048.19999999998,242838.04000000004,157369.80000000002,230515.84000000005
24,702518.5,290254.51999999996,276502.0,216763.39999999997,202068.6,581604.4,240935.76000000004,263754.56,176073.88000000006,289524.2
25,729761.0,320383.2,298858.0000000001,301653.9999999999,267736.7999999997,596671.4000000005,316800.0400000001,288715.84,229226.07999999996,358937.96
26,744795.5,353120.0,318110.0,367488.0,277555.0,632199.0,360044.0,303512.0,318579.5,412835.0
27,744390.0,373820.68,361867.0,421309.19999999984,284736.0,678291.0,404771.8,377833.91999999987,401502.4,491815.91999999987
28,751916.5,418325.6,417900.00000000006,492246.1,292772.0,702875.6,502460.3800000002,477804.5999999999,483530.0399999996,504560.24
29,755983.0,471900.68,474129.60000000003,495248.19999999984,302388.99999999994,731594.8,508118.56000000006,500583.84,500105.16000000003,525999.3200000002
30,758748.5,496676.54,502512.39999999997,499080.5,319767.99999999994,739207.8,510806.3,506078.72000000003,506388.32,532705.72
31,766218.0,502960.2,506371.0,521847.0,337391.0,740147.0,516658.2000000005,527999.0,541374.2,536103.6
32,818819.5,506505.43999999994,507582.0,536913.1,384657.19999999984,744968.0,546364.12,542292.44,542071.98,542659.7200000001
33,837424.0,524491.88,529465.0,537513.2,443425.4,750952.2,550103.28,542925.8,545968.76,570381.76
34,846647.5,558853.98,566379.4,542984.9999999995,481556.99999999994,751495.0,568702.34,563953.08,566027.14,573796.56
35,849186.0,562241.36,567691.8,561692.6,491368.2,789320.0,571660.68,567482.88,569370.12,575156.52
36,852473.0,563510.4,570724.0,565766.0,492911.0,814687.0,575029.5,568820.8,570813.7,580214.0
37,880508.0,564895.16,572309.8,568507.2,499474.0,831344.8000000002,577403.92,570173.72,576304.2,590908.2
38,924082.0,569906.56,573663.4,572184.7,503108.0,840958.2,582725.38,573720.4400000001,580880.84,597599.32
39,940756.0,575775.4400000001,577082.0000000001,579701.8,504048.5999999998,844711.8,594766.12,584061.0,606243.4799999999,641773.2000000001
40,947145.5,578477.2,583102.0000000001,607087.7999999998,513563.19999999995,850244.6,595475.4,585496.48,652162.44,652386.28
41,947905.0,589633.3999999999,600118.0,678515.0,538915.0,852532.0,610792.2,592599.2,685302.0,668702.0
42,958854.0,616633.14,630131.2,685213.0,540421.8,862391.6,632570.9,604772.88,691204.3999999999,691946.8
43,979924.0,621952.3999999999,638345.6,698590.3999999999,541532.6,887546.2,654296.6,611725.04,708616.24,693341.08
44,979086.5,625403.68,663909.0000000001,718084.8,542096.4,910973.6,696165.14,626979.6799999999,720111.08,704812.6399999999
45,981963.0,628923.44,694251.0000000001,722643.7999999999,563714.3999999999,951155.0000000001,734938.4,649581.16,722227.68,730625.44
46,990883.0,631718.3999999999,698184.0,725123.5,565512.0,959563.0,736427.1,650548.2,727547.4,731348.2
47,994537.0,655841.9199999996,699039.2,728574.0,567009.2,962013.8,736710.2799999999,673939.88,729901.64,735414.52
48,1000615.5,694301.82,698494.2,731178.4,569194.4,978621.9999999999,741204.2800000001,698812.28,733226.24,736860.08
49,1005350.0,726563.68,723582.8,731094.4,573009.0,978814.4,743755.72,706407.4,733151.84,740509.28
50,1009837.5,731329.82,740030.0000000001,730904.8,577207.9999999999,982469.2,745766.94,736613.88,732945.92,744887.2800000001
