index,382_1_www.imdb.com,382_2_www.imdb.com,382_3_www.imdb.com,382_4_www.imdb.com,382_5_www.imdb.com,382_6_www.imdb.com,382_7_www.imdb.com,382_8_www.imdb.com,382_9_www.imdb.com,382_10_www.imdb.com
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,4282.959999999997,5157.04,4906.26,4477.32,5259.54,4755.38,4319.999999999998,5111.4800000000005,4311.54,6237.2
3,22260.799999999996,13324.919999999991,19020.96,18857.48,19102.200000000008,19150.8,7693.799999999996,7942.6799999999985,18417.079999999998,60425.0
4,70516.87999999999,81503.12,62434.38,101452.96,32335.519999999993,97595.98,70656.88,64328.84000000009,78395.66,96400.6
5,97809.83999999998,100084.88,76983.72,97505.72,104592.16,95906.48,98003.84,95721.24,97719.88,105525.8
6,107268.79999999996,102326.4,98242.3,106239.80000000003,105665.09999999999,105171.7,101572.2,99351.2,114148.8,111995.0
7,118340.36,105704.32,113994.76,117057.56,110638.04,116684.91999999998,108618.12,105553.04,114447.76,149719.8
8,127035.62000000001,120350.16,114417.8,123053.68000000001,120920.95999999999,133460.76,144631.63999999998,115345.08,133108.08,158699.59999999998
9,221632.52,128306.36,137885.39999999997,156852.0,132437.80000000002,145332.44,181276.19999999998,122885.36,147607.52,161751.4
10,229501.4,171496.92,208262.62,226679.76,154439.34000000005,183944.92000000004,194536.68,132125.84,156103.16000000003,271596.39999999997
11,337212.1999999996,226527.2,216590.4,226798.6,165448.4,267575.4000000001,202107.8,137069.4,232799.6000000001,354557.0
12,495741.83999999985,235002.04,285803.72,275615.6800000001,173848.6,311549.02,246669.7999999999,150013.2,304031.44,508832.80000000005
13,619105.9199999997,320135.72,321743.6,362182.12,238556.11999999994,511361.68,352685.03999999986,174769.60000000006,371629.59999999974,686347.8
14,717524.44,371749.60000000003,434590.7200000001,496752.43999999994,334494.18000000005,556928.7200000001,521102.68,217040.19999999998,504163.5600000001,756094.4
15,781994.16,484080.1999999999,595804.2,597934.36,407463.83999999997,558678.24,578166.3599999999,307442.4,606507.04,773138.6
16,786621.9,601251.2,733159.1,707423.2000000001,515858.3000000002,599561.1,641975.4,397219.0000000001,798152.2999999999,840647.0
17,804283.0,682676.2,735220.24,777424.84,642714.9600000001,683273.8,650241.96,560480.72,802184.44,920906.2
18,939761.64,754527.4400000002,748245.84,782027.12,729976.7,867592.1599999999,693053.76,671166.64,816342.36,1030150.6000000003
19,967828.6,788680.72,821195.2399999999,797550.48,797704.12,1121821.12,763651.7599999997,675867.72,912117.4400000001,1242698.0
20,1158389.9,804340.64,865782.08,881788.6,800770.26,1136073.02,848712.5999999999,694469.64,971671.56,1321018.6
21,1258940.0,809755.0,1043777.3999999992,976849.2000000001,797339.8,1233266.6,862288.0,700540.0000000001,1106025.6,1368254.0
22,1338069.48,931246.76,1186469.92,1120469.08,871130.4000000001,1240853.24,1067703.76,809332.64,1260684.42,1380261.2
23,1361479.0,973270.8,1246984.4,1261337.08,1052891.96,1249177.28,1133432.52,850805.6,1355313.84,1389437.6
24,1368581.84,1043027.9199999993,1332089.48,1323382.8,1239733.3,1255852.8,1187319.08,959546.16,1364392.28,1401688.0
25,1375484.56,1259258.1199999999,1344285.4,1364213.48,1273094.64,1360251.9599999995,1232599.04,1136395.0000000007,1371675.16,1534145.6
26,1382130.5,1282916.0,1357141.0,1371249.0,1305077.0,1418174.5,1245842.0,1142064.0000000002,1378086.0,1564083.0
27,1507617.4399999997,1358607.04,1357950.64,1378445.76,1370863.36,1451811.0,1253006.96,1207598.8000000003,1450295.6,1611075.8
28,1540963.12,1366323.08,1364653.78,1398322.5200000003,1378964.4000000001,1467115.38,1255123.84,1245512.16,1535287.6199999999,1615664.6
29,1549347.72,1372981.12,1385279.5999999987,1502072.4800000002,1386493.6,1491672.28,1264890.4,1252150.68,1545541.08,1634055.2
30,1585912.92,1381221.8,1487229.0799999998,1543370.48,1391079.46,1496841.54,1327125.96,1256449.2,1580661.5800000003,1704139.4000000001
31,1609772.8,1417314.399999999,1528350.8,1550493.0,1467672.4000000001,1501221.0,1425442.2,1258891.6,1601206.4,1735508.0
32,1622677.36,1534619.9999999998,1531585.54,1591604.24,1547629.04,1546833.08,1428763.28,1396450.8,1603524.2,1743049.8
33,1627311.68,1538583.72,1574702.2,1614343.12,1552512.52,1606692.52,1468218.4,1422827.56,1621028.24,1811486.2
34,1648603.18,1573887.16,1584988.58,1621818.08,1595715.2,1612965.34,1478947.84,1446839.680000001,1641487.26,1806676.6
35,1719623.68,1588214.84,1592640.64,1621560.52,1607950.84,1676953.5199999998,1498733.48,1470199.28,1640020.36,1809281.6
36,1717271.9,1602674.2,1603078.1,1670314.4000000001,1618651.6,1676266.1,1501362.2,1489658.8,1649540.9,1818843.0
37,1730027.72,1609506.72,1606355.12,1735444.52,1624267.16,1690615.24,1528153.4,1493616.1199999999,1658542.24,1864809.8
38,1745492.38,1617956.04,1625088.46,1739528.92,1644506.32,1702055.56,1574314.68,1497121.48,1697572.52,1868513.6
39,1776382.96,1633215.12,1709401.1600000001,1749869.96,1730583.8,1695170.68,1604712.92,1518628.08,1879863.16,1881648.6
40,1779838.3800000001,1692378.0399999993,1725314.8399999996,1765122.56,1782199.86,1721999.4,1644977.12,1544515.72,1886418.34,1886051.8
41,1789644.4,1720441.2,1753285.6,1816554.4,1801443.8,1734135.6,1648494.0,1590106.8,1902400.4000000001,1925681.0
42,1845149.3,1741399.44,1762190.879999999,1807019.36,1803021.48,1739305.44,1684452.64,1607067.04,2015248.160000002,2156930.0
43,1935462.8399999999,1773420.8,1774958.56,1817304.44,1806867.28,1738986.84,1688780.08,1624158.1600000001,2214079.919999999,2403118.800000001
44,2113506.54,1789141.04,1776339.78,1823425.24,1817283.3,1862843.8799999997,1694036.96,1662186.24,2478880.7199999997,2634004.8
45,2324857.839999998,1792893.68,1785005.44,1829761.44,1817505.76,1963399.72,1709934.48,1677569.48,2488310.24,2654444.0
46,2588624.6,1802011.4,1798999.1,1981188.6,1850762.4,1994845.5999999999,1711533.2,1676217.2,2516104.3,2655276.0
47,2583113.24,1817279.48,1806273.32,2094110.36,1853989.2400000002,2194042.48,1708048.48,1684559.84,2568718.1200000006,2657785.2
48,2615853.78,1813541.08,1834256.9,2349756.3200000003,1863500.4000000001,2408919.8800000004,1707818.84,1693177.4,2581941.1,2664514.6
49,2626875.12,1844204.44,1838973.64,2572289.52,1868574.2799999998,2498655.32,1707297.56,1721509.88,2616372.08,2669287.6
50,2636232.56,1848123.1199999999,1848304.68,2578704.48,1876716.64,2512637.32,1707605.72,1726227.56,2628597.44,2675722.6
