index,387_1_www.netzkino.de,387_2_www.netzkino.de,387_3_www.netzkino.de,387_4_www.netzkino.de,387_5_www.netzkino.de,387_6_www.netzkino.de,387_7_www.netzkino.de,387_8_www.netzkino.de,387_9_www.netzkino.de,387_10_www.netzkino.de
1,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,15663.399999999994,15957.8,25024.76,32486.600000000002,24009.78,12315.619999999999,44026.36,12365.699999999999,21072.3,18241.47999999998
3,140937.6,205743.12000000008,154620.24,312047.87999999983,200768.15999999997,96943.19999999998,255651.6,90238.99999999999,94750.84,117272.39999999998
4,457720.7999999998,608394.04,456181.36,590775.2799999998,502623.22000000003,306109.8399999998,536397.32,288770.99999999965,345245.7200000001,379104.82
5,609073.3999999997,631467.28,682575.04,670799.4,681301.12,542685.7999999999,656006.96,519020.4,544699.12,535295.2
6,723662.0,751450.0,749860.2,785549.0,785221.1,644989.2,764780.8,631662.0,683673.0,636423.8999999999
7,784509.4,792216.84,821225.24,891124.4400000001,878071.24,693752.6,822034.5599999999,716155.2,782964.76,723134.48
8,823038.4,815959.3200000001,1037390.4400000001,1019383.6399999999,1102926.6,792094.4199999999,956943.44,774932.3,808998.74,801949.08
9,936356.2,962846.5599999999,1184359.32,1046063.92,1216477.96,831890.6399999999,1084612.16,805778.2,923298.72,835987.24
10,1032246.4,1042318.92,1345335.04,1131333.64,1348481.12,1032908.88,1195308.96,857314.7000000001,1042515.0599999999,1033278.2
11,1170003.0,1080590.8,1623176.4,1351057.6,1490047.8,1184134.8,1313011.2,1034477.0,1113506.6,1100354.2
12,1339880.0,1285019.76,1816852.44,1503367.56,1921661.12,1261516.2,1692679.04,1040912.7,1232716.08,1200841.56
13,1373075.3999999992,1535460.4800000002,1968588.44,1952089.7999999998,1959082.44,1346579.96,1826387.8,1067309.2,1334818.84,1335842.44
14,1501548.0,1815277.52,2191663.4800000004,2154599.12,2023969.7599999998,1393089.3800000001,1935813.2000000004,1221422.7999999998,1462256.26,1369452.5999999999
15,1764644.5999999999,1829869.72,2412564.0399999996,2317884.76,2220873.64,1522055.68,2158808.96,1356070.7999999998,1765370.44,1531830.1999999995
16,2008396.0,1878040.8,2705728.5999999996,2545633.199999999,2467333.7999999993,1968840.3,2285330.0,1494317.0,2031734.4000000001,1880168.1
17,2205807.3999999994,1955075.7200000002,2959638.72,2749685.6,2754532.7199999983,2101385.7199999993,2581185.6,1718337.9999999993,2208938.6,2046797.76
18,2464700.8,2022716.4,3070757.68,2873130.32,3306660.959999998,2382634.04,2869574.64,1986902.7,2424363.48,2242293.6999999997
19,2699802.0,2135986.64,3337332.2,3099438.7199999997,3928952.239999999,2665443.4,3102766.9600000004,2080000.4,2663721.5600000005,2527118.6
20,2899713.8000000003,2353847.4400000004,3717569.6,3455504.88,4529297.38,2865137.6999999997,3307436.039999999,2407964.3000000003,3070081.48,2829335.5199999996
21,3150536.0,2628936.0,4165016.0,3788762.4,5136682.799999998,3214087.0,3532008.6,2621444.0,3465968.5999999996,3109769.4
22,3449741.2,2935318.44,4642025.76,4221523.96,5935506.419999999,3554775.3,3740246.44,2994499.9999999995,3889959.64,3370976.1999999997
23,3872531.799999999,3183486.6000000015,5114954.279999999,4525503.08,6630939.079999999,3848136.1599999983,4128509.5200000014,3382419.8,4284109.2,3759024.1999999997
24,4354357.8,3416484.240000001,5481129.879999999,4895050.96,7268533.679999997,4212616.18,4567568.08,3714554.6999999997,4426276.12,4164473.9999999995
25,4461360.6,3687673.24,5919432.6,5240034.999999998,7834382.559999999,4460046.2,4855258.72,4181698.4,4481242.76,4451832.4
26,4505331.0,3916713.0,6375563.0,5440875.0,9805847.0,4487727.5,5209789.0,4437231.0,4854411.0,4486964.0
27,4828566.0,4220016.32,6900683.5600000005,5879045.439999997,10960628.799999995,4834768.56,5645821.000000001,4460368.2,5273008.96,4806418.199999999
28,5272070.599999999,4568544.160000003,7456967.5600000005,6330395.0,11497933.54,5224368.279999997,6074583.2,4632976.2,5694786.1,5249549.7
29,5713987.0,4909406.2,8028867.399999999,6850008.639999999,12128725.76,5564649.399999999,6677813.28,5119644.399999998,6184091.52,5756043.52
30,6147586.399999994,5050012.88,8467733.32,7336765.2,12983780.6,5990685.58,7213054.4,5612636.1,6618024.7,6290001.8
31,6508608.0,5354515.800000001,8911393.6,7793602.399999999,13833985.599999998,6368480.999999999,7703377.0,6055847.0,7088422.2,6765752.799999995
32,6940511.999999999,5813161.080000001,9302826.68,8305758.12,14698859.159999998,6780002.0,8189381.999999999,6597880.199999996,7387780.74,7280306.379999998
