index,3_1_www.google.com,3_2_www.google.com,3_3_www.google.com,3_4_www.google.com,3_5_www.google.com,3_6_www.google.com,3_7_www.google.com,3_8_www.google.com,3_9_www.google.com,3_10_www.google.com
1,-442.0,67.0,67.0,-48.0,67.0,-442.0,67.0,67.0,67.0,0.0
2,272.8399999999997,574.52,898.88,1342.08,952.6800000000005,2664.7,2709.72,1956.14,1497.9600000000003,626.5
3,5553.1600000000035,787.0400000000001,1690.8399999999965,4559.36,3335.9199999999996,6573.36,5849.44,3851.24,4609.24,3262.0
4,8567.08,4026.0400000000027,7069.4,8530.92,9557.08,11268.800000000005,20400.999999999975,6811.86,7139.76,6860.5
5,14310.32,2779.5599999999995,11935.599999999999,11656.88,15177.199999999986,26615.28,23664.32,15759.68,8566.159999999996,13582.0
6,25168.8,7002.499999999999,24855.2,28620.600000000002,27950.8,29054.100000000002,31319.800000000003,19182.299999999996,12704.4,27005.0
7,30115.12,12982.400000000007,28480.88,29036.079999999998,35518.76,55501.88000000006,71216.68,31420.760000000002,27153.68,34106.0
8,68164.87999999999,17843.199999999997,66897.84,69064.51999999999,79604.48,79393.82,75228.04,38053.359999999986,25589.2,81159.0
9,80279.20000000001,19236.36,76400.96,81601.04,99772.63999999993,87680.96,81100.96,76425.71999999996,65462.24,87505.0
10,85035.76,36674.979999999996,79955.71999999997,85186.28,133133.16,85353.54,87176.92,88841.94,69637.52,86829.5
11,87595.59999999999,34524.6,82302.6,82848.8,139404.80000000002,95937.4000000001,88444.2,91479.8,79908.2,83312.0
12,87245.76,36120.62,84939.76000000001,83714.92,142990.52000000002,120575.9,85186.88,94205.27999999997,81576.92,123571.0
13,89517.08,69895.72000000003,84949.44,80965.71999999997,145154.88,193919.48,124025.03999999998,95820.75999999997,82645.52,166324.0
14,172143.04,80858.24,93954.24,162414.68000000002,202518.91999999972,232325.3,141275.84,112420.06,83171.56,174518.5
15,184161.12000000005,88028.4,145891.24000000002,176788.52,345564.9199999999,333335.88,189928.08,144697.7999999999,84231.08,192021.0
16,192589.20000000004,92130.90000000001,163435.79999999973,199642.2,381996.2,371273.3,192172.2,164470.1999999999,85012.8,231940.5
17,196535.08,95660.12,187354.4,201133.88,385882.4,372217.48,198152.72,205022.92,101742.83999999997,263030.0
18,197953.2,93919.62,196687.96000000002,199877.96,389785.32,377543.02,226415.43999999974,203880.78,115660.15999999997,343000.5
19,253109.16,94774.56,234929.16,216487.40000000002,391645.32,377402.56,276079.44,234080.2399999994,161438.59999999998,388150.0
20,321784.88,93149.16,274994.2,257549.6,397309.56,382491.52,378990.88,317949.91999999987,171277.32,393739.5
21,360005.4,98824.59999999999,375923.39999999997,370067.39999999997,402109.6,386808.4,387948.0,376082.4,187172.4,393302.0
22,363984.92,100609.82,384914.48,371202.2,473472.64,392262.68,388865.28,392852.62,185795.84,401232.5
