index,45_1_twitter.com,45_2_twitter.com,45_3_twitter.com,45_4_twitter.com,45_5_twitter.com,45_6_twitter.com,45_7_twitter.com,45_8_twitter.com,45_9_twitter.com,45_10_twitter.com
1,67.0,67.0,-48.0,-442.0,67.0,67.0,67.0,67.0,67.0,-442.0
2,1752.04,-29.280000000000015,1619.0400000000009,1050.8400000000004,341.64,1437.7600000000007,1734.28,1719.48,1440.8999999999999,1443.5
3,1319.44,1681.56,666.1599999999997,1437.92,1465.5200000000013,1322.28,1136.08,983.2799999999997,357.2799999999997,853.0
4,2967.52,728.9200000000022,4321.120000000001,777.5399999999997,1653.42,2565.08,2341.64,2339.76,4729.26,2304.5
5,4438.64,4832.16,6275.16,2402.360000000002,2920.44,4689.76,4514.4800000000005,4577.68,7038.639999999999,4311.0
6,7206.8,4664.999999999998,5775.2,4511.3,5023.7,6511.400000000001,7094.8,4068.000000000012,8485.9,6600.0
7,6355.080000000001,6918.080000000001,12049.4,4345.76,6713.880000000004,6252.36,6787.96,9991.519999999999,14061.76,6631.0
8,11077.56,8768.08,13892.199999999999,4393.599999999999,7092.820000000001,10132.039999999999,11520.200000000003,12755.36,13713.6,7243.0
9,10367.8,13751.04,83683.08,6923.639999999999,7740.720000000003,10892.08,13442.92,13288.640000000001,29379.879999999997,12633.0
10,21111.799999999992,14124.4,82745.28,6691.06,14400.48,13683.280000000002,26413.320000000014,45717.92000000006,86441.18000000001,13591.0
11,84405.8,28942.8,85068.40000000001,6239.799999999999,13916.800000000001,21626.000000000004,29335.6,83858.4,84353.2,40555.0
12,86423.92,57682.56,87717.78,9938.800000000001,29538.200000000015,37560.80000000012,28022.92,85422.72,85807.62,83089.5
13,84662.8,56222.36,91736.12,14132.76,67358.40000000001,67426.23999999999,50483.56,84071.24,92417.76,81788.0
14,86069.52,69715.47999999998,94318.38,13842.880000000001,67827.23999999999,66254.23999999999,58400.64,87808.08,94421.46,84885.5
15,87883.24,85975.96,96156.56,13754.6,69109.68,81362.40000000002,60076.72,91838.88,96270.92,86045.0
16,91394.59999999999,86509.4,99072.6,26344.500000000004,68408.1,86239.3,85987.60000000002,92038.8,99085.4,87736.5
17,94468.56,90542.88,98354.76,28124.12,86224.68,90268.04,92325.48,94272.72,98501.24,90046.0
18,95834.60000000002,92629.72,150908.8800000003,27091.420000000002,90139.54,92106.54,94226.92,97803.56,107631.11999999995,94389.5
19,98215.4,94916.24,236000.36000000002,26384.76,93255.68000000001,94637.92,97474.2,95262.44,198903.20000000007,94206.0
20,100463.76,97509.68,304465.7,28103.56,94390.86,95693.94000000002,99212.51999999999,94634.59999999999,248873.7200000001,96122.5
21,99728.4,99603.8,356068.0,27594.399999999994,96961.2,99385.8,99007.2,100517.00000000004,320466.60000000003,94763.0
