index,49_1_www.instagram.com,49_2_www.instagram.com,49_3_www.instagram.com,49_4_www.instagram.com,49_5_www.instagram.com,49_6_www.instagram.com,49_7_www.instagram.com,49_8_www.instagram.com,49_9_www.instagram.com,49_10_www.instagram.com
1,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,695.2199999999997,1321.2199999999998,1442.66,1211.4600000000003,1518.5399999999997,1424.12,1437.92,1280.06,1191.44,1197.7399999999998
3,4355.68,2195.4399999999996,2674.28,2220.24,2404.76,2341.24,2402.360000000002,4646.12,2605.9200000000023,3626.2400000000016
4,7110.58,4327.1799999999985,4331.9800000000005,4696.799999999992,5026.200000000008,4484.68,4317.76,4133.1399999999985,7022.52,4945.200000000002
5,12216.56,7084.48,6835.64,7287.839999999996,8747.48,6570.24,6895.639999999999,8244.48,8316.800000000005,7477.680000000001
6,44643.1,10913.6,6195.9,12810.699999999999,10605.000000000004,10886.2,8514.000000000011,13448.699999999999,10331.799999999997,10517.1
7,42257.24,13204.280000000006,13443.36,13562.960000000001,41518.759999999995,12244.200000000003,13649.32,13161.68,41035.52,13638.0
8,45075.1,30459.400000000012,13194.64,29716.979999999978,39213.72,44668.84,13273.92,44059.08,38969.08,44247.32
9,51010.72,42293.759999999995,43543.68,44636.76,41553.16000000001,42799.72,30248.240000000013,41899.52,39859.4,42265.44
10,53149.06,40634.52,42002.14,42728.14,48295.68000000001,42234.03999999999,38669.68,43298.52,43392.2,43116.9
11,54916.6,41496.799999999996,43069.6,43012.799999999996,50532.8,44173.599999999984,37179.399999999994,46189.799999999996,49596.4,49342.2
12,56943.68,45381.3,44334.03999999999,47563.82,50916.22,51300.04,42494.28,50725.02,49397.64,53807.1
13,63028.64000000013,51829.08,48083.48,54395.8,52630.80000000003,50990.68,46107.76,53112.840000000004,51007.88,53284.2
14,191338.96000000002,51870.479999999996,52169.52,53882.700000000004,63821.04,53346.28,50282.84000000002,55651.56,53499.28,53425.19999999999
15,218680.63999999996,53977.04000000003,52291.24,55177.96000000001,66248.92,55832.24,51825.6,54908.36,52285.52,61358.48
16,253959.6,57722.100000000006,53864.999999999985,55421.99999999998,65998.4,54891.2,52325.8,54456.9,118926.2,60285.8
17,278255.36,57137.08,57576.48,63270.48,83391.16000000003,76003.80000000003,51308.479999999996,67539.04,219459.68000000002,61870.48
18,361651.5200000002,56458.100000000006,56982.38,62150.76,133787.84000000008,99226.96,59893.72,76177.60000000002,243764.1200000001,63781.340000000004
19,381402.48,131411.6800000005,59523.72,64070.04,168331.96,120717.4,63155.36,172512.04,260917.52000000005,63019.799999999996
20,506084.4400000002,175912.44000000015,58777.54,66271.78,228587.7600000001,188216.1999999999,63089.36,181442.6800000001,297742.64,135637.14
21,635408.6,232254.8,58342.6,65089.8,263802.60000000003,251949.0,62179.0,248294.99999999994,366876.60000000003,172021.0
22,691929.68,256172.82000000012,97360.96000000002,138010.98,285968.92,262886.0000000001,95523.28,251224.68,404003.60000000003,208990.31999999998
23,794436.76,292208.24000000005,176280.2799999999,216363.87999999998,294478.64,289322.72000000003,155703.36000000004,252607.76,453332.96,240963.96
24,899832.4800000007,396312.4800000002,205001.92,241018.7,394279.36000000004,329208.76000000007,197985.72,287511.04000000004,495303.2800000004,262043.24
25,978337.7200000001,447643.24,255317.84000000008,262018.72,444409.27999999997,370723.08,224661.12000000017,345665.56,509020.63999999996,260966.68
26,1072615.0,451474.0,291209.0,275133.99999999994,457348.0,425073.0,259203.0,385178.0,602366.0,282896.0
27,1075859.8,485163.7600000006,353901.36,335283.48,533575.0400000004,470394.84,282200.60000000003,393975.92000000004,712827.4400000001,325477.28
28,1077317.28,597498.4,411934.08,376595.56,625140.42,495122.91999999987,366657.96000000014,415693.98,810947.2,390442.2400000001
29,1100319.6,685321.4000000004,411017.08,429903.79999999993,738290.8400000001,602627.8800000004,372224.44,458766.52,840459.0800000001,482769.7600000001
