index,209_1_www.playstation.com,209_2_www.playstation.com,209_3_www.playstation.com,209_4_www.playstation.com,209_5_www.playstation.com,209_6_www.playstation.com,209_7_www.playstation.com,209_8_www.playstation.com,209_9_www.playstation.com,209_10_www.playstation.com,210_1_www.playstation.com,210_2_www.playstation.com,210_3_www.playstation.com,210_4_www.playstation.com,210_5_www.playstation.com,210_6_www.playstation.com,210_7_www.playstation.com,210_8_www.playstation.com,210_9_www.playstation.com,210_10_www.playstation.com,211_1_www.playstation.com,211_2_www.playstation.com,211_3_www.playstation.com,211_4_www.playstation.com,211_5_www.playstation.com,211_6_www.playstation.com,211_7_www.playstation.com,211_8_www.playstation.com,211_9_www.playstation.com,211_10_www.playstation.com,212_1_www.playstation.com,212_2_www.playstation.com,212_3_www.playstation.com,212_4_www.playstation.com,212_5_www.playstation.com,212_6_www.playstation.com,212_7_www.playstation.com,212_8_www.playstation.com,212_9_www.playstation.com,212_10_www.playstation.com
1,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-113.0,-442.0,-48.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,7633.200000000004,7906.219999999998,8381.1,7940.04,8079.600000000002,19445.0,20126.8,19144.0,7916.76,17479.600000000002,-277.66,-285.58,-350.9599999999999,-366.23999999999995,-303.4,-325.18,1628.16,-8.479999999999961,-442.64,-511.4000000000001,43754.2,42281.52,43745.7,44294.66,44493.88,43986.0,43766.0,43880.3,43540.38,44281.5,55899.4,85487.79999999999,19191.88,56280.999999999985,55534.24,55872.78,57293.32,90445.4,72336.08,19039.92
3,140669.7200000001,118519.96000000002,48774.39999999995,114870.68000000002,117889.20000000001,253828.0,350522.72,57787.8,49559.04,148192.40000000002,99.11999999999966,-263.43999999999966,1598.56,1592.64,-549.5999999999999,-381.52,1768.4,-404.0399999999999,1556.2,1468.0,232171.91999999998,236918.0,226093.56,234716.56,203035.36000000004,217473.0,237913.2,234978.0,236967.76,228788.0,362097.6,444339.19999999995,180548.1600000001,486281.79999999993,286985.5199999999,447549.1999999998,461927.31999999995,392815.20000000007,512756.95999999996,191163.84
4,498376.82,458998.96,385114.19999999984,470505.08,439282.4,476855.49999999994,498246.80000000005,246460.80000000002,121867.88,479985.0000000001,1567.48,1585.24,1439.2,1396.84,1625.2,597.6400000000001,1928.52,1687.32,1444.24,1488.1000000000001,585370.96,609861.76,519292.32,588101.12,430386.5200000001,377598.0,612940.6000000002,561329.4,512875.18000000005,501417.5,718911.0,725070.1,537360.64,725601.3,715910.96,731347.5,729917.3200000001,718305.4,735536.24,331201.24000000005
5,505423.80000000005,506201.32,504177.6,505039.92,507075.48,512250.8,530437.28,383573.4,251623.12,504918.2,1695.56,1670.28,1505.3200000000004,1419.0800000000004,1419.0,1586.72,3681.2,1731.2,1196.6000000000001,2687.0000000000014,679903.24,693461.4,679021.92,682439.64,640614.28,666593.0,693293.0,682224.2,684305.52,675923.0,1010890.6,1146462.1999999997,731633.28,1176693.5999999999,1014954.8399999997,996920.0399999999,1180895.92,1034868.0,1405339.3999999997,601456.92
6,528889.0,522129.7,508145.5,519867.4,515748.6,546493.5,599982.0,575927.0,477324.80000000016,524005.0,1506.3,1503.5,3097.9999999999977,3438.9999999999995,1400.0,1345.5000000000002,4467.2,1253.8000000000006,4069.4,3981.0,794869.8,984894.4000000006,778044.1,793948.1,696274.2,703692.0,977875.0,801990.8000000002,787953.5000000001,805198.0,1680479.0,1787101.0,1158403.6000000003,1977141.0,1787930.7999999993,1779348.9,1716189.0,1945912.0,2129242.6,724868.3999999999
7,593856.1200000001,548676.76,528414.2,544452.16,545938.12,646069.0,716384.72,679550.8,618380.84,551333.0,1052.5600000000004,1311.2799999999997,3961.56,3935.6400000000003,1515.3999999999999,1406.32,3837.2799999999997,4222.24,3599.52,3675.400000000002,1240370.92,1677845.1199999999,1087272.24,1291059.6000000003,843907.6,1070625.0,1689081.2000000007,1392649.72,1188514.2400000002,1406460.0,2158712.8,2315171.4,1790760.4800000002,2466059.4,2476645.84,2287354.56,2406424.4000000004,2555748.2000000007,2569483.08,776749.92
8,744304.62,687898.7600000005,597724.6,743488.08,654975.7600000001,743401.1,844288.6,798932.2,717622.2,707957.8,3733.399999999999,2518.3000000000006,3554.16,3700.079999999999,1138.8000000000006,1502.66,5932.4800000000005,3875.08,4104.08,4807.200000000002,1908229.2399999993,2328889.2,1644477.6799999997,1845393.3,1311964.96,1789619.0,2526118.000000001,2051429.2399999993,1798514.04,2063008.0,2625579.2,2687023.3,2257662.5600000005,2850397.7,2845385.12,2871416.46,2626943.16,3062902.6,2835774.0,936107.44
9,822258.08,743950.4,702157.6,785446.3200000001,751830.64,868696.2,981105.76,890699.4,829818.08,751009.0,4004.76,4065.96,4097.72,4746.559999999999,2756.9999999999986,1332.8400000000001,6575.96,4182.679999999999,5390.24,5396.2,2806655.12,3090386.8000000003,2352061.8,2384753.96,1788909.3600000003,2361864.0,3105152.0000000005,2713637.2,2638719.0400000005,2645712.0,2871625.8,3358959.1999999997,2578201.48,3674778.6,3342528.6,3602373.7999999993,3395830.84,3639355.6000000006,3663790.4399999995,939540.32
10,932265.72,809171.78,789885.1,856882.2,826916.3999999999,1157854.3,1131708.04,985545.8,1020778.4,801952.4,3625.26,3856.3799999999997,5171.28,5521.32,4069.4,1889.699999999999,8279.44,4437.319999999999,5063.32,4873.099999999999,3490428.04,3580561.920000001,2965322.96,2959932.1,2502988.2,2945719.0,3829731.7,3443747.8800000004,3300286.1,3425219.0,3685075.5999999996,4173395.199999999,3197454.8800000004,4545517.1,4394637.639999999,4052028.3999999985,4387171.36,4424199.8,4482852.079999999,1105109.2799999998
11,1410792.4000000001,917601.4,871843.0,1044884.1999999996,920012.6000000001,1359561.0,1278272.3999999994,1058474.0,1290400.8,844740.0,3903.5999999999985,3562.8,4878.2,5193.6,3927.0,3779.999999999998,8628.000000000002,5650.400000000001,4389.8,4350.0,4075342.0,4172998.4,3719821.7999999993,3462117.2,2776284.4,3567603.0,4555287.0,4199564.200000001,3901060.8000000003,3931105.0,4556514.0,5270977.0,4068276.4000000004,5498546.0,5281657.799999999,4665721.199999999,5193707.0,5183981.0,5130491.999999999,1605297.1999999997
12,1843945.64,1210549.4400000002,1093431.9999999998,1421370.44,1133137.84,1560272.9,1483407.48,1250103.6,1576606.9999999998,913464.2,4098.78,4117.86,4180.92,7115.52,3584.4,4036.7200000000003,8628.24,5378.04,5718.519999999998,6370.499999999999,4451928.16,4763098.080000001,4425413.4399999995,3887125.94,3091221.52,4363715.0,5323906.5,4941100.52,4609534.62,4616512.0,5402847.599999999,5814292.999999999,4950018.24,6699990.7,6143794.92,5388131.12,5867101.88,6052869.0,6169835.159999998,1893767.04
13,2233903.1600000006,1573600.24,1428892.9999999993,1777150.08,1389289.6400000001,1869860.3999999997,1629260.4800000004,1379311.0,1884958.92,917481.0,4846.399999999999,4135.88,4705.759999999998,6909.36,4045.599999999998,3875.64,10305.6,4688.68,8486.199999999999,7361.400000000012,5020847.84,5462785.32,4995385.08,4304955.600000001,3751165.16,4904409.0,6043157.800000001,5603533.28,5290115.0,5347210.0,6194650.599999999,6515212.799999999,5737049.48,7576004.799999998,7151670.520000001,6371196.72,6645714.760000001,6747974.2,6880140.44,2301040.0000000005
14,2703507.3399999994,1741021.52,1591808.8,2181687.28,1581203.8399999999,2067192.1,1821166.4,1585129.2,2145404.52,966284.8000000003,5559.62,5292.799999999999,5925.200000000001,7005.760000000002,4269.999999999999,3587.64,11142.08,5914.879999999999,8439.039999999999,8409.9,5670371.96,5918571.52,5594203.42,4877562.18,4384913.4799999995,5634028.0,6751707.200000001,6289906.16,5908161.94,6027618.5,6861569.199999999,7254591.0,6499583.56,8455177.6,8119630.479999999,7288342.14,7604736.04,7259455.600000002,7711657.32,2579560.64
