index,55_1_www.flickr.com,55_2_www.flickr.com,55_3_www.flickr.com,55_4_www.flickr.com,55_5_www.flickr.com,55_6_www.flickr.com,55_7_www.flickr.com,55_8_www.flickr.com,55_9_www.flickr.com,55_10_www.flickr.com
1,67.0,67.0,0.0,-48.0,67.0,67.0,0.0,67.0,-442.0,67.0
2,2822.6000000000004,2227.879999999999,2751.44,4804.4800000000005,2533.7,4961.7,5004.0,5061.68,6730.52,5022.18
3,14357.720000000001,8964.76,10369.52,13780.6,10598.200000000003,14099.480000000009,12613.4,19265.84,38793.52000000001,13952.44
4,51490.28,17515.599999999944,31195.199999999986,92469.52,87767.92,56847.86,92111.4,101756.76,93353.40000000001,96055.54
5,97086.28,97632.76,103404.92,99073.52,102654.44,103103.84,99121.6,99402.76,102548.08,93616.23999999999
6,101007.40000000001,99566.2,103570.2,100511.4,101008.2,103904.3,97268.0,109119.40000000001,110673.19999999997,105908.90000000001
7,107609.76,100888.27999999997,113214.64,109498.72,111347.52,110553.72,109544.40000000001,112989.08,115077.44,108703.32000000002
8,109684.24,109008.32,117442.08,113995.36,112991.36,115366.28,114061.2,126131.88,120877.60000000003,114180.34
9,118628.51999999997,114226.04,118887.68000000001,134056.72,120027.8,122259.96,122017.0,319219.1600000002,295340.7200000001,227315.88000000003
10,120474.2,121028.31999999999,150735.48,141920.4,126990.18,213209.12000000017,278703.4000000001,566315.08,565998.16,332847.72
11,159894.19999999998,130293.6,154863.0,272736.2,309192.0000000001,388497.0,562111.0,634957.2000000007,648331.3999999997,474684.4000000006
12,159821.32,256812.59999999998,232665.32,387045.95999999996,398178.76,515609.28,613646.6000000003,794817.44,688233.64,539911.04
13,161595.6,393919.1599999999,257791.91999999998,577588.48,466306.36,592326.4,783167.4,853085.88,695002.56,608362.8
14,264897.04,545644.0399999996,367548.24,679009.2,640687.3600000001,658666.5199999998,792886.0,1004263.4400000002,700618.52,747134.2000000001
15,279250.1999999999,713821.4,466477.79999999993,720694.56,745551.32,808711.5200000003,806637.0,1014074.96,817900.2000000001,755284.6
16,375475.5999999998,762011.4,571097.4,779203.8000000002,925984.6,813930.4,953613.0,1189854.0,927886.0000000001,810613.8
17,532152.9199999999,955647.6399999999,700020.2,908908.4,1101489.6,810885.6000000001,1095412.8,1371650.3200000005,972984.1600000001,1012225.3200000004
18,732129.92,1124076.36,779997.96,956117.8,1283251.2,1014956.5599999998,1305271.8000000003,1549184.2400000002,1120907.4,1131527.8400000008
19,834747.4,1306246.8800000001,892962.52,1033227.84,1431108.52,1043690.8,1444370.4000000001,1823007.2000000002,1124921.6,1320553.2000000002
20,957705.7999999996,1328187.2,1040659.84,1038383.04,1674518.88,1169284.28,1536263.0,1942929.7600000002,1269736.2,1392715.6
21,1138519.9999999993,1442834.8,1219300.0,1149309.9999999998,1853899.2000000002,1243001.2000000002,1610783.0,2247862.0000000014,1381163.1999999997,1530320.6000000003
22,1317134.72,1702591.6799999995,1453726.4,1334183.4,2018008.84,1332720.6,1776376.8000000003,2534552.2400000007,1543482.6400000001,1722180.4
23,1534423.28,1919311.7599999998,1622784.5599999998,1461729.84,2253186.96,1487025.28,2002738.8000000005,2701617.8,1683546.5200000003,1837922.4400000002
24,1762390.24,2103768.84,1786066.6799999995,1575486.2,2419027.8,1622395.8,2179236.0,2881886.9600000014,1764939.4000000001,2011524.9600000014
25,1871894.96,2300527.919999999,1951046.56,1760140.48,2546883.1199999996,1813376.6000000003,2335322.0,3007347.6,1953021.2,2109427.72
26,2083307.0,2480285.0,2152773.0,1974674.0,2725627.0,1933202.0,2516135.0,3195125.0,2117012.0,2190398.0
27,2264638.52,2710715.079999999,2316480.2,2145429.0,2847701.6,2064971.0399999998,2644117.0,3305359.5200000014,2248586.8,2278944.4000000004
28,2422389.2,2866323.2,2503751.3200000003,2339548.32,2940886.2,2168248.360000001,2850352.6000000006,3517048.8000000003,2380825.6,2271678.32
29,2513463.4,3031502.2399999993,2768254.5999999996,2511029.2,3088668.8000000003,2322485.0400000005,3057277.800000001,3639259.2,2543463.5200000014,2372784.16
30,2703958.559999999,3204098.4,2936895.8,2646763.64,3097087.5199999996,2401527.72,3236924.2,3679918.8,2645821.36,2576197.080000001
31,2957808.8,3324450.4,2989348.8,2725877.8000000003,3346062.1999999997,2516160.0,3388183.0,3824879.0,2738170.8,2754828.6000000006
32,2943716.96,3384646.08,3130623.52,2865807.96,3413743.68,2669214.6,3527765.8,3933361.8400000017,2868044.8000000003,2996453.1200000015
33,2993879.039999999,3490218.2,3295016.1199999996,3064393.8000000003,3538534.2,2844745.7600000007,3639860.0000000005,4031166.0,3015016.72,3190921.04
34,3139935.4,3584137.32,3529808.96,3168607.6,3621572.8000000003,2956528.84,3751146.8,4063123.7600000002,3165611.76,3321546.36
35,3318813.9599999995,3643186.6,3650334.8,3175902.4800000004,3704358.04,3083722.36,3819200.4,4128200.4800000004,3297903.2,3445584.6
36,3494274.4,3732187.0,3733531.6,3471973.2,3777020.3,3192211.0,3912651.0,4148879.0,3461896.3999999994,3585158.2000000007
37,3542851.8,3718979.52,3794199.88,3657279.84,3783079.8,3381052.4800000004,3977026.4,4297021.28,3647438.8,3731195.4000000004
38,3590955.6,3770041.7199999997,3891602.0,3828274.640000001,3830844.7,3616124.2,4051306.8,4560877.28,3779677.6,3872520.240000001
39,3775236.7199999983,3942646.8000000003,3939792.6,3976111.360000001,3842624.8,3831640.8000000003,4123610.0,4571372.04,3941980.8,3986830.24
40,3958458.1999999997,4058618.12,3990688.32,4049943.28,3868610.4,4026704.5200000014,4146056.1999999997,4603475.2,4061265.44,4005873.6
41,4083322.4,4126395.2,4095617.0,4073056.6,3873499.8000000003,4060745.4,4248378.0,4621746.2,4081502.8,4020580.0000000005
42,4105695.199999999,4142275.84,4147142.56,4123361.4000000004,4070172.1000000006,4090033.88,4455055.600000002,4639357.4,4128498.84,4122335.78
43,4161081.92,4178235.72,4183787.56,4153167.64,4115615.4399999995,4151229.88,4561847.4,4646418.8,4176421.16,4153509.24
