index,5_1_www.facebook.com,5_2_www.facebook.com,5_3_www.facebook.com,5_4_www.facebook.com,5_5_www.facebook.com,5_6_www.facebook.com,5_7_www.facebook.com,5_8_www.facebook.com,5_9_www.facebook.com,5_10_www.facebook.com
1,67.0,67.0,67.0,-442.0,67.0,67.0,67.0,-442.0,67.0,67.0
2,1481.82,1492.88,-51.39999999999975,1142.86,1590.8400000000001,1480.24,618.6800000000001,1414.1,1254.9599999999998,233.61999999999995
3,2877.7599999999998,3605.0400000000027,916.2000000000005,2255.84,2828.6800000000003,2599.12,1839.7199999999998,770.68,4713.08,1627.68
4,4543.46,4578.56,4918.099999999999,5354.600000000002,7081.840000000003,4538.72,4025.0400000000027,2213.46,6682.52,3178.42
5,7297.400000000001,7177.960000000002,7555.4,8681.12,9547.800000000007,6656.84,7593.639999999999,4328.92,11938.199999999997,5785.800000000001
6,9630.999999999996,9563.8,14286.0,10957.600000000002,13521.6,10799.00000000001,11875.6,7080.4,27187.999999999993,6461.300000000001
7,13508.52,12336.959999999997,29611.399999999936,18647.440000000024,23317.20000000001,13777.64,11606.800000000001,6222.920000000001,46387.68,14031.44
8,25788.280000000006,46866.72,47315.1,45351.02,29467.96,27031.400000000005,45600.64,10223.140000000003,44943.48,14669.280000000006
9,47328.48,44644.32,44721.4,43486.119999999995,45089.32,25306.52,43458.88,10709.36,47215.6,42543.96
10,45594.54,43074.52,46156.799999999996,41615.759999999995,45522.2,37440.2,46341.32,10538.88,51372.759999999966,40784.92
11,43868.4,48919.8,51269.0,45221.200000000004,49171.4,38439.0,47038.200000000004,34792.600000000006,57003.4,46684.0
12,45691.07999999999,50841.68,55427.200000000004,51537.62,55461.56,42456.159999999996,53473.12,45394.96,59493.76,48654.16000000001
13,51057.360000000015,53240.56,59720.6,53480.04,57567.08,45695.72,58198.04,44710.76,58569.280000000006,53925.6
14,54236.640000000014,57363.44,61559.99999999999,58157.38,60051.68,47715.12,57899.63999999999,43689.96000000001,71502.39999999998,57252.28
15,59781.12,57642.28,62092.4,57548.96,65825.8,48401.44,60121.64,45401.24,72716.44,58377.96
16,62034.299999999996,61457.00000000002,62132.0,59450.69999999999,65163.8,53639.00000000001,59228.4,49380.7,71914.4,61044.4
17,61904.48,67032.48,97742.8,64344.60000000001,69344.36,55962.719999999994,152649.7600000001,94540.44,73035.64,60175.24
18,64358.36,67718.24,160843.39999999962,67642.02,68566.28,55131.48,251664.91999999995,160743.04,74959.32,60083.02
19,63306.76,69292.96,235218.0,69331.88,79890.76000000017,57262.399999999994,274089.24,198857.95999999993,90294.16,59981.12
20,62635.82,71614.72,288647.2,70954.1,152807.72,59407.64,274945.4,262828.88,148606.95999999996,126121.03999999998
21,62545.4,71029.6,292089.0,74331.8,208164.20000000027,58586.6,286858.6,267714.8,246670.99999999977,177967.79999999996
22,64881.38,70972.40000000001,295793.9,72914.7,272970.76,97815.16,289895.92,269608.36,281716.84,216922.4800000001
23,70295.68000000001,137497.68000000005,297807.39999999997,77754.84,293137.12,164436.12,293588.08,272174.16,303184.12,258212.36
24,73708.28,141344.8,300334.9,175916.48000000024,298336.56,211535.6400000004,297095.2,282967.36,304452.56,260204.46
25,78067.08,209575.20000000045,301864.8,249479.24,302210.27999999997,257091.2,298459.08,293750.88,307857.8,260876.84
26,81627.0,270498.0,344353.0,259349.0,303473.0,258873.0,299728.0,313304.0,309361.0,294286.0
27,163916.04000000004,293675.28000000014,433053.3999999999,302208.48,306745.3600000001,290695.72000000003,375452.3200000002,364044.16,358143.39999999997,373436.19999999995
28,227213.99999999997,322934.83999999997,520427.3999999996,302614.36000000004,308313.68,367794.7200000001,485062.7600000002,392219.6000000001,422400.83999999997,447029.36
29,283862.4400000002,406011.60000000003,556137.9999999999,303933.04,339338.3999999999,465455.4800000001,547597.44,405639.2,476235.76,502095.04000000004
30,303896.78,483083.96000000014,571854.9999999999,307094.0,400968.8800000004,503301.8400000001,557290.92,472843.2399999999,540369.6799999999,546604.7
31,305421.6,555537.0,636824.0,357180.40000000055,452394.00000000006,510401.4,597372.4,509091.5999999999,563116.2,545376.4
32,306946.42,557346.24,660426.8,454091.63999999996,554169.28,514000.44,658064.92,563290.02,566333.24,549388.34
33,308592.64,559933.28,684479.3999999997,486958.2,560608.72,515935.6,687377.1600000003,564547.84,590836.44,550919.48
34,308162.0,559731.1600000001,787828.0,554883.8,634662.96,518003.48,803651.0800000007,565139.32,621709.4,567803.2800000003
35,383055.6800000001,560635.68,878830.7999999992,559342.88,679261.8,521688.36,939490.96,564398.2,680769.2799999999,621489.7999999999
36,438460.80000000016,563808.2000000001,983484.0,577398.6000000001,719577.6,554921.0,1051972.6,574879.8,726746.0,641921.5
37,502758.31999999995,565387.92,1081160.1999999997,623486.6800000005,727204.04,591013.8000000002,1142945.4000000004,575966.4,744622.8399999997,700592.3199999998
38,546327.1799999998,564494.28,1149056.3999999997,640986.84,760011.6,594054.48,1244487.4,623174.42,808462.7999999999,713528.5200000003
39,604974.36,581184.56,1263106.7999999993,695404.16,860236.76,688870.1600000001,1276599.96,650288.2,903604.1199999996,790546.72
40,603924.74,608302.8800000002,1280604.8,793277.3200000004,928778.640000001,777937.0400000005,1279221.72,660858.0800000001,958858.6,846824.6800000002
41,602871.8,640672.6,1282018.0,860799.2000000008,996470.0000000001,843826.0000000001,1297483.4000000006,737841.8000000002,1049686.5999999994,947816.3999999997
42,629865.52,697924.68,1319325.7,987827.78,1093906.1600000001,887585.5600000002,1320561.2,778568.34,1127469.8,994362.56
43,718140.2000000001,802382.1600000001,1323092.8,1101739.2000000002,1169348.9200000009,958615.4,1323025.08,777999.7999999999,1233325.16,998467.4
44,783785.72,883414.1600000008,1324722.7999999998,1191535.8400000008,1225168.0,1029510.8400000001,1324202.28,841241.2,1287313.52,1065156.56
45,844287.1199999996,954214.0,1332859.0,1280585.88,1286032.84,1167996.4000000001,1332945.48,908132.68,1290316.76,1127536.2400000002
46,923990.6000000001,1057342.4000000006,1335378.5,1282155.0,1288096.8,1185631.0,1333629.0,957104.2,1302337.4,1210056.1999999997
47,982559.6,1123563.72,1338278.4,1288035.12,1313843.36,1197265.04,1334399.92,1016008.6799999998,1330659.84,1282247.1600000001
48,1026922.2,1205882.0400000005,1341461.1,1287122.74,1327700.32,1199880.32,1336117.96,1044344.54,1333406.6,1382700.7199999997
49,1073492.84,1274188.360000001,1343661.4,1326576.64,1330328.92,1198896.0,1341576.68,1109782.6,1335899.92,1402647.8800000001
50,1149008.8,1370779.7200000002,1345554.0999999999,1326561.48,1332804.4,1242948.08,1346520.4,1169459.14,1342678.84,1407463.8
