index,69_1_www.nytimes.com,69_2_www.nytimes.com,69_3_www.nytimes.com,69_4_www.nytimes.com,69_5_www.nytimes.com,69_6_www.nytimes.com,69_7_www.nytimes.com,69_8_www.nytimes.com,69_9_www.nytimes.com,69_10_www.nytimes.com
1,67.0,67.0,-48.0,-442.0,67.0,67.0,67.0,-48.0,67.0,67.0
2,9268.960000000001,10731.200000000003,19903.48,15325.200000000003,7370.72,7638.68,7666.76,6583.52,14304.8,7721.919999999997
3,102101.31999999999,105109.40000000001,130095.16,98657.72,98390.48,98775.84,95351.96,100110.24,98861.16000000002,71816.84
4,123463.76,216907.2799999999,462612.52000000025,130217.27999999996,122660.48,121476.16,159726.16,133108.92,147051.84000000023,114945.0
5,184291.8,553781.12,580333.36,368509.04000000004,402547.16,125596.88,315966.52,361109.83999999997,531820.4,281718.04
6,449892.2,663480.4,1105845.1999999997,553609.0,559413.2000000001,289549.19999999995,505486.6,477181.4,820660.0,467559.0
7,686481.8,1113806.2,1395633.16,603081.2,736250.84,550260.4400000002,670526.8,858368.3999999999,1140297.6400000004,621552.7999999999
8,1018007.4400000003,1402035.88,1425703.8,936989.2000000001,916441.12,634301.74,946417.6400000004,1066998.0399999996,1394019.28,788083.84
9,1395609.3600000003,1410766.76,1451467.2,1199387.24,1149471.28,868173.9199999999,1268098.32,1366852.2,1403800.16,1132712.8399999999
10,1416902.16,1451005.24,1560878.68,1405715.24,1404125.16,928186.94,1386491.36,1406527.84,1435729.16,1393974.28
11,1450145.0,1501242.4,1578315.6,1413727.6,1411790.2,1231960.4,1400117.6,1439082.8,1457987.0000000002,1402933.6
12,1471925.3599999999,1514722.92,1583296.66,1453045.64,1446122.36,1417714.74,1432635.36,1466874.76,1508857.76,1433693.86
13,1515175.72,1567697.76,1648210.8800000001,1487587.32,1459677.16,1450785.52,1452735.96,1522984.76,1515580.24,1442611.08
14,1585873.64,1583242.48,1814179.3200000003,1578255.52,1500807.36,1498529.8399999999,1549526.3599999999,1526216.16,1533600.0,1545849.28
15,1593548.6,1614566.0800000008,2019776.72,1647587.52,1517998.16,1663807.52,1561341.8,1579284.52,1580785.32,1557499.64
16,1614762.0000000007,1779027.6,2038219.5,1741312.0,1589780.2,1734719.7,1568937.8,1736722.2,1602316.0,1567032.9
17,1799417.8000000005,1872398.4000000001,2048887.64,1750797.64,1614573.08,1738954.36,1578063.92,1749698.72,1773703.08,1573349.8
18,1885972.72,2035116.32,2295591.28,1768118.28,1759000.08,1764073.26,1744440.76,1846718.5599999998,1780755.04,1742939.48
19,1898095.08,2047476.92,2362752.28,1848151.5999999999,1903998.44,1774269.6,1880571.7999999998,1932838.8800000001,1939714.1199999999,1764151.68
20,1911007.64,2061513.28,2426383.86,2005592.68,1937629.92,1840622.54,1923058.28,2021692.72,1949148.88,1853366.1599999983
21,2053422.4000000001,2201517.0,2566414.2,2008547.8,1942849.6,1902305.1999999997,2010539.2,2025972.6,1999172.6,1958806.0
22,2357883.68,2432606.68,2600912.06,2017606.12,1961483.48,2026874.6,2017850.6,2037080.08,2015053.72,2023706.08
23,2415275.68,2583895.720000002,2612483.36,2029709.8,1978156.2000000002,2045072.96,2032532.72,2048114.52,2030593.36,2024513.4
24,2462978.2,2722421.8,2633951.18,2055779.5200000003,2004700.92,2337466.22,2089909.72,2056877.64,2140415.24,2037251.98
25,2723962.8400000003,2741875.72,2672027.2,2084914.72,2005341.1199999999,2353839.04,2331470.4,2103221.0799999996,2275949.88,2086271.4
26,2832664.0,2786817.0,2697729.5,2097809.0,2190419.0,2360932.0,2354752.0,2114878.0,2361237.0,2335263.5
27,2894104.88,2873494.96,2983752.6,2108967.8,2305039.2,2405186.76,2363359.12,2244864.8,2411453.16,2404081.44
