index,79_1_github.com,79_2_github.com,79_3_github.com,79_4_github.com,79_5_github.com,79_6_github.com,79_7_github.com,79_8_github.com,79_9_github.com,79_10_github.com
1,67.0,67.0,-442.0,67.0,67.0,67.0,-442.0,-48.0,67.0,67.0
2,451.84000000000003,1732.3,1431.6000000000001,-169.4000000000008,-319.5999999999999,1609.8,1376.0999999999997,-99.14000000000003,1827.08,1658.8
3,789.1200000000007,1635.319999999999,2039.8000000000015,1388.6000000000004,1425.3999999999999,3901.319999999999,2282.7999999999997,1612.9600000000003,777.88,2714.12
4,1550.6399999999999,4752.94,4636.8,3101.799999999994,2558.2000000000003,4643.079999999999,4554.900000000001,2691.92,4604.0199999999995,4764.88
5,3011.56,8985.72,6962.2,4739.4,4639.8,6395.4400000000005,6109.4,4589.24,7046.28,6175.959999999999
6,4742.3,12879.400000000001,6265.0,6801.0,7149.0,14767.199999999993,12135.0,7181.400000000001,7692.0999999999985,14788.000000000007
7,10787.04,16456.84,14799.799999999997,6903.399999999996,8798.8,17368.44,16274.8,8651.76,15591.68000000001,16647.28
8,11764.779999999999,18488.940000000002,16214.2,15035.900000000001,12691.600000000004,18917.039999999994,16552.799999999996,11255.640000000001,16933.94,18907.68
9,12301.880000000001,18905.4,18703.2,16553.2,13630.999999999996,33122.68,18988.4,12967.399999999994,19425.36,21068.120000000017
10,17343.58,55850.08000000004,19164.399999999998,18830.399999999998,17010.600000000002,49876.16,36764.60000000001,16903.680000000004,37952.51999999999,46147.28
11,19465.199999999993,93930.79999999999,32302.0,19556.0,18279.0,73351.99999999991,49195.0,19395.6,86368.0,44092.799999999996
12,19996.20000000001,114055.02,30746.600000000002,32085.799999999992,20093.2,94639.92,47584.399999999994,18299.640000000003,90896.63999999993,45079.56000000003
13,51257.44,159783.16000000003,29248.399999999994,50298.59999999992,20359.0,110636.48,82420.2,20469.399999999998,153764.28,85429.52
14,97340.71999999999,235754.2799999999,47021.2,54798.1,49073.8,114676.88,118683.3,72039.15999999995,178586.84,89869.12
15,114315.76,271603.24,48654.2,76617.39999999986,47547.4,116799.56,123164.2,99880.19999999995,193625.40000000002,92197.84
16,112795.2,274372.3,55182.0,126046.0,46021.0,177796.00000000003,141603.5,116620.7,206958.19999999998,152172.80000000002
17,151454.76,295390.16,55281.6,140822.6,89151.79999999996,246673.84,179894.6,115380.68000000001,280209.88,217308.56000000006
18,179619.12,349795.5199999998,73160.80000000019,143070.2,120829.6,310422.32,194518.60000000003,146259.28,301858.2800000001,331435.96
19,190695.47999999998,432369.24,151550.40000000026,158354.8,124530.6,366250.24000000005,248744.40000000008,176792.08,320336.68,401826.24
20,196235.66,433480.34,181332.39999999994,160602.4,126284.8,400236.48,306975.4,210184.19999999998,348035.32,432400.52
21,266548.2,440948.2,280716.0,177064.0,129009.0,434809.8,377776.0,223521.79999999996,383835.5999999999,435985.2
22,274016.76,439622.06,357212.0,248065.8,139423.59999999977,437089.2,409849.80000000016,225760.18,431615.22,438594.2
23,274117.44,476994.83999999997,416254.80000000016,338580.0,209920.8,444931.2,434400.4,230498.76,433878.76,442261.32
24,279204.08000000013,505211.6,434189.8,405872.7,293200.4000000001,458086.92,436227.1,232484.91999999998,435358.86,441303.68
25,392026.04000000004,547629.24,436388.00000000006,432996.6,402553.19999999984,504005.1600000001,441468.00000000006,300683.56,436584.96,478645.95999999996
26,433566.5,555893.0,440893.0,434816.5,433752.0,568672.0,442408.0,356202.0,439959.0,548589.0
27,435003.84,573316.8,442232.60000000003,437979.6,435508.8,618530.5599999998,441183.8,434694.48,443291.96,571204.48
28,436892.62,572265.58,473803.0,438307.8,439309.2,703130.4,465728.00000000006,436367.62,442311.44,570368.4
29,439869.16,628638.6799999996,551792.2000000003,440846.4,442217.4,746661.28,512674.6000000004,436945.39999999997,442126.84,653390.0400000002
30,443271.32,696321.0000000002,566781.4,440026.1,448772.0,755779.2,558910.8,446579.1,440233.02,701055.6400000001
31,442394.2,714230.0,600686.0,455892.0,452107.0,754817.4,571349.0,446188.2,487213.9999999998,791752.8000000002
32,442301.2,772755.76,669038.0,506265.19999999995,451673.6,798753.36,570394.7,445123.22,548277.8800000004,877376.1600000003
33,497786.7200000001,823755.4,708981.8,550536.9999999999,451033.8,892119.4,604133.6000000002,449419.36,574606.6,944999.6
34,550095.28,866761.78,735451.0,614831.5,476956.2,950485.92,618222.0,516957.11999999994,609457.64,945864.32
35,607158.64,942025.7199999997,754320.4000000001,632912.7999999999,510196.19999999984,996130.7999999999,659868.0,564699.5599999998,647936.72,997788.2400000003
36,617207.2,952800.9999999999,755485.0,634661.0,547519.0,1037208.9999999999,696912.0,575172.2,648300.0,1039743.0
37,650063.4,1013256.8000000002,754641.4,680032.5999999999,581407.2,1058913.28,739576.0,574352.4400000001,647440.2,1078923.2400000002
38,719683.04,1071339.16,754710.2,737686.5,580657.0,1082374.84,810893.0,578295.6,725681.2,1111869.28
39,738826.4799999997,1116250.16,789734.2,771021.2,579874.4,1115085.2,842726.4000000006,593075.4,791640.3600000002,1113618.48
40,821769.4,1117723.52,841083.8000000002,852739.3999999997,630371.2,1118039.56,923503.2000000001,661112.58,847374.9600000001,1117346.8800000001
41,873816.0,1122503.0,880696.0,925700.0,683857.0,1118670.6,945104.0,691792.7999999997,901967.0,1122390.2
42,944826.68,1130214.14,933093.8000000002,933542.1,753190.8000000002,1127200.8,948248.0,736063.8,933835.6800000005,1124873.04
43,945635.68,1131553.68,954862.0,944702.2,809165.5999999994,1131569.68,1022999.0,805303.48,956915.76,1128881.48
44,985575.6,1134102.46,996727.1999999998,952334.0,874385.3999999997,1132787.48,1035985.0000000001,842649.3999999999,967317.64,1129817.84
45,1045285.4800000002,1136053.72,1034681.0,969374.2,922197.7999999999,1136110.16,1088259.2000000007,867432.48,990688.96,1130081.24
46,1079727.1999999997,1136027.3,1074041.0,998747.0,954310.0,1136279.6,1141492.0000000002,921223.0000000001,1050785.6,1130394.6
47,1111819.2,1141307.92,1084796.0,1069911.0,954882.8,1137572.96,1213947.0,948687.56,1088964.24,1129685.32
48,1116547.58,1141979.32,1109430.8000000003,1110429.9,961664.9999999999,1136762.4,1257994.0,948728.92,1118539.72,1133919.32
49,1117659.44,1142396.72,1117444.8,1112123.2,1008911.3999999997,1141079.8800000001,1271871.0,952641.24,1130247.8,1137817.4
50,1120759.98,1146035.76,1119001.2,1113523.1,1042628.0,1146158.76,1275874.3,955572.24,1131711.18,1140684.56
