index,84_1_www.mozilla.org,84_2_www.mozilla.org,84_3_www.mozilla.org,84_4_www.mozilla.org,84_5_www.mozilla.org,84_6_www.mozilla.org,84_7_www.mozilla.org,84_8_www.mozilla.org,84_9_www.mozilla.org,84_10_www.mozilla.org
1,-442.0,67.0,-48.0,67.0,67.0,-48.0,-442.0,-115.0,67.0,67.0
2,3807.28,2088.5199999999977,547.6200000000001,1062.4199999999998,1490.8999999999999,563.9600000000005,2467.84,1165.9599999999998,660.64,632.7200000000003
3,6553.36,7300.68,5083.400000000002,4467.400000000002,4800.2,7331.68,6664.72,5105.800000000003,4345.920000000001,6787.68
4,14903.24,15135.52,11730.96,24117.38,10780.199999999995,15399.079999999996,12681.119999999994,9956.399999999998,9045.88,11235.98
5,115460.48,101972.59999999999,80172.68000000001,83626.32,27357.999999999996,117005.52,115280.04,62071.32000000003,25326.28,50920.95999999994
6,115349.2,118691.4,113728.1,112049.5,96475.0,116154.2,118114.3,117297.60000000002,111315.4,119743.3
7,115955.68000000001,118404.68,113854.96,114324.64,113093.2,123748.16,115453.72,118804.23999999999,116700.64,119251.68000000001
8,125666.74,126014.04,118290.56000000003,113736.92,113262.3,127243.72,120940.94,120628.04,115059.31999999999,123838.48
9,127185.64,129092.76,123131.04,121862.92,118291.2,131862.88,124658.96,127030.04,121930.52,128509.11999999998
10,130190.72,131928.92,124063.56,123438.66,122604.1,130910.32,127885.08,128034.64,126500.96,132960.36000000002
11,130640.59999999999,128667.19999999997,127167.59999999999,126464.8,125507.0,139280.2,130822.6,131115.6,129471.8,132992.2
12,130056.62,140797.92,127272.26,128541.56,128409.9,142101.68,130830.31999999999,130732.56,132571.35999999996,137103.92
13,135673.63999999998,146990.83999999997,130132.56,129614.28,125644.40000000001,154721.47999999998,135312.72,135428.63999999998,133223.76,141249.92
14,140338.13999999998,148593.0,136496.26,135490.62,130983.7,163404.36,139523.78,139467.24,133317.24,147725.09999999998
15,144840.12,171938.96,137460.75999999998,136653.16,137567.6,161826.08,144311.92,144714.08,138345.16,154250.56
16,147945.59999999998,168861.80000000002,142434.2,141514.4,139532.0,162141.4,144180.7,166910.6000000001,143249.39999999997,177710.9999999999
17,171321.36,286192.4799999999,165072.16,165293.76,144542.0,254537.8,170122.84,166779.72,142855.36000000002,178529.04
18,169553.96,345241.32,165212.02,163677.72,148755.5,267600.88,168382.08000000002,218793.44000000015,167215.44,209992.1
19,238916.59999999998,351847.44,163579.24,177257.03999999986,147126.8,298370.36,233208.68,341471.20000000007,166469.52,344724.08
20,343321.48,353364.8799999999,210585.32000000004,285712.75999999983,193683.7999999997,385360.5999999997,342029.86,344527.88,177782.0399999996,354197.54
21,346190.4,436825.19999999995,314098.2,338163.6,246649.0,511640.6,347184.6,351250.4,305787.6,355263.80000000005
22,351348.08,505363.88,342468.60000000003,341221.76,244936.7,514836.4,350069.64,352525.4,343183.36,361568.6
23,354777.51999999996,572896.1599999999,412570.64,345320.48,260336.19999999984,587600.44,352359.24,408275.0400000005,354104.88,376350.19999999995
