index,time,src_ip,dst_ip,tcp_seq,tcp_ack,tcp_len,direction,cumul_sum
1,1576407769.436949,192.168.1.6,192.168.1.4,189431094,3061861075,343,0,-343
2,1576407769.437545,192.168.1.4,192.168.1.6,3061861075,189431437,99,1,-244
3,1576407769.437770,192.168.1.6,192.168.1.4,189431437,3061861174,382,0,-626
4,1576407769.449065,192.168.1.4,192.168.1.6,3061861174,189431819,2266,1,1640
5,1576407769.450049,192.168.1.6,192.168.1.4,189431819,3061863440,74,0,1566
6,1576407769.450249,192.168.1.6,192.168.1.4,189431893,3061863440,245,0,1321
7,1576407769.450805,192.168.1.4,192.168.1.6,3061863440,189432138,79,1,1400
8,1576407769.450914,192.168.1.4,192.168.1.6,3061863519,189432138,79,1,1479
9,1576407769.577773,192.168.1.4,192.168.1.6,3061863598,189432138,91,1,1570
10,1576407769.578185,192.168.1.6,192.168.1.4,189432138,3061863689,539,0,1031
11,1576407769.648082,192.168.1.4,192.168.1.6,3061863689,189432677,1385,1,2416
12,1576407769.688260,192.168.1.4,192.168.1.6,3061865074,189432677,1705,1,4121
13,1576407769.699778,192.168.1.6,192.168.1.4,189432677,3061866779,86,0,4035
14,1576407769.700668,192.168.1.6,192.168.1.4,189432763,3061866779,108,0,3927
15,1576407769.701752,192.168.1.6,192.168.1.4,189432871,3061866779,321,0,3606
16,1576407769.701988,192.168.1.6,192.168.1.4,189433192,3061866779,54,0,3552
17,1576407769.743937,192.168.1.4,192.168.1.6,3061866779,189433246,586,1,4138
18,1576407769.744272,192.168.1.6,192.168.1.4,189433246,3061867365,53,0,4085
19,1576407769.761236,192.168.1.4,192.168.1.6,3061867365,189433299,53,1,4138
20,1576407769.804549,192.168.1.4,192.168.1.6,3061867418,189433299,1268,1,5406
21,1576407769.805858,192.168.1.6,192.168.1.4,189433299,3061868686,61,0,5345
22,1576407770.008609,192.168.1.6,192.168.1.4,818190212,3637267583,343,0,5002
23,1576407770.009121,192.168.1.4,192.168.1.6,3637267583,818190555,99,1,5101
24,1576407770.009321,192.168.1.6,192.168.1.4,818190555,3637267682,382,0,4719
25,1576407770.011021,192.168.1.6,192.168.1.4,3307455822,1164958088,343,0,4376
26,1576407770.017007,192.168.1.4,192.168.1.6,1164958088,3307456165,99,1,4475
27,1576407770.017254,192.168.1.6,192.168.1.4,3307456165,1164958187,382,0,4093
28,1576407770.029764,192.168.1.4,192.168.1.6,3637267682,818190937,2266,1,6359
29,1576407770.030758,192.168.1.6,192.168.1.4,818190937,3637269948,74,0,6285
30,1576407770.030904,192.168.1.6,192.168.1.4,818191011,3637269948,235,0,6050
31,1576407770.031199,192.168.1.4,192.168.1.6,3637269948,818191246,79,1,6129
32,1576407770.031532,192.168.1.4,192.168.1.6,3637270027,818191246,79,1,6208
33,1576407770.033827,192.168.1.4,192.168.1.6,1164958187,3307456547,2266,1,8474
34,1576407770.035656,192.168.1.6,192.168.1.4,3307456547,1164960453,74,0,8400
35,1576407770.035794,192.168.1.6,192.168.1.4,3307456621,1164960453,235,0,8165
36,1576407770.036169,192.168.1.4,192.168.1.6,1164960453,3307456856,79,1,8244
37,1576407770.036361,192.168.1.4,192.168.1.6,1164960532,3307456856,79,1,8323
38,1576407770.078214,192.168.1.4,192.168.1.6,3637270106,818191246,91,1,8414
39,1576407770.078683,192.168.1.6,192.168.1.4,818191246,3637270197,539,0,7875
40,1576407770.079692,192.168.1.4,192.168.1.6,1164960611,3307456856,91,1,7966
41,1576407770.079994,192.168.1.6,192.168.1.4,3307456856,1164960702,539,0,7427
42,1576407770.129674,192.168.1.4,192.168.1.6,3637270197,818191785,2070,1,9497
43,1576407770.136577,192.168.1.4,192.168.1.6,1164960702,3307457395,2070,1,11567
44,1576407770.173111,192.168.1.4,192.168.1.6,3637272267,818191785,2143,1,13710
45,1576407770.180739,192.168.1.4,192.168.1.6,1164962772,3307457395,2143,1,15853
46,1576407770.187976,192.168.1.6,192.168.1.4,818191785,3637274410,102,0,15751
47,1576407770.191249,192.168.1.6,192.168.1.4,3307457395,1164964915,102,0,15649
48,1576407770.201961,192.168.1.6,192.168.1.4,818191887,3637274410,534,0,15115
49,1576407770.217069,192.168.1.4,192.168.1.6,3637274410,818192421,325,1,15440
50,1576407770.223196,192.168.1.4,192.168.1.6,1164964915,3307457497,628,1,16068
51,1576407770.260807,192.168.1.4,192.168.1.6,3637274735,818192421,4414,1,20482
52,1576407770.264124,192.168.1.4,192.168.1.6,3637279149,818192421,1385,1,21867
53,1576407770.269542,192.168.1.4,192.168.1.6,3637280534,818192421,462,1,22329
54,1576407770.375074,192.168.1.6,192.168.1.4,818192421,3637280996,388,0,21941
55,1576407770.376002,192.168.1.6,192.168.1.4,3307457497,1164965543,390,0,21551
56,1576407770.378559,192.168.1.6,192.168.1.4,3432622247,1422662714,343,0,21208
57,1576407770.379111,192.168.1.4,192.168.1.6,1422662714,3432622590,99,1,21307
58,1576407770.379372,192.168.1.6,192.168.1.4,3432622590,1422662813,382,0,20925
59,1576407770.381074,192.168.1.6,192.168.1.4,311757794,1458657050,343,0,20582
60,1576407770.384082,192.168.1.6,192.168.1.4,859270765,684210105,343,0,20239
61,1576407770.385028,192.168.1.4,192.168.1.6,1458657050,311758137,99,1,20338
62,1576407770.385321,192.168.1.6,192.168.1.4,311758137,1458657149,382,0,19956
63,1576407770.392882,192.168.1.4,192.168.1.6,684210105,859271108,99,1,20055
64,1576407770.393145,192.168.1.6,192.168.1.4,859271108,684210204,382,0,19673
65,1576407770.406620,192.168.1.4,192.168.1.6,1422662813,3432622972,2266,1,21939
66,1576407770.407543,192.168.1.6,192.168.1.4,3432622972,1422665079,74,0,21865
67,1576407770.407636,192.168.1.6,192.168.1.4,3432623046,1422665079,235,0,21630
68,1576407770.408870,192.168.1.4,192.168.1.6,3637280996,818192809,1385,1,23015
69,1576407770.409027,192.168.1.4,192.168.1.6,1422665079,3432623281,79,1,23094
70,1576407770.409089,192.168.1.4,192.168.1.6,1422665158,3432623281,79,1,23173
71,1576407770.417531,192.168.1.4,192.168.1.6,1458657149,311758519,2266,1,25439
72,1576407770.418270,192.168.1.4,192.168.1.6,3637282381,818192809,914,1,26353
73,1576407770.419131,192.168.1.6,192.168.1.4,311758519,1458659415,74,0,26279
74,1576407770.419217,192.168.1.6,192.168.1.4,311758593,1458659415,235,0,26044
75,1576407770.419570,192.168.1.4,192.168.1.6,1458659415,311758828,79,1,26123
76,1576407770.419656,192.168.1.4,192.168.1.6,1458659494,311758828,79,1,26202
77,1576407770.420367,192.168.1.6,192.168.1.4,818192809,3637283295,418,0,25784
78,1576407770.421354,192.168.1.4,192.168.1.6,1164965543,3307457887,857,1,26641
79,1576407770.422188,192.168.1.4,192.168.1.6,684210204,859271490,2266,1,28907
80,1576407770.423009,192.168.1.6,192.168.1.4,859271490,684212470,74,0,28833
81,1576407770.423098,192.168.1.6,192.168.1.4,859271564,684212470,235,0,28598
82,1576407770.423482,192.168.1.4,192.168.1.6,684212470,859271799,79,1,28677
83,1576407770.423641,192.168.1.4,192.168.1.6,684212549,859271799,79,1,28756
84,1576407770.431228,192.168.1.6,192.168.1.4,3307457887,1164966400,415,0,28341
85,1576407770.466907,192.168.1.4,192.168.1.6,1422665237,3432623281,91,1,28432
86,1576407770.469442,192.168.1.6,192.168.1.4,3432623281,1422665328,652,0,27780
87,1576407770.474750,192.168.1.4,192.168.1.6,1164966400,3307458302,1361,1,29141
88,1576407770.475319,192.168.1.4,192.168.1.6,3637283295,818193227,2070,1,31211
89,1576407770.478540,192.168.1.4,192.168.1.6,1458659573,311758828,91,1,31302
90,1576407770.480162,192.168.1.4,192.168.1.6,684212628,859271799,91,1,31393
91,1576407770.486726,192.168.1.6,192.168.1.4,311758828,1458659664,652,0,30741
92,1576407770.489281,192.168.1.6,192.168.1.4,859271799,684212719,539,0,30202
93,1576407770.491445,192.168.1.6,192.168.1.4,3307458302,1164967761,413,0,29789
94,1576407770.516371,192.168.1.4,192.168.1.6,3637285365,818193227,576,1,30365
95,1576407770.562656,192.168.1.4,192.168.1.6,1164967761,3307458715,1049,1,31414
96,1576407770.562954,192.168.1.4,192.168.1.6,1458659664,311759480,278,1,31692
97,1576407770.563343,192.168.1.4,192.168.1.6,1422665328,3432623933,278,1,31970
98,1576407770.567751,192.168.1.6,192.168.1.4,311759480,1458659942,102,0,31868
99,1576407770.571086,192.168.1.4,192.168.1.6,684212719,859272338,2070,1,33938
100,1576407770.577237,192.168.1.6,192.168.1.4,3432623933,1422665606,102,0,33836
101,1576407770.597313,192.168.1.4,192.168.1.6,1458659942,311759582,325,1,34161
102,1576407770.604773,192.168.1.4,192.168.1.6,1422665606,3432624035,325,1,34486
103,1576407770.612235,192.168.1.4,192.168.1.6,684214789,859272338,2143,1,36629
104,1576407770.618248,192.168.1.6,192.168.1.4,859272338,684216932,102,0,36527
105,1576407770.650143,192.168.1.4,192.168.1.6,684216932,859272440,628,1,37155
106,1576407770.653796,192.168.1.6,192.168.1.4,3307458715,1164968810,387,0,36768
107,1576407770.658534,192.168.1.6,192.168.1.4,818193227,3637285941,386,0,36382
108,1576407770.686039,192.168.1.4,192.168.1.6,1164968810,3307459102,2070,1,38452
109,1576407770.686068,192.168.1.4,192.168.1.6,1164970880,3307459102,2070,1,40522
110,1576407770.686281,192.168.1.4,192.168.1.6,1164972950,3307459102,1356,1,41878
111,1576407770.705775,192.168.1.4,192.168.1.6,3637285941,818193613,589,1,42467
112,1576407770.715767,192.168.1.6,192.168.1.4,818193613,3637286530,415,0,42052
113,1576407770.721721,192.168.1.6,192.168.1.4,3307459102,1164974306,417,0,41635
114,1576407770.725711,192.168.1.6,192.168.1.4,311759582,1458660267,423,0,41212
115,1576407770.727377,192.168.1.6,192.168.1.4,3432624035,1422665931,425,0,40787
116,1576407770.730387,192.168.1.6,192.168.1.4,859272440,684217560,422,0,40365
117,1576407770.756936,192.168.1.4,192.168.1.6,3637286530,818194028,841,1,41206
118,1576407770.757104,192.168.1.4,192.168.1.6,1164974306,3307459519,1851,1,43057
119,1576407770.761507,192.168.1.4,192.168.1.6,1458660267,311760005,1234,1,44291
120,1576407770.761787,192.168.1.4,192.168.1.6,684217560,859272862,2070,1,46361
121,1576407770.762036,192.168.1.4,192.168.1.6,684219630,859272862,2070,1,48431
122,1576407770.762322,192.168.1.4,192.168.1.6,684221700,859272862,2070,1,50501
123,1576407770.762445,192.168.1.4,192.168.1.6,684223770,859272862,2070,1,52571
124,1576407770.762749,192.168.1.4,192.168.1.6,684225840,859272862,2070,1,54641
125,1576407770.762962,192.168.1.4,192.168.1.6,684227910,859272862,686,1,55327
126,1576407770.768733,192.168.1.4,192.168.1.6,1422665931,3432624460,4111,1,59438
127,1576407770.770734,192.168.1.4,192.168.1.6,1422670042,3432624460,2070,1,61508
128,1576407770.770765,192.168.1.4,192.168.1.6,684228596,859272862,1115,1,62623
129,1576407770.770894,192.168.1.4,192.168.1.6,1422672112,3432624460,1048,1,63671
