index,time,src_ip,dst_ip,tcp_seq,tcp_ack,tcp_len,direction,cumul_sum
1,1576412634.310277,192.168.1.6,192.168.1.4,1674647906,199050693,343,0,-343
2,1576412634.311092,192.168.1.4,192.168.1.6,199050693,1674648249,99,1,-244
3,1576412634.311320,192.168.1.6,192.168.1.4,1674648249,199050792,382,0,-626
4,1576412634.323279,192.168.1.4,192.168.1.6,199050792,1674648631,2266,1,1640
5,1576412634.324133,192.168.1.6,192.168.1.4,1674648631,199053058,74,0,1566
6,1576412634.324244,192.168.1.6,192.168.1.4,1674648705,199053058,245,0,1321
7,1576412634.324584,192.168.1.4,192.168.1.6,199053058,1674648950,79,1,1400
8,1576412634.325090,192.168.1.4,192.168.1.6,199053137,1674648950,79,1,1479
9,1576412634.369432,192.168.1.4,192.168.1.6,199053216,1674648950,91,1,1570
10,1576412634.370574,192.168.1.6,192.168.1.4,1674648950,199053307,539,0,1031
11,1576412634.466805,192.168.1.4,192.168.1.6,199053307,1674649489,2070,1,3101
12,1576412634.502434,192.168.1.4,192.168.1.6,199055377,1674649489,1020,1,4121
13,1576412634.539882,192.168.1.6,192.168.1.4,1674649489,199056397,86,0,4035
14,1576412634.540324,192.168.1.6,192.168.1.4,1674649575,199056397,108,0,3927
15,1576412634.540876,192.168.1.6,192.168.1.4,1674649683,199056397,321,0,3606
16,1576412634.541092,192.168.1.6,192.168.1.4,1674650004,199056397,54,0,3552
17,1576412634.568490,192.168.1.4,192.168.1.6,199056397,1674650058,586,1,4138
18,1576412634.568924,192.168.1.6,192.168.1.4,1674650058,199056983,53,0,4085
19,1576412634.570937,192.168.1.4,192.168.1.6,199056983,1674650111,53,1,4138
20,1576412634.613878,192.168.1.4,192.168.1.6,199057036,1674650111,1344,1,5482
21,1576412634.616375,192.168.1.6,192.168.1.4,1674650111,199058380,61,0,5421
22,1576412634.881178,192.168.1.6,192.168.1.4,3757007431,2547838589,343,0,5078
23,1576412634.881765,192.168.1.4,192.168.1.6,2547838589,3757007774,99,1,5177
24,1576412634.881970,192.168.1.6,192.168.1.4,3757007774,2547838688,382,0,4795
25,1576412634.886363,192.168.1.6,192.168.1.4,1024757149,89039520,343,0,4452
26,1576412634.890694,192.168.1.4,192.168.1.6,89039520,1024757492,99,1,4551
27,1576412634.890941,192.168.1.6,192.168.1.4,1024757492,89039619,382,0,4169
28,1576412634.897336,192.168.1.4,192.168.1.6,2547838688,3757008156,2266,1,6435
29,1576412634.898189,192.168.1.6,192.168.1.4,3757008156,2547840954,74,0,6361
30,1576412634.898281,192.168.1.6,192.168.1.4,3757008230,2547840954,233,0,6128
31,1576412634.901918,192.168.1.4,192.168.1.6,2547840954,3757008463,79,1,6207
32,1576412634.902015,192.168.1.4,192.168.1.6,2547841033,3757008463,79,1,6286
33,1576412634.909247,192.168.1.4,192.168.1.6,89039619,1024757874,2266,1,8552
34,1576412634.911123,192.168.1.6,192.168.1.4,1024757874,89041885,74,0,8478
35,1576412634.911277,192.168.1.6,192.168.1.4,1024757948,89041885,233,0,8245
36,1576412634.911791,192.168.1.4,192.168.1.6,89041885,1024758181,79,1,8324
37,1576412634.912166,192.168.1.4,192.168.1.6,89041964,1024758181,79,1,8403
38,1576412635.484356,192.168.1.4,192.168.1.6,89042043,1024758181,91,1,8494
39,1576412635.485574,192.168.1.6,192.168.1.4,1024758181,89042134,539,0,7955
40,1576412635.487957,192.168.1.4,192.168.1.6,2547841112,3757008463,91,1,8046
41,1576412635.490230,192.168.1.6,192.168.1.4,3757008463,2547841203,539,0,7507
42,1576412635.791126,192.168.1.4,192.168.1.6,2547841203,3757009002,2070,1,9577
43,1576412635.791450,192.168.1.4,192.168.1.6,89042134,1024758720,2070,1,11647
44,1576412635.843321,192.168.1.4,192.168.1.6,2547843273,3757009002,1664,1,13311
45,1576412635.843370,192.168.1.4,192.168.1.6,89044204,1024758720,1664,1,14975
46,1576412635.845841,192.168.1.6,192.168.1.4,3757009002,2547844937,86,0,14889
47,1576412635.848489,192.168.1.6,192.168.1.4,1024758720,89045868,86,0,14803
48,1576412635.848922,192.168.1.6,192.168.1.4,3757009088,2547844937,546,0,14257
49,1576412637.275512,192.168.1.4,192.168.1.6,2547844937,3757009634,594,1,14851
50,1576412637.317685,192.168.1.4,192.168.1.6,2547845531,3757009634,12289,1,27140
51,1576412637.334579,192.168.1.4,192.168.1.6,2547857820,3757009634,1527,1,28667
52,1576412637.345992,192.168.1.4,192.168.1.6,2547859347,3757009634,1385,1,30052
53,1576412637.378717,192.168.1.4,192.168.1.6,2547860732,3757009634,1385,1,31437
54,1576412637.393560,192.168.1.6,192.168.1.4,1024758806,89045868,583,0,30854
55,1576412637.395559,192.168.1.6,192.168.1.4,2494450241,287267410,343,0,30511
56,1576412637.396133,192.168.1.4,192.168.1.6,287267410,2494450584,99,1,30610
57,1576412637.396355,192.168.1.6,192.168.1.4,2494450584,287267509,382,0,30228
58,1576412637.398346,192.168.1.6,192.168.1.4,289579849,3060905575,343,0,29885
59,1576412637.404906,192.168.1.4,192.168.1.6,3060905575,289580192,99,1,29984
60,1576412637.405183,192.168.1.6,192.168.1.4,289580192,3060905674,382,0,29602
61,1576412637.411848,192.168.1.4,192.168.1.6,287267509,2494450966,2266,1,31868
62,1576412637.412745,192.168.1.6,192.168.1.4,2494450966,287269775,74,0,31794
63,1576412637.412884,192.168.1.6,192.168.1.4,2494451040,287269775,233,0,31561
64,1576412637.416798,192.168.1.4,192.168.1.6,287269775,2494451273,79,1,31640
65,1576412637.416814,192.168.1.4,192.168.1.6,287269854,2494451273,79,1,31719
66,1576412637.421626,192.168.1.4,192.168.1.6,3060905674,289580574,2266,1,33985
67,1576412637.422548,192.168.1.6,192.168.1.4,289580574,3060907940,74,0,33911
68,1576412637.422651,192.168.1.6,192.168.1.4,289580648,3060907940,233,0,33678
69,1576412637.422933,192.168.1.4,192.168.1.6,3060907940,289580648,79,1,33757
70,1576412637.423038,192.168.1.4,192.168.1.6,3060908019,289580881,79,1,33836
71,1576412637.476330,192.168.1.4,192.168.1.6,2547862117,3757009634,4493,1,38329
72,1576412637.477640,192.168.1.6,192.168.1.4,3757009634,2547866610,603,0,37726
73,1576412637.560529,192.168.1.4,192.168.1.6,89045868,1024759389,1385,1,39111
74,1576412637.604775,192.168.1.4,192.168.1.6,89047253,1024759389,5792,1,44903
75,1576412637.604945,192.168.1.4,192.168.1.6,89053045,1024759389,8688,1,53591
76,1576412637.605441,192.168.1.4,192.168.1.6,89061733,1024759389,1587,1,55178
77,1576412637.663119,192.168.1.4,192.168.1.6,2547866610,3757010237,2070,1,57248
78,1576412637.704552,192.168.1.4,192.168.1.6,2547868680,3757010237,14548,1,71796
79,1576412637.758676,192.168.1.4,192.168.1.6,89063320,1024759389,5474,1,77270
80,1576412637.759028,192.168.1.4,192.168.1.6,89068794,1024759389,2748,1,80018
81,1576412637.782828,192.168.1.4,192.168.1.6,89071542,1024759389,8200,1,88218
82,1576412637.783876,192.168.1.4,192.168.1.6,3060908098,289580881,91,1,88309
83,1576412637.785631,192.168.1.4,192.168.1.6,287269933,2494451273,91,1,88400
84,1576412637.789140,192.168.1.6,192.168.1.4,289580881,3060908189,539,0,87861
85,1576412637.789438,192.168.1.6,192.168.1.4,2494451273,287270024,539,0,87322
86,1576412637.836029,192.168.1.4,192.168.1.6,2547883228,3757010237,6060,1,93382
87,1576412637.836746,192.168.1.6,192.168.1.4,3757010237,2547889288,572,0,92810
88,1576412637.844398,192.168.1.6,192.168.1.4,3438211406,1232088449,343,0,92467
89,1576412637.844987,192.168.1.4,192.168.1.6,1232088449,3438211749,99,1,92566
90,1576412637.845283,192.168.1.6,192.168.1.4,3438211749,1232088548,382,0,92184
91,1576412637.856168,192.168.1.4,192.168.1.6,1232088548,3438212131,2266,1,94450
92,1576412637.856996,192.168.1.6,192.168.1.4,3438212131,1232090814,74,0,94376
93,1576412637.857122,192.168.1.6,192.168.1.4,3438212205,1232090814,233,0,94143
94,1576412637.857409,192.168.1.4,192.168.1.6,1232090814,3438212438,79,1,94222
95,1576412637.857726,192.168.1.4,192.168.1.6,1232090893,3438212438,79,1,94301
96,1576412637.937072,192.168.1.4,192.168.1.6,89079742,1024759389,8200,1,102501
97,1576412637.952588,192.168.1.4,192.168.1.6,89087942,1024759389,1385,1,103886
98,1576412637.969446,192.168.1.4,192.168.1.6,89089327,1024759389,2070,1,105956
99,1576412637.986142,192.168.1.4,192.168.1.6,3060908189,289581420,2070,1,108026
100,1576412637.986384,192.168.1.4,192.168.1.6,287270024,2494451812,2070,1,110096
101,1576412638.013764,192.168.1.4,192.168.1.6,2547889288,3757010809,2070,1,112166
102,1576412638.013805,192.168.1.4,192.168.1.6,89091397,1024759389,4789,1,116955
103,1576412638.028593,192.168.1.4,192.168.1.6,287272094,2494451812,1664,1,118619
104,1576412638.028644,192.168.1.4,192.168.1.6,3060910259,289581420,1664,1,120283
105,1576412638.030243,192.168.1.6,192.168.1.4,2494451812,287273758,631,0,119652
106,1576412638.030309,192.168.1.6,192.168.1.4,289581420,3060911923,86,0,119566
107,1576412638.044730,192.168.1.4,192.168.1.6,1232090972,3438212438,91,1,119657
108,1576412638.045135,192.168.1.6,192.168.1.4,3438212438,1232091063,539,0,119118
109,1576412638.062007,192.168.1.4,192.168.1.6,2547891358,3757010809,14526,1,133644
110,1576412638.102931,192.168.1.4,192.168.1.6,89096186,1024759389,8200,1,141844
111,1576412638.154141,192.168.1.4,192.168.1.6,89104386,1024759389,8200,1,150044
112,1576412638.189040,192.168.1.4,192.168.1.6,2547905884,3757010809,2748,1,152792
113,1576412638.193832,192.168.1.4,192.168.1.6,2547908632,3757010809,2748,1,155540
114,1576412638.194872,192.168.1.4,192.168.1.6,2547911380,3757010809,2525,1,158065
115,1576412638.197872,192.168.1.6,192.168.1.4,3757010809,2547913905,498,0,157567
116,1576412638.215201,192.168.1.4,192.168.1.6,287273758,2494452443,1385,1,158952
117,1576412638.223277,192.168.1.4,192.168.1.6,1232091063,3438212977,2070,1,161022
118,1576412638.256152,192.168.1.4,192.168.1.6,287275143,2494452443,13032,1,174054
119,1576412638.256379,192.168.1.4,192.168.1.6,287288175,2494452443,3035,1,177089
120,1576412638.264697,192.168.1.4,192.168.1.6,1232093133,3438212977,1664,1,178753
121,1576412638.265893,192.168.1.6,192.168.1.4,3438212977,1232094797,86,0,178667
122,1576412638.274795,192.168.1.4,192.168.1.6,89112586,1024759389,13652,1,192319
123,1576412638.310841,192.168.1.4,192.168.1.6,89126238,1024759389,16406,1,208725
124,1576412638.311084,192.168.1.4,192.168.1.6,89142644,1024759389,11584,1,220309
125,1576412638.311103,192.168.1.4,192.168.1.6,89154228,1024759389,4822,1,225131
126,1576412638.311233,192.168.1.4,192.168.1.6,89159050,1024759389,9507,1,234638
127,1576412638.505182,192.168.1.4,192.168.1.6,2547913905,3757011307,2070,1,236708
128,1576412638.512426,192.168.1.4,192.168.1.6,287291210,2494452443,1385,1,238093
129,1576412638.530489,192.168.1.4,192.168.1.6,287292595,2494452443,1385,1,239478
130,1576412638.549489,192.168.1.4,192.168.1.6,2547915975,3757011307,14359,1,253837
131,1576412638.552671,192.168.1.4,192.168.1.6,287293980,2494452443,1385,1,255222
132,1576412638.571852,192.168.1.6,192.168.1.4,2046426117,671697340,343,0,254879
133,1576412638.572570,192.168.1.4,192.168.1.6,671697340,2046426460,99,1,254978
134,1576412638.572824,192.168.1.6,192.168.1.4,2046426460,671697439,382,0,254596
135,1576412638.585097,192.168.1.4,192.168.1.6,671697439,2046426842,2266,1,256862
136,1576412638.585692,192.168.1.4,192.168.1.6,287295365,2494452443,2896,1,259758
137,1576412638.585841,192.168.1.4,192.168.1.6,287298261,2494452443,2578,1,262336
138,1576412638.586269,192.168.1.6,192.168.1.4,2046426842,671699705,74,0,262262
139,1576412638.586452,192.168.1.6,192.168.1.4,2046426916,671699705,255,0,262007
140,1576412638.586890,192.168.1.4,192.168.1.6,287300839,2494452443,2748,1,264755
141,1576412638.587224,192.168.1.4,192.168.1.6,671699705,2046427171,79,1,264834
142,1576412638.587826,192.168.1.4,192.168.1.6,671699784,2046427171,79,1,264913
143,1576412638.591553,192.168.1.4,192.168.1.6,287303587,2494452443,2896,1,267809
144,1576412638.591743,192.168.1.4,192.168.1.6,287306483,2494452443,1215,1,269024
145,1576412638.592223,192.168.1.4,192.168.1.6,287307698,2494452443,1074,1,270098
146,1576412638.598391,192.168.1.4,192.168.1.6,89168557,1024759389,4118,1,274216
147,1576412638.640015,192.168.1.4,192.168.1.6,89172675,1024759389,6830,1,281046
148,1576412638.684432,192.168.1.4,192.168.1.6,89179505,1024759389,1385,1,282431
149,1576412638.728689,192.168.1.4,192.168.1.6,89180890,1024759389,1385,1,283816
150,1576412638.772589,192.168.1.4,192.168.1.6,89182275,1024759389,4111,1,287927
151,1576412638.815807,192.168.1.4,192.168.1.6,89186386,1024759389,1385,1,289312
152,1576412638.828455,192.168.1.4,192.168.1.6,89187771,1024759389,606,1,289918
153,1576412638.841396,192.168.1.4,192.168.1.6,671699863,2046427171,91,1,290009
154,1576412638.841737,192.168.1.6,192.168.1.4,2046427171,671699954,539,0,289470
155,1576412638.857858,192.168.1.4,192.168.1.6,287308772,2494452443,8688,1,298158
156,1576412638.858085,192.168.1.4,192.168.1.6,287317460,2494452443,5792,1,303950
157,1576412638.858345,192.168.1.4,192.168.1.6,287323252,2494452443,1926,1,305876
158,1576412638.881363,192.168.1.4,192.168.1.6,671699954,2046427710,2070,1,307946
159,1576412638.909716,192.168.1.6,192.168.1.4,1212923979,2291024674,343,0,307603
160,1576412638.910284,192.168.1.4,192.168.1.6,2291024674,1212924322,99,1,307702
161,1576412638.910569,192.168.1.6,192.168.1.4,1212924322,2291024773,382,0,307320
162,1576412638.933432,192.168.1.4,192.168.1.6,671702024,2046427710,1250,1,308570
163,1576412638.934672,192.168.1.4,192.168.1.6,2291024773,1212924704,2266,1,310836
164,1576412638.935583,192.168.1.6,192.168.1.4,1212924704,2291027039,74,0,310762
165,1576412638.935674,192.168.1.6,192.168.1.4,1212924778,2291027039,255,0,310507
166,1576412638.936055,192.168.1.4,192.168.1.6,2291027039,1212925033,79,1,310586
167,1576412638.936938,192.168.1.4,192.168.1.6,2291027118,1212925033,79,1,310665
168,1576412638.942646,192.168.1.6,192.168.1.4,2046427710,671703274,86,0,310579
169,1576412638.943074,192.168.1.6,192.168.1.4,2046427796,671703274,108,0,310471
170,1576412638.944422,192.168.1.6,192.168.1.4,2046427904,671703274,277,0,310194
171,1576412638.991221,192.168.1.6,192.168.1.4,1024759389,89188377,573,0,309621
172,1576412639.011172,192.168.1.6,192.168.1.4,3757011307,2547930334,599,0,309022
173,1576412639.013500,192.168.1.4,192.168.1.6,671703274,2046428181,617,1,309639
174,1576412639.014878,192.168.1.6,192.168.1.4,2046428181,671703891,53,0,309586
175,1576412639.015651,192.168.1.4,192.168.1.6,671703891,2046428234,7240,1,316826
176,1576412639.015957,192.168.1.4,192.168.1.6,671711131,2046428234,5489,1,322315
177,1576412639.019170,192.168.1.4,192.168.1.6,2291027197,1212925033,91,1,322406
178,1576412639.020149,192.168.1.6,192.168.1.4,1212925033,2291027288,539,0,321867
179,1576412639.042980,192.168.1.4,192.168.1.6,287325178,2494452443,2748,1,324615
180,1576412639.056201,192.168.1.4,192.168.1.6,671716620,2046428234,2748,1,327363
181,1576412639.066458,192.168.1.4,192.168.1.6,287327926,2494452443,1385,1,328748
182,1576412639.071476,192.168.1.4,192.168.1.6,287329311,2494452443,2070,1,330818
183,1576412639.112099,192.168.1.4,192.168.1.6,287331381,2494452443,10241,1,341059
184,1576412639.114360,192.168.1.4,192.168.1.6,671719368,2046428234,6854,1,347913
185,1576412639.115150,192.168.1.4,192.168.1.6,671726222,2046428234,1368,1,349281
186,1576412639.115366,192.168.1.4,192.168.1.6,2291027288,1212925572,2070,1,351351
187,1576412639.115959,192.168.1.4,192.168.1.6,671727590,2046428234,4009,1,355360
188,1576412639.117439,192.168.1.6,192.168.1.4,2046428234,671731599,61,0,355299
189,1576412639.155682,192.168.1.4,192.168.1.6,2291029358,1212925572,1250,1,356549
190,1576412639.157667,192.168.1.6,192.168.1.4,1212925572,2291030608,86,0,356463
191,1576412639.157887,192.168.1.6,192.168.1.4,1212925658,2291030608,108,0,356355
192,1576412639.158772,192.168.1.6,192.168.1.4,1212925766,2291030608,269,0,356086
193,1576412639.192199,192.168.1.4,192.168.1.6,89188377,1024759962,13652,1,369738
194,1576412639.192602,192.168.1.4,192.168.1.6,89202029,1024759962,2956,1,372694
195,1576412639.201443,192.168.1.4,192.168.1.6,89204985,1024759962,1385,1,374079
196,1576412639.216334,192.168.1.4,192.168.1.6,89206370,1024759962,2070,1,376149
