index,time,src_ip,dst_ip,tcp_seq,tcp_ack,tcp_len,direction,cumul_sum
1,1576358529.487018,192.168.1.6,192.168.1.4,1165128247,232361058,343,0,-343
2,1576358529.487631,192.168.1.4,192.168.1.6,232361058,1165128590,99,1,-244
3,1576358529.487919,192.168.1.6,192.168.1.4,1165128590,232361157,382,0,-626
4,1576358529.498571,192.168.1.4,192.168.1.6,232361157,1165128972,2266,1,1640
5,1576358529.499453,192.168.1.6,192.168.1.4,1165128972,232363423,74,0,1566
6,1576358529.499565,192.168.1.6,192.168.1.4,1165129046,232363423,245,0,1321
7,1576358529.499886,192.168.1.4,192.168.1.6,232363423,1165129291,79,1,1400
8,1576358529.499913,192.168.1.4,192.168.1.6,232363502,1165129291,79,1,1479
9,1576358529.537453,192.168.1.4,192.168.1.6,232363581,1165129291,91,1,1570
10,1576358529.537884,192.168.1.6,192.168.1.4,1165129291,232363672,539,0,1031
11,1576358529.581733,192.168.1.4,192.168.1.6,232363672,1165129830,1385,1,2416
12,1576358529.623124,192.168.1.4,192.168.1.6,232365057,1165129830,1385,1,3801
13,1576358529.639306,192.168.1.4,192.168.1.6,232366442,1165129830,342,1,4143
14,1576358529.660917,192.168.1.6,192.168.1.4,1165129830,232366784,86,0,4057
15,1576358529.661431,192.168.1.6,192.168.1.4,1165129916,232366784,108,0,3949
16,1576358529.661963,192.168.1.6,192.168.1.4,1165130024,232366784,321,0,3628
17,1576358529.662085,192.168.1.6,192.168.1.4,1165130345,232366784,54,0,3574
18,1576358529.693064,192.168.1.4,192.168.1.6,232366784,1165130399,586,1,4160
19,1576358529.693390,192.168.1.6,192.168.1.4,1165130399,232367370,53,0,4107
20,1576358529.693977,192.168.1.4,192.168.1.6,232367370,1165130452,53,1,4160
21,1576358529.734985,192.168.1.4,192.168.1.6,232367423,1165130452,1365,1,5525
22,1576358529.737363,192.168.1.6,192.168.1.4,1165130452,232368788,61,0,5464
23,1576358530.209946,192.168.1.6,192.168.1.4,1207442721,2742852337,343,0,5121
24,1576358530.210363,192.168.1.4,192.168.1.6,2742852337,1207443064,99,1,5220
25,1576358530.210634,192.168.1.6,192.168.1.4,1207443064,2742852436,382,0,4838
26,1576358530.214954,192.168.1.6,192.168.1.4,2683703654,1085479682,343,0,4495
27,1576358530.219430,192.168.1.4,192.168.1.6,1085479682,2683703997,99,1,4594
28,1576358530.219779,192.168.1.6,192.168.1.4,2683703997,1085479781,382,0,4212
29,1576358530.225300,192.168.1.4,192.168.1.6,2742852436,1207443446,2266,1,6478
30,1576358530.226185,192.168.1.6,192.168.1.4,1207443446,2742854702,74,0,6404
31,1576358530.226295,192.168.1.6,192.168.1.4,1207443520,2742854702,239,0,6165
32,1576358530.231250,192.168.1.4,192.168.1.6,2742854702,1207443759,79,1,6244
33,1576358530.231287,192.168.1.4,192.168.1.6,2742854781,1207443759,79,1,6323
34,1576358530.236327,192.168.1.4,192.168.1.6,1085479781,2683704379,2266,1,8589
35,1576358530.237265,192.168.1.6,192.168.1.4,2683704379,1085482047,74,0,8515
36,1576358530.237370,192.168.1.6,192.168.1.4,2683704453,1085482047,239,0,8276
37,1576358530.237762,192.168.1.4,192.168.1.6,1085482047,2683704692,79,1,8355
38,1576358530.237774,192.168.1.4,192.168.1.6,1085482126,2683704692,79,1,8434
39,1576358530.274052,192.168.1.4,192.168.1.6,2742854860,1207443759,91,1,8525
40,1576358530.274441,192.168.1.6,192.168.1.4,1207443759,2742854951,539,0,7986
41,1576358530.275537,192.168.1.4,192.168.1.6,1085482205,2683704692,91,1,8077
42,1576358530.275916,192.168.1.6,192.168.1.4,2683704692,1085482296,539,0,7538
43,1576358530.314261,192.168.1.4,192.168.1.6,2742854951,1207444298,2070,1,9608
44,1576358530.314464,192.168.1.4,192.168.1.6,1085482296,2683705231,2070,1,11678
45,1576358530.351535,192.168.1.4,192.168.1.6,1085484366,2683705231,1331,1,13009
46,1576358530.351553,192.168.1.4,192.168.1.6,2742857021,1207444298,1331,1,14340
47,1576358530.361361,192.168.1.6,192.168.1.4,1207444298,2742858352,148,0,14192
48,1576358530.363041,192.168.1.6,192.168.1.4,2683705231,1085485697,148,0,14044
49,1576358530.402780,192.168.1.4,192.168.1.6,2742858352,1207444446,296,1,14340
50,1576358530.403340,192.168.1.6,192.168.1.4,1207444446,2742858648,530,0,13810
51,1576358530.410884,192.168.1.4,192.168.1.6,1085485697,2683705379,296,1,14106
52,1576358530.980627,192.168.1.4,192.168.1.6,2742858648,1207444976,1385,1,15491
53,1576358531.082285,192.168.1.4,192.168.1.6,2742860033,1207444976,1385,1,16876
54,1576358531.083030,192.168.1.4,192.168.1.6,2742861418,1207444976,2748,1,19624
55,1576358531.088749,192.168.1.4,192.168.1.6,2742864166,1207444976,4344,1,23968
56,1576358531.089677,192.168.1.4,192.168.1.6,2742868510,1207444976,4613,1,28581
57,1576358531.096577,192.168.1.4,192.168.1.6,2742873123,1207444976,2748,1,31329
58,1576358531.105832,192.168.1.4,192.168.1.6,2742875871,1207444976,1385,1,32714
59,1576358531.111247,192.168.1.4,192.168.1.6,2742877256,1207444976,976,1,33690
60,1576358531.185362,192.168.1.6,192.168.1.4,1207444976,2742878232,611,0,33079
61,1576358531.211956,192.168.1.6,192.168.1.4,2683705379,1085485993,638,0,32441
62,1576358531.224054,192.168.1.4,192.168.1.6,2742878232,1207445587,2748,1,35189
63,1576358531.226464,192.168.1.4,192.168.1.6,2742880980,1207445587,2070,1,37259
64,1576358531.228531,192.168.1.6,192.168.1.4,879087981,940978664,343,0,36916
65,1576358531.229107,192.168.1.4,192.168.1.6,940978664,879088324,99,1,37015
66,1576358531.229339,192.168.1.6,192.168.1.4,879088324,940978763,382,0,36633
67,1576358531.240642,192.168.1.4,192.168.1.6,940978763,879088706,2266,1,38899
68,1576358531.241540,192.168.1.6,192.168.1.4,879088706,940981029,74,0,38825
69,1576358531.241650,192.168.1.6,192.168.1.4,879088780,940981029,239,0,38586
70,1576358531.241975,192.168.1.4,192.168.1.6,940981029,879089019,79,1,38665
71,1576358531.242590,192.168.1.4,192.168.1.6,940981108,879089019,79,1,38744
72,1576358531.243070,192.168.1.4,192.168.1.6,1085485993,2683706017,1473,1,40217
73,1576358531.266177,192.168.1.6,192.168.1.4,541568270,1968133080,343,0,39874
74,1576358531.266909,192.168.1.4,192.168.1.6,1968133080,541568613,99,1,39973
75,1576358531.267068,192.168.1.4,192.168.1.6,2742883050,1207445587,16406,1,56379
76,1576358531.267211,192.168.1.4,192.168.1.6,2742899456,1207445587,7240,1,63619
77,1576358531.267297,192.168.1.4,192.168.1.6,2742906696,1207445587,4949,1,68568
78,1576358531.267627,192.168.1.6,192.168.1.4,541568613,1968133179,382,0,68186
79,1576358531.278089,192.168.1.4,192.168.1.6,1968133179,541568995,2266,1,70452
80,1576358531.279117,192.168.1.6,192.168.1.4,541568995,1968135445,74,0,70378
81,1576358531.279250,192.168.1.6,192.168.1.4,541569069,1968135445,239,0,70139
82,1576358531.279624,192.168.1.4,192.168.1.6,1968135445,541569308,79,1,70218
