index,time,src_ip,dst_ip,tcp_seq,tcp_ack,tcp_len,direction,cumul_sum
1,1574590536.026168,192.168.1.4,192.168.1.5,2533330433,4061740861,91,1,91
2,1574590536.026615,192.168.1.4,192.168.1.5,604757828,4034217838,91,1,182
3,1574590536.02744,192.168.1.4,192.168.1.5,604757919,4034217838,24,1,206
4,1574590536.029077,192.168.1.4,192.168.1.5,2533330524,4061740862,24,1,230
5,1574590536.703089,192.168.1.4,192.168.1.5,130887445,3093747287,91,1,321
6,1574590536.703315,192.168.1.4,192.168.1.5,130887536,3093747287,24,1,345
7,1574590536.863909,192.168.1.4,192.168.1.5,430619787,486720473,91,1,436
8,1574590536.864199,192.168.1.4,192.168.1.5,430619878,486720473,24,1,460
9,1574590537.131708,192.168.1.4,192.168.1.5,181735696,2387816170,91,1,551
10,1574590537.131733,192.168.1.4,192.168.1.5,3084319819,2930952471,91,1,642
11,1574590537.131819,192.168.1.4,192.168.1.5,3084319910,2930952471,24,1,666
12,1574590537.132626,192.168.1.4,192.168.1.5,181735787,2387816171,24,1,690
13,1574590537.969063,192.168.1.4,192.168.1.5,2788015633,2172700072,91,1,781
14,1574590537.969271,192.168.1.4,192.168.1.5,2788015724,2172700072,24,1,805
15,1574590538.619332,192.168.1.4,192.168.1.5,2022181592,3801215937,91,1,896
16,1574590538.619551,192.168.1.4,192.168.1.5,2022181683,3801215937,24,1,920
17,1574590540.239898,192.168.1.5,192.168.1.4,4224113172,1252329821,343,0,577
18,1574590540.241023,192.168.1.4,192.168.1.5,1252329821,4224113515,99,1,676
19,1574590540.241635,192.168.1.5,192.168.1.4,4224113515,1252329920,382,0,294
20,1574590540.25313,192.168.1.4,192.168.1.5,1252329920,4224113897,2266,1,2560
21,1574590540.254019,192.168.1.5,192.168.1.4,4224113897,1252332186,74,0,2486
22,1574590540.254161,192.168.1.5,192.168.1.4,4224113971,1252332186,245,0,2241
23,1574590540.254449,192.168.1.4,192.168.1.5,1252332186,4224114216,79,1,2320
24,1574590540.256384,192.168.1.4,192.168.1.5,1252332265,4224114216,79,1,2399
25,1574590540.394404,192.168.1.5,192.168.1.4,1583671384,1626963413,343,0,2056
26,1574590540.394749,192.168.1.4,192.168.1.5,1626963413,1583671727,99,1,2155
27,1574590540.395276,192.168.1.5,192.168.1.4,1583671727,1626963512,382,0,1773
28,1574590540.397426,192.168.1.5,192.168.1.4,2836694234,968823607,343,0,1430
29,1574590540.405653,192.168.1.4,192.168.1.5,1626963512,1583672109,2266,1,3696
30,1574590540.406457,192.168.1.4,192.168.1.5,968823607,2836694577,99,1,3795
31,1574590540.406722,192.168.1.5,192.168.1.4,1583672109,1626965778,74,0,3721
32,1574590540.406841,192.168.1.5,192.168.1.4,1583672183,1626965778,235,0,3486
33,1574590540.407054,192.168.1.4,192.168.1.5,1626965778,1583672418,79,1,3565
34,1574590540.407123,192.168.1.4,192.168.1.5,1626965857,1583672418,79,1,3644
35,1574590540.407586,192.168.1.5,192.168.1.4,2836694577,968823706,382,0,3262
36,1574590540.417412,192.168.1.4,192.168.1.5,968823706,2836694959,2266,1,5528
37,1574590540.418266,192.168.1.5,192.168.1.4,2836694959,968825972,74,0,5454
38,1574590540.418384,192.168.1.5,192.168.1.4,2836695033,968825972,235,0,5219
39,1574590540.418608,192.168.1.4,192.168.1.5,968825972,2836695033,79,1,5298
40,1574590540.418703,192.168.1.4,192.168.1.5,968826051,2836695268,79,1,5377
41,1574590541.571562,192.168.1.4,192.168.1.5,1252332344,4224114216,91,1,5468
42,1574590541.572372,192.168.1.5,192.168.1.4,4224114216,1252332435,539,0,4929
43,1574590541.620638,192.168.1.4,192.168.1.5,1252332435,4224114755,2070,1,6999
44,1574590541.665887,192.168.1.4,192.168.1.5,1252334505,4224114755,1018,1,8017
45,1574590541.680855,192.168.1.5,192.168.1.4,4224114755,1252335523,86,0,7931
46,1574590541.682321,192.168.1.5,192.168.1.4,4224114841,1252335523,108,0,7823
47,1574590541.682965,192.168.1.5,192.168.1.4,4224114949,1252335523,321,0,7502
48,1574590541.6832,192.168.1.5,192.168.1.4,4224115270,1252335523,54,0,7448
49,1574590541.69344,192.168.1.4,192.168.1.5,1626965936,1583672418,91,1,7539
50,1574590541.693786,192.168.1.5,192.168.1.4,1583672418,1626966027,539,0,7000
51,1574590541.69384,192.168.1.4,192.168.1.5,968826130,2836695268,91,1,7091
52,1574590541.694081,192.168.1.5,192.168.1.4,2836695268,968826221,539,0,6552
53,1574590541.718252,192.168.1.4,192.168.1.5,1252335523,4224115324,617,1,7169
54,1574590541.719129,192.168.1.5,192.168.1.4,4224115324,1252336140,53,0,7116
55,1574590541.729624,192.168.1.4,192.168.1.5,1252336140,4224115377,1191,1,8307
56,1574590541.73951,192.168.1.4,192.168.1.5,1626966027,1583672957,2070,1,10377
57,1574590541.739656,192.168.1.4,192.168.1.5,968826221,2836695807,2070,1,12447
58,1574590541.770475,192.168.1.4,192.168.1.5,1252337331,4224115377,61,1,12508
59,1574590541.770943,192.168.1.5,192.168.1.4,4224115377,1252337392,61,0,12447
60,1574590541.782364,192.168.1.4,192.168.1.5,1626968097,1583672957,599,1,13046
61,1574590541.785145,192.168.1.4,192.168.1.5,968828291,2836695807,599,1,13645
62,1574590541.791713,192.168.1.5,192.168.1.4,1583672957,1626968696,86,0,13559
63,1574590541.793566,192.168.1.5,192.168.1.4,2836695807,968828890,86,0,13473
64,1574590541.793958,192.168.1.5,192.168.1.4,2836695893,968828890,24,0,13449
65,1574590541.794246,192.168.1.4,192.168.1.5,968828890,2836695917,24,1,13473
66,1574590541.795269,192.168.1.5,192.168.1.4,1583673043,1626968696,108,0,13365
