index,time,src_ip,dst_ip,tcp_seq,tcp_ack,tcp_len,direction,cumul_sum
1,1574591251.345095,192.168.1.5,192.168.1.4,1422526083,903217393,343,0,-343
2,1574591251.345778,192.168.1.4,192.168.1.5,903217393,1422526426,99,1,-244
3,1574591251.346691,192.168.1.5,192.168.1.4,1422526426,903217492,382,0,-626
4,1574591251.357715,192.168.1.4,192.168.1.5,903217492,1422526808,2266,1,1640
5,1574591251.358569,192.168.1.5,192.168.1.4,1422526808,903219758,74,0,1566
6,1574591251.358694,192.168.1.5,192.168.1.4,1422526882,903219758,245,0,1321
7,1574591251.358937,192.168.1.4,192.168.1.5,903219758,1422527127,79,1,1400
8,1574591251.359,192.168.1.4,192.168.1.5,903219837,1422527127,79,1,1479
9,1574591251.500074,192.168.1.5,192.168.1.4,2274831035,309196074,343,0,1136
10,1574591251.500376,192.168.1.4,192.168.1.5,309196074,2274831378,99,1,1235
11,1574591251.5008,192.168.1.5,192.168.1.4,2274831378,309196173,382,0,853
12,1574591251.502512,192.168.1.5,192.168.1.4,680352618,2939639258,343,0,510
13,1574591251.506713,192.168.1.4,192.168.1.5,2939639258,680352961,99,1,609
14,1574591251.507014,192.168.1.5,192.168.1.4,680352961,2939639357,382,0,227
15,1574591251.514328,192.168.1.4,192.168.1.5,309196173,2274831760,2266,1,2493
16,1574591251.515272,192.168.1.5,192.168.1.4,2274831760,309198439,74,0,2419
17,1574591251.515422,192.168.1.5,192.168.1.4,2274831834,309198439,239,0,2180
18,1574591251.518287,192.168.1.4,192.168.1.5,309198439,2274832073,79,1,2259
19,1574591251.518857,192.168.1.4,192.168.1.5,309198518,2274832073,79,1,2338
20,1574591251.523233,192.168.1.4,192.168.1.5,2939639357,680353343,2266,1,4604
21,1574591251.524116,192.168.1.5,192.168.1.4,680353343,2939641623,74,0,4530
22,1574591251.524244,192.168.1.5,192.168.1.4,680353417,2939641623,239,0,4291
23,1574591251.524486,192.168.1.4,192.168.1.5,2939641623,680353656,79,1,4370
24,1574591251.530106,192.168.1.4,192.168.1.5,2939641702,680353656,79,1,4449
