index,time,src_ip,dst_ip,tcp_seq,tcp_ack,tcp_len,direction,cumul_sum
1,1574591845.011891,192.168.1.4,192.168.1.5,1959071711,968865443,91,1,91
2,1574591845.012797,192.168.1.4,192.168.1.5,1959071802,968865444,24,1,115
3,1574591845.380382,192.168.1.4,192.168.1.5,837666900,1048875623,91,1,206
4,1574591845.380432,192.168.1.4,192.168.1.5,837666991,1048875623,24,1,230
5,1574591846.180191,192.168.1.4,192.168.1.5,3382362842,4286488677,91,1,321
6,1574591846.180231,192.168.1.4,192.168.1.5,3382362933,4286488677,24,1,345
7,1574591846.448627,192.168.1.4,192.168.1.5,2034483508,1580767395,91,1,436
8,1574591846.45007,192.168.1.4,192.168.1.5,2034483599,1580767396,24,1,460
9,1574591846.76064,192.168.1.4,192.168.1.5,2737332123,3982433708,91,1,551
10,1574591846.760692,192.168.1.4,192.168.1.5,2737332214,3982433708,24,1,575
11,1574591848.499567,192.168.1.4,192.168.1.5,44393730,2684872511,91,1,666
12,1574591848.500045,192.168.1.4,192.168.1.5,44393821,2684872511,24,1,690
13,1574591848.90677,192.168.1.5,192.168.1.4,3476651804,180419555,343,0,347
14,1574591848.907316,192.168.1.4,192.168.1.5,180419555,3476652147,99,1,446
15,1574591848.907674,192.168.1.5,192.168.1.4,3476652147,180419654,382,0,64
16,1574591848.919042,192.168.1.4,192.168.1.5,180419654,3476652529,2266,1,2330
17,1574591848.919876,192.168.1.5,192.168.1.4,3476652529,180421920,74,0,2256
18,1574591848.919986,192.168.1.5,192.168.1.4,3476652603,180421920,237,0,2019
19,1574591848.920209,192.168.1.4,192.168.1.5,180421920,3476652603,79,1,2098
20,1574591848.920316,192.168.1.4,192.168.1.5,180421999,3476652840,79,1,2177
21,1574591849.183623,192.168.1.4,192.168.1.5,2492201550,2518181611,91,1,2268
22,1574591849.18368,192.168.1.4,192.168.1.5,2492201641,2518181611,24,1,2292
23,1574591849.185278,192.168.1.4,192.168.1.5,1284266268,444720201,91,1,2383
24,1574591849.185314,192.168.1.4,192.168.1.5,1284266359,444720201,24,1,2407
25,1574591849.930413,192.168.1.4,192.168.1.5,3258722188,3140586868,91,1,2498
26,1574591849.931655,192.168.1.4,192.168.1.5,3258722279,3140586869,24,1,2522
27,1574591852.197849,192.168.1.5,192.168.1.4,290666683,2999232432,343,0,2179
28,1574591852.198667,192.168.1.4,192.168.1.5,2999232432,290667026,99,1,2278
29,1574591852.199453,192.168.1.5,192.168.1.4,290667026,2999232531,382,0,1896
30,1574591852.210233,192.168.1.4,192.168.1.5,2999232531,290667408,2266,1,4162
31,1574591852.211146,192.168.1.5,192.168.1.4,290667408,2999234797,74,0,4088
32,1574591852.211277,192.168.1.5,192.168.1.4,290667482,2999234797,245,0,3843
33,1574591852.21155,192.168.1.4,192.168.1.5,2999234797,290667727,79,1,3922
34,1574591852.211631,192.168.1.4,192.168.1.5,2999234876,290667727,79,1,4001
35,1574591852.359747,192.168.1.5,192.168.1.4,4027161239,297458859,343,0,3658
36,1574591852.360215,192.168.1.4,192.168.1.5,297458859,4027161582,99,1,3757
37,1574591852.360455,192.168.1.5,192.168.1.4,4027161582,297458958,382,0,3375
38,1574591852.362133,192.168.1.5,192.168.1.4,3803158730,830944229,343,0,3032
39,1574591852.366643,192.168.1.4,192.168.1.5,830944229,3803159073,99,1,3131
40,1574591852.366937,192.168.1.5,192.168.1.4,3803159073,830944328,382,0,2749
41,1574591852.374157,192.168.1.4,192.168.1.5,297458958,4027161964,2266,1,5015
42,1574591852.375,192.168.1.5,192.168.1.4,4027161964,297461224,74,0,4941
43,1574591852.375112,192.168.1.5,192.168.1.4,4027162038,297461224,231,0,4710
44,1574591852.378332,192.168.1.4,192.168.1.5,297461224,4027162269,79,1,4789
45,1574591852.378357,192.168.1.4,192.168.1.5,297461303,4027162269,79,1,4868
46,1574591852.381976,192.168.1.4,192.168.1.5,830944328,3803159455,2266,1,7134
47,1574591852.383166,192.168.1.5,192.168.1.4,3803159455,830946594,74,0,7060
48,1574591852.383356,192.168.1.5,192.168.1.4,3803159529,830946594,231,0,6829
49,1574591852.383692,192.168.1.4,192.168.1.5,830946594,3803159760,79,1,6908
50,1574591852.383716,192.168.1.4,192.168.1.5,830946673,3803159760,79,1,6987
51,1574591853.555571,192.168.1.4,192.168.1.5,180422078,3476652840,91,1,7078
52,1574591853.556779,192.168.1.5,192.168.1.4,3476652840,180422169,539,0,6539
53,1574591853.601701,192.168.1.4,192.168.1.5,180422169,3476653379,2070,1,8609
54,1574591853.64261,192.168.1.4,192.168.1.5,180424239,3476653379,1756,1,10365
55,1574591853.658021,192.168.1.5,192.168.1.4,3476653379,180425995,86,0,10279
56,1574591853.662532,192.168.1.5,192.168.1.4,3476653465,180425995,108,0,10171
57,1574591853.663482,192.168.1.5,192.168.1.4,3476653573,180425995,279,0,9892
58,1574591853.692127,192.168.1.4,192.168.1.5,180425995,3476653852,586,1,10478
59,1574591853.692772,192.168.1.5,192.168.1.4,3476653852,180426581,53,0,10425
60,1574591853.703705,192.168.1.4,192.168.1.5,180426581,3476653905,2070,1,12495
61,1574591853.746445,192.168.1.4,192.168.1.5,180428651,3476653905,841,1,13336
62,1574591853.747791,192.168.1.5,192.168.1.4,3476653905,180429492,61,0,13275
63,1574591857.615366,192.168.1.4,192.168.1.5,297461382,4027162269,91,1,13366
64,1574591857.616087,192.168.1.5,192.168.1.4,4027162269,297461473,539,0,12827
65,1574591857.658218,192.168.1.4,192.168.1.5,297461473,4027162808,2070,1,14897
66,1574591857.698349,192.168.1.4,192.168.1.5,297463543,4027162808,2712,1,17609
67,1574591857.7053,192.168.1.5,192.168.1.4,4027162808,297466255,148,0,17461
68,1574591857.751464,192.168.1.4,192.168.1.5,297466255,4027162956,73,1,17534
69,1574591857.752357,192.168.1.5,192.168.1.4,4027162956,297466328,526,0,17008
70,1574591857.818311,192.168.1.4,192.168.1.5,297466328,4027163482,2070,1,19078
71,1574591857.854142,192.168.1.4,192.168.1.5,297468398,4027163482,14480,1,33558
72,1574591857.854761,192.168.1.4,192.168.1.5,297482878,4027163482,20119,1,53677
73,1574591857.867842,192.168.1.4,192.168.1.5,830946752,3803159760,91,1,53768
74,1574591857.867865,192.168.1.4,192.168.1.5,2999234955,290667727,91,1,53859
75,1574591857.868388,192.168.1.5,192.168.1.4,290667727,2999235046,539,0,53320
76,1574591857.869022,192.168.1.5,192.168.1.4,3803159760,830946843,539,0,52781
77,1574591857.898254,192.168.1.4,192.168.1.5,297502997,4027163482,16406,1,69187
78,1574591857.898343,192.168.1.4,192.168.1.5,297519403,4027163482,6454,1,75641
79,1574591857.909974,192.168.1.4,192.168.1.5,830946843,3803160299,169,1,75810
80,1574591857.910094,192.168.1.4,192.168.1.5,2999235046,290668266,2070,1,77880
81,1574591857.910643,192.168.1.5,192.168.1.4,3803160299,830947012,73,0,77807
82,1574591857.920352,192.168.1.5,192.168.1.4,4256405440,2625097451,343,0,77464
83,1574591857.920974,192.168.1.4,192.168.1.5,2625097451,4256405783,99,1,77563
84,1574591857.921571,192.168.1.5,192.168.1.4,4256405783,2625097550,382,0,77181
85,1574591857.922852,192.168.1.5,192.168.1.4,3803160372,830947012,490,0,76691
86,1574591857.924913,192.168.1.5,192.168.1.4,1259012857,1544932568,343,0,76348
87,1574591857.927085,192.168.1.4,192.168.1.5,1544932568,1259013200,99,1,76447
88,1574591857.927461,192.168.1.5,192.168.1.4,1259013200,1544932667,382,0,76065
89,1574591857.929223,192.168.1.5,192.168.1.4,467051235,2429128975,343,0,75722
90,1574591857.934118,192.168.1.5,192.168.1.4,1831703479,743169433,343,0,75379
91,1574591857.935169,192.168.1.4,192.168.1.5,2429128975,467051578,99,1,75478
92,1574591857.935522,192.168.1.5,192.168.1.4,467051578,2429129074,382,0,75096
93,1574591857.938016,192.168.1.5,192.168.1.4,1348145545,490883933,343,0,74753
94,1574591857.94175,192.168.1.4,192.168.1.5,743169433,1831703822,99,1,74852
95,1574591857.942083,192.168.1.5,192.168.1.4,1831703822,743169532,382,0,74470
96,1574591857.942261,192.168.1.5,192.168.1.4,1392196200,3233977760,343,0,74127
97,1574591857.946659,192.168.1.5,192.168.1.4,3252052448,2686931888,343,0,73784
98,1574591857.947033,192.168.1.4,192.168.1.5,3233977760,1392196543,99,1,73883
99,1574591857.947355,192.168.1.4,192.168.1.5,490883933,1348145888,99,1,73982
100,1574591857.947735,192.168.1.5,192.168.1.4,1348145888,490884032,382,0,73600
101,1574591857.948051,192.168.1.5,192.168.1.4,1392196543,3233977859,382,0,73218
102,1574591857.950083,192.168.1.4,192.168.1.5,297525857,4027163482,1045,1,74263
103,1574591857.95491,192.168.1.4,192.168.1.5,2999237116,290668266,1018,1,75281
104,1574591857.957938,192.168.1.5,192.168.1.4,4027163482,297526902,463,0,74818
105,1574591857.959334,192.168.1.4,192.168.1.5,2686931888,3252052791,99,1,74917
106,1574591857.959741,192.168.1.5,192.168.1.4,3252052791,2686931987,382,0,74535
