,122_1_www.springer.com,122_2_www.springer.com,122_3_www.springer.com,122_4_www.springer.com,122_5_www.springer.com,122_6_www.springer.com,122_7_www.springer.com,122_8_www.springer.com,122_9_www.springer.com,122_10_www.springer.com,123_1_www.springer.com,123_2_www.springer.com,123_3_www.springer.com,123_4_www.springer.com,123_5_www.springer.com,123_6_www.springer.com,123_7_www.springer.com,123_8_www.springer.com,123_9_www.springer.com,123_10_www.springer.com,124_1_www.springer.com,124_2_www.springer.com,124_3_www.springer.com,124_4_www.springer.com,124_5_www.springer.com,124_6_www.springer.com,124_7_www.springer.com,124_8_www.springer.com,124_9_www.springer.com,124_10_www.springer.com,125_1_www.springer.com,125_2_www.springer.com,125_3_www.springer.com,125_4_www.springer.com,125_5_www.springer.com,125_6_www.springer.com,125_9_www.springer.com,125_10_www.springer.com
0,-48.0,67.0,67.0,67.0,67.0,67.0,67.0,-442.0,-48.0,67.0,67.0,-442.0,67.0,-442.0,-442.0,67.0,67.0,67.0,67.0,67.0,-48.0,0.0,67.0,67.0,67.0,-442.0,-48.0,67.0,-48.0,67.0,67.0,-442.0,67.0,-48.0,-442.0,67.0,67.0,67.0
1,4998.88,5266.0,5058.999999999997,6952.22,6888.02,4651.420000000001,5556.0,6989.200000000002,4667.94,4737.000000000002,13479.2,10785.8,13876.800000000005,13693.100000000004,18503.92,12770.759999999998,10196.219999999998,13017.2,11184.2,11417.339999999995,1282.0399999999995,1146.7399999999998,4608.4000000000015,2041.02,1889.36,4573.980000000001,1607.88,1458.5599999999995,2213.46,1366.4800000000002,2731.64,4130.359999999999,4543.12,4747.36,4022.56,4888.96,2903.52,4841.54
2,14928.12,50532.0,16030.4,18515.52,15288.96,12465.44,49112.0,50471.24,25353.28,37678.400000000016,78320.63999999996,50218.08,56267.6,83550.0,77498.8,71194.59999999998,94594.2,96924.68,64307.79999999999,47746.04,6826.480000000002,7678.08,9885.4,4878.3200000000015,7248.88,11980.159999999998,7528.36,7103.6399999999985,9745.92,7385.24,11773.2,18869.88000000001,14456.8,14164.64,27970.76,14531.8,7046.16,9490.08
3,40344.08,55660.5,51950.60000000001,54086.15999999994,52586.52,57676.88000000001,52925.0,52634.42,38487.9,50750.2,125987.16,114491.44,120950.2,140335.60000000006,111456.28,122886.12,137818.46,125314.48,117300.8,71081.26,11470.18,32709.5,31248.2,9474.66,28577.88000000002,30508.02,14516.6,28333.80000000008,29602.6,14735.4,29836.600000000013,35379.72,35449.88,35917.64,33589.840000000004,31563.96,18072.76,39090.58
4,64078.36,67392.0,66315.4,65585.88,67579.59999999999,58552.07999999999,92326.0,90191.32,52407.03999999999,66854.2,232144.08,157105.12,172971.0,265433.80000000016,163335.56000000006,163326.44,168809.60000000006,208491.04,155163.12,157239.92,30349.12,36561.28,38977.4,23008.759999999966,36621.24,48711.48,32617.52,36242.72,34878.92,32459.08,43112.52,57766.68000000001,55180.48,50076.44,46960.36,42353.8,37937.56,45220.96000000001
5,73217.6,140928.5,141086.0,103334.8,143473.20000000007,69869.9,144931.0,143746.8,131389.8,137624.5,444669.8,294124.0,457100.0,493173.0,394224.0,378893.4,382033.6000000004,416535.2,393293.0,353979.0,48342.1,53762.8,52946.0,36005.1,53846.6,52591.1,48832.4,54001.6,52046.8,44264.7,52655.0,124942.00000000006,70251.00000000001,115787.59999999998,121558.2,61911.8,46471.6,81130.99999999997
6,150280.12,170303.0,158868.4,149430.84,160891.48,144217.52,238016.0,364515.76000000007,142342.79999999993,164816.0,505949.4,404802.6,610745.6,607116.2,533971.88,593110.32,554531.4,528226.28,525783.76,479076.08,63583.76000000009,59852.48,72342.4,53799.04,73325.24,69748.96,55148.88,77038.64000000013,63419.6,55303.64,115018.48000000008,175627.6,133802.88,123719.8,134377.92,126506.84,54583.48,138883.84
7,156770.32,253870.0,375362.4,175424.24,233561.5200000001,159848.6,413356.0,459037.82,325034.58,317538.99999999994,738329.4799999996,555992.9600000001,756886.6,785436.0,645330.0000000001,792024.7199999999,820316.6400000001,762080.7599999999,718960.7999999998,555440.8599999999,71816.34,101734.18,73253.4,61989.06,73215.52,72300.66,83195.4,95906.28,87915.98,67521.52,151486.12,331169.1600000002,183381.2,156429.08,340513.28,131742.88,142873.9,245474.60000000003
8,282203.8,372517.0,482656.4,269275.0,368906.08000000025,294710.75999999995,470543.0,506324.68,456734.0,500442.0,1036214.16,739281.3200000002,962091.2,1063873.4,918864.36,1000988.24,1030693.88,1063081.28,935259.2,805639.7999999998,76499.28000000004,102904.96,79500.80000000003,68043.87999999996,85249.48,88149.36000000002,90653.28,96765.56000000004,89177.88,85186.40000000001,156066.72,413715.08,335756.52,196104.44,475452.8400000001,215255.03999999983,190616.08,403273.32000000007
9,428432.52000000025,508388.5,552317.8,458764.38,559199.68,418815.78,566594.0,562389.06,486307.8000000001,558026.9,1209926.36,909944.76,1074730.8,1072045.7,1065377.64,1066593.72,1043744.22,1074427.08,1050618.52,919021.82,88574.32000000002,128646.95999999998,92909.80000000003,96541.58,93212.68,97377.08,104921.32,143713.03999999998,96119.46,114263.26,216654.8,536807.88,470304.4,304255.2,541887.96,381155.2,328696.98,459973.74
10,483162.6,598232.0,673147.0,590549.2,578024.8,485227.6,579809.0,580439.6000000001,620223.0,564424.0,1267552.6,1069049.8,1191266.0,1166940.0,1084449.2,1083874.4,1105009.8000000005,1162592.8,1078929.8,1045381.4,93583.2,147837.2,141387.0,94906.6,118599.60000000002,96529.0,119051.0,166926.6,139201.8,118452.2,376368.00000000006,541838.4,530114.2000000002,483113.0,549861.8,524134.2,497467.0,545375.8
11,591406.4400000001,740888.5,674491.3999999999,606477.1,598896.68,573059.3999999999,607385.0,605424.32,622318.34,566860.7,1384619.04,1118358.4800000007,1324886.6,1325382.0000000002,1246819.12,1247849.68,1359250.08,1402712.16,1226222.9599999995,1131760.7999999998,98146.28000000007,163142.72,144900.00000000006,100549.59999999996,145879.44,149399.78,143738.72000000006,180606.64,153398.62000000002,146246.22,557063.1999999997,578318.4800000001,544482.32,566584.12,557219.24,541893.64,551097.9,550107.6
12,617825.08,865121.0,687905.4,618403.76,610155.24,583482.56,650892.0,660169.4400000001,636117.32,578350.4,1546615.52,1314008.44,1450284.2,1449699.8,1325958.68,1280997.8,1533753.28,1471624.2,1356417.8,1252411.04,147558.68,208855.76,163576.4,147759.24,165936.48,158362.88,154449.88,244942.56,173841.04,155837.2,565001.68,703732.16,611569.56,571524.08,712768.64,624067.2799999999,578350.56,652857.0
13,648146.6,912595.0,742212.3999999998,718739.6999999998,712073.640000001,603475.86,788102.0,703640.82,661610.68,647041.5,1555678.64,1452189.56,1507674.8000000003,1534263.9,1480040.72,1455164.04,1640199.2,1563446.12,1429108.36,1296289.14,167275.68,250324.16,226458.00000000003,159657.16,204672.48,205882.04000000004,172562.96,250027.32,239279.02,185342.28000000003,631062.44,713274.32,679468.84,657239.4,755729.6000000002,703301.96,667012.2,711622.18
14,693889.64,1029905.0,851687.2,833295.96,773972.12,626525.8,875242.0,869676.96,825301.28,770605.4,1645864.4,1534771.6,1635798.2,1575547.6000000003,1546097.68,1619888.6,1738242.4,1621276.8,1478552.56,1370489.2,181921.64,273288.92,233127.4,212147.39999999997,222178.12,263094.16,211735.52,272602.52,241823.79999999996,205706.16,701991.8,748565.4,708073.7200000002,730382.04,771406.08,708714.04,715488.28,760002.2000000002
15,855246.0,1031222.0,918271.0,863060.7,797660.2000000002,815596.4,973211.0,920188.4,925290.1,860579.5,1808354.0,1689075.6000000003,1768639.0,1804332.0,1631519.2,1838870.8,1746952.7,1800394.6,1553150.8,1433179.1,245882.00000000012,342969.3,251273.0,240489.3,253232.4,301567.4,248912.4,342435.8,264768.3,224722.79999999987,729616.4,839155.8000000005,762792.8,767588.8,779030.6,760062.2000000002,725107.2,776139.8
16,946980.6,1090452.0,1011332.6,882317.72,820999.16,892372.3999999998,996823.0,1023731.12,1032439.8,1015893.8,1946164.36,1795322.6,1856595.4,2084627.8,1737794.64,2045882.68,1805851.6400000004,1962523.72,1630410.08,1608471.32,250492.68,365733.88,270906.2000000001,242962.6,276800.84,309104.24,252728.24,361144.04,335714.16,273205.24,786287.24,868620.64,763587.36,795043.76,787586.76,763409.36,817843.88,778897.96
17,986229.2400000005,1181806.0,1136654.0,905703.6199999999,923855.2800000005,1042326.34,1013816.0,1120744.08,1102676.82,1109651.0000000002,2086315.04,1933250.72,2057826.0,2238570.8000000007,1755583.52,2208927.56,2076371.9200000004,2084355.28,1896056.16,1727975.74,253578.54,378248.12,346473.8,273626.34,337563.24,344723.72,275103.16,366488.24,355111.38,342836.82,798131.1600000005,871550.44,773788.04,829970.28,864904.5599999998,773586.08,850500.44,786915.08
18,1041015.8,1190206.0,1262233.7999999998,988210.8,1040294.44,1069649.92,1096562.0,1217847.6,1112285.28,1156187.4,2293288.16,2140903.2399999998,2293046.4,2314938.2,1763356.96,2442524.8,2339545.52,2322411.64,2111067.0,2062820.72,260577.88,456439.64,369928.6,342362.83999999985,357703.48,352856.20000000007,342754.2000000001,398812.72000000015,359953.48,366618.32000000024,808463.88,879954.72,808015.04,873708.8,888711.04,822704.9199999998,877155.64,885172.3999999998
19,1137016.44,1241995.0,1289135.2,1100125.3999999994,1112766.38,1127938.36,1211936.0,1267420.26,1199902.8,1162709.4,2677484.079999999,2383909.4,2602266.2,2445394.9,1987440.8400000003,2640155.159999999,2541433.8800000004,2643895.12,2224098.76,2107037.0799999987,349450.62,497092.62,375033.4,361671.54,374865.16,399317.6,359209.16,438833.92,403778.1599999999,442931.79999999993,893421.12,889733.6000000002,874264.1200000001,905900.44,896652.64,877929.6,888132.74,893145.0599999998
20,1212392.4,1302177.0,1344265.0,1182867.6000000006,1119636.4000000004,1236060.0,1239273.0,1275247.8,1264347.4,1217882.0,2988136.4,2573499.600000001,2952697.0,2672430.0,2294746.0,2718754.6,2649052.8,2824960.6,2367542.0,2205467.4,373500.2,502904.4,462898.0,367018.4,391618.60000000015,465468.2,405400.00000000047,499660.4000000001,455152.8,460885.2,904174.8,899405.0,885009.2,915693.2,920378.0,885504.2000000002,896874.8,912371.6
