,157_1_www.oracle.com,157_2_www.oracle.com,157_3_www.oracle.com,157_4_www.oracle.com,157_5_www.oracle.com,157_7_www.oracle.com,157_8_www.oracle.com,157_9_www.oracle.com,157_10_www.oracle.com,158_1_www.oracle.com,158_2_www.oracle.com,158_3_www.oracle.com,158_4_www.oracle.com,158_5_www.oracle.com,158_6_www.oracle.com,158_7_www.oracle.com,158_8_www.oracle.com,158_9_www.oracle.com,158_10_www.oracle.com,159_1_www.oracle.com,159_3_www.oracle.com,159_4_www.oracle.com,159_5_www.oracle.com,159_6_www.oracle.com,159_7_www.oracle.com,159_8_www.oracle.com,159_9_www.oracle.com,159_10_www.oracle.com,160_1_www.oracle.com,160_2_www.oracle.com,160_3_www.oracle.com,160_4_www.oracle.com,160_5_www.oracle.com,160_6_www.oracle.com,160_7_www.oracle.com,160_8_www.oracle.com,160_9_www.oracle.com,160_10_www.oracle.com
0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,67.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,67.0,-442.0,67.0,-442.0,-442.0,67.0,67.0,67.0
1,1969.5,3881.5,5773.78,4046.32,4393.88,3575.8,4213.16,4243.46,4063.6,4232.56,4103.02,4030.68,3991.2,3792.18,3955.08,4048.76,4084.88,4115.84,3811.44,3998.6000000000013,583.4799999999984,2802.0000000000014,3875.64,4128.4,4040.16,3708.72,3683.04,4017.72,4059.08,3133.200000000001,4232.56,3875.64,1482.6,4132.7,3959.4,1390.36,1627.5199999999998,2646.0
2,5671.8,8493.0,13226.72,8702.92,6507.5999999999985,4568.6399999999985,8859.84,8654.44,6165.0,4694.440000000001,8002.28,4647.440000000001,4514.48,8175.44,5199.680000000001,4372.24,4536.88,4664.839999999998,6242.72,4743.6799999999985,4472.52,4996.799999999998,6349.8,7049.4,4157.84,6351.4000000000015,6145.8,4891.120000000001,4278.919999999999,5023.56,4496.440000000001,4351.76,5853.120000000001,8564.0,4946.399999999997,5007.3600000000015,5520.36,4721.0
3,8796.1,18789.0,27107.88,19029.24,19182.76,9194.399999999998,19344.12,19541.8,18953.2,8151.320000000002,19286.06,8088.92,7987.48,12442.779999999993,7901.399999999998,8079.32,8452.66,8245.22,11800.239999999994,8148.56,8829.6,8400.6,13484.440000000017,12465.200000000004,7968.62,13870.799999999996,16289.840000000006,7780.279999999998,8390.759999999998,8587.52,7953.320000000002,7706.279999999998,6730.279999999998,18688.200000000004,7580.999999999988,8453.48,8695.84,7673.0
4,19399.6,28027.0,35298.92,28357.12,28004.76,21387.2,28334.68,44107.12,28497.6,19213.4,29884.48,19087.72,19950.88,20425.6,19191.28,19174.6,18759.32,18706.08,19952.8,18689.52,15587.559999999989,18766.8,28396.48,16025.8,18950.92,28697.6,34760.2,28920.08,18755.32,19141.32,29105.76,20799.800000000007,24708.32000000001,29559.6,28002.19999999997,19129.11999999999,19098.72,30009.0
5,27527.0,30803.5,71617.19999999997,38307.00000000005,44444.60000000002,29825.6,32049.40000000001,79958.20000000001,30925.0,28027.60000000001,67377.3,28606.60000000001,28199.4,29419.9,29683.2,27909.8,28474.9,28755.5,29421.2,28012.2,28814.800000000007,27731.0,31481.2,28923.0,28873.200000000008,31504.6,63550.2,29309.2,27704.4,28515.0,29441.8,29972.6,29849.8,65065.5,30981.0,28135.4,28143.4,30250.0
6,33175.8,87017.0,161813.32,81411.96000000004,91701.96000000002,43632.47999999999,51442.47999999999,171974.0,36519.00000000002,33577.84,138195.48000000007,31826.96,70730.36000000004,40847.04,46105.84,31888.44000000001,48293.31999999999,30359.76,68041.76,31233.12,31832.4,38264.600000000064,84537.64000000009,39333.8,30797.04,69583.59999999999,150210.2,49817.760000000126,37586.20000000001,33991.20000000001,66203.79999999999,74321.48000000008,34358.60000000001,95298.0,55431.2,34221.16,47404.60000000002,66766.0
7,84806.99999999999,207981.0,268449.8,166491.92,154823.80000000002,142594.92000000007,105436.36,295377.0,134444.00000000006,58381.76,196397.56000000003,94760.52000000002,124325.11999999994,126424.12,109607.3,50914.95999999998,82714.79999999999,48691.22,169574.84,72646.92000000013,97961.79999999992,152201.00000000006,167797.04,88205.40000000002,67735.39999999997,141388.19999999998,170056.2,145411.24,68559.48000000004,108001.52,148696.56000000006,111188.76,91700.76,176096.20000000004,80352.39999999995,97090.11999999997,93155.20000000011,108092.0
8,198471.99999999997,367414.0,388074.84,236791.32000000004,239327.28,265579.44,125622.8,368355.04,184190.8,105451.07999999996,221695.56,153299.04,168848.36,172458.48,146367.64,107172.04,170348.6,117302.32000000007,205741.36,147318.92,164917.83999999994,170077.8,173169.72,173727.99999999994,127783.72,156982.48,217779.56,170261.76,118617.36,173888.08,212639.87999999992,143838.68,135024.44,219430.20000000007,92618.6,138661.47999999998,127559.6,144205.0
9,327965.8,366755.5,530331.6,333094.80000000016,342661.6800000005,361313.56,179632.64,414521.7200000001,275018.8000000002,198776.67999999996,248156.44,170694.6,218423.16,193599.28,206177.1,163057.6,187216.3,170050.68,219964.68,170120.64,204855.44,188711.6,204046.48,213557.4,150442.62,207165.4,218873.24,217570.92,214853.44,265759.48000000004,307711.1599999997,189873.64,183858.8,293469.0,146551.39999999994,216116.04000000007,146985.2,228648.0
