,165_1_www.symantec.com,165_2_www.symantec.com,165_3_www.symantec.com,165_4_www.symantec.com,165_5_www.symantec.com,165_7_www.symantec.com,165_8_www.symantec.com,165_9_www.symantec.com,165_10_www.symantec.com,166_1_www.symantec.com,166_2_www.symantec.com,166_3_www.symantec.com,166_4_www.symantec.com,166_5_www.symantec.com,166_6_www.symantec.com,166_7_www.symantec.com,166_8_www.symantec.com,166_9_www.symantec.com,166_10_www.symantec.com,167_1_www.symantec.com,167_2_www.symantec.com,167_3_www.symantec.com,167_4_www.symantec.com,167_5_www.symantec.com,167_6_www.symantec.com,167_7_www.symantec.com,167_8_www.symantec.com,167_9_www.symantec.com,167_10_www.symantec.com,168_2_www.symantec.com,168_3_www.symantec.com,168_4_www.symantec.com,168_5_www.symantec.com,168_6_www.symantec.com,168_7_www.symantec.com,168_8_www.symantec.com,168_9_www.symantec.com,168_10_www.symantec.com
0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
1,3820.88,5317.919999999999,4125.28,5121.02,2298.5,5368.82,5285.92,4099.84,4126.34,6124.42,5104.0,4262.200000000002,4578.64,6259.96,3918.0,4500.52,6135.8,8400.539999999999,8465.48,5291.4000000000015,2330.5599999999995,3868.04,5935.12,3817.56,3991.18,5064.76,5032.720000000004,5026.86,2429.88,4702.86,2294.7200000000007,912.0,3586.56,3888.4800000000014,3606.0,3574.68,3950.76,3721.56
2,7815.960000000005,8036.519999999998,8448.32,8101.360000000002,8450.0,7534.360000000002,12013.959999999995,8356.24,8497.44,18377.72,18968.0,18142.2,18347.68,18905.72,18861.0,18493.32,18646.8,18777.92,18923.76,15008.600000000008,15820.800000000007,7932.72,18191.64,11683.28,16044.320000000003,16968.320000000007,8497.24,9830.600000000002,9531.4,13208.88,7261.16,6544.0,6214.88,6947.96,6089.0,6242.64,5568.959999999997,8450.08
3,18611.44000000001,18879.36,19123.44,19076.72,19028.0,18372.36,19188.56,18383.4,18266.54,151884.63999999996,44048.0,27258.999999999975,36957.36,84947.47999999997,27491.0,25209.64,51636.2,94092.0,137257.6,20132.00000000001,19716.200000000004,19634.080000000005,27801.28,18583.22,19984.88,27268.76,18407.200000000008,20877.16,19651.320000000003,19184.48,15906.960000000005,16702.0,16701.92,13006.64,16546.0,16908.9,8329.799999999992,16676.360000000004
4,21043.04,20081.48,19830.36,20353.84,19622.0,39528.2,29370.08,18792.680000000004,20217.720000000005,217402.92,213692.0,205507.99999999997,214782.48,214780.48,197404.0,147063.6,73203.99999999997,122218.12,195463.4,58505.40000000006,46771.44000000002,22054.28,92332.2,45343.96000000001,76632.2,116539.68,26963.68,33867.52,49748.4,24725.56,18938.08,19153.0,18690.44,16242.92,18295.0,18976.44,19294.12,18743.52
5,46447.400000000016,60747.1,43326.2,69562.1,71130.0,50015.1,93089.59999999998,29665.8,183672.6,277021.2000000001,225280.0,216952.0,219279.8,223569.00000000003,218157.0,200424.2,144962.0,190204.4,227610.0,158651.0,126899.2,41520.8,117292.8,120483.7,120970.2,128120.80000000002,54581.8,64080.50000000001,79695.5,62000.50000000001,23497.199999999993,23720.5,19643.4,26201.4,19620.0,19731.8,20195.8,34339.6
6,61166.24,66438.04,54431.24,71461.12,156473.0,83721.12,124280.36,131068.08000000012,223117.99999999997,299265.36,288199.0,276013.7999999999,245765.44,287767.64,230233.0,225183.32,226994.0,258371.4,259869.2,217012.4,129513.84,111565.6,128746.32,139045.36000000002,146591.8,204630.08,119185.84,149286.4,121111.44,89913.4,88442.40000000002,27473.0,111038.99999999996,26941.84,153517.0,102446.28,59320.11999999992,95794.28
7,74350.96,71742.47999999991,71095.44,101772.16,204281.5,110450.72,156735.64,228444.28,324316.47999999986,326727.98,322476.5,292277.4,289571.76,294086.28,291190.0,272256.60000000003,309582.80000000005,320011.86,301921.84,220078.00000000003,161054.4,173197.2,162198.6,181731.82,210285.72,228747.00000000003,124575.2,171595.68000000005,123266.1,127156.3,121942.4,83534.0,190394.36,29442.24,212475.0,139235.66,188753.78,188476.52
8,84275.08,80534.52,84886.4,107043.68,244926.0,119339.23999999989,162809.48,300181.2400000001,345596.8,363378.6,340241.0,324128.19999999995,325756.08,363489.88,327376.0,312598.32,329255.2,321576.32,352591.56000000006,237438.60000000012,190344.28,176247.68,187544.08,229679.88,250148.36,257124.60000000003,177405.56000000003,223331.44000000003,177340.28,155976.76,213320.72,136830.0,213349.08,164384.04,215420.0,179653.4,211727.68,211322.16
9,99062.84,117853.80000000002,110250.44,135639.39999999994,245851.0,206828.18,223342.64,345407.88,343938.86,449903.36,409554.0,332668.0,350937.52,450633.8000000001,354865.0,327614.54,335587.8,327821.92,405568.8,277259.60000000003,240076.84000000003,230195.84000000003,233667.04000000012,273660.26,293003.56,272587.4,222408.80000000005,257916.2,232290.9,204240.1,213471.4,214496.5,214498.76,219434.44,221648.0,213049.54,215486.82,216460.64
