index,66_1_www.nytimes.com,66_2_www.nytimes.com,66_3_www.nytimes.com,66_4_www.nytimes.com,66_5_www.nytimes.com,66_6_www.nytimes.com,66_7_www.nytimes.com,66_8_www.nytimes.com,66_9_www.nytimes.com,66_10_www.nytimes.com,67_1_www.nytimes.com,67_2_www.nytimes.com,67_3_www.nytimes.com,67_4_www.nytimes.com,67_5_www.nytimes.com,67_6_www.nytimes.com,67_7_www.nytimes.com,67_8_www.nytimes.com,67_9_www.nytimes.com,67_10_www.nytimes.com,68_1_www.nytimes.com,68_2_www.nytimes.com,68_3_www.nytimes.com,68_4_www.nytimes.com,68_5_www.nytimes.com,68_6_www.nytimes.com,68_7_www.nytimes.com,68_8_www.nytimes.com,68_9_www.nytimes.com,68_10_www.nytimes.com,69_1_www.nytimes.com,69_2_www.nytimes.com,69_3_www.nytimes.com,69_4_www.nytimes.com,69_5_www.nytimes.com,69_6_www.nytimes.com,69_7_www.nytimes.com,69_8_www.nytimes.com,69_9_www.nytimes.com,69_10_www.nytimes.com
1,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,0.0,-442.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,-442.0,67.0,-48.0,67.0,67.0,-48.0,67.0,67.0,0.0,67.0,67.0,-48.0,-442.0,67.0,67.0,67.0,-48.0,67.0,67.0
2,140265.40000000002,195312.28,154478.9,156696.92,60736.04,158336.2,134544.16,155025.2,151052.08,156226.3,135470.86,83477.8,158472.96,94307.81999999999,119781.12000000001,135032.42,126124.5,123380.8,110792.23999999999,124635.32,75883.79999999996,18724.200000000015,13679.76,6570.079999999999,8079.199999999996,8491.52,7436.12,10631.08,9000.62,17417.880000000012,9268.960000000001,10731.200000000003,19903.48,15325.200000000003,7370.72,7638.68,7666.76,6583.52,14304.8,7721.919999999997
3,241578.24,322352.52,245774.8,329834.8800000001,200611.24,281874.99999999994,266644.68,234240.32,249699.24,265823.2,252318.36,252388.36,317314.44,193770.08,253777.2,209392.12,192259.0,207014.80000000002,337614.32,194939.8,132704.6,100352.6,95672.16,101887.24,98423.72,100476.24,88647.52,101432.92,98667.56,97900.68,102101.31999999999,105109.40000000001,130095.16,98657.72,98390.48,98775.84,95351.96,100110.24,98861.16000000002,71816.84
4,540773.24,564777.68,592324.3999999999,723738.64,483315.51999999996,639343.0,717332.9199999998,352207.44,515531.8,515336.8000000001,605765.62,528567.64,506244.2,413485.04,800327.64,544768.4400000002,361506.1,452962.6,517506.7200000001,451913.96,302125.1,141860.00000000006,118342.44,126827.24,146167.16,135800.35999999993,268686.27999999997,141420.16,273540.88,126663.56,123463.76,216907.2799999999,462612.52000000025,130217.27999999996,122660.48,121476.16,159726.16,133108.92,147051.84000000023,114945.0
5,845449.4,1056342.24,976370.3999999999,989016.68,982979.7200000001,995726.4,981697.48,906961.9200000002,980335.4,915493.6,986697.04,1051806.9600000002,687913.32,681650.64,1013290.68,704880.4,772619.9999999999,881043.0,1082672.52,825082.4,528107.0,332771.2,165586.60000000006,141442.6,325401.3999999999,229600.2,584943.64,224301.12,503344.68,292329.4,184291.8,553781.12,580333.36,368509.04000000004,402547.16,125596.88,315966.52,361109.83999999997,531820.4,281718.04
6,985664.6,1093354.4,1022568.0,1084383.6,1023820.2,1037710.0,1021608.3,1001326.6,1021581.8,992736.5,1024699.2000000001,1069823.6,811853.2000000001,930166.0,1056711.2,824024.0,1022548.5,1017611.0,1114095.6,1017150.6,1027995.0,517542.0,307324.4,191914.0,392089.8,390879.0,897251.0000000001,389042.0000000002,716069.7999999999,343679.00000000006,449892.2,663480.4,1105845.1999999997,553609.0,559413.2000000001,289549.19999999995,505486.6,477181.4,820660.0,467559.0
7,1110036.1600000001,1168440.48,1345510.9999999993,1136206.08,1057295.6,1072059.0,1089988.0,1045846.76,1133389.12,1031635.2,1095939.24,1111776.44,917349.2,1040959.2000000001,1204486.84,1040233.8800000001,1057554.6,1050077.8,1132444.88,1054851.48,1592412.2,939035.4,545654.2,521918.76,776484.36,703819.8799999998,1193352.2,831325.7200000001,873974.7200000001,643622.6800000005,686481.8,1113806.2,1395633.16,603081.2,736250.84,550260.4400000002,670526.8,858368.3999999999,1140297.6400000004,621552.7999999999
8,1465251.2000000002,1285749.5599999998,2019273.5999999999,1396405.36,1535951.16,1422734.2,1408464.6,1082632.6400000001,1493758.2,1103912.1,1210390.78,1224482.96,1080709.1599999985,1335134.8,1306041.8,1439675.94,1255597.0,1130371.6,1367380.2399999998,1122482.56,2065472.3999999997,1325220.4000000006,786450.2000000001,910325.2000000001,1400709.92,1059561.4,1288089.08,1181727.52,1151093.8,1144973.8000000005,1018007.4400000003,1402035.88,1425703.8,936989.2000000001,916441.12,634301.74,946417.6400000004,1066998.0399999996,1394019.28,788083.84
9,1882337.8,1879343.8,2423102.0,2042896.6400000001,2102004.44,1705480.5999999996,1890267.48,1386127.9200000009,1800757.4399999997,1235780.4,1465457.08,1354505.04,1341919.2399999998,1396989.12,1490407.0400000005,1759667.52,1738205.7999999998,1384753.4,1805815.56,1344843.8,2412063.4,1670976.8,997503.52,1199344.44,1733736.4799999997,1519463.7599999998,1640175.04,1470100.84,1588951.2,1631934.8,1395609.3600000003,1410766.76,1451467.2,1199387.24,1149471.28,868173.9199999999,1268098.32,1366852.2,1403800.16,1132712.8399999999
10,2389983.4,2350061.52,2826269.4,2659893.12,2417196.04,2302337.1999999997,2573512.08,1777324.2,2220443.0399999996,1475687.7,2011921.0400000005,1557358.16,1627893.36,1432923.66,2048357.36,2309748.72,2235224.3999999994,1867670.4000000001,2148701.4000000004,1610409.4,2634643.3,2022090.0,1158111.48,1456053.36,2050870.8399999999,1878227.4799999997,1969045.4400000002,1762708.04,1937066.6,1993747.4000000001,1416902.16,1451005.24,1560878.68,1405715.24,1404125.16,928186.94,1386491.36,1406527.84,1435729.16,1393974.28
